GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
12127,"Volusia County, Florida",245958,4.4
12131,"Walton County, Florida",34116,3.2
13013,"Barrow County, Georgia",41399,5.2
13015,"Bartow County, Georgia",52978,5.7
13021,"Bibb County, Georgia",70068,8.6
13031,"Bulloch County, Georgia",37314,9.9
13045,"Carroll County, Georgia",55691,4.7
13047,"Catoosa County, Georgia",33866,2.0
13051,"Chatham County, Georgia",154809,6.9
13057,"Cherokee County, Georgia",136863,3.9
13059,"Clarke County, Georgia",63520,5.3
13063,"Clayton County, Georgia",144429,6.1
13067,"Cobb County, Georgia",425640,3.7
13073,"Columbia County, Georgia",76785,5.1
13077,"Coweta County, Georgia",73611,2.6
13089,"DeKalb County, Georgia",418737,5.4
13095,"Dougherty County, Georgia",41101,11.3
13097,"Douglas County, Georgia",74262,4.8
13113,"Fayette County, Georgia",55721,3.2
13115,"Floyd County, Georgia",40121,2.9
13117,"Forsyth County, Georgia",124259,2.6
13121,"Fulton County, Georgia",571112,4.5
13127,"Glynn County, Georgia",41492,3.4
13135,"Gwinnett County, Georgia",489493,3.5
13139,"Hall County, Georgia",99550,3.2
13151,"Henry County, Georgia",123079,4.0
13153,"Houston County, Georgia",80108,5.0
13157,"Jackson County, Georgia",36141,2.3
13185,"Lowndes County, Georgia",51440,4.2
13215,"Muscogee County, Georgia",89569,10.0
13217,"Newton County, Georgia",51374,4.8
13223,"Paulding County, Georgia",85755,3.7
13245,"Richmond County, Georgia",98336,7.5
13247,"Rockdale County, Georgia",43202,5.1
13255,"Spalding County, Georgia",26974,4.5
13285,"Troup County, Georgia",31965,4.5
13295,"Walker County, Georgia",32042,5.9
13297,"Walton County, Georgia",45019,2.5
13313,"Whitfield County, Georgia",50939,4.8
15001,"Hawaii County, Hawaii",95752,5.2
15003,"Honolulu County, Hawaii",530699,3.7
15007,"Kauai County, Hawaii",37455,2.6
15009,"Maui County, Hawaii",88820,3.5
16001,"Ada County, Idaho",244619,3.5
16005,"Bannock County, Idaho",41351,5.7
16019,"Bonneville County, Idaho",52095,5.9
16027,"Canyon County, Idaho",104682,4.9
16055,"Kootenai County, Idaho",78864,3.7
16083,"Twin Falls County, Idaho",41237,2.4
17001,"Adams County, Illinois",34848,2.7
17019,"Champaign County, Illinois",107895,5.0
17031,"Cook County, Illinois",2770031,6.6
17037,"DeKalb County, Illinois",55946,5.0
17043,"DuPage County, Illinois",517244,3.6
17089,"Kane County, Illinois",286951,4.1
17091,"Kankakee County, Illinois",52415,4.3
17093,"Kendall County, Illinois",67182,6.8
17097,"Lake County, Illinois",376550,4.6
17099,"LaSalle County, Illinois",55450,4.0
17111,"McHenry County, Illinois",173005,4.0
17113,"McLean County, Illinois",89516,2.9
17115,"Macon County, Illinois",51700,7.0
17119,"Madison County, Illinois",138188,6.0
17143,"Peoria County, Illinois",87243,5.9
17161,"Rock Island County, Illinois",72294,5.4
17163,"St. Clair County, Illinois",131318,4.9
17167,"Sangamon County, Illinois",101667,5.2
17179,"Tazewell County, Illinois",62755,3.5
17183,"Vermilion County, Illinois",33176,8.1
17197,"Will County, Illinois",377378,4.4
17199,"Williamson County, Illinois",31703,4.3
17201,"Winnebago County, Illinois",145527,6.6
18003,"Allen County, Indiana",194740,4.5
18005,"Bartholomew County, Indiana",41384,3.6
18011,"Boone County, Indiana",35914,1.8
18019,"Clark County, Indiana",63537,3.0
18035,"Delaware County, Indiana",57624,5.7
18039,"Elkhart County, Indiana",105373,4.7
18043,"Floyd County, Indiana",41531,3.4
18053,"Grant County, Indiana",31154,6.6
18057,"Hamilton County, Indiana",181466,2.4
18059,"Hancock County, Indiana",39470,3.0
18063,"Hendricks County, Indiana",90941,1.7
18067,"Howard County, Indiana",39512,3.7
18081,"Johnson County, Indiana",85789,4.3
18085,"Kosciusko County, Indiana",43397,3.2
18089,"Lake County, Indiana",237535,6.3
18091,"LaPorte County, Indiana",50613,6.0
18095,"Madison County, Indiana",59987,4.0
18097,"Marion County, Indiana",497639,6.2
18105,"Monroe County, Indiana",78081,5.2
18109,"Morgan County, Indiana",35891,6.1
18127,"Porter County, Indiana",85627,3.4
18141,"St. Joseph County, Indiana",141614,3.2
18157,"Tippecanoe County, Indiana",100556,5.0
18163,"Vanderburgh County, Indiana",92840,5.8
18167,"Vigo County, Indiana",54013,5.8
18177,"Wayne County, Indiana",30860,4.9
19013,"Black Hawk County, Iowa",72785,4.8
19049,"Dallas County, Iowa",50964,2.1
19061,"Dubuque County, Iowa",51121,3.3
19103,"Johnson County, Iowa",87117,3.2
19113,"Linn County, Iowa",124305,3.3
19153,"Polk County, Iowa",272347,3.7
19155,"Pottawattamie County, Iowa",47953,4.2
19163,"Scott County, Iowa",92009,4.6
19169,"Story County, Iowa",55160,5.7
19193,"Woodbury County, Iowa",53416,4.7
20015,"Butler County, Kansas",31901,3.0
20045,"Douglas County, Kansas",72218,4.5
20091,"Johnson County, Kansas",335852,2.5
20103,"Leavenworth County, Kansas",38486,4.4
20161,"Riley County, Kansas",44705,6.1
20173,"Sedgwick County, Kansas",262799,4.5
20177,"Shawnee County, Kansas",87302,4.2
20209,"Wyandotte County, Kansas",81149,6.7
21015,"Boone County, Kentucky",73498,2.9
21029,"Bullitt County, Kentucky",42168,3.4
21037,"Campbell County, Kentucky",50125,4.3
21047,"Christian County, Kentucky",33615,11.3
21059,"Daviess County, Kentucky",48307,4.0
21067,"Fayette County, Kentucky",181348,5.0
21093,"Hardin County, Kentucky",52552,4.3
21111,"Jefferson County, Kentucky",404176,5.2
21117,"Kenton County, Kentucky",89922,5.3
21145,"McCracken County, Kentucky",29887,2.9
21151,"Madison County, Kentucky",47990,3.8
21185,"Oldham County, Kentucky",32525,3.7
21227,"Warren County, Kentucky",70747,3.8
22005,"Ascension Parish, Louisiana",65458,6.6
22015,"Bossier Parish, Louisiana",63671,4.4
22017,"Caddo Parish, Louisiana",111570,7.0
22019,"Calcasieu Parish, Louisiana",93541,4.2
22033,"East Baton Rouge Parish, Louisiana",228519,5.2
22045,"Iberia Parish, Louisiana",33402,7.4
22051,"Jefferson Parish, Louisiana",223469,5.5
22055,"Lafayette Parish, Louisiana",123583,4.6
22057,"Lafourche Parish, Louisiana",46246,7.4
22063,"Livingston Parish, Louisiana",66530,4.1
22071,"Orleans Parish, Louisiana",191644,7.9
22073,"Ouachita Parish, Louisiana",68401,7.8
22079,"Rapides Parish, Louisiana",58396,7.6
22097,"St. Landry Parish, Louisiana",32803,8.7
22103,"St. Tammany Parish, Louisiana",125872,5.6
22105,"Tangipahoa Parish, Louisiana",61048,8.9
22109,"Terrebonne Parish, Louisiana",49324,7.6
23001,"Androscoggin County, Maine",57152,5.2
23003,"Aroostook County, Maine",30411,5.6
23005,"Cumberland County, Maine",172032,2.3
23011,"Kennebec County, Maine",63644,3.1
23019,"Penobscot County, Maine",75629,3.7
23031,"York County, Maine",113140,2.4
24001,"Allegany County, Maryland",32273,9.0
24003,"Anne Arundel County, Maryland",321034,3.9
24005,"Baltimore County, Maryland",441061,4.9
24009,"Calvert County, Maryland",51674,2.7
24013,"Carroll County, Maryland",90928,3.1
24015,"Cecil County, Maryland",54935,6.0
24017,"Charles County, Maryland",86470,4.5
24021,"Frederick County, Maryland",140212,3.7
24025,"Harford County, Maryland",137783,4.1
24027,"Howard County, Maryland",180104,3.6
24031,"Montgomery County, Maryland",599660,4.1
24033,"Prince George's County, Maryland",521719,6.8
24037,"St. Mary's County, Maryland",58837,2.6
24043,"Washington County, Maryland",72900,6.0
24045,"Wicomico County, Maryland",51636,7.0
24510,"Baltimore city, Maryland",307604,6.8
25001,"Barnstable County, Massachusetts",110396,4.0
25003,"Berkshire County, Massachusetts",65451,4.3
25005,"Bristol County, Massachusetts",299492,4.9
25009,"Essex County, Massachusetts",434825,5.3
25011,"Franklin County, Massachusetts",38653,3.3
25013,"Hampden County, Massachusetts",224544,5.2
25015,"Hampshire County, Massachusetts",88126,4.5
25017,"Middlesex County, Massachusetts",931060,3.9
25021,"Norfolk County, Massachusetts",396781,4.4
25023,"Plymouth County, Massachusetts",281865,4.8
25025,"Suffolk County, Massachusetts",474725,6.5
25027,"Worcester County, Massachusetts",447320,4.6
26005,"Allegan County, Michigan",57966,3.6
26017,"Bay County, Michigan",50288,4.9
26021,"Berrien County, Michigan",78093,4.7
26025,"Calhoun County, Michigan",65021,5.7
26037,"Clinton County, Michigan",39763,2.5
26045,"Eaton County, Michigan",55992,5.0
26049,"Genesee County, Michigan",193330,7.8
26055,"Grand Traverse County, Michigan",49160,4.0
26065,"Ingham County, Michigan",155531,6.1
26073,"Isabella County, Michigan",36819,6.9
26075,"Jackson County, Michigan",72331,6.7
26077,"Kalamazoo County, Michigan",142655,6.2
26081,"Kent County, Michigan",357620,4.8
26087,"Lapeer County, Michigan",43154,5.1
26091,"Lenawee County, Michigan",46381,3.9
26093,"Livingston County, Michigan",103183,3.2
26099,"Macomb County, Michigan",459260,4.4
26103,"Marquette County, Michigan",32645,5.7
26111,"Midland County, Michigan",39526,5.5
26115,"Monroe County, Michigan",74375,4.6
26121,"Muskegon County, Michigan",79963,5.2
26125,"Oakland County, Michigan",676608,3.9
26139,"Ottawa County, Michigan",155445,3.0
26145,"Saginaw County, Michigan",88270,5.5
26147,"St. Clair County, Michigan",80281,7.2
26155,"Shiawassee County, Michigan",33613,4.1
26159,"Van Buren County, Michigan",37216,4.0
26161,"Washtenaw County, Michigan",200046,4.8
26163,"Wayne County, Michigan",818621,7.9
27003,"Anoka County, Minnesota",200499,3.2
27013,"Blue Earth County, Minnesota",39420,1.5
27019,"Carver County, Minnesota",56229,1.8
27037,"Dakota County, Minnesota",239791,3.1
27053,"Hennepin County, Minnesota",735136,3.7
27109,"Olmsted County, Minnesota",86022,2.0
27123,"Ramsey County, Minnesota",296063,4.0
27131,"Rice County, Minnesota",34294,6.0
27137,"St. Louis County, Minnesota",102875,4.5
27139,"Scott County, Minnesota",83398,3.0
27141,"Sherburne County, Minnesota",54578,2.0
27145,"Stearns County, Minnesota",88951,5.0
27163,"Washington County, Minnesota",145050,1.8
27171,"Wright County, Minnesota",76413,1.5
28033,"DeSoto County, Mississippi",98308,5.8
28035,"Forrest County, Mississippi",34694,6.2
28047,"Harrison County, Mississippi",100853,10.2
28049,"Hinds County, Mississippi",115505,8.4
28059,"Jackson County, Mississippi",67070,9.9
28067,"Jones County, Mississippi",30141,2.4
28075,"Lauderdale County, Mississippi",32064,8.0
28081,"Lee County, Mississippi",41345,7.6
28089,"Madison County, Mississippi",56588,2.2
28121,"Rankin County, Mississippi",79408,3.6
29019,"Boone County, Missouri",99127,4.6
29021,"Buchanan County, Missouri",43739,4.9
29031,"Cape Girardeau County, Missouri",41744,4.0
29037,"Cass County, Missouri",54899,3.8
29043,"Christian County, Missouri",41746,2.8
29047,"Clay County, Missouri",134047,4.2
29051,"Cole County, Missouri",40262,3.1
29071,"Franklin County, Missouri",53888,4.2
29077,"Greene County, Missouri",141389,3.8
29095,"Jackson County, Missouri",368543,4.1
29097,"Jasper County, Missouri",59390,5.5
29099,"Jefferson County, Missouri",119383,4.3
29165,"Platte County, Missouri",56731,3.8
29183,"St. Charles County, Missouri",217081,3.3
29187,"St. Francois County, Missouri",28319,4.3
29189,"St. Louis County, Missouri",518219,3.7
29510,"St. Louis city, Missouri",169150,6.2
30013,"Cascade County, Montana",40441,2.6
30029,"Flathead County, Montana",50938,2.7
30031,"Gallatin County, Montana",66660,1.1
30049,"Lewis and Clark County, Montana",36837,3.5
30063,"Missoula County, Montana",70497,2.8
30111,"Yellowstone County, Montana",83372,3.3
31055,"Douglas County, Nebraska",309387,3.9
31109,"Lancaster County, Nebraska",181751,3.1
31153,"Sarpy County, Nebraska",101077,3.4
32003,"Clark County, Nevada",1130821,5.9
32031,"Washoe County, Nevada",251923,4.1
33005,"Cheshire County, New Hampshire",41711,4.4
33009,"Grafton County, New Hampshire",49189,2.6
33011,"Hillsborough County, New Hampshire",238181,3.9
33013,"Merrimack County, New Hampshire",84470,3.9
33015,"Rockingham County, New Hampshire",178209,2.9
33017,"Strafford County, New Hampshire",73221,3.5
34001,"Atlantic County, New Jersey",140295,7.4
34003,"Bergen County, New Jersey",506669,4.0
34005,"Burlington County, New Jersey",239567,4.5
34007,"Camden County, New Jersey",264101,6.5
34009,"Cape May County, New Jersey",46030,6.1
34011,"Cumberland County, New Jersey",65336,7.8
34013,"Essex County, New Jersey",419342,7.0
34015,"Gloucester County, New Jersey",155753,4.5
34017,"Hudson County, New Jersey",385558,4.0
34019,"Hunterdon County, New Jersey",67069,2.9
34021,"Mercer County, New Jersey",197194,5.6
34023,"Middlesex County, New Jersey",435810,4.8
34025,"Monmouth County, New Jersey",337202,4.2
34027,"Morris County, New Jersey",273342,4.3
34029,"Ocean County, New Jersey",276792,4.6
34031,"Passaic County, New Jersey",257640,3.7
34033,"Salem County, New Jersey",30363,6.4
34035,"Somerset County, New Jersey",180939,4.7
34037,"Sussex County, New Jersey",81160,4.5
34039,"Union County, New Jersey",310122,4.4
34041,"Warren County, New Jersey",58925,5.3
35001,"Bernalillo County, New Mexico",339675,5.6
35005,"Chaves County, New Mexico",27679,4.0
35013,"Doña Ana County, New Mexico",94573,6.2
35025,"Lea County, New Mexico",30775,6.2
35031,"McKinley County, New Mexico",26069,13.8
35035,"Otero County, New Mexico",26839,5.2
35043,"Sandoval County, New Mexico",67959,8.0
35045,"San Juan County, New Mexico",50807,7.4
35049,"Santa Fe County, New Mexico",73048,4.2
35061,"Valencia County, New Mexico",30948,6.1
36001,"Albany County, New York",167075,5.0
36005,"Bronx County, New York",667160,10.1
36007,"Broome County, New York",93051,6.3
36009,"Cattaraugus County, New York",36455,5.9
36011,"Cayuga County, New York",35585,3.8
36013,"Chautauqua County, New York",60845,5.0
36015,"Chemung County, New York",39210,4.4
36019,"Clinton County, New York",36249,3.8
36027,"Dutchess County, New York",151385,4.9
36029,"Erie County, New York",469864,3.9
36045,"Jefferson County, New York",54928,5.0
36047,"Kings County, New York",1301499,4.9
36051,"Livingston County, New York",28605,3.0
36053,"Madison County, New York",36005,4.1
36055,"Monroe County, New York",381755,5.1
36059,"Nassau County, New York",718171,3.2
36061,"New York County, New York",948976,4.9
36063,"Niagara County, New York",105715,4.6
36065,"Oneida County, New York",106572,4.0
36067,"Onondaga County, New York",231817,5.6
36069,"Ontario County, New York",57020,3.3
36071,"Orange County, New York",189570,3.9
36075,"Oswego County, New York",59278,7.0
36079,"Putnam County, New York",53805,4.9
36081,"Queens County, New York",1202910,5.2
36083,"Rensselaer County, New York",83263,5.0
36085,"Richmond County, New York",224850,4.1
36087,"Rockland County, New York",153341,5.3
36089,"St. Lawrence County, New York",47982,4.3
36091,"Saratoga County, New York",129018,3.6
36093,"Schenectady County, New York",79632,6.5
36101,"Steuben County, New York",45897,6.1
36103,"Suffolk County, New York",778083,3.9
36105,"Sullivan County, New York",34378,6.9
36109,"Tompkins County, New York",54812,3.6
36111,"Ulster County, New York",92934,4.4
36113,"Warren County, New York",32770,4.7
36117,"Wayne County, New York",46343,4.3
36119,"Westchester County, New York",512304,5.1
37001,"Alamance County, North Carolina",81749,5.4
37019,"Brunswick County, North Carolina",58317,5.4
37021,"Buncombe County, North Carolina",137209,2.6
37023,"Burke County, North Carolina",44056,7.3
37025,"Cabarrus County, North Carolina",110570,5.4
37027,"Caldwell County, North Carolina",40558,7.4
37031,"Carteret County, North Carolina",32085,4.5
37035,"Catawba County, North Carolina",81443,7.4
37037,"Chatham County, North Carolina",33552,3.3
37045,"Cleveland County, North Carolina",42694,6.3
37049,"Craven County, North Carolina",45909,7.5
37051,"Cumberland County, North Carolina",165076,7.5
37057,"Davidson County, North Carolina",79818,5.1
37063,"Durham County, North Carolina",176186,3.1
37067,"Forsyth County, North Carolina",184328,5.4
37069,"Franklin County, North Carolina",32505,3.2
37071,"Gaston County, North Carolina",110465,4.2
37081,"Guilford County, North Carolina",268891,5.4
37085,"Harnett County, North Carolina",59544,6.6
37089,"Henderson County, North Carolina",56985,3.3
37097,"Iredell County, North Carolina",92727,4.2
37101,"Johnston County, North Carolina",103079,4.1
37109,"Lincoln County, North Carolina",45124,4.4
37119,"Mecklenburg County, North Carolina",612144,4.0
37125,"Moore County, North Carolina",46813,3.8
37127,"Nash County, North Carolina",47320,5.5
37129,"New Hanover County, North Carolina",118778,3.8
37133,"Onslow County, North Carolina",109890,7.8
37135,"Orange County, North Carolina",75661,3.9
37147,"Pitt County, North Carolina",93199,7.1
37151,"Randolph County, North Carolina",72766,4.6
37155,"Robeson County, North Carolina",51782,4.7
37157,"Rockingham County, North Carolina",41211,6.1
37159,"Rowan County, North Carolina",69485,6.6
37161,"Rutherford County, North Carolina",30895,9.5
37171,"Surry County, North Carolina",32156,3.1
37179,"Union County, North Carolina",122541,3.9
37183,"Wake County, North Carolina",607263,3.3
37191,"Wayne County, North Carolina",59798,5.0
37193,"Wilkes County, North Carolina",32944,6.9
37195,"Wilson County, North Carolina",40393,6.6
38015,"Burleigh County, North Dakota",53805,1.8
38017,"Cass County, North Dakota",107007,2.6
38035,"Grand Forks County, North Dakota",41371,5.1
38101,"Ward County, North Dakota",38125,3.1
39003,"Allen County, Ohio",51388,4.8
39007,"Ashtabula County, Ohio",44575,8.5
39009,"Athens County, Ohio",31929,7.9
39013,"Belmont County, Ohio",28751,4.4
39017,"Butler County, Ohio",193552,4.4
39023,"Clark County, Ohio",65285,7.4
39025,"Clermont County, Ohio",106475,3.3
39029,"Columbiana County, Ohio",47710,4.7
39035,"Cuyahoga County, Ohio",642036,6.9
39041,"Delaware County, Ohio",108471,3.5
39043,"Erie County, Ohio",37224,3.6
39045,"Fairfield County, Ohio",75626,3.1
39049,"Franklin County, Ohio",719944,4.6
39055,"Geauga County, Ohio",48943,2.2
39057,"Greene County, Ohio",86023,5.6
39061,"Hamilton County, Ohio",435726,3.9
39063,"Hancock County, Ohio",42358,4.0
39081,"Jefferson County, Ohio",28265,6.6
39085,"Lake County, Ohio",124491,3.9
39089,"Licking County, Ohio",87559,3.7
39093,"Lorain County, Ohio",153210,3.8
39095,"Lucas County, Ohio",211431,6.6
39099,"Mahoning County, Ohio",116702,9.1
39101,"Marion County, Ohio",28223,4.2
39103,"Medina County, Ohio",96574,2.4
39109,"Miami County, Ohio",53990,4.4
39113,"Montgomery County, Ohio",269109,5.9
39119,"Muskingum County, Ohio",41631,5.7
39133,"Portage County, Ohio",94824,5.0
39139,"Richland County, Ohio",53365,4.4
39141,"Ross County, Ohio",31357,7.8
39145,"Scioto County, Ohio",29793,8.7
39151,"Stark County, Ohio",186156,5.2
39153,"Summit County, Ohio",287437,5.7
39155,"Trumbull County, Ohio",89994,4.6
39157,"Tuscarawas County, Ohio",46582,4.6
39165,"Warren County, Ohio",120407,2.8
39169,"Wayne County, Ohio",57450,3.1
39173,"Wood County, Ohio",73257,4.9
40017,"Canadian County, Oklahoma",75632,3.3
40027,"Cleveland County, Oklahoma",149880,3.0
40031,"Comanche County, Oklahoma",57521,6.4
40037,"Creek County, Oklahoma",32211,3.4
40101,"Muskogee County, Oklahoma",29814,4.5
40109,"Oklahoma County, Oklahoma",405041,4.2
40119,"Payne County, Oklahoma",38626,6.4
40125,"Pottawatomie County, Oklahoma",31297,4.1
40131,"Rogers County, Oklahoma",45106,4.4
40143,"Tulsa County, Oklahoma",329642,4.5
40145,"Wagoner County, Oklahoma",39029,5.1
41003,"Benton County, Oregon",48041,6.0
41005,"Clackamas County, Oregon",217290,4.3
41017,"Deschutes County, Oregon",98523,4.7
41019,"Douglas County, Oregon",47629,6.6
41029,"Jackson County, Oregon",104193,5.4
41033,"Josephine County, Oregon",35122,7.5
41035,"Klamath County, Oregon",28375,9.7
41039,"Lane County, Oregon",188961,5.9
41043,"Linn County, Oregon",59557,6.0
41047,"Marion County, Oregon",167025,5.0
41051,"Multnomah County, Oregon",472517,4.0
41053,"Polk County, Oregon",41550,6.6
41059,"Umatilla County, Oregon",35226,12.1
41067,"Washington County, Oregon",330737,4.0
41071,"Yamhill County, Oregon",51801,3.8
42001,"Adams County, Pennsylvania",52185,4.4
42003,"Allegheny County, Pennsylvania",659917,4.2
42005,"Armstrong County, Pennsylvania",31436,4.4
42007,"Beaver County, Pennsylvania",82901,5.1
42011,"Berks County, Pennsylvania",220904,5.1
42013,"Blair County, Pennsylvania",61492,3.9
42017,"Bucks County, Pennsylvania",351569,4.0
42019,"Butler County, Pennsylvania",97677,4.1
42021,"Cambria County, Pennsylvania",61723,4.3
42025,"Carbon County, Pennsylvania",32596,5.7
42027,"Centre County, Pennsylvania",80023,3.3
42029,"Chester County, Pennsylvania",288783,3.9
42033,"Clearfield County, Pennsylvania",36079,3.9
42037,"Columbia County, Pennsylvania",32742,3.3
42039,"Crawford County, Pennsylvania",40896,5.5
42041,"Cumberland County, Pennsylvania",136221,3.8
42043,"Dauphin County, Pennsylvania",147209,4.3
42045,"Delaware County, Pennsylvania",294367,5.3
