GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",101561,5.5
01015,"Calhoun County, Alabama",51001,7.6
01043,"Cullman County, Alabama",38222,4.7
01049,"DeKalb County, Alabama",34492,4.7
01051,"Elmore County, Alabama",37693,2.8
01055,"Etowah County, Alabama",46379,6.3
01069,"Houston County, Alabama",46730,6.2
01073,"Jefferson County, Alabama",321555,4.8
01077,"Lauderdale County, Alabama",42264,4.3
01081,"Lee County, Alabama",85113,3.7
01083,"Limestone County, Alabama",41548,4.6
01089,"Madison County, Alabama",195878,3.5
01095,"Marshall County, Alabama",42667,2.2
01097,"Mobile County, Alabama",188126,5.4
01101,"Montgomery County, Alabama",113652,5.6
01103,"Morgan County, Alabama",56790,5.7
01115,"St. Clair County, Alabama",42830,5.0
01117,"Shelby County, Alabama",114270,3.3
01121,"Talladega County, Alabama",34923,9.4
01125,"Tuscaloosa County, Alabama",100897,4.7
01127,"Walker County, Alabama",26638,6.0
02020,"Anchorage Municipality, Alaska",159734,5.4
02090,"Fairbanks North Star Borough, Alaska",52480,3.5
02170,"Matanuska-Susitna Borough, Alaska",49557,6.5
04001,"Apache County, Arizona",20284,7.5
04003,"Cochise County, Arizona",50896,4.9
04005,"Coconino County, Arizona",74860,8.5
04013,"Maricopa County, Arizona",2296639,4.4
04015,"Mohave County, Arizona",80659,5.1
04017,"Navajo County, Arizona",38685,9.9
04019,"Pima County, Arizona",499608,5.5
04021,"Pinal County, Arizona",189228,5.2
04025,"Yavapai County, Arizona",98069,4.4
04027,"Yuma County, Arizona",91175,14.8
05007,"Benton County, Arkansas",138454,2.1
05031,"Craighead County, Arkansas",53272,6.1
05045,"Faulkner County, Arkansas",63234,2.2
05051,"Garland County, Arkansas",44856,3.7
05069,"Jefferson County, Arkansas",28656,6.2
05085,"Lonoke County, Arkansas",36120,2.7
05119,"Pulaski County, Arkansas",193561,3.6
05125,"Saline County, Arkansas",61287,4.3
05131,"Sebastian County, Arkansas",61209,6.9
05143,"Washington County, Arkansas",121224,6.2
05145,"White County, Arkansas",33204,4.0
06001,"Alameda County, California",923970,3.9
06007,"Butte County, California",103088,6.8
06013,"Contra Costa County, California",601076,4.0
06017,"El Dorado County, California",95384,4.6
06019,"Fresno County, California",448362,8.3
06023,"Humboldt County, California",68260,6.6
06025,"Imperial County, California",68860,11.3
06029,"Kern County, California",387347,8.0
06031,"Kings County, California",64262,7.1
06033,"Lake County, California",27456,11.8
06037,"Los Angeles County, California",5313215,5.0
06039,"Madera County, California",66253,8.4
06041,"Marin County, California",136409,4.1
06045,"Mendocino County, California",38998,5.2
