GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",114447,2.8
01015,"Calhoun County, Alabama",51356,5.8
01043,"Cullman County, Alabama",43624,2.5
01049,"DeKalb County, Alabama",30926,2.3
01051,"Elmore County, Alabama",41428,8.3
01055,"Etowah County, Alabama",44893,7.5
01069,"Houston County, Alabama",48608,5.0
01073,"Jefferson County, Alabama",325346,5.6
01077,"Lauderdale County, Alabama",44501,3.5
01081,"Lee County, Alabama",87025,3.0
01083,"Limestone County, Alabama",52143,3.5
01089,"Madison County, Alabama",203035,3.4
01095,"Marshall County, Alabama",44706,7.2
01097,"Mobile County, Alabama",191993,7.2
01101,"Montgomery County, Alabama",108025,7.7
01103,"Morgan County, Alabama",54415,3.8
01115,"St. Clair County, Alabama",41441,4.6
01117,"Shelby County, Alabama",120421,2.3
01121,"Talladega County, Alabama",32674,8.9
01125,"Tuscaloosa County, Alabama",112261,5.6
02020,"Anchorage Municipality, Alaska",158296,6.6
02090,"Fairbanks North Star Borough, Alaska",50640,4.6
02170,"Matanuska-Susitna Borough, Alaska",51144,6.0
04001,"Apache County, Arizona",21149,8.8
04003,"Cochise County, Arizona",51951,8.4
04005,"Coconino County, Arizona",74240,7.7
04013,"Maricopa County, Arizona",2315697,5.2
04015,"Mohave County, Arizona",85173,8.7
04017,"Navajo County, Arizona",38969,11.4
04019,"Pima County, Arizona",509247,6.0
04021,"Pinal County, Arizona",190476,5.6
04025,"Yavapai County, Arizona",102239,4.3
04027,"Yuma County, Arizona",88208,9.1
05007,"Benton County, Arkansas",152483,3.8
05031,"Craighead County, Arkansas",53695,6.2
05045,"Faulkner County, Arkansas",61529,2.5
05051,"Garland County, Arkansas",46047,6.8
05069,"Jefferson County, Arkansas",28300,10.2
05085,"Lonoke County, Arkansas",36319,5.9
05119,"Pulaski County, Arkansas",199674,6.2
05125,"Saline County, Arkansas",64991,3.0
05131,"Sebastian County, Arkansas",58934,5.8
05143,"Washington County, Arkansas",127891,3.1
05145,"White County, Arkansas",35931,6.9
06001,"Alameda County, California",899944,6.6
06007,"Butte County, California",101953,8.7
06013,"Contra Costa County, California",608978,7.7
06017,"El Dorado County, California",95478,6.2
06019,"Fresno County, California",463446,9.1
06023,"Humboldt County, California",64100,8.3
06025,"Imperial County, California",69845,14.6
06029,"Kern County, California",396868,10.0
06031,"Kings County, California",63151,12.3
06033,"Lake County, California",28567,11.8
06037,"Los Angeles County, California",5147438,9.3
06039,"Madera County, California",66282,13.9
06041,"Marin County, California",135890,7.5
06045,"Mendocino County, California",41600,9.2
06047,"Merced County, California",122571,14.8
06053,"Monterey County, California",200571,6.8
06055,"Napa County, California",72423,6.4
06057,"Nevada County, California",48586,6.1
06059,"Orange County, California",1682674,7.5
06061,"Placer County, California",199635,4.8
06065,"Riverside County, California",1166009,8.7
06067,"Sacramento County, California",796144,7.6
06069,"San Benito County, California",35092,4.1
06071,"San Bernardino County, California",1039774,8.8
06073,"San Diego County, California",1771060,8.5
06075,"San Francisco County, California",489596,8.4
06077,"San Joaquin County, California",363257,9.0
06079,"San Luis Obispo County, California",138197,7.5
06081,"San Mateo County, California",406948,6.5
06083,"Santa Barbara County, California",222996,7.3
06085,"Santa Clara County, California",1022939,6.0
06087,"Santa Cruz County, California",142218,7.7
06089,"Shasta County, California",81276,8.7
06095,"Solano County, California",226538,7.3
06097,"Sonoma County, California",258482,6.9
06099,"Stanislaus County, California",261645,9.3
06101,"Sutter County, California",46498,11.3
06103,"Tehama County, California",27564,7.5
06107,"Tulare County, California",205840,10.1
06111,"Ventura County, California",437059,7.5
06113,"Yolo County, California",109417,6.5
06115,"Yuba County, California",36686,5.8
08001,"Adams County, Colorado",290885,5.8
08005,"Arapahoe County, Colorado",371046,5.4
08013,"Boulder County, Colorado",186100,5.5
08014,"Broomfield County, Colorado",42811,3.7
08031,"Denver County, Colorado",439661,6.2
08035,"Douglas County, Colorado",214478,4.0
08041,"El Paso County, Colorado",396334,6.2
