GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",92610,5.1
01015,"Calhoun County, Alabama",52750,10.1
01043,"Cullman County, Alabama",32350,4.5
01049,"DeKalb County, Alabama",29884,5.6
01051,"Elmore County, Alabama",35166,4.6
01055,"Etowah County, Alabama",45797,4.6
01069,"Houston County, Alabama",47561,7.8
01073,"Jefferson County, Alabama",332242,7.8
01077,"Lauderdale County, Alabama",40128,6.0
01081,"Lee County, Alabama",77927,5.4
01083,"Limestone County, Alabama",42816,9.1
01089,"Madison County, Alabama",177390,7.2
01095,"Marshall County, Alabama",41099,4.3
01097,"Mobile County, Alabama",187759,6.6
01101,"Montgomery County, Alabama",110471,8.2
01103,"Morgan County, Alabama",54329,6.6
01115,"St. Clair County, Alabama",39031,4.8
01117,"Shelby County, Alabama",106633,4.0
01121,"Talladega County, Alabama",33563,13.2
01125,"Tuscaloosa County, Alabama",91681,5.6
01127,"Walker County, Alabama",25674,11.6
02020,"Anchorage Municipality, Alaska",169764,6.4
02090,"Fairbanks North Star Borough, Alaska",58302,7.9
02170,"Matanuska-Susitna Borough, Alaska",47833,9.0
04001,"Apache County, Arizona",20192,14.4
04003,"Cochise County, Arizona",47017,7.5
04005,"Coconino County, Arizona",71969,8.3
04013,"Maricopa County, Arizona",2054110,5.6
04015,"Mohave County, Arizona",77880,8.2
04017,"Navajo County, Arizona",37957,15.5
04019,"Pima County, Arizona",473420,8.3
04021,"Pinal County, Arizona",150447,9.6
04025,"Yavapai County, Arizona",90020,6.0
04027,"Yuma County, Arizona",85803,12.5
05007,"Benton County, Arkansas",121850,2.9
05031,"Craighead County, Arkansas",51721,6.3
05045,"Faulkner County, Arkansas",60305,5.7
05051,"Garland County, Arkansas",43864,6.1
05069,"Jefferson County, Arkansas",30948,11.2
05085,"Lonoke County, Arkansas",32582,2.8
05119,"Pulaski County, Arkansas",193370,5.2
05125,"Saline County, Arkansas",58284,3.5
05131,"Sebastian County, Arkansas",55770,4.5
05143,"Washington County, Arkansas",112067,5.2
05145,"White County, Arkansas",34884,8.3
06001,"Alameda County, California",884629,5.3
06007,"Butte County, California",103487,10.5
06013,"Contra Costa County, California",573361,6.4
06017,"El Dorado County, California",87632,8.7
06019,"Fresno County, California",441123,9.9
06023,"Humboldt County, California",63773,7.2
06025,"Imperial County, California",72435,16.5
06029,"Kern County, California",389861,11.0
06031,"Kings County, California",62198,8.8
06033,"Lake County, California",27103,9.4
06037,"Los Angeles County, California",5207496,7.2
06039,"Madera County, California",62348,6.3
06041,"Marin County, California",135074,3.5
06045,"Mendocino County, California",41358,12.1
06047,"Merced County, California",111871,12.0
06053,"Monterey County, California",199403,5.7
06055,"Napa County, California",73921,4.4
06057,"Nevada County, California",45039,8.2
06059,"Orange County, California",1653286,5.5
06061,"Placer County, California",178015,6.0
06065,"Riverside County, California",1088015,9.6
06067,"Sacramento County, California",732734,8.3
06071,"San Bernardino County, California",981837,9.5
06073,"San Diego County, California",1735542,6.9
06075,"San Francisco County, California",533829,5.1
06077,"San Joaquin County, California",329462,11.1
06079,"San Luis Obispo County, California",137593,4.9
06081,"San Mateo County, California",422111,5.0
06083,"Santa Barbara County, California",230482,6.2
06085,"Santa Clara County, California",1022447,5.3
06087,"Santa Cruz County, California",139214,5.1
06089,"Shasta County, California",76691,5.7
06095,"Solano County, California",216415,8.7
06097,"Sonoma County, California",266445,5.8
06099,"Stanislaus County, California",243691,11.3
06101,"Sutter County, California",42831,12.5
06107,"Tulare County, California",187639,9.3
06111,"Ventura County, California",438016,6.7
06113,"Yolo County, California",106078,7.9
06115,"Yuba County, California",32244,9.1
08001,"Adams County, Colorado",260779,5.3
08005,"Arapahoe County, Colorado",352139,5.2
08013,"Boulder County, Colorado",181474,5.2
08014,"Broomfield County, Colorado",37836,3.7
08031,"Denver County, Colorado",390590,4.5
08035,"Douglas County, Colorado",178538,3.2
08041,"El Paso County, Colorado",355778,6.3
08059,"Jefferson County, Colorado",321288,4.4
08069,"Larimer County, Colorado",184426,5.2
08077,"Mesa County, Colorado",74906,7.4
08101,"Pueblo County, Colorado",72860,9.7
08123,"Weld County, Colorado",145875,4.5
09001,"Fairfield County, Connecticut",512048,7.7
09003,"Hartford County, Connecticut",480911,7.0
09005,"Litchfield County, Connecticut",102530,5.7
09007,"Middlesex County, Connecticut",92903,5.6
09009,"New Haven County, Connecticut",460175,6.9
09011,"New London County, Connecticut",149771,8.1
09013,"Tolland County, Connecticut",87426,5.0
09015,"Windham County, Connecticut",63894,4.6
10001,"Kent County, Delaware",84207,5.5
10003,"New Castle County, Delaware",295546,5.7
10005,"Sussex County, Delaware",98329,6.4
11001,"District of Columbia, District of Columbia",393578,7.3
12001,"Alachua County, Florida",128618,5.4
12005,"Bay County, Florida",89945,5.2
12009,"Brevard County, Florida",259330,6.1
12011,"Broward County, Florida",1023357,7.8
12015,"Charlotte County, Florida",67533,8.3
12017,"Citrus County, Florida",49248,9.7
12019,"Clay County, Florida",99972,10.3
12021,"Collier County, Florida",159587,4.8
12023,"Columbia County, Florida",29604,9.6
12031,"Duval County, Florida",478180,7.0
12033,"Escambia County, Florida",156406,6.6
12035,"Flagler County, Florida",42353,8.6
12053,"Hernando County, Florida",69765,8.8
12055,"Highlands County, Florida",35066,8.6
12057,"Hillsborough County, Florida",690360,6.8
12061,"Indian River County, Florida",58466,10.0
12069,"Lake County, Florida",136910,5.3
12071,"Lee County, Florida",298915,7.1
12073,"Leon County, Florida",156075,9.0
12081,"Manatee County, Florida",159465,6.9
12083,"Marion County, Florida",125772,11.6
12085,"Martin County, Florida",68869,4.8
12086,"Miami-Dade County, Florida",1351283,6.6
12087,"Monroe County, Florida",42781,3.1
12089,"Nassau County, Florida",35980,8.0
12091,"Okaloosa County, Florida",102534,7.5
12095,"Orange County, Florida",698064,6.1
12097,"Osceola County, Florida",154560,6.9
12099,"Palm Beach County, Florida",702367,6.9
12101,"Pasco County, Florida",217534,6.4
12103,"Pinellas County, Florida",474382,5.8
12105,"Polk County, Florida",283164,8.5
12107,"Putnam County, Florida",28441,12.9
12109,"St. Johns County, Florida",108206,6.0
12111,"St. Lucie County, Florida",131972,8.5
12113,"Santa Rosa County, Florida",79876,6.4
12115,"Sarasota County, Florida",169327,6.2
12117,"Seminole County, Florida",236784,7.4
12119,"Sumter County, Florida",25476,5.2
12127,"Volusia County, Florida",223383,6.1
13013,"Barrow County, Georgia",35726,8.3
13015,"Bartow County, Georgia",48046,3.7
13021,"Bibb County, Georgia",67335,8.2
13031,"Bulloch County, Georgia",33865,6.2
13045,"Carroll County, Georgia",55527,10.2
13047,"Catoosa County, Georgia",32856,5.9
13051,"Chatham County, Georgia",151013,9.3
13057,"Cherokee County, Georgia",125255,3.9
13059,"Clarke County, Georgia",61825,6.4
13063,"Clayton County, Georgia",136029,10.6
13067,"Cobb County, Georgia",408426,5.9
13073,"Columbia County, Georgia",70253,6.9
13077,"Coweta County, Georgia",69613,5.5
13089,"DeKalb County, Georgia",401740,8.2
13095,"Dougherty County, Georgia",40435,15.8
13097,"Douglas County, Georgia",71374,8.8
13113,"Fayette County, Georgia",54271,3.4
13115,"Floyd County, Georgia",43181,7.6
13117,"Forsyth County, Georgia",109465,4.8
13121,"Fulton County, Georgia",547365,7.0
13127,"Glynn County, Georgia",39696,4.6
13135,"Gwinnett County, Georgia",467071,5.9
13139,"Hall County, Georgia",91529,5.0
13151,"Henry County, Georgia",105071,7.4
13153,"Houston County, Georgia",76296,9.5
13179,"Liberty County, Georgia",29821,13.5
13185,"Lowndes County, Georgia",51501,9.7
13215,"Muscogee County, Georgia",94347,10.9
13217,"Newton County, Georgia",52023,9.5
13223,"Paulding County, Georgia",80847,4.8
13245,"Richmond County, Georgia",94055,9.2
13247,"Rockdale County, Georgia",42791,6.8
13285,"Troup County, Georgia",32473,12.4
13295,"Walker County, Georgia",N,N
13297,"Walton County, Georgia",41959,4.1
13313,"Whitfield County, Georgia",50938,4.6
15001,"Hawaii County, Hawaii",90525,6.8
15003,"Honolulu County, Hawaii",538236,4.8
15007,"Kauai County, Hawaii",38367,3.7
15009,"Maui County, Hawaii",87452,4.4
16001,"Ada County, Idaho",224258,5.0
