GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
12071,"Lee County, Florida",334457,5.2
12073,"Leon County, Florida",160031,7.7
12081,"Manatee County, Florida",171165,5.0
12083,"Marion County, Florida",134436,8.3
12085,"Martin County, Florida",70107,6.3
12086,"Miami-Dade County, Florida",1408195,5.9
12087,"Monroe County, Florida",44232,3.6
12089,"Nassau County, Florida",38882,3.3
12091,"Okaloosa County, Florida",103671,5.5
12095,"Orange County, Florida",723188,4.9
12097,"Osceola County, Florida",175509,5.5
12099,"Palm Beach County, Florida",724291,5.9
12101,"Pasco County, Florida",232506,5.3
12103,"Pinellas County, Florida",481504,5.4
12105,"Polk County, Florida",297698,5.3
12107,"Putnam County, Florida",28822,8.9
12109,"St. Johns County, Florida",116992,5.2
12111,"St. Lucie County, Florida",139987,4.9
12113,"Santa Rosa County, Florida",82891,5.2
12115,"Sarasota County, Florida",176814,4.6
12117,"Seminole County, Florida",239788,4.2
12119,"Sumter County, Florida",N,N
12127,"Volusia County, Florida",236923,4.6
12131,"Walton County, Florida",30676,4.5
13013,"Barrow County, Georgia",39690,2.9
13015,"Bartow County, Georgia",53240,3.2
13021,"Bibb County, Georgia",66980,7.1
13031,"Bulloch County, Georgia",37497,8.9
13045,"Carroll County, Georgia",60169,5.0
13047,"Catoosa County, Georgia",N,N
13051,"Chatham County, Georgia",150948,6.6
13057,"Cherokee County, Georgia",130965,4.0
13059,"Clarke County, Georgia",66108,6.3
13063,"Clayton County, Georgia",142567,6.5
13067,"Cobb County, Georgia",409721,4.7
13073,"Columbia County, Georgia",72268,2.7
13077,"Coweta County, Georgia",75936,4.5
13089,"DeKalb County, Georgia",416182,6.5
13095,"Dougherty County, Georgia",40664,13.2
13097,"Douglas County, Georgia",74498,4.6
13113,"Fayette County, Georgia",56040,5.3
13115,"Floyd County, Georgia",44885,5.7
13117,"Forsyth County, Georgia",118446,3.2
13121,"Fulton County, Georgia",575930,5.9
13127,"Glynn County, Georgia",N,N
13135,"Gwinnett County, Georgia",484735,4.2
13139,"Hall County, Georgia",100492,2.9
13151,"Henry County, Georgia",120426,6.2
13153,"Houston County, Georgia",79366,6.9
13157,"Jackson County, Georgia",33234,4.1
13185,"Lowndes County, Georgia",52561,4.7
13215,"Muscogee County, Georgia",89661,10.8
13217,"Newton County, Georgia",52632,5.7
13223,"Paulding County, Georgia",80843,3.4
13245,"Richmond County, Georgia",97475,11.2
13247,"Rockdale County, Georgia",42803,7.3
13255,"Spalding County, Georgia",N,N
13285,"Troup County, Georgia",29630,5.5
13295,"Walker County, Georgia",32469,7.9
13297,"Walton County, Georgia",42731,6.0
13313,"Whitfield County, Georgia",49055,6.3
15001,"Hawaii County, Hawaii",95167,5.5
15003,"Honolulu County, Hawaii",531007,3.9
15007,"Kauai County, Hawaii",38290,3.7
15009,"Maui County, Hawaii",88831,4.4
16001,"Ada County, Idaho",237830,3.1
16005,"Bannock County, Idaho",39914,4.4
16019,"Bonneville County, Idaho",53504,3.2
16027,"Canyon County, Idaho",99445,5.6
16055,"Kootenai County, Idaho",74801,5.2
16083,"Twin Falls County, Idaho",41865,3.1
17001,"Adams County, Illinois",33514,4.4
17019,"Champaign County, Illinois",107202,6.2
17031,"Cook County, Illinois",2759972,7.1
17037,"DeKalb County, Illinois",55371,6.0
17043,"DuPage County, Illinois",515372,4.0
17089,"Kane County, Illinois",282847,5.5
17091,"Kankakee County, Illinois",52930,6.3
17093,"Kendall County, Illinois",65810,5.0
17097,"Lake County, Illinois",380692,5.5
17099,"LaSalle County, Illinois",56419,6.8
17111,"McHenry County, Illinois",175066,4.1
17113,"McLean County, Illinois",90973,2.8
17115,"Macon County, Illinois",51988,9.7
17119,"Madison County, Illinois",135702,5.7
17143,"Peoria County, Illinois",87299,8.9
17161,"Rock Island County, Illinois",72403,6.3
17163,"St. Clair County, Illinois",135751,6.1
17167,"Sangamon County, Illinois",100212,5.6
17179,"Tazewell County, Illinois",65061,5.4
17183,"Vermilion County, Illinois",33672,6.1
17197,"Will County, Illinois",369635,4.7
17199,"Williamson County, Illinois",30367,6.8
17201,"Winnebago County, Illinois",146009,9.8
18003,"Allen County, Indiana",189556,5.2
18005,"Bartholomew County, Indiana",41882,3.4
18011,"Boone County, Indiana",N,N
18019,"Clark County, Indiana",61201,4.5
18035,"Delaware County, Indiana",57805,5.7
18039,"Elkhart County, Indiana",100444,4.0
18043,"Floyd County, Indiana",39209,3.9
18053,"Grant County, Indiana",31109,6.1
18057,"Hamilton County, Indiana",176858,2.8
18059,"Hancock County, Indiana",N,N
18063,"Hendricks County, Indiana",91283,3.4
18067,"Howard County, Indiana",39595,3.7
18081,"Johnson County, Indiana",82326,3.2
18085,"Kosciusko County, Indiana",41709,4.2
18089,"Lake County, Indiana",233441,7.2
18091,"LaPorte County, Indiana",48638,6.2
