GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed
12119,"Sumter County, Florida",N,N
12127,"Volusia County, Florida",213011,10.4
13013,"Barrow County, Georgia",34930,11.4
13015,"Bartow County, Georgia",48884,12.1
13021,"Bibb County, Georgia",70564,11.2
13031,"Bulloch County, Georgia",33438,10.3
13045,"Carroll County, Georgia",54713,12.4
13047,"Catoosa County, Georgia",32657,14.5
13051,"Chatham County, Georgia",139621,9.8
13057,"Cherokee County, Georgia",114928,7.6
13059,"Clarke County, Georgia",60227,10.4
13063,"Clayton County, Georgia",130256,17.0
13067,"Cobb County, Georgia",395706,9.3
13073,"Columbia County, Georgia",65657,8.7
13077,"Coweta County, Georgia",66665,10.5
13089,"DeKalb County, Georgia",379863,12.8
13095,"Dougherty County, Georgia",43529,21.6
13097,"Douglas County, Georgia",67172,10.5
13113,"Fayette County, Georgia",55672,8.4
13115,"Floyd County, Georgia",44072,13.8
13117,"Forsyth County, Georgia",93634,7.0
13121,"Fulton County, Georgia",522062,12.0
13127,"Glynn County, Georgia",40969,10.7
13135,"Gwinnett County, Georgia",432456,9.4
13139,"Hall County, Georgia",87504,9.3
13151,"Henry County, Georgia",105540,12.2
13153,"Houston County, Georgia",74746,12.0
13179,"Liberty County, Georgia",33372,14.4
13185,"Lowndes County, Georgia",57988,14.8
13215,"Muscogee County, Georgia",97385,10.3
13217,"Newton County, Georgia",48475,12.7
13223,"Paulding County, Georgia",73055,11.8
13245,"Richmond County, Georgia",93257,9.9
13247,"Rockdale County, Georgia",40975,14.3
13285,"Troup County, Georgia",32520,14.2
13295,"Walker County, Georgia",28684,10.2
13297,"Walton County, Georgia",39517,9.0
13313,"Whitfield County, Georgia",50369,14.7
15001,"Hawaii County, Hawaii",90774,8.6
15003,"Honolulu County, Hawaii",522482,6.6
15007,"Kauai County, Hawaii",35346,7.4
15009,"Maui County, Hawaii",86765,8.1
16001,"Ada County, Idaho",212117,7.2
16005,"Bannock County, Idaho",41704,7.6
16019,"Bonneville County, Idaho",50749,6.8
16027,"Canyon County, Idaho",91438,9.5
16055,"Kootenai County, Idaho",70402,10.4
16083,"Twin Falls County, Idaho",36934,4.9
17001,"Adams County, Illinois",35215,7.3
17019,"Champaign County, Illinois",110527,6.6
17031,"Cook County, Illinois",2768121,12.1
17037,"DeKalb County, Illinois",56798,11.8
17043,"DuPage County, Illinois",519187,8.4
17089,"Kane County, Illinois",275123,9.7
17091,"Kankakee County, Illinois",56371,9.8
17093,"Kendall County, Illinois",64274,6.1
17097,"Lake County, Illinois",378773,8.7
17099,"LaSalle County, Illinois",58432,11.0
17111,"McHenry County, Illinois",171068,9.8
17113,"McLean County, Illinois",97054,6.0
17115,"Macon County, Illinois",56743,13.1
17119,"Madison County, Illinois",138362,9.0
17143,"Peoria County, Illinois",94201,8.1
17161,"Rock Island County, Illinois",73701,8.5
17163,"St. Clair County, Illinois",131471,9.5
17167,"Sangamon County, Illinois",106215,8.0
17179,"Tazewell County, Illinois",70596,4.6
17183,"Vermilion County, Illinois",36977,13.3
17197,"Will County, Illinois",358669,8.9
17199,"Williamson County, Illinois",31906,9.8
17201,"Winnebago County, Illinois",148521,12.4
18003,"Allen County, Indiana",183708,8.5
18005,"Bartholomew County, Indiana",41400,4.9
18019,"Clark County, Indiana",57285,7.0
18035,"Delaware County, Indiana",56664,13.0
18039,"Elkhart County, Indiana",99617,7.9
18043,"Floyd County, Indiana",40893,9.2
18053,"Grant County, Indiana",32280,8.3
18057,"Hamilton County, Indiana",155741,4.8
18059,"Hancock County, Indiana",37014,5.3
18063,"Hendricks County, Indiana",79986,5.2
18067,"Howard County, Indiana",37651,10.2
18081,"Johnson County, Indiana",76224,7.4
18085,"Kosciusko County, Indiana",40437,8.4
18089,"Lake County, Indiana",239478,12.4
18091,"LaPorte County, Indiana",51296,10.6
18095,"Madison County, Indiana",61205,12.6
18097,"Marion County, Indiana",486318,11.0
18105,"Monroe County, Indiana",73951,8.8
18109,"Morgan County, Indiana",35666,8.2
18127,"Porter County, Indiana",81675,7.3
18141,"St. Joseph County, Indiana",134413,9.8
18157,"Tippecanoe County, Indiana",91965,7.7
18163,"Vanderburgh County, Indiana",94918,6.7
18167,"Vigo County, Indiana",52682,8.6
18177,"Wayne County, Indiana",30474,8.5
19013,"Black Hawk County, Iowa",71804,8.9
19049,"Dallas County, Iowa",37937,2.6
19061,"Dubuque County, Iowa",51526,3.3
19103,"Johnson County, Iowa",79942,2.5
19113,"Linn County, Iowa",118071,5.5
19153,"Polk County, Iowa",248331,6.0
19155,"Pottawattamie County, Iowa",48722,4.4
19163,"Scott County, Iowa",88749,6.9
19169,"Story County, Iowa",52287,6.8
19193,"Woodbury County, Iowa",53170,5.8
20015,"Butler County, Kansas",33427,6.3
20045,"Douglas County, Kansas",65868,6.1
20091,"Johnson County, Kansas",311558,5.4
20103,"Leavenworth County, Kansas",37165,8.8
20161,"Riley County, Kansas",42615,2.7
20173,"Sedgwick County, Kansas",256563,7.3
20177,"Shawnee County, Kansas",92101,7.0
20209,"Wyandotte County, Kansas",80461,12.0
21015,"Boone County, Kentucky",66497,7.1
21029,"Bullitt County, Kentucky",40865,8.6
21037,"Campbell County, Kentucky",49480,6.7
21047,"Christian County, Kentucky",35436,11.7
21059,"Daviess County, Kentucky",47036,7.4
21067,"Fayette County, Kentucky",167578,7.0
21093,"Hardin County, Kentucky",55373,11.0
21111,"Jefferson County, Kentucky",393147,9.6
21117,"Kenton County, Kentucky",86320,9.2
21145,"McCracken County, Kentucky",30632,7.3
21151,"Madison County, Kentucky",43185,10.2
21195,"Pike County, Kentucky",23392,9.1
21227,"Warren County, Kentucky",60357,10.3
22005,"Ascension Parish, Louisiana",57369,5.1
22015,"Bossier Parish, Louisiana",66370,5.9
22017,"Caddo Parish, Louisiana",118438,8.7
22019,"Calcasieu Parish, Louisiana",93458,8.2
22033,"East Baton Rouge Parish, Louisiana",232499,7.6
22045,"Iberia Parish, Louisiana",35847,12.0
22051,"Jefferson Parish, Louisiana",222616,7.5
22055,"Lafayette Parish, Louisiana",122537,6.2
22057,"Lafourche Parish, Louisiana",48419,8.4
