GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Percent Unemployed
01003,"Baldwin County, Alabama",94387,7.2
01015,"Calhoun County, Alabama",53824,10.4
01043,"Cullman County, Alabama",32792,5.7
01049,"DeKalb County, Alabama",28357,4.8
01051,"Elmore County, Alabama",35680,9.6
01055,"Etowah County, Alabama",48100,10.4
01069,"Houston County, Alabama",46456,8.6
01073,"Jefferson County, Alabama",322295,8.8
01077,"Lauderdale County, Alabama",43762,8.1
01081,"Lee County, Alabama",73865,6.5
01083,"Limestone County, Alabama",41757,8.3
01089,"Madison County, Alabama",181256,7.5
01095,"Marshall County, Alabama",40834,7.0
01097,"Mobile County, Alabama",186833,7.9
01101,"Montgomery County, Alabama",113050,9.8
01103,"Morgan County, Alabama",55655,5.6
01115,"St. Clair County, Alabama",42403,5.8
01117,"Shelby County, Alabama",107954,5.8
01121,"Talladega County, Alabama",34922,12.0
01125,"Tuscaloosa County, Alabama",96189,7.6
01127,"Walker County, Alabama",28365,8.5
02020,"Anchorage Municipality, Alaska",171519,5.7
02090,"Fairbanks North Star Borough, Alaska",56811,9.1
02170,"Matanuska-Susitna Borough, Alaska",46277,8.5
04001,"Apache County, Arizona",21868,15.7
04003,"Cochise County, Arizona",52364,8.6
04005,"Coconino County, Arizona",69826,7.7
04013,"Maricopa County, Arizona",1998629,6.8
04015,"Mohave County, Arizona",75430,11.8
04017,"Navajo County, Arizona",39213,21.7
04019,"Pima County, Arizona",478964,9.1
04021,"Pinal County, Arizona",155621,8.2
04025,"Yavapai County, Arizona",87649,10.2
04027,"Yuma County, Arizona",87008,10.6
05007,"Benton County, Arkansas",115579,3.4
05031,"Craighead County, Arkansas",48511,4.7
05045,"Faulkner County, Arkansas",61463,6.7
05051,"Garland County, Arkansas",43725,9.9
05069,"Jefferson County, Arkansas",30466,10.5
05085,"Lonoke County, Arkansas",35701,4.7
05119,"Pulaski County, Arkansas",196031,6.5
05125,"Saline County, Arkansas",56105,5.5
05131,"Sebastian County, Arkansas",60194,5.9
05143,"Washington County, Arkansas",114316,5.7
05145,"White County, Arkansas",34545,6.5
06001,"Alameda County, California",861678,6.7
06007,"Butte County, California",101647,9.6
06013,"Contra Costa County, California",564722,7.9
06017,"El Dorado County, California",87268,8.1
06019,"Fresno County, California",430556,11.6
06023,"Humboldt County, California",65670,10.0
06025,"Imperial County, California",70709,18.4
06029,"Kern County, California",370143,11.0
06031,"Kings County, California",59285,9.9
06033,"Lake County, California",25157,14.0
06037,"Los Angeles County, California",5203679,8.8
06039,"Madera County, California",60443,7.3
06041,"Marin County, California",140599,3.9
06045,"Mendocino County, California",41258,10.6
06047,"Merced County, California",117994,14.3
06053,"Monterey County, California",193170,6.4
06055,"Napa County, California",73116,5.0
06057,"Nevada County, California",45921,8.5
06059,"Orange County, California",1649335,6.4
06061,"Placer County, California",180195,6.3
06065,"Riverside County, California",1072675,11.8
06067,"Sacramento County, California",719585,10.0
06071,"San Bernardino County, California",960270,11.2
06073,"San Diego County, California",1697931,7.5
06075,"San Francisco County, California",525881,6.2
06077,"San Joaquin County, California",326826,11.1
06079,"San Luis Obispo County, California",133464,5.7
06081,"San Mateo County, California",419094,4.8
06083,"Santa Barbara County, California",222561,6.8
06085,"Santa Clara County, California",1013427,6.2
06087,"Santa Cruz County, California",141392,6.4
06089,"Shasta County, California",77986,8.1
06095,"Solano County, California",218014,10.0
06097,"Sonoma County, California",267389,7.0
06099,"Stanislaus County, California",244381,13.9
06101,"Sutter County, California",44708,12.2
06107,"Tulare County, California",192091,8.1
06111,"Ventura County, California",438639,8.0
06113,"Yolo County, California",99548,6.4
06115,"Yuba County, California",31592,13.4
08001,"Adams County, Colorado",254663,5.9
08005,"Arapahoe County, Colorado",342470,5.6
08013,"Boulder County, Colorado",179179,5.9
08031,"Denver County, Colorado",378425,4.7
08035,"Douglas County, Colorado",170905,2.9
08041,"El Paso County, Colorado",344190,7.2
08059,"Jefferson County, Colorado",316301,3.8
08069,"Larimer County, Colorado",177032,5.6
08077,"Mesa County, Colorado",75781,8.2
08101,"Pueblo County, Colorado",73547,11.0
08123,"Weld County, Colorado",145185,5.3
09001,"Fairfield County, Connecticut",512234,7.9
09003,"Hartford County, Connecticut",486119,8.5
09005,"Litchfield County, Connecticut",103083,6.1
09007,"Middlesex County, Connecticut",95764,5.8
09009,"New Haven County, Connecticut",458935,8.8
09011,"New London County, Connecticut",152972,6.4
09013,"Tolland County, Connecticut",87483,6.2
09015,"Windham County, Connecticut",65421,8.0
10001,"Kent County, Delaware",86119,7.1
10003,"New Castle County, Delaware",288554,6.6
10005,"Sussex County, Delaware",101012,6.9
11001,"District of Columbia, District of Columbia",382575,8.9
12001,"Alachua County, Florida",126786,9.2
12005,"Bay County, Florida",85643,9.1
12009,"Brevard County, Florida",254042,9.2
12011,"Broward County, Florida",1000723,8.3
12015,"Charlotte County, Florida",65728,11.7
12017,"Citrus County, Florida",48673,11.6
12019,"Clay County, Florida",98900,11.8
12021,"Collier County, Florida",154741,6.5
12023,"Columbia County, Florida",27119,12.5
12031,"Duval County, Florida",458951,8.4
12033,"Escambia County, Florida",154900,8.2
12035,"Flagler County, Florida",40432,7.0
12053,"Hernando County, Florida",67768,9.2
12055,"Highlands County, Florida",37088,14.8
12057,"Hillsborough County, Florida",683291,7.7
12061,"Indian River County, Florida",61075,9.0
12069,"Lake County, Florida",137308,9.4
12071,"Lee County, Florida",300495,7.2
12073,"Leon County, Florida",157587,10.8
