GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Percent Unemployed
12081,"Manatee County, Florida",156256,6.4
12083,"Marion County, Florida",133752,8.6
12085,"Martin County, Florida",71742,8.1
12086,"Miami-Dade County, Florida",1351570,8.1
12087,"Monroe County, Florida",42876,2.6
12089,"Nassau County, Florida",35800,7.8
12091,"Okaloosa County, Florida",97754,5.1
12095,"Orange County, Florida",667590,7.9
12097,"Osceola County, Florida",145153,8.3
12099,"Palm Beach County, Florida",695597,8.0
12101,"Pasco County, Florida",206080,7.4
12103,"Pinellas County, Florida",456405,6.4
12105,"Polk County, Florida",276404,9.1
12107,"Putnam County, Florida",27204,10.7
12109,"St. Johns County, Florida",107164,6.2
12111,"St. Lucie County, Florida",124180,7.9
12113,"Santa Rosa County, Florida",74608,6.1
12115,"Sarasota County, Florida",169184,4.9
12117,"Seminole County, Florida",232204,7.4
12119,"Sumter County, Florida",27023,9.7
12127,"Volusia County, Florida",223395,7.0
13013,"Barrow County, Georgia",33425,7.0
13015,"Bartow County, Georgia",52048,7.1
13021,"Bibb County, Georgia",68298,15.2
13031,"Bulloch County, Georgia",34857,10.0
13045,"Carroll County, Georgia",54105,11.3
13047,"Catoosa County, Georgia",N,N
13051,"Chatham County, Georgia",143374,9.3
13057,"Cherokee County, Georgia",120061,5.8
13059,"Clarke County, Georgia",57761,8.6
13063,"Clayton County, Georgia",131994,10.6
13067,"Cobb County, Georgia",402309,6.8
13073,"Columbia County, Georgia",66879,6.0
13077,"Coweta County, Georgia",67896,6.2
13089,"DeKalb County, Georgia",392965,9.1
13095,"Dougherty County, Georgia",41733,17.4
13097,"Douglas County, Georgia",67735,8.5
13113,"Fayette County, Georgia",53166,7.9
13115,"Floyd County, Georgia",44569,7.9
13117,"Forsyth County, Georgia",103920,4.8
13121,"Fulton County, Georgia",527605,8.6
13127,"Glynn County, Georgia",39364,5.9
13135,"Gwinnett County, Georgia",455600,6.2
13139,"Hall County, Georgia",92148,4.2
13151,"Henry County, Georgia",103444,9.8
13153,"Houston County, Georgia",68512,7.4
13179,"Liberty County, Georgia",32532,12.0
13185,"Lowndes County, Georgia",55786,11.8
13215,"Muscogee County, Georgia",101923,9.2
13217,"Newton County, Georgia",48158,10.2
13223,"Paulding County, Georgia",76539,5.1
13245,"Richmond County, Georgia",93344,14.3
13247,"Rockdale County, Georgia",40937,10.2
13285,"Troup County, Georgia",32439,9.9
13295,"Walker County, Georgia",30142,9.9
13297,"Walton County, Georgia",40858,11.9
13313,"Whitfield County, Georgia",52626,8.4
15001,"Hawaii County, Hawaii",88485,5.4
15003,"Honolulu County, Hawaii",528833,5.2
15007,"Kauai County, Hawaii",36536,4.0
15009,"Maui County, Hawaii",87672,6.9
16001,"Ada County, Idaho",216396,4.3
16005,"Bannock County, Idaho",39768,6.8
16019,"Bonneville County, Idaho",48555,4.1
16027,"Canyon County, Idaho",91053,7.2
16055,"Kootenai County, Idaho",72008,8.3
16083,"Twin Falls County, Idaho",39226,3.9
17001,"Adams County, Illinois",34552,6.3
17019,"Champaign County, Illinois",110019,5.4
17031,"Cook County, Illinois",2760961,9.7
17037,"DeKalb County, Illinois",58785,8.7
17043,"DuPage County, Illinois",511225,5.8
17089,"Kane County, Illinois",278925,6.4
17091,"Kankakee County, Illinois",55967,7.6
17093,"Kendall County, Illinois",67623,6.9
17097,"Lake County, Illinois",377045,6.3
17099,"LaSalle County, Illinois",52699,10.5
17111,"McHenry County, Illinois",170269,5.6
17113,"McLean County, Illinois",95640,4.8
17115,"Macon County, Illinois",54684,9.9
17119,"Madison County, Illinois",136971,7.7
17143,"Peoria County, Illinois",93644,8.6
17161,"Rock Island County, Illinois",73770,7.8
17163,"St. Clair County, Illinois",125117,7.1
17167,"Sangamon County, Illinois",105381,7.2
17179,"Tazewell County, Illinois",68394,3.9
17183,"Vermilion County, Illinois",36704,11.8
17197,"Will County, Illinois",364972,6.0
17199,"Williamson County, Illinois",31596,5.4
17201,"Winnebago County, Illinois",149302,11.0
18003,"Allen County, Indiana",188269,7.4
18005,"Bartholomew County, Indiana",42716,5.7
18019,"Clark County, Indiana",59872,5.9
18035,"Delaware County, Indiana",58295,7.0
18039,"Elkhart County, Indiana",99187,4.6
18043,"Floyd County, Indiana",40606,6.5
18053,"Grant County, Indiana",31952,7.7
18057,"Hamilton County, Indiana",166221,3.7
18059,"Hancock County, Indiana",N,N
18063,"Hendricks County, Indiana",82992,5.0
18067,"Howard County, Indiana",39388,8.8
18081,"Johnson County, Indiana",75169,6.9
18085,"Kosciusko County, Indiana",39632,5.4
18089,"Lake County, Indiana",240274,11.4
18091,"LaPorte County, Indiana",52877,11.6
18095,"Madison County, Indiana",58839,7.2
18097,"Marion County, Indiana",487449,9.2
18105,"Monroe County, Indiana",76139,7.2
18109,"Morgan County, Indiana",34725,6.4
18127,"Porter County, Indiana",85282,5.4
18141,"St. Joseph County, Indiana",138372,7.3
18157,"Tippecanoe County, Indiana",92030,6.8
18163,"Vanderburgh County, Indiana",91827,5.7
18167,"Vigo County, Indiana",53003,9.2
18177,"Wayne County, Indiana",32245,8.6
19013,"Black Hawk County, Iowa",73595,5.0
19049,"Dallas County, Iowa",45446,3.5
19061,"Dubuque County, Iowa",53577,3.2
19103,"Johnson County, Iowa",79260,3.1
19113,"Linn County, Iowa",119687,3.5
19153,"Polk County, Iowa",258898,4.5
19155,"Pottawattamie County, Iowa",48743,5.1
19163,"Scott County, Iowa",91784,5.1
19169,"Story County, Iowa",53743,4.6
19193,"Woodbury County, Iowa",54812,6.1
20015,"Butler County, Kansas",33249,5.3
20045,"Douglas County, Kansas",64517,6.3
20091,"Johnson County, Kansas",316290,3.8
20103,"Leavenworth County, Kansas",37188,3.1
20161,"Riley County, Kansas",44970,6.5
20173,"Sedgwick County, Kansas",255337,6.1
20177,"Shawnee County, Kansas",89047,4.8
20209,"Wyandotte County, Kansas",76366,9.6
21015,"Boone County, Kentucky",66898,5.9
21029,"Bullitt County, Kentucky",39685,7.4
21037,"Campbell County, Kentucky",48512,5.7
21047,"Christian County, Kentucky",33135,13.8
21059,"Daviess County, Kentucky",45618,5.5
21067,"Fayette County, Kentucky",170516,6.7
21093,"Hardin County, Kentucky",55294,7.1
21111,"Jefferson County, Kentucky",397392,6.8
21117,"Kenton County, Kentucky",86591,6.6
21145,"McCracken County, Kentucky",29777,5.2
21151,"Madison County, Kentucky",44777,8.7
21195,"Pike County, Kentucky",23356,11.3
21227,"Warren County, Kentucky",62018,7.9
22005,"Ascension Parish, Louisiana",61425,5.9
22015,"Bossier Parish, Louisiana",62427,7.1
22017,"Caddo Parish, Louisiana",114417,7.4
22019,"Calcasieu Parish, Louisiana",91275,7.4
22033,"East Baton Rouge Parish, Louisiana",233445,6.5
22045,"Iberia Parish, Louisiana",35366,8.5
22051,"Jefferson Parish, Louisiana",222302,5.8
22055,"Lafayette Parish, Louisiana",126893,4.9
22057,"Lafourche Parish, Louisiana",45964,7.4
22063,"Livingston Parish, Louisiana",64101,5.4
22071,"Orleans Parish, Louisiana",193149,10.3
22073,"Ouachita Parish, Louisiana",70308,7.3
22079,"Rapides Parish, Louisiana",56428,8.6
22097,"St. Landry Parish, Louisiana",28590,6.8
22103,"St. Tammany Parish, Louisiana",121970,6.5
22105,"Tangipahoa Parish, Louisiana",58896,10.4
22109,"Terrebonne Parish, Louisiana",51722,6.9
23001,"Androscoggin County, Maine",57400,5.9
23003,"Aroostook County, Maine",31064,6.4
23005,"Cumberland County, Maine",165121,4.5
23011,"Kennebec County, Maine",62985,6.8
23019,"Penobscot County, Maine",76760,6.4
23031,"York County, Maine",108977,5.3
24001,"Allegany County, Maryland",32734,10.0
24003,"Anne Arundel County, Maryland",316689,5.7
24005,"Baltimore County, Maryland",442773,6.3
24009,"Calvert County, Maryland",50520,12.3
24013,"Carroll County, Maryland",92328,3.1
24015,"Cecil County, Maryland",49874,5.5
24017,"Charles County, Maryland",82434,5.6
24021,"Frederick County, Maryland",136772,5.0
24025,"Harford County, Maryland",137509,5.6
24027,"Howard County, Maryland",175029,4.7
24031,"Montgomery County, Maryland",584986,6.6
24033,"Prince George's County, Maryland",515728,9.1
24037,"St. Mary's County, Maryland",58803,5.3
24043,"Washington County, Maryland",72437,10.8
24045,"Wicomico County, Maryland",53247,6.1
24510,"Baltimore city, Maryland",307422,11.8
25001,"Barnstable County, Massachusetts",111288,5.8
25003,"Berkshire County, Massachusetts",70848,8.6
25005,"Bristol County, Massachusetts",297841,6.8
25009,"Essex County, Massachusetts",417070,6.8
25011,"Franklin County, Massachusetts",39756,5.0
25013,"Hampden County, Massachusetts",237685,9.4
25015,"Hampshire County, Massachusetts",90495,8.0
25017,"Middlesex County, Massachusetts",893985,5.1
25021,"Norfolk County, Massachusetts",390975,6.6
25023,"Plymouth County, Massachusetts",276889,6.6
25025,"Suffolk County, Massachusetts",436865,8.3
25027,"Worcester County, Massachusetts",443614,6.9
26005,"Allegan County, Michigan",55698,4.2
26017,"Bay County, Michigan",49558,7.9
26021,"Berrien County, Michigan",76000,6.6
26025,"Calhoun County, Michigan",61695,8.5
26037,"Clinton County, Michigan",38001,5.7
26045,"Eaton County, Michigan",56208,6.8
26049,"Genesee County, Michigan",181066,11.9
26055,"Grand Traverse County, Michigan",47316,5.3
26065,"Ingham County, Michigan",147565,7.1
26073,"Isabella County, Michigan",38174,9.3
26075,"Jackson County, Michigan",73574,9.7
26077,"Kalamazoo County, Michigan",135229,7.6
26081,"Kent County, Michigan",330895,6.0
26087,"Lapeer County, Michigan",41141,9.0
26091,"Lenawee County, Michigan",47433,6.7
26093,"Livingston County, Michigan",98040,6.1
26099,"Macomb County, Michigan",439551,7.0
26103,"Marquette County, Michigan",31218,8.7
26111,"Midland County, Michigan",41522,8.1
26115,"Monroe County, Michigan",73603,6.5
26121,"Muskegon County, Michigan",77912,11.6
26125,"Oakland County, Michigan",657723,6.3
26139,"Ottawa County, Michigan",150336,5.4
26145,"Saginaw County, Michigan",91520,9.0
26147,"St. Clair County, Michigan",77463,8.7
26155,"Shiawassee County, Michigan",33257,8.5
26159,"Van Buren County, Michigan",35546,7.9
26161,"Washtenaw County, Michigan",190734,5.8
26163,"Wayne County, Michigan",819566,12.8
27003,"Anoka County, Minnesota",195036,5.2
27013,"Blue Earth County, Minnesota",37417,3.9
27019,"Carver County, Minnesota",55924,2.7
27037,"Dakota County, Minnesota",240276,3.4
27053,"Hennepin County, Minnesota",699797,5.0
27109,"Olmsted County, Minnesota",82828,5.0
27123,"Ramsey County, Minnesota",288844,6.0
27131,"Rice County, Minnesota",35351,4.3
27137,"St. Louis County, Minnesota",102586,5.9
27139,"Scott County, Minnesota",79057,4.0
27141,"Sherburne County, Minnesota",50282,4.1
27145,"Stearns County, Minnesota",89198,5.7
27163,"Washington County, Minnesota",138526,5.5
27171,"Wright County, Minnesota",71083,3.3
28033,"DeSoto County, Mississippi",92143,6.9
28035,"Forrest County, Mississippi",37443,16.2
28047,"Harrison County, Mississippi",97566,9.1
28049,"Hinds County, Mississippi",117420,9.3
28059,"Jackson County, Mississippi",63754,8.5
28067,"Jones County, Mississippi",27356,7.3
28075,"Lauderdale County, Mississippi",35859,7.7
28081,"Lee County, Mississippi",39891,6.6
28089,"Madison County, Mississippi",52400,4.1
28121,"Rankin County, Mississippi",75261,4.4
29019,"Boone County, Missouri",97608,4.2
29021,"Buchanan County, Missouri",46035,7.7
29031,"Cape Girardeau County, Missouri",41136,6.2
29037,"Cass County, Missouri",50105,6.9
29043,"Christian County, Missouri",41241,4.5
29047,"Clay County, Missouri",126077,4.9
29051,"Cole County, Missouri",36566,5.7
29071,"Franklin County, Missouri",52226,4.6
29077,"Greene County, Missouri",143098,6.3
29095,"Jackson County, Missouri",353883,6.5
29097,"Jasper County, Missouri",59714,6.2
29099,"Jefferson County, Missouri",114085,6.8
29165,"Platte County, Missouri",53140,5.0
29183,"St. Charles County, Missouri",211207,4.6
29187,"St. Francois County, Missouri",28374,8.9
29189,"St. Louis County, Missouri",525816,6.5
29510,"St. Louis city, Missouri",167181,12.0
30013,"Cascade County, Montana",41188,3.9
30029,"Flathead County, Montana",47451,4.7
30031,"Gallatin County, Montana",55592,5.2
30049,"Lewis and Clark County, Montana",35095,4.4
30063,"Missoula County, Montana",64741,5.2
30111,"Yellowstone County, Montana",83518,3.1
31055,"Douglas County, Nebraska",297734,5.4
31109,"Lancaster County, Nebraska",170463,4.0
31153,"Sarpy County, Nebraska",98705,3.4
32003,"Clark County, Nevada",1054335,9.4
32031,"Washoe County, Nevada",226811,7.7
33005,"Cheshire County, New Hampshire",42146,4.6
33009,"Grafton County, New Hampshire",47279,4.1
33011,"Hillsborough County, New Hampshire",231802,5.4
33013,"Merrimack County, New Hampshire",80323,4.5
33015,"Rockingham County, New Hampshire",176147,5.3
33017,"Strafford County, New Hampshire",70357,4.7
34001,"Atlantic County, New Jersey",146098,11.4
34003,"Bergen County, New Jersey",500163,5.3
34005,"Burlington County, New Jersey",244796,7.7
34007,"Camden County, New Jersey",269385,8.2
34009,"Cape May County, New Jersey",48041,9.9
34011,"Cumberland County, New Jersey",71245,7.9
34013,"Essex County, New Jersey",418928,11.6
34015,"Gloucester County, New Jersey",159010,7.5
34017,"Hudson County, New Jersey",376124,7.8
34019,"Hunterdon County, New Jersey",68887,5.0
34021,"Mercer County, New Jersey",196527,8.3
34023,"Middlesex County, New Jersey",443021,6.8
34025,"Monmouth County, New Jersey",333604,5.8
34027,"Morris County, New Jersey",282612,5.7
34029,"Ocean County, New Jersey",271260,8.4
34031,"Passaic County, New Jersey",248972,6.6
34033,"Salem County, New Jersey",33040,9.5
34035,"Somerset County, New Jersey",182162,4.6
34037,"Sussex County, New Jersey",81074,7.7
34039,"Union County, New Jersey",300606,8.3
34041,"Warren County, New Jersey",58739,8.2
35001,"Bernalillo County, New Mexico",338126,8.4
35005,"Chaves County, New Mexico",27974,7.7
35013,"Doña Ana County, New Mexico",100822,10.3
35025,"Lea County, New Mexico",31492,4.0
35031,"McKinley County, New Mexico",27865,18.8
35035,"Otero County, New Mexico",28495,9.8
35043,"Sandoval County, New Mexico",68148,9.3
35045,"San Juan County, New Mexico",56303,9.5
35049,"Santa Fe County, New Mexico",74862,6.8
35061,"Valencia County, New Mexico",30895,14.4
36001,"Albany County, New York",166147,5.9
36005,"Bronx County, New York",648994,11.9
36007,"Broome County, New York",93639,6.5
36009,"Cattaraugus County, New York",36976,7.7
36011,"Cayuga County, New York",39453,6.5
36013,"Chautauqua County, New York",61451,9.0
36015,"Chemung County, New York",38894,3.9
36019,"Clinton County, New York",39102,4.5
36027,"Dutchess County, New York",159983,8.2
36029,"Erie County, New York",472745,5.9
36045,"Jefferson County, New York",59831,9.2
36047,"Kings County, New York",1314978,8.6
36051,"Livingston County, New York",31620,6.2
36053,"Madison County, New York",34864,5.8
36055,"Monroe County, New York",393727,7.2
36059,"Nassau County, New York",713768,5.4
36061,"New York County, New York",954970,6.6
36063,"Niagara County, New York",107121,6.3
36065,"Oneida County, New York",112452,7.5
36067,"Onondaga County, New York",238727,7.5
36069,"Ontario County, New York",57344,5.5
36071,"Orange County, New York",186171,6.0
36075,"Oswego County, New York",58098,9.8
36079,"Putnam County, New York",55948,7.2
36081,"Queens County, New York",1212824,7.7
36083,"Rensselaer County, New York",87228,6.9
36085,"Richmond County, New York",222709,6.2
36087,"Rockland County, New York",160874,5.8
36089,"St. Lawrence County, New York",49957,8.1
36091,"Saratoga County, New York",123478,4.5
36093,"Schenectady County, New York",79101,6.4
36101,"Steuben County, New York",47430,7.4
36103,"Suffolk County, New York",784217,5.7
36105,"Sullivan County, New York",36674,8.0
36109,"Tompkins County, New York",51534,7.2
36111,"Ulster County, New York",93358,8.9
36113,"Warren County, New York",32781,5.2
36117,"Wayne County, New York",44776,8.4
36119,"Westchester County, New York",508320,6.9
37001,"Alamance County, North Carolina",77077,7.0
37019,"Brunswick County, North Carolina",54520,7.4
37021,"Buncombe County, North Carolina",126348,5.6
37023,"Burke County, North Carolina",42156,13.6
37025,"Cabarrus County, North Carolina",103086,10.0
37027,"Caldwell County, North Carolina",38531,8.4
37031,"Carteret County, North Carolina",34058,8.5
37035,"Catawba County, North Carolina",75448,6.4
37037,"Chatham County, North Carolina",31392,6.6
37045,"Cleveland County, North Carolina",43450,12.6
37049,"Craven County, North Carolina",52159,11.4
37051,"Cumberland County, North Carolina",160224,9.6
37057,"Davidson County, North Carolina",79339,9.1
37063,"Durham County, North Carolina",154109,6.1
37067,"Forsyth County, North Carolina",180656,9.5
37071,"Gaston County, North Carolina",101377,9.2
37081,"Guilford County, North Carolina",257683,7.1
37085,"Harnett County, North Carolina",55484,12.8
37089,"Henderson County, North Carolina",50189,3.7
37097,"Iredell County, North Carolina",87056,8.6
37101,"Johnston County, North Carolina",87378,7.0
37109,"Lincoln County, North Carolina",38293,9.8
37119,"Mecklenburg County, North Carolina",571687,8.5
37125,"Moore County, North Carolina",42455,5.3
37127,"Nash County, North Carolina",45290,10.9
37129,"New Hanover County, North Carolina",116710,7.7
37133,"Onslow County, North Carolina",100600,10.1
37135,"Orange County, North Carolina",77243,7.1
37147,"Pitt County, North Carolina",92247,12.6
37151,"Randolph County, North Carolina",68112,6.0
37155,"Robeson County, North Carolina",51291,12.1
37157,"Rockingham County, North Carolina",43412,7.5
37159,"Rowan County, North Carolina",64570,9.8
37161,"Rutherford County, North Carolina",26673,9.3
37171,"Surry County, North Carolina",32724,6.2
37179,"Union County, North Carolina",109647,7.7
37183,"Wake County, North Carolina",554146,5.3
37191,"Wayne County, North Carolina",58636,11.5
37193,"Wilkes County, North Carolina",30172,10.2
37195,"Wilson County, North Carolina",37022,8.2
38015,"Burleigh County, North Dakota",51386,2.4
38017,"Cass County, North Dakota",99611,3.4
38035,"Grand Forks County, North Dakota",40167,3.8
38101,"Ward County, North Dakota",41343,2.6
39003,"Allen County, Ohio",51644,9.5
39007,"Ashtabula County, Ohio",43891,6.2
39013,"Belmont County, Ohio",32021,9.0
39017,"Butler County, Ohio",194333,6.4
39023,"Clark County, Ohio",66363,8.9
39025,"Clermont County, Ohio",104380,5.5
39029,"Columbiana County, Ohio",50852,8.8
39035,"Cuyahoga County, Ohio",648094,10.0
39041,"Delaware County, Ohio",100608,2.7
39043,"Erie County, Ohio",38806,6.3
39045,"Fairfield County, Ohio",74029,4.6
39049,"Franklin County, Ohio",679335,6.0
39055,"Geauga County, Ohio",48932,4.3
39057,"Greene County, Ohio",83917,6.4
39061,"Hamilton County, Ohio",425485,8.4
39063,"Hancock County, Ohio",38919,5.3
39081,"Jefferson County, Ohio",30038,13.3
39085,"Lake County, Ohio",125213,5.3
39089,"Licking County, Ohio",88805,4.8
39093,"Lorain County, Ohio",150901,7.8
39095,"Lucas County, Ohio",217885,8.1
39099,"Mahoning County, Ohio",114231,8.1
39101,"Marion County, Ohio",28041,8.8
39103,"Medina County, Ohio",96667,4.7
39109,"Miami County, Ohio",53079,3.8
39113,"Montgomery County, Ohio",263095,9.1
39119,"Muskingum County, Ohio",38684,8.2
39133,"Portage County, Ohio",90856,8.5
39139,"Richland County, Ohio",53922,8.4
39141,"Ross County, Ohio",33562,12.8
39145,"Scioto County, Ohio",30735,8.3
39151,"Stark County, Ohio",189668,6.5
39153,"Summit County, Ohio",283356,6.7
39155,"Trumbull County, Ohio",94443,5.9
39157,"Tuscarawas County, Ohio",46645,4.7
39165,"Warren County, Ohio",111071,5.0
39169,"Wayne County, Ohio",55775,4.6
39173,"Wood County, Ohio",70257,6.1
40017,"Canadian County, Oklahoma",69015,5.0
40027,"Cleveland County, Oklahoma",142978,4.1
40031,"Comanche County, Oklahoma",60756,9.2
40037,"Creek County, Oklahoma",32517,3.1
40101,"Muskogee County, Oklahoma",29624,6.3
40109,"Oklahoma County, Oklahoma",386949,6.1
40119,"Payne County, Oklahoma",38678,7.0
40125,"Pottawatomie County, Oklahoma",31918,7.4
40131,"Rogers County, Oklahoma",44840,3.9
40143,"Tulsa County, Oklahoma",327319,5.3
40145,"Wagoner County, Oklahoma",37761,5.1
41003,"Benton County, Oregon",43769,8.0
41005,"Clackamas County, Oregon",205384,6.6
41017,"Deschutes County, Oregon",85027,6.6
41019,"Douglas County, Oregon",44800,13.4
41029,"Jackson County, Oregon",97553,8.8
41033,"Josephine County, Oregon",31815,6.7
41035,"Klamath County, Oregon",28280,9.8
41039,"Lane County, Oregon",176884,7.5
41043,"Linn County, Oregon",54408,11.2
41047,"Marion County, Oregon",152323,8.6
41051,"Multnomah County, Oregon",437055,7.7
41053,"Polk County, Oregon",37980,12.8
41059,"Umatilla County, Oregon",33333,7.7
41067,"Washington County, Oregon",300255,6.8
41071,"Yamhill County, Oregon",47648,8.3
42001,"Adams County, Pennsylvania",52101,5.3
42003,"Allegheny County, Pennsylvania",659431,6.6
42005,"Armstrong County, Pennsylvania",32725,5.9
42007,"Beaver County, Pennsylvania",85074,5.9
42011,"Berks County, Pennsylvania",217005,8.7
42013,"Blair County, Pennsylvania",61984,6.2
42017,"Bucks County, Pennsylvania",348434,6.1
42019,"Butler County, Pennsylvania",97809,5.4
42021,"Cambria County, Pennsylvania",64080,8.4
42025,"Carbon County, Pennsylvania",32480,7.1
42027,"Centre County, Pennsylvania",78107,4.6
42029,"Chester County, Pennsylvania",281058,5.1
42033,"Clearfield County, Pennsylvania",35582,7.2
42037,"Columbia County, Pennsylvania",30774,4.5
42039,"Crawford County, Pennsylvania",41304,7.2
42041,"Cumberland County, Pennsylvania",129593,4.2
42043,"Dauphin County, Pennsylvania",140224,5.7
42045,"Delaware County, Pennsylvania",289269,7.4
42049,"Erie County, Pennsylvania",136410,6.8
42051,"Fayette County, Pennsylvania",58971,9.2
42055,"Franklin County, Pennsylvania",74715,5.3
42063,"Indiana County, Pennsylvania",41655,7.3
42069,"Lackawanna County, Pennsylvania",99840,5.9
42071,"Lancaster County, Pennsylvania",277738,4.2
42073,"Lawrence County, Pennsylvania",42900,6.4
42075,"Lebanon County, Pennsylvania",69529,7.3
42077,"Lehigh County, Pennsylvania",189358,8.7
