GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",93631,3.6
01015,"Calhoun County, Alabama",51933,9.3
01043,"Cullman County, Alabama",34442,4.7
01049,"DeKalb County, Alabama",31290,5.0
01051,"Elmore County, Alabama",36129,4.9
01055,"Etowah County, Alabama",43758,6.4
01069,"Houston County, Alabama",47031,7.3
01073,"Jefferson County, Alabama",328963,6.9
01077,"Lauderdale County, Alabama",42193,7.3
01081,"Lee County, Alabama",80358,5.8
01083,"Limestone County, Alabama",41034,5.7
01089,"Madison County, Alabama",188003,4.7
01095,"Marshall County, Alabama",40566,6.4
01097,"Mobile County, Alabama",187197,6.1
01101,"Montgomery County, Alabama",112085,7.2
01103,"Morgan County, Alabama",51890,5.1
01115,"St. Clair County, Alabama",41755,5.0
01117,"Shelby County, Alabama",108596,3.9
01121,"Talladega County, Alabama",33138,7.8
01125,"Tuscaloosa County, Alabama",104157,7.4
01127,"Walker County, Alabama",25426,13.1
02020,"Anchorage Municipality, Alaska",169999,5.2
02090,"Fairbanks North Star Borough, Alaska",59300,10.3
02170,"Matanuska-Susitna Borough, Alaska",51672,13.2
04001,"Apache County, Arizona",21751,10.9
04003,"Cochise County, Arizona",49907,7.6
04005,"Coconino County, Arizona",71727,8.7
04013,"Maricopa County, Arizona",2115708,5.4
04015,"Mohave County, Arizona",77390,9.6
04017,"Navajo County, Arizona",38182,12.6
04019,"Pima County, Arizona",478889,8.1
04021,"Pinal County, Arizona",162506,8.8
04025,"Yavapai County, Arizona",90680,5.3
04027,"Yuma County, Arizona",88608,10.6
05007,"Benton County, Arkansas",126871,1.7
05031,"Craighead County, Arkansas",52143,9.4
05045,"Faulkner County, Arkansas",56949,3.6
05051,"Garland County, Arkansas",46673,7.6
05069,"Jefferson County, Arkansas",27017,8.1
05085,"Lonoke County, Arkansas",35646,3.2
05119,"Pulaski County, Arkansas",193201,4.8
05125,"Saline County, Arkansas",60799,3.6
05131,"Sebastian County, Arkansas",59618,4.7
05143,"Washington County, Arkansas",111767,3.1
05145,"White County, Arkansas",34295,5.9
06001,"Alameda County, California",890169,4.5
06007,"Butte County, California",101879,8.6
06013,"Contra Costa County, California",585162,5.9
06017,"El Dorado County, California",86492,6.5
06019,"Fresno County, California",434861,9.5
06023,"Humboldt County, California",67789,8.7
06025,"Imperial County, California",71234,13.7
06029,"Kern County, California",382964,11.4
06031,"Kings County, California",65544,6.8
06033,"Lake County, California",N,N
06037,"Los Angeles County, California",5236123,6.6
06039,"Madera County, California",63490,11.0
06041,"Marin County, California",137042,4.2
06045,"Mendocino County, California",41544,10.3
06047,"Merced County, California",117068,14.4
06053,"Monterey County, California",203786,4.6
06055,"Napa County, California",77603,4.9
06057,"Nevada County, California",43641,5.0
06059,"Orange County, California",1671672,5.0
06061,"Placer County, California",184858,4.8
06065,"Riverside County, California",1097798,8.3
06067,"Sacramento County, California",738505,6.6
06071,"San Bernardino County, California",981743,8.6
06073,"San Diego County, California",1747695,6.2
06075,"San Francisco County, California",535903,4.5
06077,"San Joaquin County, California",335515,8.8
06079,"San Luis Obispo County, California",143136,3.8
06081,"San Mateo County, California",428635,3.3
06083,"Santa Barbara County, California",230628,5.8
06085,"Santa Clara County, California",1028347,4.7
06087,"Santa Cruz County, California",144910,5.8
06089,"Shasta County, California",77556,6.1
06095,"Solano County, California",223546,6.6
06097,"Sonoma County, California",268503,4.5
06099,"Stanislaus County, California",251509,10.4
06101,"Sutter County, California",43550,8.7
06107,"Tulare County, California",190051,8.7
06111,"Ventura County, California",443035,5.0
06113,"Yolo County, California",101600,6.2
06115,"Yuba County, California",33251,8.7
08001,"Adams County, Colorado",266785,3.8
08005,"Arapahoe County, Colorado",356472,3.8
08013,"Boulder County, Colorado",179709,4.7
08014,"Broomfield County, Colorado",37413,4.4
