GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
01003,"Baldwin County, Alabama",117259,3.0
01015,"Calhoun County, Alabama",53438,6.4
01043,"Cullman County, Alabama",43353,5.9
01049,"DeKalb County, Alabama",32603,3.5
01051,"Elmore County, Alabama",44649,3.8
01055,"Etowah County, Alabama",47064,6.1
01069,"Houston County, Alabama",51389,3.8
01073,"Jefferson County, Alabama",327728,3.7
01077,"Lauderdale County, Alabama",46442,2.9
01081,"Lee County, Alabama",90490,3.7
01083,"Limestone County, Alabama",54374,1.8
01089,"Madison County, Alabama",214297,4.2
01095,"Marshall County, Alabama",43660,3.9
01097,"Mobile County, Alabama",190373,5.5
01101,"Montgomery County, Alabama",107603,5.8
01103,"Morgan County, Alabama",58355,2.5
01115,"St. Clair County, Alabama",45586,3.2
01117,"Shelby County, Alabama",124897,2.3
01121,"Talladega County, Alabama",34914,5.7
01125,"Tuscaloosa County, Alabama",117033,5.2
02020,"Anchorage Municipality, Alaska",159113,4.1
02090,"Fairbanks North Star Borough, Alaska",50642,2.7
02170,"Matanuska-Susitna Borough, Alaska",54054,5.9
04001,"Apache County, Arizona",22481,11.0
04003,"Cochise County, Arizona",49831,4.9
04005,"Coconino County, Arizona",73018,4.1
04013,"Maricopa County, Arizona",2380616,3.7
04015,"Mohave County, Arizona",84883,6.9
04017,"Navajo County, Arizona",40519,6.4
04019,"Pima County, Arizona",506303,4.9
04021,"Pinal County, Arizona",207119,5.5
04025,"Yavapai County, Arizona",100282,3.2
04027,"Yuma County, Arizona",85002,6.2
05007,"Benton County, Arkansas",159649,2.4
05031,"Craighead County, Arkansas",56611,3.7
05045,"Faulkner County, Arkansas",59144,4.0
05051,"Garland County, Arkansas",46564,2.8
05069,"Jefferson County, Arkansas",26746,5.4
05085,"Lonoke County, Arkansas",34971,2.6
05119,"Pulaski County, Arkansas",195942,4.5
05125,"Saline County, Arkansas",61763,4.3
05131,"Sebastian County, Arkansas",61578,6.9
05143,"Washington County, Arkansas",131359,4.2
05145,"White County, Arkansas",35627,7.0
06001,"Alameda County, California",894323,4.1
06007,"Butte County, California",100853,5.7
06013,"Contra Costa County, California",605279,5.1
06017,"El Dorado County, California",92612,3.0
06019,"Fresno County, California",483966,7.1
06023,"Humboldt County, California",67731,8.3
06025,"Imperial County, California",72775,11.7
06029,"Kern County, California",405530,7.0
06031,"Kings County, California",65544,8.4
06033,"Lake County, California",26534,10.8
06037,"Los Angeles County, California",5192293,5.8
06039,"Madera County, California",68421,9.5
06041,"Marin County, California",133906,6.7
06045,"Mendocino County, California",42113,6.5
06047,"Merced County, California",131376,10.0
06053,"Monterey County, California",197249,4.7
