GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,Unnamed: 52,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,73991995,217875,2058931,24147,701419,13499,618542,11511,643608,10785,591640,10038,718559,13245,535952,10846,1384152,17545,1718180,20178,1980069,21910,2265623,23848,2674480,29095,2346366,24094,5908425,40602,5329964,34899,6407786,37303,4458996,29270,7538801,46486,5892370,35670,7718759,41109,4217998,26539,4727229,30874,1783156,19731,1770990,18288,,181200,337
0500000US01003,"Baldwin County, Alabama",51657,2704,1483,615,412,280,287,186,467,481,204,208,244,204,208,198,496,343,1327,585,771,363,1931,677,912,456,933,471,5095,1271,4773,1059,5347,1383,4557,1245,7172,1573,4919,1473,4369,1193,2382,969,2270,671,919,605,179,171,,180100,10176
0500000US01015,"Calhoun County, Alabama",31712,1684,789,385,917,428,701,446,1013,414,756,411,1080,474,150,128,1118,459,1221,455,1125,501,1760,599,1938,638,2003,617,4956,1086,2887,607,2848,799,1536,554,1427,495,1626,526,1355,573,321,305,63,85,67,80,55,92,,106500,5581
0500000US01043,"Cullman County, Alabama",22670,1659,1244,424,297,217,292,222,264,182,394,273,207,247,209,270,742,415,919,479,1721,639,1666,645,1524,686,1211,465,1780,668,2101,640,2171,675,862,455,2100,824,1181,502,707,321,249,190,535,298,189,160,105,118,,109100,16469
0500000US01049,"DeKalb County, Alabama",17702,1319,200,209,487,366,943,504,307,212,269,198,1465,775,270,253,969,444,673,332,1278,482,691,409,1261,518,771,487,1838,572,978,477,1578,468,736,399,893,405,458,304,679,485,296,321,107,132,90,133,465,301,,90500,10225
0500000US01051,"Elmore County, Alabama",22556,1368,977,543,308,228,0,189,347,241,556,421,362,263,214,222,644,438,722,398,682,332,321,215,738,381,1383,627,1249,503,2745,853,2718,795,1477,462,2416,694,2550,923,957,366,470,524,404,277,201,143,115,131,,150300,9009
0500000US01055,"Etowah County, Alabama",27078,1524,898,343,307,215,0,189,614,332,651,367,1505,589,679,374,1712,637,1375,430,881,360,1114,488,1986,761,1881,633,3073,873,2416,743,2483,785,1190,480,1990,615,684,316,624,321,427,322,219,177,143,170,226,145,,99700,6589
0500000US01069,"Houston County, Alabama",25392,753,896,221,292,129,444,149,320,142,151,72,349,130,412,166,951,393,947,250,1250,355,1448,327,1595,306,1402,226,3275,479,2199,309,2324,422,1476,379,2077,368,1376,281,1556,390,334,173,134,74,120,57,64,49,,117100,4766
0500000US01073,"Jefferson County, Alabama",161323,3354,4097,746,1773,659,1276,489,1633,624,1442,558,1720,659,2029,687,5833,1350,6975,1084,7697,1332,8303,1362,8361,1393,5788,1002,14798,1878,12788,1652,12694,1494,10244,1700,16833,1863,10872,1537,11666,1376,4412,883,6007,1046,2266,619,1816,644,,142500,5694
