GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M,Unnamed: 56,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,85685869,259497,1183521,19779,485960,13474,433276,11454,510949,12750,430894,9555,491699,11976,317079,9442,765939,16885,955065,14425,910259,15904,1028365,16007,1223327,19632,961640,16567,3200725,28621,2364065,29161,4016313,35606,3164344,36044,7522427,50770,7495088,46995,13395777,61807,9814593,61275,13107588,62034,5840585,36397,3268304,27867,1201509,18511,1596578,20852,,340200,571
0500000US01003,"Baldwin County, Alabama",79134,3382,403,307,744,531,415,495,549,358,142,183,1061,843,252,250,744,479,605,429,313,324,1089,699,147,168,646,696,2820,893,446,356,3597,1068,3299,1139,8273,1759,12716,2032,18596,2287,7154,1485,8826,1851,3610,913,1636,805,40,58,1011,599,,307000,11362
0500000US01015,"Calhoun County, Alabama",31834,1877,417,316,277,226,215,174,348,359,569,331,602,280,51,88,601,371,1805,548,1028,581,877,353,1262,502,980,395,2698,867,2690,794,3423,810,1840,610,3350,767,2996,873,3386,1056,1196,712,547,333,249,311,160,123,267,333,0,210,,160900,9679
0500000US01043,"Cullman County, Alabama",28432,1518,897,489,204,174,157,137,296,228,136,162,283,211,141,153,160,135,1216,564,497,258,399,237,935,573,130,130,1461,664,1518,735,2777,997,2755,1017,3157,819,2643,723,4347,1247,1341,643,1884,702,654,359,371,316,0,210,73,125,,204000,21367
0500000US01049,"DeKalb County, Alabama",22303,1415,438,336,161,105,113,116,772,406,416,399,242,195,644,506,683,473,1342,653,430,326,1232,638,662,399,412,255,2408,773,615,312,2139,692,780,394,3092,838,1614,599,1673,487,660,299,954,513,93,101,165,160,0,210,563,463,,156800,14079
0500000US01051,"Elmore County, Alabama",25594,1569,736,512,128,162,82,113,526,664,165,173,0,210,35,56,254,218,249,199,397,325,1039,530,400,264,31,41,1481,664,866,516,1618,592,2571,1136,3707,1035,3115,1019,4150,1005,1727,767,1639,782,366,319,269,299,43,75,0,210,,229900,18738
0500000US01055,"Etowah County, Alabama",29847,1605,284,242,352,244,212,191,1080,669,91,82,621,340,231,159,689,464,859,571,732,393,811,540,700,419,706,427,1177,439,1628,668,3833,1139,1740,753,5018,1089,3132,860,2431,615,1789,729,1131,441,388,307,77,141,95,125,40,66,,188200,18797
0500000US01069,"Houston County, Alabama",27794,1162,707,236,328,157,316,212,201,174,175,139,406,247,52,44,540,302,198,93,694,248,880,333,1179,386,844,263,2011,678,2003,422,2431,475,1920,430,3517,513,2919,618,3468,889,1707,380,984,420,158,84,116,132,14,23,26,31,,187100,13459
0500000US01073,"Jefferson County, Alabama",171002,4568,2369,869,1489,731,793,657,1314,491,1081,595,1224,534,1037,510,2893,1001,2812,934,3106,825,4814,1092,4351,1085,2822,726,11741,1706,7210,1619,10917,1880,9846,1576,15986,2348,15105,1896,28330,2665,14508,2098,13964,2106,5697,1205,4121,1138,1407,786,2065,874,,249000,9183
