GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M,Unnamed: 56,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0100000US,United States,83396988,187164,1168821,18409,542376,13566,500055,13223,541408,12780,466573,13028,521662,11783,378563,11424,892941,15221,1099186,16237,1201725,18897,1370501,22244,1603362,19891,1316956,21938,3961422,31801,3431750,27807,5251107,42397,4061492,33717,8500356,49475,7782774,54915,12419326,58191,8036844,48498,10023966,52912,4125612,29757,2272758,25636,835054,14683,1090398,16165,,281400,452
0500000US01003,"Baldwin County, Alabama",71380,3609,583,587,659,453,785,915,590,386,18,31,411,334,316,242,887,627,500,453,705,543,948,524,932,499,796,597,2217,957,2840,958,3609,1216,5812,1711,12098,2314,8481,1565,13262,2494,4537,1291,7140,1751,2110,930,969,616,0,216,175,185,,255800,14185
0500000US01015,"Calhoun County, Alabama",32470,1757,1365,597,279,194,438,429,568,417,570,448,724,367,180,164,624,393,933,404,1551,545,1422,630,1493,776,1113,577,3329,1116,2861,783,3288,974,3421,1284,2698,894,2694,877,1489,627,904,540,324,228,87,147,0,216,115,141,0,216,,139400,11824
0500000US01043,"Cullman County, Alabama",26688,1691,770,431,810,535,342,353,200,172,303,299,67,88,182,281,537,344,309,193,1383,759,1017,479,641,452,735,593,2471,828,1635,663,3061,905,1722,819,3765,929,1440,638,2454,906,1426,721,1093,587,25,22,51,85,0,216,249,343,,165900,11745
0500000US01049,"DeKalb County, Alabama",19663,1126,261,167,464,309,116,107,532,426,378,295,385,353,225,191,1090,577,1526,670,1284,597,610,409,1330,640,1021,512,1371,503,1032,398,2131,592,888,369,1636,504,1354,578,1186,557,356,161,231,220,256,306,0,216,0,216,0,216,,111100,19967
0500000US01051,"Elmore County, Alabama",22990,1867,1050,712,139,168,370,335,128,142,113,133,292,262,58,72,189,204,1007,565,576,313,157,159,574,363,287,273,1229,559,1820,755,2442,1207,1432,571,2913,842,3100,983,2817,859,1150,608,539,397,380,377,228,203,0,216,0,216,,193600,26184
0500000US01055,"Etowah County, Alabama",27864,1689,462,315,171,139,225,163,196,145,864,484,523,287,601,417,1094,583,775,378,1521,578,1061,542,1360,615,623,408,3778,1118,2043,563,3180,910,1338,641,2594,718,1824,648,1861,723,1349,674,304,221,117,192,0,216,0,216,0,216,,133300,15233
0500000US01069,"Houston County, Alabama",28246,958,280,119,284,148,527,234,488,199,347,204,80,58,164,126,462,198,1203,474,1398,559,701,253,1167,369,836,274,2717,479,2751,599,3262,565,2195,388,2530,477,2134,676,2393,539,1232,482,837,446,114,88,111,122,17,29,16,27,,155500,6407
0500000US01073,"Jefferson County, Alabama",173994,4091,1825,573,1372,531,763,367,953,501,628,320,1396,636,1018,566,2423,924,3953,1314,7208,1466,6077,1394,6245,1235,4141,1038,15793,2489,10403,1989,16377,2306,10071,1895,16416,2135,15111,2318,21632,2559,12338,1996,9851,1579,4091,1007,2531,837,831,439,547,283,,190900,8936
