GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,Unnamed: 52,B25077_001M,B25077_001E
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",,Margin of Error!!Median value (dollars),Estimate!!Median value (dollars)
0500000US48027,"Bell County, Texas",59644,2418,942,449,456,250,182,177,346,240,470,280,730,384,639,365,1036,476,2402,867,3036,746,3008,829,6167,1228,4998,1230,8872,1437,7938,1233,5853,1263,2954,848,3987,873,2025,719,1910,739,1155,434,407,269,62,80,69,113,,5267,115200
0500000US48029,"Bexar County, Texas",358198,4789,2919,803,1725,567,1430,596,2637,906,2933,741,4144,1013,3553,910,9446,1547,14485,1843,17143,2263,23414,2071,28733,2828,22402,2353,43686,3786,36089,2984,39977,3216,24146,2288,27507,2517,16164,1770,17468,1932,6832,1068,7141,1054,2521,683,1703,526,,2966,125300
0500000US48037,"Bowie County, Texas",22919,1363,955,476,250,275,552,325,749,424,572,355,320,224,621,383,1317,518,1565,630,1049,461,1207,473,1563,650,1904,1011,2320,616,1960,565,2137,653,1041,513,1217,418,732,388,620,330,44,74,82,102,74,119,68,113,,5071,93900
0500000US48039,"Brazoria County, Texas",78248,2873,905,437,449,252,707,484,852,592,919,458,789,540,1084,606,1532,675,3695,1148,2702,744,1991,650,3267,909,4264,1198,8290,1391,8832,1251,11122,1773,7563,1523,8083,1188,4506,1054,4112,1234,1831,808,566,321,64,110,123,132,,5845,146700
0500000US48041,"Brazos County, Texas",33416,1932,879,555,589,350,547,346,752,541,308,320,87,104,131,153,901,423,1281,642,680,378,1836,653,1576,589,1718,612,3200,838,4118,1019,3745,797,3119,987,3296,933,1397,561,1522,454,950,389,626,473,55,95,103,127,,7095,138800
0500000US48061,"Cameron County, Texas",78084,2818,1493,621,1301,650,1292,568,1848,636,2090,767,3627,1009,3560,917,6361,1482,5016,1088,8130,1617,8086,1603,5225,1178,5131,1222,8456,1467,3919,1147,4785,1047,1713,603,1951,683,1828,583,771,414,672,401,408,379,345,480,76,121,,3354,75400
0500000US48085,"Collin County, Texas",194044,3968,759,417,236,190,928,417,794,447,314,236,366,253,559,422,929,451,559,449,2098,692,1534,625,1820,715,2577,849,10201,1745,20207,2364,27419,2281,23335,2065,33035,2942,23764,2264,23212,2046,8217,1071,7152,1348,1686,628,2343,724,,4860,203700
0500000US48091,"Comal County, Texas",31246,1619,251,196,143,167,91,108,306,225,266,286,171,234,136,161,400,305,941,589,720,441,323,278,770,407,1509,632,1856,632,2624,887,2912,769,1779,628,3995,939,3331,741,4015,914,1942,711,2131,583,335,250,299,276,,17906,205300
0500000US48099,"Coryell County, Texas",11441,1279,70,122,278,398,95,82,140,165,42,64,64,96,54,59,344,264,601,298,761,326,946,446,1610,582,1241,530,1628,557,793,464,1093,685,296,207,485,356,466,279,172,186,0,294,0,294,58,101,204,163,,6694,95800
0500000US48113,"Dallas County, Texas",448918,6552,3936,1230,3456,828,1999,634,1215,544,2417,772,5211,1081,3058,881,9009,1335,12222,1609,15566,1687,22757,2332,32467,3004,30315,2919,72909,4453,46434,2955,40614,3245,23367,2611,34851,2861,22464,1862,26358,2033,11312,1409,13551,1583,5690,1094,7740,984,,2620,129300
0500000US48121,"Denton County, Texas",156864,3901,1027,544,739,386,1074,557,429,235,586,382,657,371,588,429,758,447,634,358,1076,494,1437,642,2475,907,2750,634,15464,1642,20125,2362,25768,2072,14901,2025,20659,2262,16681,1938,15262,1818,5656,1100,6465,1269,962,378,691,308,,5102,179800
0500000US48135,"Ector County, Texas",30338,1840,716,401,1291,766,491,342,1047,664,605,398,1035,524,614,375,2212,675,2083,666,1605,722,1730,590,2185,629,1724,580,4264,942,1802,588,2441,742,1448,632,1434,460,935,422,315,265,76,128,83,148,0,294,202,204,,6579,88000
