GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed,median housing price
9009,"New Haven County, Connecticut","862,813","416,390","446,423","59,807","111,175","108,086","130,374","61,338","49,365",39.7,"137,422","570,830","103,890","2,120","32,023","361,884",59271,330054,35529,72250,33979,69617,21478,61361,78202,37689,76731,34158,466.0,11.9,37.3,36.4,33.6,24.2,464158,11.4,242100
9011,"New London County, Connecticut","274,170","137,078","137,092","20,667","33,387","33,302","43,589","19,528","17,542",40.8,"25,168","212,577","14,185","1,192","12,472","120,993",66603,105801,46720,69198,26534,71484,37155,68007,83795,45554,82712,38139,261.0,12.2,25.9,36.7,32.8,26.4,153519,8.8,248200
9015,"Windham County, Connecticut","117,599","58,477","59,122","8,785","13,175","14,833","19,157","8,152","7,755",40.3,"11,922","99,529","2,244",193,"1,407","49,140",54098,43167,45870,131828,14549,57819,37057,56605,66971,39955,68272,35981,90.0,6.1,35.2,23.2,20.7,20.3,63676,8.9,201500
10001,"Kent County, Delaware","167,626","81,197","86,429","12,537","20,487","20,889","23,785","10,019","9,427",37.8,"10,670","107,363","39,971","1,316","3,380","66,555",52894,59499,43536,46864,55549,57754,28982,61367,68781,43111,62843,36266,695.0,7.4,19.8,28.4,20.4,22.7,82821,10.9,197500
10003,"New Castle County, Delaware","546,076","264,659","281,417","42,705","73,621","70,164","80,979","37,764","29,106",37.0,"49,665","330,537","126,174",650,"25,085","218,053",62157,202814,49842,92445,48348,69279,28356,70189,71440,43875,76481,39021,714.0,10.1,39.5,38.4,34.3,25.1,288362,8.3,236400
11001,"District of Columbia, District of Columbia","632,323","299,036","333,287","59,709","138,878","85,596","75,628","34,811","32,717",33.7,"62,726","222,975","308,286","1,566","21,717","300,247",66583,266662,39139,104826,51460,110619,33841,81142,65365,46926,82268,55639,271.0,24.2,68.2,57.5,43.1,37.8,368070,10.3,460700
12001,"Alachua County, Florida","251,417","122,253","129,164","43,440","36,502","25,985","28,099","15,380","13,991",30.5,"22,151","159,028","48,852",750,"13,072","113,185",41669,93245,22737,51728,22621,51354,12745,47155,56142,44116,61954,22948,362.0,12.9,46.7,38.1,39.0,37.7,123994,8.0,166900
12005,"Bay County, Florida","171,903","84,951","86,952","11,663","22,890","22,016","25,135","13,423","9,016",39.8,"8,856","134,735","17,427","1,010","3,220","99,790",46005,68653,28993,46503,40685,48263,27073,49299,56621,36633,54998,30578,400.0,6.2,19.7,23.6,26.2,21.4,87993,10.9,156600
12009,"Brevard County, Florida","547,307","267,809","279,498","30,933","56,359","58,078","86,757","45,067","34,490",46.3,"47,891","419,215","52,197","1,079","12,096","270,773",46162,218094,33006,57228,40642,47601,25237,48351,55348,36679,58851,27194,1117.0,7.3,22.3,29.7,28.7,24.9,260187,13.5,126000
12011,"Broward County, Florida","1,815,137","881,782","933,355","114,637","240,612","250,822","282,572","119,273","105,721",40.0,"480,524","755,005","475,124","3,328","59,222","811,284",49793,663905,39807,62344,48199,55830,27426,52424,60544,32972,60119,35592,1023.0,8.0,29.7,34.1,31.2,23.2,987579,11.8,165600
12015,"Charlotte County, Florida","162,449","78,921","83,528","6,502","11,208","14,823","20,123","10,839","15,701",56.8,"10,638","137,683","6,723",322,"1,815","100,918",45247,71811,34014,68259,41496,46442,23403,50182,55411,39163,55521,26880,327.0,2.8,19.3,18.1,21.5,23.0,62310,11.6,131900
12021,"Collier County, Florida","332,427","163,540","168,887","16,521","33,457","34,091","41,096","18,080","25,348",48.0,"87,123","215,542","21,066",772,"4,530","199,397",54126,123714,26313,60765,37940,58507,28492,53653,56135,53605,63164,34131,1296.0,6.3,21.1,25.2,29.8,37.7,148444,8.6,233500
12031,"Duval County, Florida","879,602","426,691","452,911","68,117","134,485","114,413","125,044","56,780","49,892",35.8,"71,665","490,333","249,529","2,303","37,275","390,256",43449,328225,30018,67546,39201,51661,27688,44701,51203,35439,54213,28776,1422.0,6.8,28.8,29.0,25.4,22.9,455577,12.2,132300
12033,"Escambia County, Florida","302,715","150,190","152,525","25,887","39,906","33,768","42,137","21,597","16,922",37.5,"15,488","199,596","63,412","1,031","9,049","137,706",45009,114077,29899,34950,32568,50550,19873,48518,49518,39962,56106,27459,655.0,6.0,24.1,28.7,20.1,20.2,150421,10.7,117500
12035,"Flagler County, Florida","98,359","46,366","51,993","4,513","8,259","10,198","12,878","6,998","8,766",49.7,"9,078","74,621","10,708",0,"2,174","48,918",42856,36358,30011,65553,42899,43893,12420,45814,46270,38696,46761,31355,243.0,2.5,22.2,20.9,25.7,22.9,38566,12.3,151900
12053,"Hernando County, Florida","173,422","83,092","90,330","8,061","15,612","18,494","22,872","12,526","11,884",48.5,"18,959","140,619","8,979",184,"1,970","84,669",36515,69222,23858,64176,38897,36830,23508,35693,45836,31711,43300,23885,168.0,9.3,10.8,16.1,14.9,11.7,65141,18.9,101500
12057,"Hillsborough County, Florida","1,277,746","624,242","653,504","95,275","184,520","175,384","182,489","82,335","66,258",36.4,"326,741","672,723","199,134","2,367","43,663","542,376",46515,477259,31893,60453,34515,56498,21398,48915,56265,34623,57269,31300,4059.0,9.5,32.8,34.1,29.0,23.4,662790,10.7,147500
12061,"Indian River County, Florida","140,567","66,941","73,626","6,881","12,432","13,096","18,751","11,066","9,143",50.1,"16,433","107,909","12,579",0,"1,807","76,734",40413,58950,16667,83993,35688,43353,11404,36250,48075,38729,56085,24072,369.0,3.2,17.1,21.1,27.3,31.0,59575,17.2,139500
12069,"Lake County, Florida","303,186","146,695","156,491","15,703","28,133","35,550","38,760","19,598","20,599",46.3,"39,299","220,258","29,236",691,"4,525","145,100",41083,115026,33207,78357,39395,41598,17521,43743,48212,36823,51033,25989,890.0,6.7,15.4,20.0,21.3,22.3,130214,12.7,127700
12071,"Lee County, Florida","645,293","316,953","328,340","35,385","67,564","71,378","82,499","41,233","48,790",46.5,"122,086","451,520","51,679","1,538","10,322","372,213",46278,245100,33990,36072,32047,51340,29210,45581,51991,44022,54774,30331,1806.0,5.2,19.3,22.0,24.1,27.5,288637,12.5,137600
12073,"Leon County, Florida","283,769","135,303","148,466","48,608","39,922","30,727","33,071","16,881","14,161",30.2,"17,730","164,251","86,357",355,"8,856","125,012",46443,108915,29811,53115,43038,56396,13218,48998,68869,47783,68985,25367,326.0,12.8,44.8,50.2,46.7,36.4,159840,11.4,180700
12081,"Manatee County, Florida","333,895","161,621","172,274","18,646","32,196","36,744","44,101","24,040","22,765",46.5,"50,927","242,306","28,764",908,"6,054","174,677",47474,130382,30873,60402,30519,51298,26602,51120,59154,37862,58405,27601,1588.0,4.7,18.7,30.8,29.4,25.1,154167,10.2,156900
12083,"Marion County, Florida","335,125","161,203","173,922","19,164","31,149","34,279","42,240","20,991","26,232",48.0,"38,318","244,426","39,878","1,483","5,315","163,729",37098,133910,32986,36195,25330,39428,21439,38625,42405,34357,44917,22566,397.0,2.2,13.1,18.1,19.6,17.9,134279,13.6,113200
12086,"Miami-Dade County, Florida","2,591,035","1,258,234","1,332,801","187,972","359,985","374,167","386,626","154,287","139,860",38.6,"1,666,528","416,607","443,328","2,615","39,775","991,409",41400,838772,30783,53463,38509,66384,25077,46241,48452,26712,47382,26195,1819.0,9.2,30.0,30.1,28.3,20.2,1323857,11.9,181500
12087,"Monroe County, Florida","74,809","39,952","34,857","4,302","7,927","9,861","12,359","7,330","6,034",46.7,"16,025","52,109","5,230",405,211,"52,827",53637,29241,45899,29019,31254,62250,42750,51267,60365,45950,66909,35710,132.0,1.6,23.6,28.3,27.8,38.3,41921,8.1,357200
12091,"Okaloosa County, Florida","190,083","95,655","94,428","15,429","29,480","22,766","26,340","11,815","10,871",36.3,"15,378","143,164","16,544",594,"6,249","93,399",52787,75099,34338,59187,45948,55296,27760,53241,64836,48222,64174,36154,643.0,9.0,23.6,27.3,30.8,29.0,100977,7.5,175400
12095,"Orange County, Florida","1,202,234","592,087","610,147","111,722","191,071","169,293","167,463","69,763","56,195",34.0,"339,202","534,602","239,219","1,735","56,658","493,307",45624,423987,33468,58536,36112,56806,21506,46285,54036,34741,55943,29952,3909.0,9.8,34.0,33.4,29.2,21.8,660114,11.2,150200
12097,"Osceola County, Florida","287,416","142,450","144,966","21,987","37,953","40,467","40,206","16,182","15,002",35.5,"137,250","109,579","27,204",653,"7,409","129,421",42915,90822,39446,61057,31865,51102,28377,43344,48073,30350,46762,26893,1479.0,6.2,19.4,18.5,18.7,13.8,144890,12.2,113000
12099,"Palm Beach County, Florida","1,356,545","656,209","700,336","79,883","153,752","161,970","189,343","84,736","83,163",43.6,"272,389","793,491","231,505","1,085","34,050","666,725",51278,522201,34450,74505,38853,58623,31098,52061,60093,42772,61683,33503,2247.0,9.9,28.6,35.5,33.7,32.8,668365,10.6,184400
12101,"Pasco County, Florida","470,391","229,474","240,917","24,299","49,108","59,361","66,016","30,168","32,092",44.3,"59,063","369,828","19,814","1,885","10,765","230,658",42704,180612,44113,52760,42696,42602,27119,52424,48391,32877,53206,23899,1167.0,6.2,24.4,29.1,22.5,18.1,201454,11.3,107500
12103,"Pinellas County, Florida","921,319","441,894","479,425","49,981","102,718","106,234","141,742","72,896","66,620",46.8,"78,368","700,335","93,785","3,123","27,890","502,155",44927,404856,28160,52817,36597,47872,27225,52175,52723,35496,59690,30437,489.0,7.4,29.5,33.3,28.5,25.0,459937,10.0,142200
12105,"Polk County, Florida","616,158","301,825","314,333","39,998","73,312","73,423","79,504","36,349","39,474",40.2,"114,459","389,852","88,950","1,480","9,764","281,407",41325,223507,29878,60964,39434,44014,21642,43294,47531,34810,47783,26398,1382.0,4.7,20.2,20.4,19.5,17.4,270265,13.8,96900
12111,"St. Lucie County, Florida","283,866","138,045","145,821","16,570","30,336","34,867","37,945","18,332","17,987",43.0,"48,651","170,844","53,388",161,"4,575","137,097",41785,109526,31738,41250,32475,46944,37359,41270,49004,38134,47207,29825,279.0,2.0,18.3,23.3,22.1,24.3,129682,14.4,116500
12115,"Sarasota County, Florida","386,147","183,290","202,857","17,334","31,937","36,783","50,304","30,558","28,216",53.3,"32,571","322,820","17,710",909,"5,832","228,884",48035,172973,34857,57764,44543,49322,26037,52813,52389,43826,59469,30712,1067.0,8.3,21.2,27.1,30.7,36.4,172195,11.5,162600
12117,"Seminole County, Florida","430,838","208,717","222,121","32,219","57,651","58,056","66,080","30,014","24,565",39.0,"78,568","280,018","46,346","1,326","17,996","182,926",54986,148858,37820,73207,36402,60910,23008,57161,61632,39691,64391,33301,1044.0,8.2,34.9,34.4,34.7,26.6,228732,10.9,164900
12127,"Volusia County, Florida","496,950","242,013","254,937","31,979","51,737","53,302","71,713","38,883","34,447",46.0,"58,790","369,682","51,108","1,534","7,726","254,784",40106,197599,26083,31237,34582,42091,17464,40332,46499,36410,49190,26207,760.0,6.9,20.3,20.8,19.4,23.6,213011,10.4,130000
13013,"Barrow County, Georgia","70,169","35,240","34,929","4,390","10,322","10,425","9,609","4,311","3,231",34.5,"6,629","51,997","8,124",70,"2,128","26,450",47582,24234,24724,61917,50539,49608,34284,52342,54919,29180,53963,30133,105.0,2.4,21.1,17.6,16.5,10.5,34930,11.4,113600
13045,"Carroll County, Georgia","111,580","54,339","57,241","11,709","14,689","13,805","14,690","6,657","4,994",33.8,"7,173","80,883","18,220","1,401","1,043","44,654",43134,39890,24215,37440,42934,47419,19084,46384,52819,33524,50165,23951,36.0,6.1,15.4,16.6,18.6,14.2,54713,12.4,97800
13051,"Chatham County, Georgia","276,434","133,782","142,652","26,221","44,623","32,327","34,640","17,201","14,699",33.9,"16,276","138,207","109,428",662,"7,171","120,965",42390,104634,30689,49679,34707,52121,18907,44077,52145,37566,53827,29114,811.0,9.8,32.3,34.0,29.8,31.2,139621,9.8,176700
13059,"Clarke County, Georgia","120,266","56,246","64,020","25,465","19,058","12,755","10,391","4,509","4,667",25.7,"12,835","67,943","32,428",30,"5,031","51,128",32571,40788,24217,38125,27349,40684,10361,35174,52224,43026,50453,19401,185.0,10.9,47.5,40.6,35.6,37.9,60227,10.4,153300
13063,"Clayton County, Georgia","265,888","126,170","139,718","19,405","39,452","39,953","35,511","13,258","13,622",32.3,"35,546","38,946","171,844",222,"13,256","104,583",36804,86800,38590,36258,26898,37642,17189,32825,44443,36512,43420,26789,93.0,6.3,10.9,20.7,17.5,11.2,130256,17.0,83600
13067,"Cobb County, Georgia","707,442","343,467","363,975","46,341","100,903","109,631","105,910","41,436","38,634",35.8,"89,409","391,396","178,444",364,"33,038","288,506",63069,265001,46143,81144,36562,75936,25864,62581,77433,48431,74896,42724,1193.0,13.3,41.1,49.2,45.6,35.5,395706,9.3,185700
13073,"Columbia County, Georgia","131,627","63,749","67,878","7,271","19,210","18,434","18,633","7,940","8,422",36.9,"7,383","94,910","20,618",201,"5,656","51,167",68118,44096,60074,83779,38760,71243,47908,61559,86521,50223,76820,39274,1125.0,11.0,34.2,46.4,37.5,29.2,65657,8.7,169000
13089,"DeKalb County, Georgia","707,089","338,657","368,432","50,102","119,458","106,702","96,729","43,800","34,969",34.6,"67,461","210,792","379,299","1,116","37,036","305,041",49093,261147,40298,49865,30511,75575,20811,49343,57839,38931,59750,36551,208.0,9.1,41.6,42.2,40.3,32.9,379863,12.8,158400
13097,"Douglas County, Georgia","133,971","63,958","70,013","8,120","15,467","22,661","20,625","7,115","6,883",36.6,"11,724","63,758","54,437",0,"2,058","51,636",49981,45541,43499,64548,42224,57346,24190,47697,58554,41408,59886,33559,139.0,3.4,26.5,33.0,22.6,13.6,67172,10.5,118000
13115,"Floyd County, Georgia","96,177","46,423","49,754","7,108","12,030","12,220","12,402","7,073","5,271",38.2,"9,513","69,196","14,227",0,924,"40,485",37841,34373,24250,24928,33495,42172,12542,39796,48601,27349,47276,21997,32.0,7.9,21.5,16.8,18.2,16.8,44072,13.8,111000
13117,"Forsyth County, Georgia","187,928","93,023","94,905","7,500","18,520","32,897","30,832","10,066","8,288",37.3,"18,032","147,800","5,543",241,"13,577","66,268",85494,58456,71409,122486,47204,85775,24187,101194,93012,43480,98816,49340,1862.0,6.1,52.0,57.0,46.9,26.7,93634,7.0,249400
13121,"Fulton County, Georgia","977,773","477,609","500,164","75,806","163,042","147,437","135,202","55,127","48,360",34.4,"76,997","396,924","427,535","1,987","55,912","438,708",55369,374091,34479,91751,37797,87776,21622,60358,66537,40127,75665,39731,1668.0,14.6,49.8,54.7,50.2,38.1,522062,12.0,229900
13135,"Gwinnett County, Georgia","842,046","414,027","428,019","52,573","117,494","133,878","127,124","48,501","37,021",34.3,"174,315","356,319","202,181","1,725","91,239","293,198",56423,270550,45524,60726,37678,72877,24676,54176,68372,46200,62044,37373,1564.0,8.8,26.6,36.9,38.4,23.3,432456,9.4,159600
13139,"Hall County, Georgia","185,416","93,540","91,876","12,956","23,478","25,873","24,166","10,818","9,490",35.1,"49,914","116,127","13,686",455,"3,374","68,919",49737,60500,27958,58885,35571,57625,22053,42313,59417,44622,57665,27436,303.0,5.6,16.6,20.4,23.5,24.1,87504,9.3,152400
13185,"Lowndes County, Georgia","114,552","56,524","58,028","17,075","15,561","13,029","13,757","6,020","4,910",29.1,"5,950","62,048","41,610",133,"2,143","45,185",37165,40155,26241,29165,21198,47299,20121,36826,58295,34451,49335,21703,321.0,4.4,23.5,23.0,23.4,20.4,57988,14.8,143300
13215,"Muscogee County, Georgia","198,413","97,554","100,859","16,062","30,626","23,493","25,784","12,851","8,957",33.0,"14,262","85,217","87,870",564,"4,055","83,060",45178,71719,33058,68431,51930,55610,20765,47034,50122,34845,55311,28295,262.0,5.9,23.5,26.0,21.7,20.8,97385,10.3,128000
13217,"Newton County, Georgia","101,505","48,786","52,719","5,533","11,028","15,665","14,405","7,577","3,213",36.3,"4,825","52,037","41,405",265,"1,228","38,307",48974,34195,46298,60856,47212,50524,24479,50581,54167,40244,52393,33409,66.0,0.7,17.5,24.5,20.0,11.9,48475,12.7,111600
13223,"Paulding County, Georgia","144,800","70,806","73,994","8,074","18,050","24,838","20,837","6,693","6,544",34.8,"7,571","108,265","25,203",325,882,"52,456",57332,47476,66224,35891,48487,56789,33234,61262,59564,37998,66508,35173,213.0,1.9,29.1,34.3,19.8,10.9,73055,11.8,123300
13245,"Richmond County, Georgia","202,587","98,251","104,336","18,225","31,853","22,987","26,057","12,781","10,461",33.0,"9,126","75,571","108,876",739,"3,419","86,605",37154,73031,30053,80307,43733,45685,24064,37015,38814,40540,46724,24360,367.0,6.1,19.9,20.1,21.0,19.0,93257,9.9,105900
13247,"Rockdale County, Georgia","85,820","40,196","45,624","7,285","7,887","11,835","12,995","6,224","4,632",37.6,"8,602","33,653","40,031",47,"1,792","33,254",50200,29427,46549,51819,34397,53039,31280,50251,56795,29275,53234,32628,36.0,5.7,13.4,32.2,26.7,21.1,40975,14.3,127200
13285,"Troup County, Georgia","68,468","33,369","35,099","5,596","8,286","8,268","9,652","5,179","3,341",36.6,"2,401","40,526","22,652",289,"1,017","28,204",36739,24539,22339,76333,42139,45245,17361,41632,50547,24922,50077,17376,62.0,0.9,11.6,35.7,25.5,14.6,32520,14.2,114100
15001,"Hawaii County, Hawaii","189,191","95,040","94,151","11,473","23,141","21,727","24,962","16,041","14,769",40.6,"22,614","57,900",686,328,"43,011","83,969",50285,64925,50828,51690,33750,56917,40310,53858,52441,42689,59247,27188,571.0,5.7,17.1,22.5,29.9,26.5,90774,8.6,297900
15003,"Honolulu County, Hawaii","976,372","492,228","484,144","79,423","146,256","124,027","127,279","59,913","57,409",37.2,"85,789","188,504","22,783","1,437","413,028","339,422",71404,308072,60555,75695,58161,73519,45522,69397,85591,63746,82557,42764,994.0,9.6,32.4,35.9,34.0,25.8,522482,6.6,563600
15009,"Maui County, Hawaii","158,226","79,365","78,861","8,804","21,265","20,904","23,757","11,126","11,487",40.1,"16,532","49,967",525,177,"41,374","70,763",61207,52120,53435,68148,38057,64210,40724,60275,67971,58530,71311,43743,246.0,7.1,24.4,22.7,25.2,22.0,86765,8.1,478900
16001,"Ada County, Idaho","409,061","205,321","203,740","27,040","59,680","57,767","55,372","24,003","24,034",35.4,"30,396","350,772","4,318","2,378","9,709","161,876",53909,154725,52181,58611,35740,55405,29297,55696,66864,37440,66376,32223,2250.0,13.4,32.4,37.0,37.9,30.8,212117,7.2,168500
16019,"Bonneville County, Idaho","106,684","53,119","53,565","6,206","15,670","13,079","12,467","5,030","6,258",32.1,"12,951","89,979",502,422,583,"40,107",49450,36076,67593,43255,34857,51437,27095,51180,57760,40194,60509,27505,325.0,6.8,24.7,23.3,25.1,26.4,50749,6.8,151900
17019,"Champaign County, Illinois","203,276","101,451","101,825","33,851","29,914","20,562","22,625","10,943","9,633",29.2,"11,205","142,027","24,460",259,"19,699","88,240",46375,80050,22211,26855,52001,50674,15688,51771,61569,42629,69132,26013,259.0,14.3,56.3,45.9,39.8,28.8,110527,6.6,145400
17031,"Cook County, Illinois","5,231,351","2,535,122","2,696,229","369,682","847,646","708,619","701,882","323,160","278,696",35.6,"1,285,944","2,265,955","1,250,072","4,153","338,865","2,174,376",52174,1936001,32405,66601,44783,66942,24535,59510,60927,34781,64075,36351,1070.0,15.4,44.3,38.8,32.4,23.4,2768121,12.1,209300
17043,"DuPage County, Illinois","927,987","455,004","472,983","54,193","120,521","123,732","145,339","65,767","55,484",38.9,"127,948","642,236","41,962",334,"94,745","356,235",78268,333950,41979,95574,58425,81895,33519,80718,93553,47189,94593,43433,784.0,14.6,49.2,51.9,48.0,34.1,519187,8.4,274200
17089,"Kane County, Illinois","522,487","260,218","262,269","31,417","65,474","75,770","74,834","29,115","28,320",35.4,"162,843","305,734","27,451",664,"18,486","182,306",64638,170806,32541,88265,44521,77078,31162,61025,82227,46267,73477,35736,788.0,5.1,30.1,32.9,35.2,23.2,275123,9.7,204700
17093,"Kendall County, Illinois","118,105","59,521","58,584","5,312","16,953","20,584","16,366","5,044","5,811",34.2,"18,952","86,699","7,756",0,"3,283","40,666",77361,39512,82178,44281,60523,81890,68779,82405,85179,43549,82966,51927,198.0,3.8,40.4,39.1,25.8,19.4,64274,6.1,196800
17097,"Lake County, Illinois","702,120","350,491","351,629","43,235","79,200","95,304","111,987","46,560","39,126",37.4,"143,780","451,690","47,769",990,"44,266","260,684",74334,241819,44036,100408,44457,86159,30030,74496,93651,47762,88941,42347,502.0,11.2,36.9,46.6,46.1,34.3,378773,8.7,237400
17111,"McHenry County, Illinois","308,145","152,783","155,362","17,039","33,485","43,707","53,131","21,269","15,890",38.6,"36,676","255,570","4,040",75,"8,013","116,373",76683,108969,57214,85220,52700,79426,41409,85322,85780,46457,87302,41130,301.0,8.6,35.3,40.8,33.5,20.1,171068,9.8,203100
17113,"McLean County, Illinois","172,281","83,428","88,853","22,698","22,988","21,141","21,922","9,311","9,291",32.7,"7,946","139,054","12,884",77,"7,827","70,476",62117,65744,30400,92276,46221,64678,20920,68092,83158,46615,79445,30177,284.0,9.6,47.4,51.9,42.8,31.2,97054,6.0,155300
17119,"Madison County, Illinois","267,883","131,150","136,733","19,989","34,065","33,672","39,382","20,398","13,536",38.7,"7,806","231,388","18,995",419,"2,887","117,568",51688,107488,18924,46778,43197,54431,15774,60716,62952,36575,67028,26426,310.0,14.8,30.7,33.0,23.1,17.6,138362,9.0,127700
17143,"Peoria County, Illinois","187,254","90,400","96,854","14,151","25,161","22,612","24,474","13,652","10,299",37.2,"7,804","134,914","32,311",718,"6,427","83,292",46450,76268,23010,95052,64083,51994,10378,44257,63586,38062,65484,28670,311.0,12.7,33.0,31.5,27.1,17.3,94201,8.1,129000
17163,"St. Clair County, Illinois","268,858","129,829","139,029","17,926","35,043","34,454","39,719","18,375","14,866",37.2,"9,483","168,238","80,537",317,"2,997","117,515",46505,100031,25971,66942,40188,60154,23851,44376,61744,36592,61858,29448,481.0,5.7,26.4,30.0,25.4,18.6,131471,9.5,119300
17179,"Tazewell County, Illinois","135,949","67,084","68,865","7,459","17,575","17,194","19,482","10,436","7,768",39.9,"2,849","128,594","1,472",280,"1,134","57,653",61339,54359,76203,76619,50375,61435,40440,65458,74734,38357,70333,30691,236.0,7.4,34.9,29.6,22.7,15.2,70596,4.6,137100
17197,"Will County, Illinois","682,518","338,972","343,546","40,167","80,124","103,761","105,032","41,290","32,924",36.2,"109,956","452,981","74,506",672,"32,766","238,043",72180,220938,56688,106841,60210,75855,36022,75555,85865,43965,83972,39760,711.0,10.5,38.0,39.4,31.1,21.1,358669,8.9,203200
17199,"Williamson County, Illinois","66,674","33,019","33,655","4,190","8,270","8,547","9,386","4,696","4,072",41.4,"1,423","60,742","3,081",45,566,"30,573",40658,26863,26869,68767,28750,41404,33697,43596,51518,29741,49966,22125,141.0,5.6,30.6,27.1,20.0,16.1,31906,9.8,99700
17201,"Winnebago County, Illinois","292,069","142,598","149,471","18,097","36,527","37,334","41,802","20,499","17,002",38.5,"33,540","209,449","34,706",228,"7,252","125,766",49144,112942,28197,66475,32619,54525,19851,51398,61108,36005,59633,26750,62.0,7.0,23.4,25.9,19.9,19.6,148521,12.4,118700
18003,"Allen County, Indiana","360,412","175,692","184,720","24,432","47,997","46,077","47,918","22,847","20,661",35.7,"24,577","271,981","42,108",485,"10,379","152,964",48962,138507,28227,31273,41953,52704,30095,49426,58404,36375,58788,32408,616.0,8.2,29.6,26.1,25.4,23.2,183708,8.5,113500
18039,"Elkhart County, Indiana","199,619","99,010","100,609","13,486","24,239","26,027","26,717","11,742","11,114",35.3,"29,253","152,521","11,030",132,"2,237","77,735",45315,70857,17354,160974,41934,46169,27248,50922,51847,32169,50668,25624,221.0,2.7,14.4,19.1,17.9,17.8,99617,7.9,120700
18057,"Hamilton County, Indiana","289,495","140,222","149,273","10,834","38,551","45,871","46,267","16,100","15,187",36.3,"10,548","247,585","10,538",655,"12,341","110,816",85567,105029,61519,102056,120901,82209,43283,92128,97564,45561,99743,43611,1644.0,21.3,62.7,63.4,51.8,36.9,155741,4.8,212600
18063,"Hendricks County, Indiana","150,434","75,587","74,847","8,435","18,482","21,703","22,973","10,431","7,425",37.3,"4,855","131,589","8,028",185,"2,836","56,820",70867,52547,55342,47661,40903,71933,39911,78403,75927,41379,80716,36457,561.0,13.6,41.9,43.1,28.4,17.8,79986,5.2,160700
18067,"Howard County, Indiana","82,849","39,753","43,096","4,934","9,780","9,415","11,909","5,499","5,791",41.2,"2,373","71,617","6,311",37,"1,043","38,523",38849,33901,20792,52302,41365,40527,13226,35282,56933,34213,51557,25221,32.0,11.9,18.5,19.3,17.1,13.9,37651,10.2,84800
18089,"Lake County, Indiana","493,618","238,445","255,173","31,223","61,386","61,075","71,173","33,998","29,814",37.7,"85,941","270,924","121,843","1,236","6,789","209,219",48120,177540,26854,68095,43661,59020,24124,48239,60429,35271,59502,28359,675.0,7.2,23.2,23.1,19.9,14.3,239478,12.4,137600
18097,"Marion County, Indiana","918,977","443,342","475,635","69,836","149,896","117,922","124,175","57,088","45,655",33.9,"89,527","538,794","243,262","2,850","18,189","418,629",41409,363157,29224,46929,29244,50561,21710,43353,49487,33657,51587,28306,513.0,11.8,33.4,29.5,27.5,22.0,486318,11.0,117900
18127,"Porter County, Indiana","165,682","81,170","84,512","10,814","20,489","22,034","24,315","11,582","10,901",38.8,"14,809","140,817","5,721",167,"2,431","66,427",63050,61661,49013,109088,60866,63885,20133,73727,77470,39163,75671,37597,302.0,9.8,29.6,26.6,21.4,19.8,81675,7.3,161200
18141,"St. Joseph County, Indiana","266,344","129,276","137,068","21,251","33,449","32,170","35,359","18,239","15,348",36.5,"20,546","199,521","34,154",762,"4,835","114,966",45225,101613,23525,63924,32107,49568,20071,46567,54027,36436,55173,28474,159.0,8.6,38.3,28.8,27.5,21.4,134413,9.8,116500
18157,"Tippecanoe County, Indiana","177,513","90,432","87,081","32,870","25,483","18,639","19,096","8,155","8,472",27.9,"13,890","140,742","8,137",154,"11,270","72,506",42507,67977,21279,24121,39511,46105,16378,44792,61960,42372,61433,25096,508.0,11.4,40.8,35.8,33.4,21.4,91965,7.7,125200
