GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS
1003,"Baldwin County, Alabama","218,022","105,437","112,585","10,426","23,498","25,990","30,117","16,569","15,074",44.0,"10,132","180,926","20,328","1,209","2,338",45,"116,632",56813,83501,51197,N,N,29228,59186,21706,63339,62568,47300,71051,32788,2459.0
1015,"Calhoun County, Alabama","114,277","55,054","59,223","7,451","16,273","12,608","13,616","8,305","7,855",40.1,"4,469","82,308","24,737",107,426,0,"53,888",45818,44264,30651,-,16502,N,52075,30195,55087,58322,33567,60889,21657,66.0
1043,"Cullman County, Alabama","83,442","40,794","42,648","4,500","10,274","10,131","10,843","5,407","6,123",40.6,"3,699",N,N,N,N,N,"38,029",44612,30323,97143,-,-,N,45166,30463,53872,55717,30681,54852,24155,113.0
1049,"DeKalb County, Alabama","71,385","35,048","36,337","4,176","8,645","8,261","9,548","4,533","4,921",39.5,"10,595","57,199","1,335",814,173,0,"31,656",36998,26462,N,N,-,16589,42042,21075,52481,45034,26838,50728,18606,67.0
1051,"Elmore County, Alabama","81,887","39,988","41,899","4,847","12,140","10,087","11,642","5,364","5,261",38.4,"2,467","59,771","16,836",345,522,0,"34,416",60796,30155,50318,61935,-,N,65194,24688,66203,68514,41787,66541,25302,74.0
1055,"Etowah County, Alabama","102,501","48,830","53,671","7,116","12,260","12,232","13,422","5,946","7,877",41.3,"4,116","79,629","16,401",60,862,0,"47,847",45868,38625,32744,42713,N,22443,51624,47463,36929,61934,41448,60788,28814,104.0
1069,"Houston County, Alabama","104,722","50,400","54,322","6,223","13,763","12,633","13,289","6,694","7,020",40.2,"3,600","69,413","29,136",53,700,0,"47,805",48105,38861,29718,69423,70469,29020,58336,20365,54350,52291,37734,63720,26016,322.0
1073,"Jefferson County, Alabama","659,300","312,159","347,141","41,548","95,714","84,162","80,533","41,326","45,488",38.2,"26,246","326,993","281,806","1,456","9,564",724,"309,579",55206,255940,37775,56699,69310,56751,74789,21943,60145,62111,44980,72335,31814,1390.0
1077,"Lauderdale County, Alabama","92,387","45,646","46,741","7,145","11,317","10,100","11,718","7,136","5,713",41.1,"2,644","78,080","9,614",89,667,133,"45,468",49014,38670,30576,-,-,52740,51188,20610,52738,66284,43608,62759,24954,81.0
1081,"Lee County, Alabama","163,941","80,832","83,109","22,390","21,562","18,918","19,737","8,274","9,275",32.1,"6,164","110,621","37,482",453,"6,950",0,"70,372",46456,59336,27169,-,N,N,65114,8683,50416,71255,42058,74592,22075,1036.0
1083,"Limestone County, Alabama","96,174","49,198","46,976","3,940","12,815","13,419","13,074","7,025","5,538",38.8,"5,910","73,199","13,444",702,"1,377",0,"36,535",67000,32333,34691,N,152609,46505,72012,51564,76200,74154,43727,77707,31522,159.0
1089,"Madison County, Alabama","366,519","178,964","187,555","23,676","51,828","45,578","48,567","30,309","20,725",38.5,"18,577","236,695","87,525","1,201","9,263",27,"164,263",63111,152723,41822,71346,66467,48548,74798,30079,61065,86815,53943,80584,38139,2711.0
