GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS
1095,"Marshall County, Alabama","96,109","47,238","48,871","5,520","10,753","12,141","12,608","6,038","6,284",39.0,"13,768","77,082","3,727",67,385,0,"40,812",47528,36022,44412,N,32431,37353,50385,40948,48293,54226,39081,58143,23038,77.0
1097,"Mobile County, Alabama","413,757","197,009","216,748","27,026","58,520","49,083","50,814","29,178","26,058",38.1,"12,648","233,288","148,775","3,011","8,037",138,"184,687",43061,158627,27750,N,53167,29820,57612,22938,48581,51185,36328,55711,26096,763.0
1101,"Montgomery County, Alabama","225,763","106,613","119,150","15,521","32,789","28,254","27,604","14,872","13,541",37.2,"7,937","75,153","132,253",305,"7,081",0,"105,170",49989,87553,39411,23462,102946,27673,71663,21514,48144,63584,43866,64057,31785,395.0
1103,"Morgan County, Alabama","119,089","59,216","59,873","7,421","13,754","14,793","15,950","7,894","8,521",40.7,"10,067","89,588","16,962",279,613,0,"52,284",53260,45851,36719,110603,N,42742,56137,55738,54140,64353,42992,66035,30130,149.0
1115,"St. Clair County, Alabama","88,690","44,933","43,757","4,265","11,436","11,349","12,208","6,638","5,588",40.4,"2,223","75,920","8,976",155,715,0,"37,190",56602,30765,55057,-,-,32371,60404,38414,69135,67240,31735,65961,30725,200.0
1117,"Shelby County, Alabama","215,707","105,022","110,685","12,128","26,890","31,044","30,165","14,192","13,803",40.4,"12,466","167,118","27,030",372,"4,767",27,"88,393",71230,80944,80251,-,80974,35365,75148,41587,73659,97416,49880,92478,39032,1045.0
1121,"Talladega County, Alabama","79,828","38,489","41,339","4,242","9,867","10,014","10,796","5,119","6,057",41.5,"1,242","49,842","27,169",433,110,0,"37,906",40315,31219,26017,13997,-,N,57877,19012,39557,53473,33795,52637,18921,43.0
1125,"Tuscaloosa County, Alabama","208,911","99,576","109,335","19,909","31,177","24,947","23,240","11,866","11,960",33.0,"8,115","127,896","66,708",529,"3,452",0,"93,002",54459,74053,39267,43475,44906,23212,66433,14985,59913,62280,45869,70370,28261,548.0
1127,"Walker County, Alabama","63,711","31,070","32,641","3,504","8,068","7,174","8,229","6,049","3,203",41.5,"1,633","56,289","3,863",98,88,0,"31,249",47602,24870,16161,-,-,53125,51215,42318,52920,54569,32382,63021,20788,4.0
2020,"Anchorage Municipality, Alaska","291,538","148,668","142,870","20,844","48,609","38,979","36,646","18,903","15,883",34.3,"27,107","166,481","16,163","20,306","27,668","6,080","118,233",83648,105285,58931,66674,60335,72951,94796,50662,84305,104788,72750,99797,53789,869.0
2090,"Fairbanks North Star Borough, Alaska","98,971","53,397","45,574","8,641","18,258","13,878","10,322","5,037","5,415",31.7,"8,282","68,510","4,785","7,380","2,829",734,"44,307",75448,36378,88191,44984,60882,61154,78755,53744,81634,82326,74368,88528,50984,13.0
2170,"Matanuska-Susitna Borough, Alaska","107,610","55,481","52,129","6,189","14,622","14,741","12,610","7,502","6,987",35.5,"5,447","84,723",883,"8,229","1,933",38,"41,986",72667,32198,61494,54693,N,71996,73498,44201,88248,79794,44906,87657,33682,69.0
4001,"Apache County, Arizona","71,818","35,613","36,205","4,708","8,817","8,327","7,714","4,973","4,338",35.4,"4,590","12,998",411,"53,128",416,59,"32,942",30207,21936,-,21945,N,40764,51174,"2,500-",31338,31712,29064,40887,13149,56.0
4003,"Cochise County, Arizona","126,770","64,995","61,775","7,479","14,753","14,643","13,844","6,656","10,270",41.0,"45,172","69,219","4,259","1,213","2,511",210,"61,318",50495,49751,67527,50602,70789,39073,54579,50957,55709,54429,39478,64012,28140,212.0
4005,"Coconino County, Arizona","142,854","70,521","72,333","16,884","20,021","15,121","15,058","8,485","7,885",30.8,"20,389","76,747","1,800","36,977","2,451",0,"66,838",61843,47275,20300,48692,N,62662,68394,17054,71755,66348,61858,73454,38141,657.0
4013,"Maricopa County, Arizona","4,410,824","2,181,974","2,228,850","291,402","643,582","574,263","552,562","261,058","248,994",36.6,"1,379,637","2,415,129","241,331","71,043","180,597","9,673","1,762,981",65252,1582464,50212,47229,93892,52455,72205,39121,69670,80699,48809,76923,42552,19069.0
4015,"Mohave County, Arizona","209,550","105,596","103,954","10,046","21,588","18,649","22,854","15,108","18,774",52.5,"35,269","161,051","2,165","3,669","2,518","1,302","115,269",46060,90270,29401,62131,51250,48317,45449,44503,51907,46954,41844,53244,27060,945.0
4017,"Navajo County, Arizona","110,445","55,015","55,430","5,837","13,390","11,646","12,240","7,195","7,438",38.5,"12,649","45,949",527,"48,379",636,9,"58,164",40463,34285,-,30417,N,35790,47510,21007,43533,42251,36983,48056,27252,331.0
4019,"Pima County, Arizona","1,039,073","510,267","528,806","89,756","133,420","118,453","113,730","63,443","65,898",39.0,"390,183","532,748","34,331","25,461","29,403","1,211","462,778",53464,402323,43768,35157,56672,43762,60734,29298,57178,63253,48961,65641,35574,3240.0
4021,"Pinal County, Arizona","447,138","233,292","213,846","26,780","56,108","59,352","49,111","25,808","27,809",39.8,"136,046","252,935","18,403","17,792","7,106","1,255","177,186",59058,147936,85136,37945,63611,52315,61536,32159,69133,65039,46508,64161,34011,4457.0
4025,"Yavapai County, Arizona","231,993","113,011","118,982","11,059","19,917","19,148","25,571","18,798","21,485",54.4,"34,046","186,424","1,724","1,727","2,581",367,"118,410",48148,100836,118912,N,N,42958,49765,29312,56162,57299,41657,61041,29887,1696.0
4027,"Yuma County, Arizona","212,128","109,526","102,602","17,326","28,913","22,932","22,770","9,228","11,291",35.1,"136,425","64,460","3,536","1,884","3,139",91,"93,571",43403,74532,50152,28359,60327,40658,46742,30756,50407,56943,33236,49190,29631,1011.0
5007,"Benton County, Arkansas","272,608","135,116","137,492","15,558","40,243","38,770","34,359","14,624","14,819",35.5,"45,975","198,662","4,790","3,051","10,627","1,835","108,481",67164,100128,70121,42850,114032,61620,66791,55947,79136,84418,42240,80637,40623,2293.0
5031,"Craighead County, Arkansas","108,558","53,182","55,376","7,446","17,435","12,761","12,697","5,693","5,955",34.0,"5,624","82,067","17,462",326,660,0,"46,254",44810,42631,24495,-,N,32374,51941,18327,46505,55201,38386,56383,28217,529.0
5045,"Faulkner County, Arkansas","124,806","60,576","64,230","13,811","17,975","15,254","14,612","6,399","7,079",32.9,"5,165","99,747","13,767",718,"1,626",0,"50,520",51437,43701,42878,-,40819,26692,53864,20481,59371,64618,40120,71916,28236,295.0
5051,"Garland County, Arkansas","99,154","47,098","52,056","5,163","11,871","10,266","11,569","6,035","8,760",44.6,"5,811","81,108","7,262",906,"1,048",0,"51,025",42779,40407,28353,-,42381,27344,50421,41250,39572,57396,47454,59245,30693,51.0
5069,"Jefferson County, Arkansas","68,114","33,440","34,674","5,097","8,262","8,547","8,385","4,016","5,305",40.1,"1,456","26,298","39,238",230,659,0,"33,382",35652,25689,31627,-,N,N,51098,26679,45027,42563,29648,54378,24088,16.0
5085,"Lonoke County, Arkansas","73,657","36,199","37,458","4,066","9,759","10,245","10,642","4,422","4,340",36.8,"3,508","62,834","5,335",178,571,21,"29,747",53782,28132,50918,-,115844,N,56300,25444,54368,66006,43170,67744,25898,357.0
5119,"Pulaski County, Arkansas","392,680","187,585","205,095","24,856","57,975","49,739","47,734","27,502","23,774",37.9,"24,521","203,682","144,942","1,477","8,723",387,"185,967",49613,157678,35316,93222,46136,39008,65174,22619,51388,60807,44832,64997,36081,730.0
5125,"Saline County, Arkansas","121,421","59,537","61,884","6,649","15,268","16,141","15,601","8,175","6,576",39.2,"6,030","101,869","9,542",190,"1,495",481,"49,326",63084,43496,68013,150716,N,67769,63140,32679,74036,74180,45888,76051,30127,328.0
5131,"Sebastian County, Arkansas","127,753","63,266","64,487","7,966","17,355","15,586","16,207","9,790","6,891",38.6,"18,659","88,149","8,654",871,"6,340",0,"57,229",46826,51739,31046,24911,59944,46753,48387,40161,48580,54393,36444,52692,27673,224.0
5143,"Washington County, Arkansas","236,961","118,088","118,873","25,271","36,889","29,801","26,644","11,719","12,390",32.2,"40,606","167,177","8,260","2,875","5,786","5,877","95,013",50342,90001,23368,N,N,45946,53162,24952,57768,62069,44084,63063,30883,1527.0
5145,"White County, Arkansas","78,727","38,110","40,617","6,274","8,793","9,454","10,637","4,912","4,337",36.9,"3,464","69,133","3,569",513,749,0,"33,954",42270,29577,22825,-,"2,500-",N,47537,13025,50852,50516,35995,57141,20987,90.0
6001,"Alameda County, California","1,666,753","820,179","846,574","99,631","278,956","251,407","222,171","107,322","95,859",37.6,"373,040","515,639","168,639","5,717","510,734","13,687","615,129",102125,575410,55824,75900,128582,77151,116140,47244,120246,117986,61059,123476,61686,1965.0
6007,"Butte County, California","231,256","113,736","117,520","22,757","30,314","26,069","24,191","13,718","15,800",37.5,"38,528","165,211","3,466","1,568","9,879",350,"100,038",51652,88636,20875,55846,50813,46701,55382,35033,59813,62904,41708,65419,31945,595.0
6013,"Contra Costa County, California","1,150,215","562,983","587,232","66,366","147,192","155,046","161,819","79,112","72,635",40.0,"297,255","494,370","98,242","2,501","192,964","5,603","415,955",101618,396133,68496,76817,130132,75204,111611,61407,102088,123572,70271,113973,64309,1627.0
6017,"El Dorado County, California","190,678","94,527","96,151","9,821","18,139","21,995","25,406","15,570","17,311",46.6,"24,640","147,978","1,045",584,"8,780",525,"91,094",82742,72774,N,N,120907,81413,80288,32510,81304,101129,65525,100420,45644,543.0
6019,"Fresno County, California","994,400","495,950","498,450","70,459","153,001","126,847","109,300","55,778","48,421",32.5,"531,677","287,500","42,108","5,643","100,967","1,182","333,809",52629,309519,47962,46837,66421,44662,64245,27553,53381,64116,42085,60114,31045,2213.0
6023,"Humboldt County, California","136,373","68,722","67,651","12,757","17,684","18,473","14,158","7,025","10,991",38.5,"16,155","100,713","1,348","5,572","4,461",27,"63,308",50294,55773,30222,52182,46156,50433,50284,30146,51001,58592,52090,62151,32557,178.0
6025,"Imperial County, California","181,827","93,655","88,172","13,061","27,166","21,144","21,112","10,495","8,396",33.1,"153,757","18,709","4,088",973,"2,562",204,"57,893",48984,41764,N,N,N,46479,70493,"2,500-",47026,51945,43996,53797,24660,274.0
6029,"Kern County, California","896,764","459,769","436,995","65,981","139,691","114,813","100,174","49,360","45,126",32.0,"483,846","299,561","47,205","5,179","42,177","1,257","300,423",51579,273167,36992,33464,56279,44301,63132,27709,55384,58970,39933,57105,30238,2073.0
6031,"Kings County, California","151,366","83,591","67,775","11,790","25,319","21,572","17,598","8,863","5,538",32.0,"83,200","47,706","9,286","1,046","6,683",67,"46,649",61663,43727,72677,55446,72972,52353,73860,46760,60476,73669,49177,62931,48665,294.0
6033,"Lake County, California","64,382","31,318","33,064","3,023","7,514","7,776","6,857","4,816","5,323",44.0,"13,717","44,863","1,546","1,955",622,15,"34,751",48554,26774,61182,24784,44469,41912,51392,38315,58597,53089,41092,64197,28977,87.0
6037,"Los Angeles County, California","10,105,518","4,982,529","5,122,989","701,010","1,640,038","1,381,122","1,348,569","637,656","573,832",36.7,"4,915,287","2,619,709","783,932","18,875","1,473,462","25,303","3,561,342",68093,3313908,48519,65518,78972,57125,87393,41869,72083,78049,47509,76551,46861,5957.0
6039,"Madera County, California","157,672","76,573","81,099","10,369","21,751","20,236","18,092","9,168","8,055",34.3,"91,939","52,548","5,042",963,"3,619",0,"50,971",56305,44484,N,37469,63619,51677,61266,33045,56081,64853,46088,60189,35650,503.0
6041,"Marin County, California","259,666","127,299","132,367","12,234","21,615","30,254","41,427","19,092","20,252",47.4,"41,846","184,668","6,289",189,"16,293",466,"113,175",126373,104954,98750,-,120368,85055,131172,63883,140811,150596,86917,155890,60930,108.0
6045,"Mendocino County, California","87,606","43,017","44,589","5,363","8,603","10,221","10,449","6,144","6,896",42.9,"22,445","56,655",294,"2,747","2,086",153,"40,934",51830,33794,-,52780,46442,48687,54852,42182,50063,56478,48551,63009,31598,140.0
6047,"Merced County, California","274,765","138,520","136,245","20,849","39,712","33,806","31,279","14,610","12,859",31.4,"165,438","74,335","8,095",677,"19,656","1,094","85,766",57745,79487,27452,24395,68924,51314,74226,30521,59268,67402,42311,63472,31420,630.0
6053,"Monterey County, California","435,594","221,011","214,583","31,653","61,898","57,220","51,007","24,421","23,872",34.7,"257,572","128,610","10,904","1,019","24,563","2,138","142,414",70681,126299,59575,68354,71151,60646,90069,47068,66264,86868,62802,77394,44104,571.0
6055,"Napa County, California","139,417","69,694","69,723","8,766","17,324","16,622","18,347","9,381","9,283",41.1,"48,101","72,193","2,185",267,"12,192",202,"55,465",87025,47315,80156,N,124242,57036,97856,55703,90313,103993,66096,97069,56561,102.0
6057,"Nevada County, California","99,696","48,808","50,888","3,523","9,913","11,461","11,607","7,941","8,838",50.5,"9,644","84,666",534,258,"1,249",158,"54,264",66299,41447,-,-,N,69785,65422,-,75779,74613,55269,85930,36367,390.0
6059,"Orange County, California","3,185,968","1,573,189","1,612,779","210,595","459,850","413,319","445,819","216,108","188,276",38.3,"1,088,251","1,271,280","52,756","5,677","660,343","9,549","1,111,321",89759,1040394,76167,87590,91372,68002,101714,44041,94516,106673,63253,102047,56926,4085.0
6061,"Placer County, California","393,149","193,296","199,853","20,967","42,313","50,977","52,876","26,922","26,373",42.3,"56,026","282,545","6,738","1,776","30,547",667,"167,122",88592,144691,104975,39277,130750,69837,87952,65650,94500,113828,56777,102462,46420,1881.0
6065,"Riverside County, California","2,450,758","1,221,553","1,229,205","168,706","342,125","314,730","305,460","151,371","129,839",35.8,"1,214,445","844,367","150,753","11,569","158,705","6,288","848,646",66964,728103,66006,63895,84827,56969,75531,32138,70182,79123,47839,76938,33989,7676.0
6067,"Sacramento County, California","1,540,975","752,842","788,133","96,515","241,376","205,883","191,894","95,497","93,133",36.4,"361,318","679,244","147,050","4,903","244,175","17,638","574,471",69767,543560,52063,49141,79290,57765,76783,40612,71701,81787,52515,81058,46855,3578.0
6071,"San Bernardino County, California","2,171,603","1,081,214","1,090,389","164,029","331,736","281,377","264,742","130,702","114,827",33.6,"1,171,925","604,263","170,058","7,899","152,494","6,321","725,921",63857,638647,54321,57357,83570,61213,67341,38105,66111,77111,45396,70981,36572,3915.0
6073,"San Diego County, California","3,343,364","1,682,808","1,660,556","252,462","551,187","447,365","413,803","204,120","191,483",36.1,"1,135,348","1,506,449","159,725","13,878","392,916","12,823","1,224,390",79079,1130911,55810,68294,94688,60309,89415,41270,82091,94333,59367,90981,53133,3489.0
6075,"San Francisco County, California","883,305","450,985","432,320","46,479","207,779","139,659","115,224","48,637","53,138",38.3,"134,664","353,507","43,953","1,187","301,051","2,085","401,478",112376,362827,30650,108677,88235,75829,153182,88494,162234,104138,51999,131253,88771,28.0
6077,"San Joaquin County, California","752,660","374,647","378,013","51,560","105,657","97,658","92,256","41,740","42,469",34.5,"315,571","233,360","52,745","1,281","118,346","4,023","245,561",64119,231917,50032,57007,82123,53797,74777,43044,64673,76361,51137,70745,38087,2920.0
6079,"San Luis Obispo County, California","284,010","143,754","140,256","30,716","32,991","30,489","30,268","18,654","20,083",39.6,"64,774","194,417","4,709","1,366","9,749",235,"122,971",71148,106198,100497,108247,52317,56785,75264,27061,80976,92391,65113,93540,44116,692.0
6081,"San Mateo County, California","769,545","381,684","387,861","40,911","114,903","110,968","106,201","51,485","48,096",39.9,"187,110","295,149","15,601","1,604","224,111","8,478","279,468",124425,259654,98905,101675,143984,84160,138288,78119,152668,143141,80772,144622,76920,320.0
6083,"Santa Barbara County, California","446,527","223,408","223,119","47,576","59,576","50,626","48,111","25,552","24,900",34.0,"204,686","195,842","9,100","2,380","23,802",129,"158,315",77472,146224,N,62269,86509,61630,93805,25565,73725,92659,75494,86170,50377,631.0
6085,"Santa Clara County, California","1,937,570","982,419","955,151","120,084","313,724","279,888","266,453","120,114","108,338",37.2,"490,505","599,193","46,971","2,953","717,418","5,970","678,530",126606,645108,78419,85907,153244,84287,134098,51960,147254,147722,69974,144690,76088,1915.0
6087,"Santa Cruz County, California","274,255","134,866","139,389","26,705","33,697","31,830","33,369","18,002","18,526",37.9,"93,439","155,302","2,721",436,"12,915",119,"106,718",86941,94994,92091,81909,61150,56169,101402,35165,86872,111654,64052,107017,49040,238.0
6089,"Shasta County, California","180,040","88,679","91,361","10,406","22,402","20,206","20,670","12,905","13,791",41.5,"18,560","142,589","2,035","3,662","5,654",332,"79,187",56280,68198,68475,30726,N,48404,58080,49274,62775,64795,44086,66468,29470,306.0
6095,"Solano County, California","446,610","222,472","224,138","27,916","65,529","56,418","55,683","30,130","30,533",38.5,"119,970","166,525","57,841","2,079","67,945","4,514","158,815",84395,152291,61443,101610,98394,81916,91772,41516,83743,100039,68900,94974,58341,954.0
6097,"Sonoma County, California","499,942","243,952","255,990","27,975","62,547","63,735","63,949","36,261","36,355",42.4,"135,779","313,990","7,319","2,321","20,826",935,"205,247",81395,187434,73043,105195,92467,57287,85838,39447,89351,99472,57797,98849,50032,3169.0
6099,"Stanislaus County, California","549,815","272,319","277,496","37,796","78,160","71,804","64,510","33,245","28,570",34.5,"258,334","225,566","15,920","2,862","27,668","4,358","182,305",60321,175171,66512,49212,66410,54058,65487,31242,66411,69646,43614,65936,37044,684.0
6101,"Sutter County, California","96,807","47,630","49,177","5,618","14,323","11,577","11,212","5,268","6,474",35.7,"30,526","43,853","2,001",672,"13,831","1,399","34,475",59121,31989,113403,53891,56441,50819,66008,45047,58850,71458,44529,65511,38658,97.0
6107,"Tulare County, California","465,861","234,322","231,539","32,982","65,271","59,236","51,088","22,936","24,067",31.4,"303,657","130,322","6,064","1,387","16,569",693,"150,217",48817,139197,40797,46990,51790,42252,61466,35917,49007,56016,40377,55369,25387,1206.0
6111,"Ventura County, California","850,967","420,907","430,060","57,191","114,056","106,498","111,368","61,658","50,837",38.4,"366,098","382,254","14,111","2,066","63,355","1,437","290,984",84566,271980,88478,80321,107328,70042,92482,53823,86168,99922,61641,94483,50398,625.0
6113,"Yolo County, California","220,408","107,008","113,400","31,778","28,702","25,985","23,215","11,640","11,078",31.1,"70,262","101,602","5,527",375,"31,243","1,102","78,527",68670,74428,55187,77470,67188,49716,79096,22090,77856,86481,64710,84770,37352,391.0
6115,"Yuba County, California","78,041","39,819","38,222","5,223","12,263","9,488","8,455","4,392","5,607",33.8,"22,428","42,283","2,090","1,010","5,626","1,025","28,688",46574,26191,86632,N,73595,41449,53994,35230,72649,46578,41697,61931,30672,373.0
8001,"Adams County, Colorado","511,868","258,354","253,514","32,517","83,714","75,370","63,044","31,568","24,442",34.0,"207,046","253,015","15,758","2,443","18,387",362,"175,623",70743,168361,59785,73322,71869,59963,77749,35291,75227,79221,49110,78329,44672,2415.0
8005,"Arapahoe County, Colorado","651,215","323,168","328,047","39,638","102,156","93,114","84,990","41,200","38,444",36.9,"126,911","388,194","68,094","2,743","38,609","1,485","254,250",76768,242141,57805,56419,76583,56252,86341,38353,79104,89706,56507,94416,47284,2202.0
8013,"Boulder County, Colorado","326,078","163,621","162,457","32,819","46,112","40,454","41,905","19,776","21,883",36.6,"45,370","252,290","2,697","1,361","14,360",66,"137,465",83755,128295,49244,N,91086,61950,87735,22644,91014,110151,63254,111828,47151,899.0
8014,"Broomfield County, Colorado","69,267","34,710","34,557","3,043","10,986","10,576","9,828","5,133","3,131",37.5,"8,730","52,849","1,103",96,"4,951",0,"28,935",95800,28530,N,-,156840,66064,98350,34114,88681,114955,64367,120022,60963,587.0
8031,"Denver County, Colorado","716,492","358,836","357,656","42,638","167,260","114,707","82,846","36,433","34,337",34.6,"212,562","388,778","60,726","3,508","26,332","1,109","330,884",68377,310324,35973,32330,71773,54168,82078,41229,79170,70497,45728,90020,54571,2428.0
8035,"Douglas County, Colorado","342,776","171,478","171,298","17,236","38,066","51,438","55,309","24,119","19,583",39.1,"30,763","280,060","5,099","1,065","15,885",87,"128,744",119615,125035,59887,131729,121644,109856,120313,51883,122818,142486,77274,138080,57487,2709.0
8041,"El Paso County, Colorado","713,856","360,752","353,104","57,329","114,785","90,568","83,879","44,027","39,489",34.3,"124,622","490,508","43,624","2,645","20,429","1,937","275,393",68119,260851,52181,61410,67793,53492,72023,44522,70601,81914,52601,78805,39703,4081.0
8059,"Jefferson County, Colorado","580,233","288,616","291,617","32,720","85,706","79,940","75,593","41,960","41,607",40.3,"89,889","451,104","5,829","3,117","18,056",89,"243,016",85890,233272,49660,64241,90577,62216,89453,49770,95736,99322,59836,107501,51060,1008.0
8069,"Larimer County, Colorado","350,518","174,084","176,434","35,528","52,464","43,058","38,390","21,485","22,277",36.4,"40,855","288,081","3,222","1,276","7,686",214,"151,840",71091,139382,51048,N,60449,60986,73330,35142,82792,91543,50962,91755,46504,1679.0
8077,"Mesa County, Colorado","153,207","74,894","78,313","9,896","18,758","18,334","17,734","10,989","10,056",41.0,"22,657","124,158","1,160","1,374","1,956",14,"67,215",49848,61848,116366,N,N,27906,53496,40164,60160,62274,40594,67031,31930,822.0
8101,"Pueblo County, Colorado","167,529","81,804","85,725","10,044","21,666","20,602","19,705","10,331","11,946",39.4,"72,189","86,854","3,124","1,053",926,0,"71,451",48468,64954,73365,27232,43594,44832,50537,17868,55020,55837,35054,58695,25869,479.0
8123,"Weld County, Colorado","314,305","158,125","156,180","19,518","47,414","42,688","38,072","16,632","19,588",34.6,"93,184","205,376","4,143",919,"4,515",986,"112,472",75938,107929,20922,86127,61167,65650,81749,47636,80891,91921,46519,85818,41870,3194.0
9001,"Fairfield County, Connecticut","943,823","459,662","484,161","59,920","107,630","117,323","138,237","69,219","63,581",40.8,"190,436","576,736","100,240","1,309","51,812",244,"374,480",91079,345634,55117,N,108144,49391,114927,41830,90983,120295,61304,115811,50179,753.0
