GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS
1003,"Baldwin County, Alabama","223,234","109,192","114,042","11,292","24,401","28,477","27,285","16,425","15,441",43.0,"10,534","185,180","18,338","1,744","2,160",0,"119,425",56439,82325,40790,39100,N,N,62329,24893,64972,61741,49032,76892,37494,2740.0
1015,"Calhoun County, Alabama","113,605","54,285","59,320","6,973","14,981","14,394","13,354","7,389","8,410",39.6,"4,614",N,N,N,N,N,"53,809",48156,44636,33935,-,-,N,55072,16171,61110,50202,37040,61918,26143,105.0
1043,"Cullman County, Alabama","83,768","40,579","43,189","4,603","10,588","10,281","11,351","5,052","6,100",41.9,"3,752",N,N,N,N,N,"38,256",50906,32090,N,-,N,N,51224,41773,61643,57912,32419,60886,22464,180.0
1049,"DeKalb County, Alabama","71,513","35,688","35,825","4,989","8,436","9,017","8,771","5,006","3,839",37.7,"10,775",N,N,N,N,N,"31,606",44208,24880,-,N,-,26147,47865,22140,50911,51423,32713,54871,21213,56.0
1051,"Elmore County, Alabama","81,209","40,060","41,149","4,038","13,121","10,084","10,573","4,689","6,325",39.0,"2,563","59,236","17,768",204,884,0,"34,481",61854,30712,38482,-,N,N,70250,23267,61480,76172,51400,76574,34964,66.0
1055,"Etowah County, Alabama","102,268","49,278","52,990","6,416","12,286","11,934","13,583","6,472","7,475",41.5,"4,230","79,046","16,040",290,796,12,"47,855",41447,40053,26974,-,N,47426,44789,28805,47021,48998,31734,53690,23712,71.0
1069,"Houston County, Alabama","105,882","50,666","55,216","5,776","13,868","13,214","13,080","7,868","6,403",40.4,"3,632","68,466","29,624",93,946,31,"48,138",50103,39761,28995,-,N,34017,59011,23545,48989,57556,43649,62034,30245,325.0
1073,"Jefferson County, Alabama","658,573","310,898","347,675","40,872","95,477","84,192","78,226","41,062","44,565",38.3,"26,873","325,182","284,113","1,069","11,464",0,"309,673",53944,264753,38791,15511,70570,33613,71236,28083,56603,61887,46612,70617,31870,1625.0
1077,"Lauderdale County, Alabama","92,729","44,783","47,946","7,566","10,833","10,597","11,009","5,949","6,655",40.4,"2,652",N,N,N,N,N,"45,616",46632,38761,35082,-,-,77106,50799,11373,47980,67311,39051,65564,26571,80.0
1081,"Lee County, Alabama","164,542","82,405","82,137","20,499","22,519","22,401","17,816","9,312","8,533",33.3,"6,092","111,364","37,277",586,"6,738",0,"71,228",53712,64448,40402,-,40175,42270,59336,11475,63232,66402,54939,80982,22163,1129.0
