GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
8077,"Mesa County, Colorado","148,513","72,777","75,736","10,634","19,841","16,777","17,549","10,413","9,273",37.9,"21,312","121,102","1,130",194,701,"64,245",51465,59066,82991,120973,44471,52060,20635,56612,61154,45832,60630,32266,446.0,198800,2.3,23.6,38.9,32.0,27.4,74906,7.4
8101,"Pueblo County, Colorado","163,591","81,450","82,141","11,206","20,188","19,351","20,064","11,059","11,179",38.9,"69,898","85,656","2,747","1,338","1,221","70,142",40050,61876,50040,31132,35361,46270,18358,42262,51092,34941,52495,24952,200.0,148000,6.7,15.4,18.1,24.9,23.5,72860,9.7
9001,"Fairfield County, Connecticut","948,053","461,820","486,233","60,137","109,474","121,134","147,382","71,508","53,961",40.0,"180,834","593,110","100,185",675,"48,392","366,129",86414,333528,45521,110570,48679,102183,21881,90425,105530,55684,105514,45454,800.0,420900,19.9,46.4,48.9,49.0,38.4,512048,7.7
9003,"Hartford County, Connecticut","895,841","435,000","460,841","59,071","116,757","109,780","130,410","66,010","55,470",40.3,"155,578","560,249","117,322",729,"43,091","374,963",69622,343884,46163,86347,36376,81423,34677,75116,85112,46979,87080,38602,491.0,238500,14.5,47.6,40.2,36.7,27.9,480911,7.0
9005,"Litchfield County, Connecticut","183,603","90,606","92,997","9,164","19,039","19,507","30,309","15,852","15,606",47.0,"10,376","164,274","2,739",373,"3,548","87,398",70667,73360,51647,83056,70131,71313,40949,70585,87237,45524,91814,40154,101.0,248300,23.3,39.5,38.5,33.2,28.1,102530,5.7
9007,"Middlesex County, Connecticut","164,063","80,030","84,033","10,832","17,370","18,600","26,209","14,180","11,721",44.9,"9,994","137,877","7,851",0,"4,775","75,374",83530,65375,46515,98456,75500,86297,38288,90228,100266,47845,102553,47582,141.0,282700,12.7,51.2,46.8,38.4,33.3,92903,5.6
9009,"New Haven County, Connecticut","859,470","414,789","444,681","60,520","114,008","102,221","124,489","61,353","55,322",40.0,"148,257","551,654","107,323",944,"36,396","362,707",61760,323270,37939,82578,40399,71863,32296,60621,80922,45403,81778,40011,422.0,244400,14.2,40.8,38.4,32.8,28.5,460175,6.9
9011,"New London County, Connecticut","271,863","136,633","135,230","20,288","34,844","31,269","39,363","19,857","19,185",40.8,"27,917","205,997","13,477","1,408","10,892","121,660",65764,105376,50305,75217,37489,71042,34412,62024,81205,57361,82064,41100,238.0,240900,7.7,33.6,35.1,32.2,34.3,149771,8.1
9013,"Tolland County, Connecticut","151,420","75,842","75,578","18,337","15,911","15,762","21,407","11,563","9,067",37.6,"7,875","129,326","4,687",93,"7,032","58,645",82168,55354,39113,70775,70948,85650,16250,91315,102986,51806,103365,40236,156.0,246900,9.0,57.1,49.1,39.1,29.0,87426,5.0
10003,"New Castle County, Delaware","556,779","269,265","287,514","37,994","80,025","69,394","78,668","39,843","32,816",37.7,"52,834","326,876","132,792",930,"29,840","221,606",66256,202813,47694,107816,50812,72198,37111,70540,80221,47863,82208,39131,1246.0,250800,13.1,39.4,41.5,35.0,28.9,295546,5.7
