GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
13073,"Columbia County, Georgia","144,052","69,957","74,095","8,656","20,746","19,852","18,915","9,220","7,626",35.9,"9,434","99,786","23,404",0,"4,170","54,563",75440,46821,53576,101378,55689,79709,46502,69389,87874,69377,78906,56569,1396.0,185500,9.3,32.6,35.3,36.2,37.2,70253,6.9
13089,"DeKalb County, Georgia","734,871","348,099","386,772","50,189","122,419","108,668","100,679","44,810","40,544",35.5,"64,515","217,375","390,638","1,925","43,753","308,133",54057,276631,45449,70676,40019,78548,21748,55850,62575,42299,63189,43760,900.0,176800,14.3,44.5,45.5,41.3,36.3,401740,8.2
13117,"Forsyth County, Georgia","212,438","106,198","106,240","10,126","21,066","35,930","33,897","12,577","9,485",38.1,"20,399","159,092","6,022",238,"21,652","74,086",94537,70033,85110,122044,54797,95886,65413,101083,109375,51946,104031,38034,2984.0,299200,14.1,45.9,57.7,48.7,35.0,109465,4.8
13121,"Fulton County, Georgia","1,010,562","489,263","521,299","75,674","164,883","148,425","141,049","59,258","51,170",35.2,"75,760","404,945","442,841","2,113","68,596","456,018",60291,392794,37527,100214,54234,91843,20861,61243,76120,44351,81812,42482,3016.0,274700,17.6,53.2,51.6,50.4,41.3,547365,7.0
13135,"Gwinnett County, Georgia","895,823","438,327","457,496","59,188","118,751","135,129","133,881","49,500","48,840",34.9,"183,546","353,230","232,188","1,404","101,744","301,822",61732,284631,56799,57929,42746,75669,28199,55559,73616,50715,67159,40900,3285.0,183200,8.9,34.3,37.3,36.2,31.4,467071,5.9
13139,"Hall County, Georgia","193,535","96,574","96,961","12,953","25,172","24,790","26,804","12,345","9,539",36.0,"53,581","118,997","14,374",280,"3,483","70,098",55009,63989,37429,61310,47095,59033,29284,50043,70707,46018,60909,30941,906.0,173600,2.6,17.0,16.9,28.1,23.4,91529,5.0
13151,"Henry County, Georgia","217,739","103,330","114,409","15,912","24,150","31,378","34,034","14,671","10,167",36.5,"14,093","101,757","89,254",0,"6,668","78,484",65342,71681,58747,69673,43795,71070,38991,65752,75658,47898,70257,33878,1265.0,153300,5.5,28.9,31.6,28.2,23.8,105071,7.4
13153,"Houston County, Georgia","150,033","72,273","77,760","11,144","21,581","19,899","20,826","9,731","6,633",35.6,"9,991","86,051","43,992",266,"4,606","61,014",55044,56042,45899,82744,68435,61009,33659,55896,67038,38526,63595,32885,688.0,134400,7.5,22.9,19.5,22.0,19.1,76296,9.5
13179,"Liberty County, Georgia","62,467","32,911","29,556","7,310","11,754","7,061","6,207","3,100","2,309",28.1,"7,791","25,460","24,584",278,"1,471","27,372",36573,22282,33339,62885,32016,39119,26171,39249,40301,39027,38413,28582,207.0,118300,2.3,15.6,29.2,15.2,10.3,29821,13.5
13185,"Lowndes County, Georgia","112,865","55,165","57,700","13,537","18,216","12,423","12,482","5,674","5,064",29.9,"6,298","61,694","40,706",80,"2,171","45,939",34455,37760,23891,61520,30819,41572,22728,39949,39565,25965,46447,20993,537.0,139200,6.1,22.7,20.1,22.1,25.3,51501,9.7
13215,"Muscogee County, Georgia","200,579","98,785","101,794","16,740","33,055","25,438","23,095","12,053","10,779",33.7,"15,180","83,725","89,814",660,"4,487","84,283",41859,73961,30805,59212,30373,51039,22392,47310,42993,35695,51492,25588,290.0,137000,6.2,30.3,27.0,22.4,17.9,94347,10.9
13245,"Richmond County, Georgia","201,793","97,371","104,422","16,562","33,523","22,925","23,710","13,369","11,566",33.7,"9,649","72,306","111,696",480,"3,770","87,612",41672,71156,31109,42354,41435,54796,11317,43297,45525,36289,48526,26881,423.0,102200,6.3,25.3,21.1,19.1,19.9,94055,9.2
13285,"Troup County, Georgia","69,763","33,065","36,698","4,726","8,770","8,883","8,986","4,213","4,425",35.9,"2,579","39,966","24,596",256,"1,193","28,319",39067,25092,21929,66250,48257,49016,8827,40600,44136,29102,47909,16503,106.0,125300,0.0,20.5,11.4,21.9,11.1,32473,12.4
13313,"Whitfield County, Georgia","104,216","51,583","52,633","7,131","14,421","13,730","13,456","6,466","5,390",34.9,"35,323","61,791","4,605",233,"1,556","39,640",45894,34544,49454,58614,45240,45529,28999,45513,58471,32927,52195,26134,111.0,130600,3.4,13.1,12.4,13.1,18.5,50938,4.6
15003,"Honolulu County, Hawaii","998,714","507,945","490,769","79,865","159,942","124,108","120,351","62,579","52,599",36.5,"97,642","193,839","25,467",780,"407,726","344,075",77273,307703,68663,80114,64230,80284,36388,76595,92458,68608,91111,46035,982.0,629900,8.6,33.3,37.8,33.1,29.8,538236,4.8
16001,"Ada County, Idaho","434,211","217,901","216,310","27,513","62,225","61,682","56,467","28,109","23,530",36.4,"34,729","369,361","5,528","1,603","9,807","170,856",57399,163585,50111,76949,46925,58639,27940,57169,74882,41800,77752,29375,3055.0,218900,6.1,34.6,42.8,37.2,34.4,224258,5.0
17019,"Champaign County, Illinois","208,861","104,528","104,333","34,023","30,154","23,038","20,781","11,674","10,750",29.7,"11,976","142,395","26,360",277,"22,294","90,482",50252,79673,30951,31304,46675,55462,7913,51316,74111,54088,77086,27025,298.0,157800,11.3,55.2,50.3,42.5,36.0,106475,4.5
17031,"Cook County, Illinois","5,238,216","2,540,335","2,697,881","360,609","850,997","712,746","682,563","341,714","295,294",36.3,"1,319,257","2,227,039","1,221,338","5,272","365,463","2,178,368",56851,1954712,33234,71254,47256,75447,29162,63854,67775,36567,70478,38813,1735.0,230900,15.2,47.3,40.1,33.3,25.8,2750320,8.3
17043,"DuPage County, Illinois","933,736","458,275","475,461","60,764","117,690","120,626","136,912","68,702","59,791",39.1,"133,844","629,632","44,373",484,"106,472","358,143",81559,338852,56855,100673,60942,84948,35142,83976,100904,53931,101022,46389,1077.0,293500,18.3,50.1,50.9,47.1,35.0,514477,4.6
17089,"Kane County, Illinois","530,847","264,712","266,135","34,142","63,188","73,713","76,170","34,051","28,875",36.7,"167,343","305,685","28,894",292,"20,906","184,941",70359,175512,36285,90903,48775,85577,43233,66803,91384,51896,85373,40165,1109.0,229000,10.7,27.9,32.1,33.2,29.1,281038,5.3
17097,"Lake County, Illinois","703,910","351,346","352,564","50,773","76,290","89,796","106,957","49,375","43,450",38.2,"149,671","441,196","48,479",417,"49,659","262,353",82113,242179,42460,105527,51475,92467,27839,77109,103082,57726,97699,43555,536.0,258100,14.4,38.6,47.8,47.1,39.3,382809,5.8
17111,"McHenry County, Illinois","307,343","153,007","154,336","19,576","32,811","39,923","51,114","23,620","18,896",40.1,"38,799","251,234","4,754",94,"9,092","117,366",80125,111124,64762,88615,67009,81176,49891,80300,94737,51625,91043,50086,337.0,205300,13.6,34.7,33.2,34.1,27.4,170603,4.2
17113,"McLean County, Illinois","173,166","84,201","88,965","21,039","22,487","21,252","20,426","9,683","9,903",33.0,"8,350","138,543","14,157",307,"8,196","71,552",65304,66340,27092,92425,39849,70700,23867,68682,90545,52059,86952,32085,220.0,168500,7.1,51.0,53.3,47.7,31.7,95334,3.7
17119,"Madison County, Illinois","266,209","129,916","136,293","16,154","35,710","33,386","36,835","19,434","18,136",39.8,"8,273","227,476","22,911",678,"2,302","118,474",52664,106573,36797,19426,36879,54780,29191,55856,62770,40384,65893,33804,367.0,130300,9.0,27.6,28.9,23.8,21.3,133960,7.3
17143,"Peoria County, Illinois","186,221","89,943","96,278","12,931","27,304","21,862","22,931","12,358","11,802",36.5,"8,639","131,532","31,762",326,"7,155","83,568",53837,75317,27271,92606,31358,59256,17417,55287,66052,42397,70124,34091,116.0,136500,9.6,39.5,35.6,26.7,21.6,93563,8.5
17161,"Rock Island County, Illinois","146,133","71,884","74,249","8,987","17,308","17,206","18,645","10,837","9,619",40.3,"18,554","106,388","13,277",342,"3,525","65,867",50542,60000,33462,67222,48418,52806,30037,51741,67773,39523,62222,31689,72.0,113400,10.4,29.3,17.8,22.2,21.8,74097,6.8
17163,"St. Clair County, Illinois","264,052","127,475","136,577","16,596","34,753","33,544","36,725","17,381","18,047",37.7,"10,415","164,157","78,669",88,"3,683","118,842",50347,101743,30294,79120,39992,61977,22370,59414,64080,35504,69189,27964,389.0,115000,6.0,22.8,40.1,26.1,18.9,133493,9.4
17167,"Sangamon County, Illinois","198,712","95,342","103,370","11,776","25,420","23,770","27,257","14,524","13,231",39.4,"4,533","160,275","23,492",71,"4,133","90,789",57576,83023,30817,75000,61484,61446,18333,56231,72050,44410,73530,37723,263.0,133700,16.7,37.3,36.4,34.5,30.9,100490,7.1
17183,"Vermilion County, Illinois","79,282","39,071","40,211","4,543","10,054","9,507","9,482","6,406","4,073",39.3,"3,840","62,427","11,264",175,540,"35,941",45098,30927,27169,52172,35261,48055,15350,42311,55472,42316,55361,31085,7.0,73800,0.6,12.6,8.9,13.3,15.8,34510,7.4
17197,"Will County, Illinois","687,263","341,231","346,032","44,887","79,026","97,866","106,029","45,814","35,735",37.4,"115,412","443,980","78,047",636,"35,806","240,820",75992,224646,48445,114282,56745,83201,46003,81103,90199,46555,90239,41859,1073.0,213700,12.8,35.6,40.7,32.5,24.1,364504,5.9
17199,"Williamson County, Illinois","67,466","33,747","33,719","4,530","8,616","8,205","8,998","4,728","4,311",40.3,"1,731","60,842","2,568",114,550,"30,872",48736,25680,110332,221481,176029,48409,12240,55147,57373,36952,60849,24089,72.0,97400,7.8,24.1,21.0,21.7,20.8,29440,6.5
17201,"Winnebago County, Illinois","287,078","140,036","147,042","18,232","35,082","35,186","39,169","18,816","20,324",39.7,"35,219","201,133","35,873",529,"7,070","125,450",49578,113695,32026,76804,40824,52864,27667,51378,61791,36915,62212,29588,78.0,117800,9.0,28.4,22.2,23.1,16.8,144929,9.4
18003,"Allen County, Indiana","368,450","180,167","188,283","24,623","48,803","46,080","47,262","25,617","20,163",35.8,"26,832","274,515","40,333",961,"12,389","155,307",49754,142476,30734,37486,39329,54120,27552,53291,57695,39549,61227,30395,879.0,123100,9.6,31.9,30.3,27.6,23.4,187026,5.9
18039,"Elkhart County, Indiana","203,474","100,515","102,959","13,905","25,155","26,261","25,065","13,102","10,358",35.3,"31,087","153,038","12,157",830,"2,820","78,023",49556,68498,25605,69402,28847,53179,25857,52612,60356,36531,58019,30468,307.0,134900,4.4,17.4,16.6,19.0,19.6,96527,4.0
18043,"Floyd County, Indiana","76,778","36,966","39,812","4,679","8,951","9,825","11,163","5,994","4,846",40.2,"2,246","67,718","4,096",411,774,"32,404",58096,29246,12629,88401,48966,61639,20987,62148,73479,40932,73014,29035,187.0,159900,5.9,28.5,35.2,29.0,21.9,40019,4.9
18057,"Hamilton County, Indiana","309,697","151,289","158,408","15,425","37,349","47,411","46,080","19,822","15,622",36.6,"12,043","261,242","11,355",50,"17,889","119,806",90613,113267,67681,152283,66216,90241,35378,97544,103063,52657,109790,47985,1916.0,235500,18.5,61.2,64.3,56.5,36.6,170456,2.7
18063,"Hendricks County, Indiana","158,192","76,742","81,450","9,576","20,428","22,653","22,419","10,464","8,495",36.9,"5,851","135,593","9,165",881,"4,415","59,370",73050,56088,45509,77344,58692,75640,35304,76937,85581,37496,86598,35343,745.0,169500,8.5,41.1,52.2,35.4,21.3,88169,3.4
18089,"Lake County, Indiana","487,865","236,070","251,795","31,991","59,715","61,869","64,471","35,376","31,446",38.5,"89,372","265,771","114,168",652,"7,187","210,884",50582,186564,33651,78069,49894,58796,21849,50995,63710,40088,61500,31400,830.0,138900,6.2,25.1,23.5,22.5,16.0,236019,8.6
18097,"Marion County, Indiana","939,020","452,956","486,064","67,754","154,910","120,639","119,196","60,091","52,091",34.2,"93,434","535,868","253,048","2,507","27,100","419,851",41226,365296,30826,48650,31258,49820,25773,41816,48029,33933,55378,30490,813.0,122400,11.7,35.2,29.8,27.5,23.7,491662,8.0
18105,"Monroe County, Indiana","144,705","71,557","73,148","28,637","21,185","14,010","14,573","8,038","6,427",28.0,"5,002","121,420","3,772",143,"9,680","60,539",45062,54598,27778,"2,500-",36602,48426,13491,48916,66083,46758,71942,25322,246.0,163500,16.2,51.0,43.8,45.1,43.3,76472,6.4
18157,"Tippecanoe County, Indiana","185,826","94,668","91,158","33,918","25,082","20,401","19,066","7,371","10,701",28.0,"15,106","143,462","8,535",302,"14,279","74,803",50224,69857,20741,26429,42444,53749,18899,55965,66285,46006,67004,31621,406.0,144100,12.3,45.6,27.5,36.7,27.0,99190,4.5
19013,"Black Hawk County, Iowa","133,455","65,837","67,618","14,801","18,063","14,072","14,816","8,269","8,499",34.6,"5,578","109,948","12,230",320,"1,902","57,073",50169,52253,26320,35043,35802,52643,26931,54289,63178,42571,63025,31950,226.0,140500,9.4,32.4,34.0,27.5,25.7,71480,3.2
19153,"Polk County, Iowa","467,711","230,049","237,662","30,055","72,043","63,395","61,661","28,445","26,427",35.2,"38,305","368,430","29,185",948,"18,941","195,133",60176,182948,28173,57238,40063,63548,31222,61367,71834,43481,71481,37827,2466.0,159800,12.2,42.3,37.9,32.6,27.0,263574,5.7
19163,"Scott County, Iowa","172,126","85,162","86,964","10,423","23,199","21,661","23,051","11,809","11,001",38.4,"10,988","139,238","12,544",89,"4,525","73,279",57831,68835,50927,75562,40899,60315,29540,61503,69348,44350,71326,31780,319.0,154200,11.1,34.9,42.5,27.2,22.9,87914,3.9
20091,"Johnson County, Kansas","580,159","284,781","295,378","33,838","79,864","80,316","79,990","40,212","31,764",37.4,"43,202","466,999","26,389","1,146","27,660","235,549",82892,222277,49333,85484,54430,87802,41438,86243,101740,57854,102020,45622,1600.0,230900,15.7,61.0,59.8,54.6,46.5,323942,3.4
20103,"Leavenworth County, Kansas","79,315","42,050","37,265","5,785","10,627","10,617","11,071","4,919","4,891",37.3,"5,583","62,579","6,860",216,"1,125","29,252",60423,27298,48104,105475,52134,63001,22393,58239,83670,43701,70066,35328,212.0,170500,10.3,33.1,26.1,30.6,21.7,37306,3.9
20161,"Riley County, Kansas","75,247","39,243","36,004","17,463","14,340","6,856","4,421","3,290","2,206",24.7,"6,252","57,573","3,890",419,"3,611","30,146",46677,26438,45776,30378,31624,51104,21584,52788,56949,58449,70217,31214,171.0,187400,8.8,41.4,43.1,43.3,42.7,43386,8.2
20173,"Sedgwick County, Kansas","511,574","254,233","257,341","37,186","73,145","61,501","62,709","33,887","29,884",34.9,"72,251","349,765","48,049","4,398","24,107","215,199",50840,193145,26795,59169,35445,56056,23096,51189,60738,41437,64848,28445,946.0,129900,7.7,30.1,29.8,27.0,24.3,258183,4.7
20177,"Shawnee County, Kansas","178,725","86,619","92,106","12,039","22,762","21,117","21,423","11,934","12,404",38.3,"21,320","133,021","13,581","1,287","2,616","79,558",51123,71370,26024,81632,35716,56337,23906,54713,66243,41323,65603,30382,230.0,129300,7.1,32.9,31.5,31.5,25.6,89619,6.2
20209,"Wyandotte County, Kansas","163,369","80,894","82,475","11,167","23,581","20,802","20,172","9,785","9,398",33.7,"45,288","68,775","37,205",496,"6,515","67,682",41800,59281,31417,36755,38741,49231,31290,45771,43121,33876,49728,27367,159.0,89300,6.5,22.5,12.7,13.9,16.0,81694,7.1
21037,"Campbell County, Kentucky","92,066","45,517","46,549","6,844","12,732","11,148","12,844","6,528","5,913",38.1,"1,728","84,834","3,051",15,936,"39,950",51208,35682,31055,37862,22924,52082,23488,58523,60889,37749,66916,33747,198.0,164100,17.2,43.1,35.7,32.7,18.0,48632,3.8
21047,"Christian County, Kentucky","73,309","38,336","34,973","9,299","13,219","7,243","6,584","3,614","2,821",28.3,"5,469","48,791","15,001",467,815,"29,761",39827,25346,28668,71389,47438,41292,47108,37306,40216,39039,45611,25152,55.0,104500,1.5,9.2,18.2,23.1,20.7,33893,7.1
21067,"Fayette County, Kentucky","314,488","154,032","160,456","34,406","48,573","42,823","37,835","18,147","17,684",34.4,"21,766","226,587","44,353",186,"11,062","139,840",51948,129088,30538,61917,35591,60343,22151,54832,66742,44123,67855,31433,629.0,170200,13.2,48.0,46.8,37.2,36.0,170463,4.8
21111,"Jefferson County, Kentucky","763,623","369,238","394,385","49,104","110,490","96,692","101,520","53,515","48,932",38.1,"37,358","525,085","158,164","1,340","19,277","343,243",51259,308588,31402,66196,46378,57493,25817,55107,60260,39957,66499,32390,950.0,155700,9.8,40.8,39.4,31.2,25.9,399484,6.0
21117,"Kenton County, Kentucky","165,012","81,733","83,279","9,931","24,503","21,426","22,804","11,430","9,471",36.5,"5,091","146,429","8,029",56,"2,392","69,706",52043,63060,28051,66332,34477,53831,27861,54363,69361,39865,67908,35417,252.0,148000,13.4,33.0,33.5,26.0,19.8,87539,5.5
21227,"Warren County, Kentucky","122,851","59,339","63,512","13,503","16,185","15,605","14,829","6,942","6,953",33.4,"6,252","97,817","11,579",212,"4,427","50,293",44679,45771,29870,39104,34615,49063,21003,54593,51362,36037,56539,25332,544.0,144100,9.8,35.1,32.0,31.9,21.8,60856,6.9
22005,"Ascension Parish, Louisiana","119,455","58,290","61,165","6,860","17,272","17,755","15,508","7,376","6,079",34.5,"6,222","82,437","22,626",42,794,"45,021",76632,40610,56029,95944,79360,80502,68851,91029,90419,42906,91749,39367,853.0,183300,4.7,34.3,37.0,20.3,16.3,60629,6.7
22015,"Bossier Parish, Louisiana","125,175","62,104","63,071","9,256","20,225","15,860","15,571","6,864","7,297",34.6,"8,321","84,191","26,734",634,"2,263","55,370",56140,48942,38745,53615,54886,62397,32542,65444,61006,30965,66080,30106,557.0,168500,6.8,25.2,35.8,22.7,12.1,62696,5.4
22017,"Caddo Parish, Louisiana","251,460","119,266","132,194","17,019","35,331","29,287","31,082","17,518","15,414",37.3,"7,138","115,416","121,576",550,"3,379","112,877",41040,95857,27801,46198,35759,58539,25671,36523,51766,34831,55714,25052,333.0,144600,7.6,19.0,26.1,25.4,23.8,111573,6.1
22019,"Calcasieu Parish, Louisiana","198,788","97,384","101,404","14,084","29,159","23,722","24,725","13,520","11,758",35.9,"6,336","135,256","49,204",699,"2,868","86,928",45767,77182,29848,61544,42366,54898,43125,52289,55809,36167,56337,28795,741.0,140600,7.5,24.9,24.3,20.7,19.4,96089,6.3
22033,"East Baton Rouge Parish, Louisiana","446,753","214,417","232,336","50,382","66,573","51,310","51,220","28,934","23,897",33.6,"17,845","202,544","201,509",436,"15,548","192,441",50519,168609,35190,96377,55799,70116,22759,51895,64296,44294,66322,31851,1451.0,189800,12.3,38.3,35.3,34.3,30.0,235045,6.9
22045,"Iberia Parish, Louisiana","74,103","36,047","38,056","5,974","10,058","7,139","10,071","4,761","4,696",34.9,"3,053","43,636","22,322",0,"2,467","30,173",46365,26167,26441,90625,30783,58834,30310,45249,55344,34561,54691,24438,81.0,95800,7.2,6.5,13.2,9.8,12.4,35297,11.8
22051,"Jefferson Parish, Louisiana","436,275","212,478","223,797","26,989","64,268","54,330","59,202","32,532","27,887",39.0,"61,838","233,170","112,817","1,099","18,434","189,190",49576,168889,35660,51865,40191,59150,31954,47580,59484,41741,59734,33378,390.0,181400,7.5,26.9,26.6,25.7,22.4,226663,5.7
22055,"Lafayette Parish, Louisiana","240,098","117,628","122,470","17,186","39,852","30,436","30,445","14,417","14,755",34.5,"11,073","158,497","61,759",581,"4,746","99,225",51981,90285,26363,66049,33670,65263,16402,66831,60427,31743,69544,28259,1534.0,172300,6.4,40.5,32.2,29.6,19.8,127126,5.2
22071,"Orleans Parish, Louisiana","389,617","185,736","203,881","28,623","72,223","50,260","49,603","27,466","24,055",35.9,"21,850","121,459","227,343",715,"12,027","193,041",39077,156591,26819,48866,37940,66607,15004,39087,44756,33586,55450,26886,127.0,216800,12.8,43.4,39.0,30.8,32.7,202654,8.5
22103,"St. Tammany Parish, Louisiana","250,088","121,674","128,414","13,254","29,172","32,525","35,481","18,406","16,505",39.7,"13,691","196,911","29,731",813,"4,106","100,057",63180,90895,40161,93431,64474,64475,26381,70138,75350,38718,74707,30997,1249.0,204700,5.0,34.1,29.7,30.8,28.2,124195,7.2
23001,"Androscoggin County, Maine","107,233","52,216","55,017","6,331","13,452","13,237","15,973","8,341","6,500",40.7,"1,909","97,871","1,191",36,937,"49,096",50338,45138,10246,44862,53488,51095,47763,52392,60170,33191,60671,27320,74.0,147500,5.3,24.1,22.8,22.1,15.7,56632,3.4
23031,"York County, Maine","201,169","97,942","103,227","11,158","23,203","22,483","30,750","16,784","15,500",45.0,"3,482","190,178","1,407",516,"2,299","107,760",61613,80852,57859,29897,58341,61967,33327,62335,71784,47859,72222,37523,683.0,238300,10.3,37.2,35.5,26.7,33.4,111558,4.5
24003,"Anne Arundel County, Maryland","564,195","279,055","285,140","37,783","81,172","73,236","83,411","39,397","33,201",37.9,"41,245","391,665","90,410","1,015","22,498","220,999",91230,205983,75081,98700,72924,97339,45444,91184,106827,63524,102426,60710,1565.0,345900,10.3,41.8,45.8,37.8,34.0,316488,4.6
24005,"Baltimore County, Maryland","831,128","393,637","437,491","54,162","116,267","101,050","112,401","60,056","51,970",38.8,"43,258","488,081","228,091","1,996","50,797","337,452",68775,311976,61215,73661,61997,72257,40193,73069,85595,48406,85259,45305,764.0,250200,12.9,40.7,44.0,37.0,32.6,441790,5.2
24009,"Calvert County, Maryland","90,595","44,837","45,758","5,899","9,626","10,898","15,423","8,096","5,626",40.6,"3,315","71,411","10,659",0,"1,480","34,770",106247,31170,67161,76691,161293,113440,66923,96067,132447,74862,120327,71059,327.0,345300,12.5,26.9,28.9,32.5,27.7,50645,5.4
24017,"Charles County, Maryland","156,118","75,320","80,798","10,635","19,818","20,799","25,838","10,600","8,468",37.9,"8,546","67,278","65,274",707,"5,477","58,871",88700,54855,82956,141230,110385,91219,54274,88572,110703,61990,100966,57251,926.0,287900,15.2,30.7,34.0,27.9,17.2,83263,3.1
24021,"Frederick County, Maryland","245,322","120,835","124,487","15,653","29,484","32,366","39,036","17,734","13,964",39.3,"21,379","183,306","21,766",388,"11,130","94,759",83819,89947,66130,92600,62434,90455,42288,82967,102005,56385,101203,45749,740.0,311800,22.0,40.6,44.4,37.1,31.2,138304,4.7
24025,"Harford County, Maryland","250,290","124,293","125,997","15,245","30,807","30,210","39,051","17,938","16,569",40.5,"10,740","192,119","33,375",518,"7,398","98,938",78050,92662,60207,59061,70194,81514,39192,81780,95525,46944,91523,41752,481.0,290600,12.8,37.0,45.8,35.3,24.5,135187,5.1
24027,"Howard County, Maryland","313,414","153,117","160,297","17,851","38,651","44,098","48,659","22,987","17,101",38.9,"20,420","169,452","55,742",683,"55,010","116,630",110892,110320,88082,125654,82294,119866,62420,111544,132088,78313,128398,67348,1113.0,441000,24.3,56.7,68.3,63.4,48.4,175565,3.6
24031,"Montgomery County, Maryland","1,040,116","501,379","538,737","60,254","137,409","144,320","150,747","70,751","64,461",38.9,"197,396","465,333","182,681","1,150","155,100","389,030",98917,371458,63862,105487,68126,122191,49143,92431,123263,76406,118567,60688,1367.0,474900,20.9,54.0,60.9,61.1,53.0,587446,4.8
24033,"Prince George's County, Maryland","909,535","438,431","471,104","66,707","137,230","124,084","130,622","59,687","53,022",36.2,"156,102","125,885","560,519","1,655","39,512","331,294",76741,304539,77320,75061,60451,91542,34281,73353,86478,65920,87493,55474,1438.0,272200,9.8,33.2,33.1,32.8,28.4,514095,6.0
24037,"St. Mary's County, Maryland","111,413","55,334","56,079","7,545","15,890","14,228","17,312","7,912","5,290",37.1,"5,461","83,479","15,706",32,"3,584","43,632",85163,39029,59253,86271,72089,96018,61112,95404,99613,50929,98119,61336,626.0,293700,13.0,38.4,39.2,33.7,20.1,59114,3.0
24510,"Baltimore city, Maryland","621,849","294,027","327,822","48,576","117,042","75,096","78,475","40,722","36,275",34.7,"29,953","175,273","380,555",743,"16,894","297,112",44165,238400,32704,46198,46291,69022,30383,51902,47414,30045,53340,31431,219.0,155600,14.1,41.5,35.2,23.3,20.5,301809,10.1
25003,"Berkshire County, Massachusetts","127,828","62,182","65,646","8,830","12,694","13,464","18,218","10,896","9,732",46.6,"5,452","113,746","3,760",206,"2,185","68,406",50765,55497,26226,23938,36496,52980,24252,52710,62614,41276,65297,28791,106.0,209400,9.8,29.3,34.7,33.2,31.7,68106,6.1
25005,"Bristol County, Massachusetts","556,772","271,146","285,626","39,390","69,081","69,356","84,007","40,570","34,527",40.9,"40,232","463,259","18,976",103,"12,099","231,614",60183,215123,46121,70515,27608,63879,27336,69452,73254,36430,76300,32460,641.0,275000,11.4,30.2,30.3,27.6,18.7,299431,7.3
25009,"Essex County, Massachusetts","776,043","374,358","401,685","52,312","92,520","94,966","114,389","58,905","49,081",40.6,"149,342","559,211","23,669","1,267","28,780","309,255",68455,288149,51165,91441,38919,76463,31062,71692,90967,43407,90231,37615,615.0,374400,14.9,35.5,43.2,41.0,32.5,422461,5.9
25011,"Franklin County, Massachusetts","70,601","34,382","36,219","4,289","8,353","8,649","9,974","7,058","5,325",45.3,"2,727","64,525","1,911",290,321,"33,692",58613,30207,"2,500-",98462,30526,59508,37714,61547,66361,43688,70099,37029,51.0,226800,9.8,38.2,42.6,32.3,30.1,38968,6.1
25013,"Hampden County, Massachusetts","470,690","227,973","242,717","35,962","61,043","53,354","64,527","33,645","29,724",38.4,"112,859","301,494","36,616",743,"9,851","191,985",51514,175526,40353,52938,23719,62338,20636,52924,67301,36271,65751,31888,236.0,197900,6.8,29.7,29.9,24.7,22.3,235142,6.7
25015,"Hampshire County, Massachusetts","161,292","75,502","85,790","23,055","17,425","16,686","20,611","10,627","10,600",37.1,"8,771","135,884","4,386",287,"8,763","63,017",60583,58093,15911,56044,37525,62281,20466,57899,77292,43778,88316,38099,169.0,281700,8.1,53.4,49.3,47.5,39.7,91239,6.4
25017,"Middlesex County, Massachusetts","1,585,139","773,598","811,541","109,330","240,658","208,889","229,069","105,937","96,392",38.5,"122,989","1,162,964","76,072","1,249","177,013","621,734",90267,584491,45949,101521,52616,95769,45154,100783,108186,52587,111610,52100,1617.0,450800,24.3,65.3,61.0,50.7,40.7,903267,4.0
