GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS
1003,"Baldwin County, Alabama","212,628","104,698","107,930","10,280","25,425","26,549","27,320","14,819","15,422",42.6,"9,675","176,582","19,925","2,172","2,485",0,"114,158",55342,79120,30849,40664,N,53473,62557,40657,61730,71021,43819,76285,30729,2207.0
1015,"Calhoun County, Alabama","114,728","55,339","59,389","6,906","15,103","14,286","14,449","7,419","8,350",39.4,"4,301","82,876","24,183",254,"1,176",0,"53,786",46763,44507,35378,N,N,40798,50211,24596,53565,54100,38838,57899,27426,69.0
1043,"Cullman County, Alabama","82,755","40,972","41,783","5,074","10,397","10,128","11,188","6,083","5,244",41.5,"3,585","76,228","1,076",0,414,0,"37,809",45044,30740,N,-,-,27475,46010,33720,49120,62656,32743,56217,28645,111.0
1049,"DeKalb County, Alabama","71,617","34,602","37,015","4,399","7,890","9,452","9,104","5,349","3,845",38.7,"10,625","57,439","1,109",693,0,0,"31,527",39373,25848,35877,63231,-,N,40407,38771,47557,47838,29478,48055,21676,34.0
1051,"Elmore County, Alabama","81,677","39,635","42,042","5,265","10,357","11,367","11,405","6,070","4,460",38.8,"2,446","59,263","18,029",304,400,0,"34,252",60558,29176,37677,-,-,N,69868,8698,66153,69650,49193,71226,40788,83.0
1055,"Etowah County, Alabama","102,755","49,230","53,525","5,983","12,259","12,597","13,546","6,065","8,172",41.2,"3,954","80,052","15,972",650,727,0,"47,751",41576,37091,21934,N,N,20854,48521,14270,53977,48462,34061,61206,19557,112.0
1069,"Houston County, Alabama","104,346","50,125","54,221","5,908","13,907","12,592","13,903","7,978","5,787",39.9,"3,507","69,622","27,889",112,807,0,"47,427",44529,39106,29479,N,N,34781,55449,26995,46373,53594,38577,60263,26147,353.0
1073,"Jefferson County, Alabama","659,197","311,204","347,993","43,549","93,773","82,879","82,277","42,428","45,671",37.6,"25,590","328,498","283,149","1,093","11,793",321,"308,822",50709,259324,33741,N,75568,41123,70189,29361,52631,60295,41405,64758,31590,1408.0
1077,"Lauderdale County, Alabama","92,538","43,447","49,091","7,254","11,256","10,280","11,766","6,392","5,917",40.9,"2,477",N,N,N,N,N,"44,834",45352,38215,31912,-,-,N,48503,19938,57034,57659,38132,59793,25359,95.0
1081,"Lee County, Alabama","161,604","78,585","83,019","20,248","24,102","18,031","19,075","9,089","7,722",31.8,"6,093","108,740","35,563",212,"6,321",0,"68,921",52943,58555,29383,N,48362,80286,64838,16806,50045,72257,51216,72030,27177,971.0
