GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",52003,72269,29810,53559,-,N,53457,51741,50270,58790,46814,65855,30964
01015,"Calhoun County, Alabama",42346,44323,25618,-,N,45322,50667,17135,44205,51786,39528,53927,24914
01043,"Cullman County, Alabama",37862,30798,N,-,120052,27123,38196,24302,39647,46639,29960,42825,20405
01049,"DeKalb County, Alabama",36559,26247,23409,N,-,32006,38754,32104,44538,42298,26063,43560,16779
01051,"Elmore County, Alabama",52502,29615,43297,-,N,26625,59483,28264,63820,66845,34530,68782,28121
01055,"Etowah County, Alabama",43346,39332,35327,-,-,N,44447,32254,47919,49089,32142,51350,25461
01069,"Houston County, Alabama",43553,38870,27921,63833,33424,43494,50696,22909,45079,50259,37058,52454,26907
01073,"Jefferson County, Alabama",48492,264781,32375,N,58563,43615,64294,21799,50535,59496,36906,63321,30154
01077,"Lauderdale County, Alabama",42577,38762,22707,-,-,27756,45721,21854,41392,57361,37040,57028,22382
01081,"Lee County, Alabama",46589,58191,27705,-,51224,30358,53968,14336,49718,69249,41429,63485,20747
01083,"Limestone County, Alabama",55009,31590,63604,-,N,41519,52497,20877,52102,77241,39337,68211,30977
01089,"Madison County, Alabama",58636,140959,37236,75059,83410,28220,67464,16869,56421,72042,48829,76469,35092
01095,"Marshall County, Alabama",40525,33972,38161,-,-,22096,44248,21643,39473,47782,36774,49981,21918
01097,"Mobile County, Alabama",42699,152938,29596,22150,41534,37700,54513,19297,47162,50758,37437,56732,24260
01101,"Montgomery County, Alabama",42477,90103,32787,-,55250,46471,61192,17064,38247,60914,39277,52943,30054
01103,"Morgan County, Alabama",47229,46990,26850,N,N,41453,53975,15500,51879,53442,38280,58750,28348
01115,"St. Clair County, Alabama",54484,31856,N,-,94811,N,54313,35817,63312,58399,38106,63270,32836
01117,"Shelby County, Alabama",70192,76798,62335,101378,N,39099,71711,27223,72948,85707,51043,85625,37524
01121,"Talladega County, Alabama",34451,31379,25609,-,-,-,40521,29132,40013,43281,28234,45890,20796
01125,"Tuscaloosa County, Alabama",49067,71195,32840,10688,N,50035,57415,20580,51933,56712,42686,59248,27969
01127,"Walker County, Alabama",35056,24452,25216,-,29051,30330,35988,16413,31324,49389,29003,49092,19777
02020,"Anchorage Municipality, Alaska",78662,104936,52261,52375,68456,63151,89805,41536,78594,98267,67599,94419,53809
02090,"Fairbanks North Star Borough, Alaska",72975,35475,52055,46418,47885,50061,77181,35047,71227,92593,60135,88211,46935
02170,"Matanuska-Susitna Borough, Alaska",76427,30665,N,60432,75729,91411,78650,28137,79698,86509,47643,87320,40961
04001,"Apache County, Arizona",29417,19855,-,25348,-,N,46403,"2,500-",38766,32485,21955,33365,16986
04003,"Cochise County, Arizona",43291,50202,76295,N,N,36839,47551,31023,52336,47367,37157,55443,23404
04005,"Coconino County, Arizona",53152,45911,N,45062,N,49321,62736,16240,66933,68536,40016,71254,28862
04013,"Maricopa County, Arizona",56004,1480327,40343,41176,75377,41528,62303,28813,58452,68173,44369,66305,37133
04015,"Mohave County, Arizona",40908,83801,N,35657,N,38792,41655,40502,47848,42173,38266,47035,25416
04017,"Navajo County, Arizona",37833,33772,45771,25055,35799,25700,50182,16332,34373,45349,37152,46714,20024
04019,"Pima County, Arizona",47099,395992,33409,29424,48815,39226,53325,22463,50252,56683,41940,57542,31191
04021,"Pinal County, Arizona",50770,128395,41844,N,55580,47485,52193,27178,56857,53579,42350,58723,28971
04025,"Yavapai County, Arizona",48105,94920,N,39150,85198,40460,49786,29898,55048,50497,46035,57859,27678
04027,"Yuma County, Arizona",40539,71751,31978,20625,91086,35370,45171,28032,44597,47698,35918,44552,26246
05007,"Benton County, Arkansas",58770,91670,47100,31806,71949,45152,60888,44433,67192,65373,42360,67268,36728
05031,"Craighead County, Arkansas",40085,39826,24900,-,N,30657,46239,20539,46686,44896,35143,53304,23666
05045,"Faulkner County, Arkansas",50596,44011,24148,N,84032,N,53878,26920,50639,67752,39558,65391,25576
05051,"Garland County, Arkansas",37013,40134,19791,N,N,37756,37520,20093,38714,37326,36314,50006,21941
05069,"Jefferson County, Arkansas",35381,26512,29613,-,-,32125,46261,13870,34958,40201,32805,43710,21117
05085,"Lonoke County, Arkansas",56893,26422,27390,56215,66807,N,58881,21928,57483,68417,40650,66212,21775
05119,"Pulaski County, Arkansas",46070,157401,31005,N,81379,32108,56831,34145,44959,55500,38253,59142,30431
05125,"Saline County, Arkansas",55051,43877,46246,24009,N,60266,56906,32455,56981,69432,44056,66427,30414
05131,"Sebastian County, Arkansas",40448,50203,24030,N,31259,35797,43613,20912,41944,49043,30283,52342,23851
05143,"Washington County, Arkansas",46160,82905,19197,41565,85641,40175,49999,24594,49350,56509,41872,57206,27604
05145,"White County, Arkansas",38986,28895,N,-,-,60817,38895,7129,55153,40873,35167,53615,20934
06001,"Alameda County, California",81717,571828,42101,63312,101882,63487,98439,36939,90499,96433,52154,97732,51140
06007,"Butte County, California",45644,85289,24863,70370,45989,39303,47045,14173,48855,56666,42155,57413,26250
06013,"Contra Costa County, California",83104,391996,52536,61292,101582,61686,96359,29722,85156,100711,60480,100260,50053
06017,"El Dorado County, California",79019,67544,93011,N,153125,70380,77670,32243,74462,96266,63159,95776,36332
06019,"Fresno County, California",46949,304209,24305,29975,56845,37255,60886,24586,45684,57382,40557,52651,29423
06023,"Humboldt County, California",40484,53553,N,30031,24282,27292,42872,23810,40973,47110,37360,51937,26149
06025,"Imperial County, California",40852,45158,N,63688,N,37971,48668,31771,48074,48727,25050,45762,17855
06029,"Kern County, California",51342,263273,36305,37652,81215,39766,63627,26361,49551,62625,40726,55694,32155
06031,"Kings County, California",45746,42692,31106,39393,90678,39144,60191,35296,48276,58030,35881,52557,30969
06033,"Lake County, California",37294,26335,22612,N,60852,34534,42172,24043,48777,35009,32742,47536,23145
06037,"Los Angeles County, California",59134,3293095,43555,50222,70442,46849,77427,32350,60832,68806,43588,65789,41305
06039,"Madera County, California",47150,45224,52566,58224,54189,40802,56298,46680,45985,55188,43652,52348,38688
06041,"Marin County, California",100662,105887,46279,N,78343,54510,111532,87644,110149,122270,74469,127900,60607
06045,"Mendocino County, California",41896,35264,-,38129,N,31421,51790,26346,37162,45402,40246,57506,26018
06047,"Merced County, California",41997,79098,36699,54539,50448,37584,48507,21477,39869,51756,38390,45768,24540
06053,"Monterey County, California",60494,126904,54360,83088,73350,51290,76776,31773,55947,76210,55566,65588,42713
06055,"Napa County, California",75513,49619,N,35382,97125,55693,84480,48842,72192,96409,59564,84009,49514
06057,"Nevada County, California",54177,41381,-,41768,N,52075,53032,50266,51800,81250,41032,66424,38554
06059,"Orange County, California",78428,1022542,72929,56837,82459,57905,89254,30972,81917,92126,53852,87942,49173
06061,"Placer County, California",75708,137500,100215,30300,105741,56549,76746,41385,87115,98520,51470,94141,41744
06065,"Riverside County, California",58292,714728,51693,51951,70049,49567,65583,30456,60652,70293,43756,65913,35886
06067,"Sacramento County, California",58942,530497,39086,51516,63288,47983,66940,25266,59939,71052,47284,69826,37603
06071,"San Bernardino County, California",53803,628798,39812,33848,72633,50361,58849,29132,55406,63760,41264,59752,32174
06073,"San Diego County, California",67320,1113610,52322,44867,87339,50932,76347,34708,70049,80883,51676,77653,47014
06075,"San Francisco County, California",92094,356916,32202,54564,81198,58368,120606,49078,127061,90137,43795,105924,79296
06077,"San Joaquin County, California",53705,223062,37976,55668,66987,46831,61900,26724,55154,62757,40279,60416,30720
06079,"San Luis Obispo County, California",62648,104760,53294,N,N,53703,66908,16289,65444,81259,54263,76467,41682
06081,"San Mateo County, California",101272,263280,60298,79727,113399,63811,115889,41372,116157,113814,64886,115016,65976
06083,"Santa Barbara County, California",63625,144261,43611,66957,64275,50722,79840,33366,61998,90264,53130,75497,41432
06085,"Santa Clara County, California",102340,633786,70811,55956,125474,64455,115890,49595,120380,121963,55641,118814,65113
06087,"Santa Cruz County, California",65139,93317,52246,41670,60095,45411,74093,23589,57001,86048,54328,77255,44681
06089,"Shasta County, California",46693,69799,40916,40868,82074,39264,47394,24712,48638,56883,41174,58303,28723
06095,"Solano County, California",67443,145502,48174,51955,79912,61083,73959,41230,62463,84359,51309,79464,40838
06097,"Sonoma County, California",66674,190662,80776,56950,65567,55675,71245,35121,66156,80658,57019,79788,45807
06099,"Stanislaus County, California",52363,171960,40100,N,65406,49855,56435,34141,55417,61445,41048,57631,33528
06101,"Sutter County, California",52277,32901,N,56776,66634,34578,59789,28016,43043,70131,37965,56861,29922
06107,"Tulare County, California",42413,134801,N,37462,36971,34473,57843,24918,46696,51262,35066,46689,27465
06111,"Ventura County, California",80032,269566,89948,90139,105385,60105,91457,38931,76329,98293,60394,91112,50011
06113,"Yolo County, California",58966,73754,31172,N,47983,52007,65836,18592,62771,76695,50446,80699,30830
06115,"Yuba County, California",50451,25361,80816,-,51667,44369,50824,34986,51606,53135,50120,57119,36333
08001,"Adams County, Colorado",63493,159313,35557,64368,66608,48691,74544,40495,66949,72547,45656,71053,41250
08005,"Arapahoe County, Colorado",67002,233937,50359,45175,70831,50851,73330,41826,70369,79391,53742,82049,45305
08013,"Boulder County, Colorado",72009,124615,66554,41567,92047,46388,75802,26970,79131,96904,52387,103037,43958
08014,"Broomfield County, Colorado",84921,25557,-,-,100699,82846,81627,31853,87337,110180,47461,98918,50672
08031,"Denver County, Colorado",58003,287074,37724,24556,44306,42969,71474,35755,66527,65987,40213,72455,46240
08035,"Douglas County, Colorado",107650,118613,91278,N,108588,93923,110363,52810,115025,123270,70270,121351,55885
08041,"El Paso County, Colorado",60109,252169,53050,30796,70167,41160,63301,33979,59400,76945,46898,73700,33935
08059,"Jefferson County, Colorado",71136,226920,41043,65486,64428,51815,76474,40224,78163,82307,49372,89391,43744
08069,"Larimer County, Colorado",64919,129210,75234,64233,41704,55860,65976,31754,74137,80939,48961,80757,38618
08077,"Mesa County, Colorado",51465,59066,82991,-,120973,44471,52060,20635,56612,61154,45832,60630,32266
08101,"Pueblo County, Colorado",40050,61876,50040,35601,31132,35361,46270,18358,42262,51092,34941,52495,24952
08123,"Weld County, Colorado",70256,97822,N,46410,N,47490,75541,31492,71888,82473,47131,78222,38817
09001,"Fairfield County, Connecticut",86414,333528,45521,43538,110570,48679,102183,21881,90425,105530,55684,105514,45454
09003,"Hartford County, Connecticut",69622,343884,46163,52297,86347,36376,81423,34677,75116,85112,46979,87080,38602
09005,"Litchfield County, Connecticut",70667,73360,51647,-,83056,70131,71313,40949,70585,87237,45524,91814,40154
09007,"Middlesex County, Connecticut",83530,65375,46515,-,98456,75500,86297,38288,90228,100266,47845,102553,47582
09009,"New Haven County, Connecticut",61760,323270,37939,31850,82578,40399,71863,32296,60621,80922,45403,81778,40011
09011,"New London County, Connecticut",65764,105376,50305,52564,75217,37489,71042,34412,62024,81205,57361,82064,41100
09013,"Tolland County, Connecticut",82168,55354,39113,-,70775,70948,85650,16250,91315,102986,51806,103365,40236
09015,"Windham County, Connecticut",62905,43556,40450,55345,N,57399,65292,39815,64708,80590,40354,75372,41503
10001,"Kent County, Delaware",56778,62477,57502,48565,N,37933,58398,30985,60132,65970,43946,66755,31950
10003,"New Castle County, Delaware",66256,202813,47694,26642,107816,50812,72198,37111,70540,80221,47863,82208,39131
10005,"Sussex County, Delaware",55065,87305,36041,34162,72367,37162,59005,46167,56478,67823,47972,65196,40219
11001,"District of Columbia, District of Columbia",75628,281787,41522,N,93877,65973,124801,32609,90877,75805,48571,94846,62840
12001,"Alachua County, Florida",47895,96427,29168,41046,60396,36479,56755,12985,57680,60492,45624,68487,25632
12005,"Bay County, Florida",48259,69337,24413,127526,47101,45612,51983,25230,53485,55915,38225,61374,32585
12009,"Brevard County, Florida",50416,225682,36233,63089,56022,45258,53219,22270,56321,60265,43434,61459,34774
12011,"Broward County, Florida",53926,673870,43736,36185,62192,54643,59298,29578,56471,63195,36892,62372,36076
12015,"Charlotte County, Florida",45492,72671,33498,7137,51525,19411,47119,39446,41177,50786,42109,55335,27098
