GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",56732,76779,29990,N,N,54290,59023,41028,62073,63005,47562,75741,31812
01015,"Calhoun County, Alabama",41687,43972,33694,34528,51817,40451,43812,23944,52393,44738,31668,52838,21597
01043,"Cullman County, Alabama",39411,30299,36726,N,-,41574,39737,35105,48785,50297,32279,49937,22614
01049,"DeKalb County, Alabama",35963,25383,25145,100015,-,29232,36528,12437,35388,42496,30721,40496,16198
01051,"Elmore County, Alabama",52579,29350,35535,-,N,49189,58243,40422,52851,69352,48016,67426,34672
01055,"Etowah County, Alabama",41152,38766,22061,19087,N,34309,44376,15215,45987,50956,38083,53675,25326
01069,"Houston County, Alabama",42321,39167,25803,N,75265,37276,51959,17422,41247,53173,35901,54251,24527
01073,"Jefferson County, Alabama",50180,261904,36666,44538,75040,44423,65634,23881,52866,59818,36114,66096,29941
01077,"Lauderdale County, Alabama",43427,37875,36768,-,"250,000+",21043,45692,23080,45715,58097,39680,64042,26743
01081,"Lee County, Alabama",48056,59354,43455,-,51936,43881,49916,12114,55145,60386,44409,66857,26351
01083,"Limestone County, Alabama",50872,31880,N,86281,-,46429,52157,16375,58706,61090,39480,66883,27197
01089,"Madison County, Alabama",60503,143669,38710,52823,106250,36975,72467,26608,65686,75411,48157,83226,37522
01095,"Marshall County, Alabama",42362,34726,N,N,"250,000+",27037,45842,23990,41776,49036,37292,51475,25817
01097,"Mobile County, Alabama",45744,157141,29626,42246,52218,52110,54758,21468,48038,51851,39864,56978,26453
01101,"Montgomery County, Alabama",45395,90827,32724,N,71325,31753,63587,20550,44997,51989,46431,58950,26827
01103,"Morgan County, Alabama",44378,44816,25638,105634,11574,N,50422,34961,50415,52930,32687,58602,25555
01115,"St. Clair County, Alabama",60158,31615,33347,-,-,78447,60921,27059,69278,55805,45104,67835,24206
01117,"Shelby County, Alabama",73647,76059,57326,-,N,83360,74148,38475,76696,85812,50487,86837,41200
01121,"Talladega County, Alabama",39393,31517,27830,-,N,N,45421,50022,40023,40663,36627,48161,23297
01125,"Tuscaloosa County, Alabama",47787,73825,31245,-,N,35131,57450,19049,54026,52186,46733,64023,28245
01127,"Walker County, Alabama",39068,23863,28676,N,-,N,40509,23790,39656,50178,34149,47563,21585
02020,"Anchorage Municipality, Alaska",85634,105249,69351,57746,73506,72929,94914,51272,83545,104178,68626,98717,59348
02090,"Fairbanks North Star Borough, Alaska",77328,33770,51250,79802,64023,N,81466,41291,74052,99266,73800,86950,54039
02170,"Matanuska-Susitna Borough, Alaska",69332,30305,N,N,N,90893,69009,39331,72209,81339,47236,87104,36242
04001,"Apache County, Arizona",34685,20018,-,22863,-,65250,56896,8750,37366,31824,40231,44427,12887
04003,"Cochise County, Arizona",45508,50147,N,51437,67314,33283,49036,11737,50041,51767,42040,50853,28384
04005,"Coconino County, Arizona",55091,47408,N,40555,N,40792,60807,25264,64839,59964,52963,71845,32541
04013,"Maricopa County, Arizona",58737,1521131,41681,46929,73991,45992,65836,34567,61656,70988,45996,69582,39403
04015,"Mohave County, Arizona",42423,84876,N,36730,108291,45916,42106,25408,51552,48107,38714,52863,25855
