GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",56813,83501,51197,N,N,29228,59186,21706,63339,62568,47300,71051,32788
01015,"Calhoun County, Alabama",45818,44264,30651,-,16502,N,52075,30195,55087,58322,33567,60889,21657
01043,"Cullman County, Alabama",44612,30323,97143,-,-,N,45166,30463,53872,55717,30681,54852,24155
01049,"DeKalb County, Alabama",36998,26462,N,N,-,16589,42042,21075,52481,45034,26838,50728,18606
01051,"Elmore County, Alabama",60796,30155,50318,61935,-,N,65194,24688,66203,68514,41787,66541,25302
01055,"Etowah County, Alabama",45868,38625,32744,42713,N,22443,51624,47463,36929,61934,41448,60788,28814
01069,"Houston County, Alabama",48105,38861,29718,69423,70469,29020,58336,20365,54350,52291,37734,63720,26016
01073,"Jefferson County, Alabama",55206,255940,37775,56699,69310,56751,74789,21943,60145,62111,44980,72335,31814
01077,"Lauderdale County, Alabama",49014,38670,30576,-,-,52740,51188,20610,52738,66284,43608,62759,24954
01081,"Lee County, Alabama",46456,59336,27169,-,N,N,65114,8683,50416,71255,42058,74592,22075
01083,"Limestone County, Alabama",67000,32333,34691,N,152609,46505,72012,51564,76200,74154,43727,77707,31522
01089,"Madison County, Alabama",63111,152723,41822,71346,66467,48548,74798,30079,61065,86815,53943,80584,38139
01095,"Marshall County, Alabama",47528,36022,44412,N,32431,37353,50385,40948,48293,54226,39081,58143,23038
01097,"Mobile County, Alabama",43061,158627,27750,N,53167,29820,57612,22938,48581,51185,36328,55711,26096
01101,"Montgomery County, Alabama",49989,87553,39411,23462,102946,27673,71663,21514,48144,63584,43866,64057,31785
01103,"Morgan County, Alabama",53260,45851,36719,110603,N,42742,56137,55738,54140,64353,42992,66035,30130
01115,"St. Clair County, Alabama",56602,30765,55057,-,-,32371,60404,38414,69135,67240,31735,65961,30725
01117,"Shelby County, Alabama",71230,80944,80251,-,80974,35365,75148,41587,73659,97416,49880,92478,39032
01121,"Talladega County, Alabama",40315,31219,26017,13997,-,N,57877,19012,39557,53473,33795,52637,18921
01125,"Tuscaloosa County, Alabama",54459,74053,39267,43475,44906,23212,66433,14985,59913,62280,45869,70370,28261
01127,"Walker County, Alabama",47602,24870,16161,-,-,53125,51215,42318,52920,54569,32382,63021,20788
02020,"Anchorage Municipality, Alaska",83648,105285,58931,66674,60335,72951,94796,50662,84305,104788,72750,99797,53789
