GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",48461,71307,24552,N,N,29361,51594,29704,51786,54976,39143,59607,27240
01015,"Calhoun County, Alabama",41428,46087,19021,51114,-,24841,48662,14021,40220,53527,32658,51351,20738
01043,"Cullman County, Alabama",38261,30424,18908,-,-,N,39248,17232,41605,43582,26835,46579,20675
01049,"DeKalb County, Alabama",35023,24720,36250,21453,-,22555,38216,22080,50002,32111,28831,47165,19501
01051,"Elmore County, Alabama",55530,28352,N,-,-,N,58060,26148,58414,62059,40800,61890,26350
01055,"Etowah County, Alabama",40529,39714,31309,N,"250,000+",28343,42797,21802,49146,47256,32024,53002,19322
01069,"Houston County, Alabama",39543,38825,24241,36591,N,31591,47076,17189,42909,49229,31822,51484,23234
01073,"Jefferson County, Alabama",44646,261980,31868,51375,53848,29737,60165,26721,48655,50310,36863,58311,28679
01077,"Lauderdale County, Alabama",40309,38093,30438,-,-,N,41446,22467,45584,48650,31786,53320,21512
01081,"Lee County, Alabama",39932,57880,25383,-,42779,41895,45971,13370,40735,65835,37990,57350,20481
01083,"Limestone County, Alabama",49672,31638,38152,27228,-,37543,57409,41811,60705,50674,39375,66343,20352
01089,"Madison County, Alabama",58339,140771,35192,N,80379,41561,68571,26952,52305,79349,46171,77209,32813
01095,"Marshall County, Alabama",33446,34872,24428,N,36518,27180,34497,31053,38835,38123,26955,41642,21027
01097,"Mobile County, Alabama",43642,153450,25737,75176,50933,40248,54690,25182,46148,51691,35086,53464,24503
01101,"Montgomery County, Alabama",43346,89415,32223,61473,66205,39089,61376,26119,45456,50876,35209,54780,30534
01103,"Morgan County, Alabama",44708,45016,42997,111250,-,38646,45942,29508,43794,59468,34187,56462,26832
01115,"St. Clair County, Alabama",50146,32267,32027,-,-,N,51613,42197,60142,51178,36742,57764,25096
01117,"Shelby County, Alabama",67754,75714,52607,-,83681,35251,71545,30456,70187,85140,42742,82078,35747
01121,"Talladega County, Alabama",39971,30649,30295,-,-,N,45419,9945,44034,45797,29272,46269,22625
01125,"Tuscaloosa County, Alabama",47531,68320,30709,57801,N,38598,58819,16807,55831,55526,37385,60490,25611
01127,"Walker County, Alabama",35495,25211,19064,-,-,N,37815,19175,37005,42689,30628,45356,20484
02020,"Anchorage Municipality, Alaska",76337,104683,50484,53750,64528,53218,91267,43743,77495,90757,72850,86241,55234
02090,"Fairbanks North Star Borough, Alaska",69820,35692,45537,47500,N,N,74711,41282,74400,83409,69668,82235,43326
02170,"Matanuska-Susitna Borough, Alaska",73831,30766,62523,73843,N,85556,74671,56724,81138,78874,44913,87614,42455
04001,"Apache County, Arizona",33076,18766,36505,25023,57833,27030,54106,7250,33836,43341,25767,42208,16288
04003,"Cochise County, Arizona",45688,47653,72070,45806,25678,37112,49128,24743,58623,50691,30976,54167,25401
04005,"Coconino County, Arizona",49757,46919,33977,38910,23602,40222,59316,19693,56471,63345,42437,60847,32084
04013,"Maricopa County, Arizona",53896,1458064,39569,41078,70193,40405,60740,31039,56469,65674,42266,65148,35688
04015,"Mohave County, Arizona",37674,81292,33208,32095,N,31178,39085,27409,41935,40065,34866,44620,25770
04017,"Navajo County, Arizona",34600,33236,-,22232,39153,33120,43895,16066,36232,40074,28168,41838,21040
04019,"Pima County, Arizona",45856,389737,40094,23106,41780,38345,51459,20306,47648,55095,41719,57476,29428
04021,"Pinal County, Arizona",49867,132176,53294,17728,67629,41044,54040,25798,55873,55650,42288,56765,27060
04025,"Yavapai County, Arizona",44255,90584,N,39063,58021,40712,44474,26174,51533,55487,36586,53095,27972
04027,"Yuma County, Arizona",40008,70593,38157,N,N,35021,49078,26402,48640,46780,31587,43113,24753
05007,"Benton County, Arkansas",56981,86232,56715,31174,120038,40920,60059,28675,65032,68099,37755,69281,32835
05031,"Craighead County, Arkansas",42691,38548,17491,N,N,19700,46314,18917,41044,49786,41337,49511,22494
05045,"Faulkner County, Arkansas",51650,42782,29565,N,N,44162,54957,20231,61079,59304,43057,63816,28823
05051,"Garland County, Arkansas",41032,39045,29040,10586,"250,000+",19928,42470,19094,48047,42218,37088,52727,19639
