GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
55073,"Marathon County, Wisconsin",65851,54765,-,46227,96541,46379,66299,42450,76085,79961,44512,78790,35767
55079,"Milwaukee County, Wisconsin",53418,383665,33874,38689,65990,42592,67214,30665,56995,61363,44235,67929,36992
55087,"Outagamie County, Wisconsin",66234,74974,N,41832,71892,51472,66246,42923,71421,84422,38125,83087,39926
55089,"Ozaukee County, Wisconsin",88154,35795,96294,-,N,95339,86933,36822,91387,107982,59435,101383,51106
55097,"Portage County, Wisconsin",56358,29063,70682,-,N,60793,56082,36070,72756,73161,47713,81331,35362
55101,"Racine County, Wisconsin",60779,78905,23929,N,149293,46224,69514,50096,67688,82614,44829,80496,36642
55105,"Rock County, Wisconsin",61243,65316,48440,-,60454,62363,62575,53613,65887,73881,44517,73079,36955
55109,"St. Croix County, Wisconsin",85594,34731,11288,-,N,43426,87355,35650,89639,102157,60785,100684,45779
55117,"Sheboygan County, Wisconsin",60706,48691,N,N,77092,46844,61605,50441,72099,71618,42811,76098,39925
55127,"Walworth County, Wisconsin",63549,42799,36127,-,-,63322,64459,19363,67112,83877,48245,83220,31486
55131,"Washington County, Wisconsin",80513,55256,50500,-,117277,22490,81655,32818,86962,100151,50418,95408,44643
55133,"Waukesha County, Wisconsin",90548,160635,59967,79668,120811,74896,90366,57914,105918,112954,58759,113591,48449
55139,"Winnebago County, Wisconsin",58347,71238,24097,75089,45581,36797,60672,47222,68948,70259,39143,76425,40352
55141,"Wood County, Wisconsin",56278,32684,-,39292,54058,N,56987,41079,58308,62001,48851,68511,31511
56021,"Laramie County, Wyoming",70567,41739,-,N,-,62063,71330,24678,70800,82207,60020,86805,43219
56025,"Natrona County, Wyoming",65034,33044,-,60111,-,84758,65870,30992,70130,83663,45365,76487,40819
72013,"Arecibo Municipio, Puerto Rico",18977,32090,18733,-,-,18746,29464,20223,19626,17766,18340,24080,9260
72021,"Bayamón Municipio, Puerto Rico",27386,68980,29597,-,-,27176,43549,14494,31053,32970,21493,32636,16468
72025,"Caguas Municipio, Puerto Rico",24507,47669,19710,N,-,24584,N,4984,24713,30932,18380,31396,12455
72031,"Carolina Municipio, Puerto Rico",27658,58602,26257,-,-,27463,79560,12301,30648,31497,22958,32406,18276
72061,"Guaynabo Municipio, Puerto Rico",37499,33125,25040,-,-,37302,N,"2,500-",46535,42492,29456,46167,19121
72097,"Mayagüez Municipio, Puerto Rico",14525,28649,27854,-,-,14328,N,"2,500-",10973,22557,17166,20938,9074
72113,"Ponce Municipio, Puerto Rico",15130,52837,12259,-,-,14996,N,5487,11413,19459,15478,18823,9801
72127,"San Juan Municipio, Puerto Rico",23005,138800,15935,N,N,23115,N,3644,22148,30527,19473,29661,15027
72135,"Toa Alta Municipio, Puerto Rico",28440,22650,12661,-,-,28593,-,-,29288,39667,13357,36422,11603
72137,"Toa Baja Municipio, Puerto Rico",23368,28291,23285,-,-,23144,25888,-,25232,28405,16904,26195,16320
72139,"Trujillo Alto Municipio, Puerto Rico",32244,23263,37885,-,-,32402,N,-,46098,40720,22794,40857,14796
