"GEO_ID","NAME","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_001E","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003M","S1903_C01_003E","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005M","S1903_C02_005E","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C01_007M","S1903_C01_007E","S1903_C01_008M","S1903_C01_008E","S1903_C02_008E","S1903_C02_008M","S1903_C01_009M","S1903_C01_009E","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012M","S1903_C02_012E","S1903_C01_013M","S1903_C01_013E","S1903_C02_013E","S1903_C02_013M","S1903_C01_014M","S1903_C01_014E","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015M","S1903_C02_015E","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017M","S1903_C01_017E","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018M","S1903_C02_018E","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020M","S1903_C01_020E","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022M","S1903_C02_022E","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024M","S1903_C02_024E","S1903_C01_025M","S1903_C01_025E","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026M","S1903_C02_026E","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028M","S1903_C01_028E","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030M","S1903_C02_030E","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"0500000US42039","Crawford County, Pennsylvania","1400","38321","2929","35203","98.4","0.8","38588","3033","N","N","-","**","N","N","-","**","N","N","44174","66538","N","N","-","**","-","**","N","N","N","N","N","N","N","N","55732","14493","98.1","0.8","38477","3008","3.4","1.4","23684","35035","2.0","29.1","43007","5945","1.7","41.0","45396","3106","26.5","1.6","2425","28772","23421","1262","47055","2975","3.5","35.4","39477","9196","64.6","3.5","3989","49382","77.1","3.4","55971","3926","2.7","15.3","23063","5339","7.6","1.9","23653","16330","11782","1223","1627","22086","53.5","5.0","18293","3498","45.0","4.9","1937","16192","3.6","8.5","32803","34434","46.5","5.0","5433","26450","36.6","5.1","25147","5275","4.3","9.9","34246","23726","26.3","(X)","(X)","(X)","24.5","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
"0500000US42041","Cumberland County, Pennsylvania","2602","56209","1992","95946","94.5","2.0","56601","2291","N","N","35437","18295","N","N","-","**","N","N","32926","90828","N","N","-","**","38427","29171","N","N","N","N","44588","41029","N","N","27408","17433","93.8","2.0","56660","2364","3.0","0.9","5550","31606","1.3","32.1","61851","6425","1.2","39.8","69546","7021","25.0","1.1","3490","37191","61124","3009","72403","4023","2.0","40.8","72988","6041","59.2","2.0","5249","72047","79.1","2.4","82309","3076","2.0","13.9","40656","3079","7.0","1.6","38969","1984","34822","2453","2887","32571","58.4","3.4","31618","2847","50.1","3.7","3693","27656","2.1","8.3","63138","18663","41.6","3.4","4025","33996","34.8","3.7","31570","4503","2.1","6.8","68704","16435","22.3","(X)","(X)","(X)","22.1","(X)","(X)","(X)","22.0","(X)","(X)","(X)",
"0500000US42043","Dauphin County, Pennsylvania","2267","52177","2448","107767","78.4","1.4","58355","3251","1.2","16.4","35481","5116","N","N","N","N","N","N","17511","56394","N","N","-","**","30181","13848","N","N","N","N","29486","12689","0.7","5.5","31230","12710","74.6","1.4","59696","2466","4.2","1.1","8312","31397","1.5","32.4","53064","6168","1.5","41.1","65900","3066","22.2","1.2","4125","35433","68161","2640","62499","3206","2.2","43.7","48247","5184","56.3","2.2","4423","70915","66.6","2.7","80732","3127","2.5","24.6","30104","4526","8.9","1.7","50754","10701","39606","2395","2406","33943","54.9","3.8","30215","3783","48.5","3.6","5298","26734","2.1","6.4","65365","21073","45.1","3.8","3318","42206","37.9","4.3","40621","3328","1.8","7.3","63519","12007","29.9","(X)","(X)","(X)","29.4","(X)","(X)","(X)","29.6","(X)","(X)","(X)",
"0500000US42045","Delaware County, Pennsylvania","2504","59125","1776","206516","76.0","0.9","65923","2688","0.8","18.8","39819","2813","N","N","-","**","3.9","0.4","16117","77140","N","N","-","**","37867","11311","N","N","N","N","46309","11739","0.3","1.7","42819","15578","74.8","0.9","66073","2523","2.6","0.5","3418","27412","1.0","31.0","66169","3698","0.9","42.6","74859","4805","23.8","0.8","2207","38228","136891","3570","74333","3020","1.6","45.9","74269","4821","54.1","1.6","4032","74362","70.1","1.9","92887","4042","1.6","22.0","38160","2512","8.0","1.1","48477","9844","69625","3249","2460","33637","58.4","2.6","30246","2153","50.9","2.6","2870","28256","1.8","7.5","56875","15005","41.6","2.6","3606","41176","32.9","2.4","35693","2777","1.7","8.8","77452","16360","29.9","(X)","(X)","(X)","30.3","(X)","(X)","(X)","28.4","(X)","(X)","(X)",
"0500000US42049","Erie County, Pennsylvania","1910","42519","1850","109388","91.1","1.0","44704","2616","0.8","6.1","17536","9847","N","N","19716","2108","N","N","22456","44916","N","N","-","**","21672","3256","N","N","N","N","N","N","0.4","2.0","21580","3907","89.6","1.0","45198","2502","5.8","1.1","11537","14331","1.3","30.2","42676","3265","1.3","40.6","56086","4104","23.4","1.1","3107","30689","67345","2682","56663","1882","2.1","43.3","50030","5949","56.7","2.1","2931","60596","71.5","2.4","67916","2442","1.9","20.2","24645","2664","8.2","1.7","27708","14155","42043","2478","2086","23986","55.2","3.2","20997","2245","47.9","3.3","2228","18970","1.9","7.2","33915","4020","44.8","3.2","4053","29767","36.0","3.2","28151","3641","2.2","8.8","42064","10464","27.2","(X)","(X)","(X)","27.1","(X)","(X)","(X)","26.4","(X)","(X)","(X)",
"0500000US42051","Fayette County, Pennsylvania","1902","35750","2762","54450","95.9","0.8","35627","2899","N","N","37759","6369","N","N","-","**","N","N","**","-","N","N","-","**","36380","716","N","N","N","N","N","N","N","N","53615","29908","95.7","0.8","35586","2920","1.9","0.8","24865","19975","1.6","26.5","38211","8181","1.8","41.5","43587","5364","30.1","1.5","2329","24922","34366","2154","44705","4767","3.0","36.9","38128","6077","63.1","3.0","4630","46372","72.9","3.3","51391","2685","2.8","19.4","24669","5221","7.7","1.9","33750","27096","20084","1852","2613","22642","54.1","4.7","18925","2832","46.1","4.1","2055","16446","3.6","8.0","43348","24039","45.9","4.7","7022","28765","38.2","4.7","26657","8003","2.8","7.7","37816","20610","28.1","(X)","(X)","(X)","26.4","(X)","(X)","(X)","30.5","(X)","(X)","(X)",
"0500000US42055","Franklin County, Pennsylvania","1443","49514","2060","57533","96.1","0.8","49650","2293","N","N","48488","16258","N","N","-","**","N","N","N","N","N","N","-","**","42566","23633","N","N","N","N","46193","30577","N","N","N","N","94.2","1.0","50158","2563","3.2","1.0","7648","37295","1.4","32.0","56143","6892","1.4","37.8","58401","4729","27.1","1.6","3056","32141","40371","1687","59617","4682","2.7","40.6","65136","5820","59.4","2.7","4707","56125","79.5","3.0","67794","2760","2.5","14.0","34248","4175","6.5","1.9","46184","19555","17162","1580","4350","29272","55.1","5.3","19881","4330","47.3","5.1","1629","18959","3.9","7.8","52894","33546","44.9","5.3","4181","39545","37.1","5.1","37712","9052","3.6","7.8","51364","26728","24.1","(X)","(X)","(X)","24.0","(X)","(X)","(X)","23.0","(X)","(X)","(X)",
"0500000US42063","Indiana County, Pennsylvania","1163","41162","3129","34310","95.4","1.3","41993","3913","N","N","2,500-","***","N","N","-","**","N","N","***","2,500-","N","N","-","**","-","**","N","N","N","N","53750","51266","N","N","2,500-","***","94.8","1.4","42207","4529","11.6","2.7","3356","6763","2.3","26.8","48048","8462","1.8","38.4","58447","5899","23.3","2.1","3032","28904","22509","1129","56324","4780","3.3","37.0","56005","10442","63.0","3.3","4964","56439","81.1","3.8","63220","3751","3.1","13.8","25251","7564","5.1","1.7","26931","4725","11801","1197","4136","17996","56.6","5.8","12698","3450","43.6","6.7","2286","11491","4.9","13.0","20668","13674","43.4","5.8","5891","28466","28.3","5.3","27705","2543","5.8","15.1","34032","23555","25.1","(X)","(X)","(X)","24.5","(X)","(X)","(X)","24.4","(X)","(X)","(X)",
"0500000US42069","Lackawanna County, Pennsylvania","3420","42185","2475","84662","94.7","1.0","43300","2809","N","N","36891","22995","N","N","-","**","N","N","29116","31797","N","N","-","**","17027","10850","N","N","N","N","35531","30306","N","N","30656","12200","92.1","1.3","44597","2625","3.3","1.1","11767","32960","2.1","29.8","46135","3894","2.4","41.0","56922","3774","25.9","4.0","1680","27390","54916","2225","56545","3077","3.4","41.7","55600","8673","58.3","3.4","2999","56808","72.1","2.9","68417","3910","2.9","20.1","30487","4902","7.8","1.9","52479","23712","29746","2487","1876","25096","55.5","3.4","22279","2445","50.0","3.5","2068","20758","1.8","5.5","45808","8973","44.5","3.4","4702","27696","35.5","3.7","26540","5152","2.9","9.0","33196","19979","34.7","(X)","(X)","(X)","35.1","(X)","(X)","(X)","32.3","(X)","(X)","(X)",
"0500000US42071","Lancaster County, Pennsylvania","1883","51740","1393","194028","92.1","0.8","52933","1730","0.5","3.5","37208","18405","N","N","22880","17491","1.5","0.3","6866","44809","N","N","-","**","30511","10810","0.6","1.7","N","N","28981","13368","0.6","6.8","27258","6701","87.8","0.8","54203","1716","4.5","0.6","6516","23862","0.9","32.2","54852","2961","0.9","39.4","65372","2480","23.9","0.7","2769","34036","136664","2878","61760","1804","1.5","45.5","60879","3409","54.5","1.5","2375","62436","83.7","1.6","68068","2312","1.3","11.8","28542","4853","4.5","0.9","38232","5976","57364","3020","2184","27803","56.3","2.8","23976","2075","49.7","2.9","2585","21757","1.5","6.6","57092","6629","43.7","2.8","5528","35493","32.7","2.7","28534","4590","2.3","10.9","56540","4956","28.2","(X)","(X)","(X)","28.3","(X)","(X)","(X)","27.1","(X)","(X)","(X)",
"0500000US42073","Lawrence County, Pennsylvania","1223","38192","3566","36484","96.4","0.4","39577","3413","N","N","17200","15625","N","N","-","**","N","N","**","-","N","N","-","**","-","**","N","N","N","N","10339","6459","N","N","60375","45833","96.4","0.5","39632","3374","2.3","0.9","2040","15698","2.1","26.0","42055","3993","2.2","41.7","50554","4894","30.0","1.8","2105","25478","25170","1434","49630","3903","3.6","39.7","42346","5308","60.3","3.6","3381","51989","75.8","3.3","57316","5240","2.4","17.3","27564","10396","6.9","2.3","40196","14144","11314","1013","3466","19481","54.4","5.9","17860","2799","51.2","5.7","2401","17341","1.8","3.2","45098","34564","45.6","5.9","5298","21789","40.3","5.7","19069","6101","2.7","5.3","41176","19670","30.2","(X)","(X)","(X)","31.3","(X)","(X)","(X)","27.8","(X)","(X)","(X)",
"0500000US42075","Lebanon County, Pennsylvania","1423","51436","1865","50701","93.3","1.3","52684","3482","N","N","35013","19272","N","N","-","**","N","N","N","N","N","N","-","**","31748","5430","N","N","N","N","65154","41095","N","N","31411","2897","91.4","1.1","53544","3616","2.5","1.1","1285","33554","1.6","31.8","56992","4550","1.8","38.6","64827","5266","27.2","1.7","3078","34591","36506","1563","60842","4306","2.9","43.9","56321","5505","56.1","2.9","3847","63757","80.1","3.5","70235","5156","2.7","13.2","30628","5947","6.6","2.1","42301","6569","14195","1454","5775","30086","56.1","5.5","24321","5264","50.9","4.8","2479","23390","3.3","5.1","60209","21398","43.9","5.5","4685","33828","34.5","5.5","27420","6256","3.8","9.4","67035","12543","35.9","(X)","(X)","(X)","35.5","(X)","(X)","(X)","36.8","(X)","(X)","(X)",
"0500000US42077","Lehigh County, Pennsylvania","3873","51729","1934","133421","86.4","1.2","53849","2265","1.0","5.3","43771","12991","N","N","N","N","2.4","0.3","23044","71200","N","N","-","**","26579","5878","0.8","3.6","N","N","31838","19447","0.8","13.0","30855","4832","78.7","1.0","56002","2386","2.9","1.3","2097","21697","1.0","33.0","57110","5245","1.1","40.7","65310","4194","23.4","1.0","2460","32784","90337","3284","63429","3352","2.2","45.4","59702","5110","54.6","2.2","3150","65419","74.1","2.4","76806","3159","1.8","19.1","29383","3847","6.8","1.3","46294","10304","43084","3109","2973","28128","56.9","3.0","24481","3326","48.6","2.9","1868","21583","2.2","8.2","53913","19637","43.1","3.0","2970","34450","34.9","3.3","30370","5160","2.0","8.3","61058","6484","27.9","(X)","(X)","(X)","29.5","(X)","(X)","(X)","23.3","(X)","(X)","(X)",
"0500000US42079","Luzerne County, Pennsylvania","3262","41898","1715","129884","94.7","0.9","42784","2177","N","N","27555","24872","N","N","45804","39762","N","N","24538","45847","N","N","-","**","27214","13962","N","N","N","N","60469","27478","0.4","3.7","31086","4098","92.3","0.9","43185","2370","3.3","0.8","9648","12223","1.2","28.4","47296","3604","1.2","39.5","56153","5269","28.7","1.1","1617","26508","82349","3162","54972","2832","2.1","38.1","48959","4364","61.9","2.1","2251","58555","68.5","2.4","65051","3645","2.1","23.5","27346","2583","7.9","1.1","45195","8123","47535","2511","1682","22999","55.2","2.7","20701","1396","47.6","2.7","1353","19216","1.8","7.7","45951","4443","44.8","2.7","2830","26902","35.6","2.9","23692","2767","2.0","9.2","50309","6559","29.4","(X)","(X)","(X)","30.6","(X)","(X)","(X)","25.1","(X)","(X)","(X)",
"0500000US42081","Lycoming County, Pennsylvania","1308","41037","3015","45611","95.7","1.7","41662","2929","N","N","N","N","N","N","-","**","N","N","**","-","N","N","-","**","2,500-","***","N","N","N","N","28666","1025","N","N","N","N","94.8","1.7","41628","2921","4.9","1.2","2526","13459","1.5","28.8","47044","5241","1.7","41.1","49994","5088","25.1","1.5","4136","29622","30416","1330","49997","3259","3.5","39.5","41300","8960","60.5","3.5","3043","53460","74.8","3.4","56647","2544","3.1","16.2","21106","10404","9.0","2.4","33694","8062","15195","1444","2218","20666","53.5","4.6","18510","4267","46.0","5.0","3730","16731","2.6","7.5","34577","16772","46.5","4.6","4100","22190","31.5","4.5","19339","4722","4.9","15.0","36469","11445","24.1","(X)","(X)","(X)","22.4","(X)","(X)","(X)","26.6","(X)","(X)","(X)",
"0500000US42085","Mercer County, Pennsylvania","1615","40398","2198","46768","94.6","1.0","40876","1749","N","N","22673","17622","N","N","-","**","N","N","N","N","N","N","-","**","-","**","N","N","N","N","N","N","N","N","51250","42528","94.0","1.0","40851","1750","1.9","1.0","13642","14910","1.6","27.9","46195","6145","1.8","40.6","50639","3958","29.5","1.9","2233","27262","28989","1481","51874","2323","3.1","40.9","49472","6970","59.1","3.1","2756","53028","74.4","3.4","58737","3895","3.1","20.1","24586","3470","5.5","1.5","37173","11972","17779","1610","2711","22574","57.5","4.5","20861","3125","51.6","4.0","2139","19055","2.8","5.9","29520","26993","42.5","4.5","2570","24372","36.9","4.2","21870","4303","2.4","5.6","59367","10688","24.2","(X)","(X)","(X)","24.2","(X)","(X)","(X)","24.1","(X)","(X)","(X)",
"0500000US42089","Monroe County, Pennsylvania","2742","54549","6443","58234","82.5","1.8","52403","5169","1.5","11.8","60261","10690","N","N","N","N","N","N","63370","82083","N","N","-","**","95653","60437","N","N","N","N","N","N","1.4","9.7","62360","17169","75.5","1.7","51117","4982","1.8","1.1","28165","38822","2.6","30.4","60176","4278","2.6","48.4","65041","5919","19.4","2.1","6939","28064","42958","2602","62944","4492","3.3","45.6","58744","6889","54.4","3.3","6196","66726","77.1","3.7","71467","6000","3.4","17.6","26840","9819","5.2","1.9","61342","10715","15276","2061","8879","29802","49.1","6.4","24657","3734","41.9","5.8","4434","22775","3.3","7.3","40855","27469","50.9","6.4","6272","37805","36.8","6.2","26664","8101","5.2","14.1","53411","17538","27.8","(X)","(X)","(X)","27.7","(X)","(X)","(X)","26.9","(X)","(X)","(X)",
