GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",55342,79120,30849,40664,N,53473,62557,40657,61730,71021,43819,76285,30729
01015,"Calhoun County, Alabama",46763,44507,35378,N,N,40798,50211,24596,53565,54100,38838,57899,27426
01043,"Cullman County, Alabama",45044,30740,N,-,-,27475,46010,33720,49120,62656,32743,56217,28645
01049,"DeKalb County, Alabama",39373,25848,35877,63231,-,N,40407,38771,47557,47838,29478,48055,21676
01051,"Elmore County, Alabama",60558,29176,37677,-,-,N,69868,8698,66153,69650,49193,71226,40788
01055,"Etowah County, Alabama",41576,37091,21934,N,N,20854,48521,14270,53977,48462,34061,61206,19557
01069,"Houston County, Alabama",44529,39106,29479,N,N,34781,55449,26995,46373,53594,38577,60263,26147
01073,"Jefferson County, Alabama",50709,259324,33741,N,75568,41123,70189,29361,52631,60295,41405,64758,31590
01077,"Lauderdale County, Alabama",45352,38215,31912,-,-,N,48503,19938,57034,57659,38132,59793,25359
01081,"Lee County, Alabama",52943,58555,29383,N,48362,80286,64838,16806,50045,72257,51216,72030,27177
01083,"Limestone County, Alabama",55817,32816,N,91445,110888,34115,56233,30694,60365,74831,42198,70324,30391
01089,"Madison County, Alabama",62312,147892,36563,107965,76378,30722,73964,25772,59765,93081,50156,81897,35213
01095,"Marshall County, Alabama",41476,34083,39528,N,131045,22597,43667,21534,48542,46526,33513,50875,22137
01097,"Mobile County, Alabama",46023,154683,27486,68598,N,41019,57307,22541,45268,57316,39349,57863,26004
01101,"Montgomery County, Alabama",45724,88554,35629,-,72425,35846,67746,26554,41639,56760,42669,59645,30623
01103,"Morgan County, Alabama",48563,45360,27963,85859,-,34048,53942,18992,46325,59663,41997,61116,24720
01115,"St. Clair County, Alabama",50934,33241,39243,-,-,-,51288,24569,54405,47220,43603,59216,32345
01117,"Shelby County, Alabama",73031,78666,61422,140889,95291,47257,76074,23688,81385,86900,52947,93095,39187
01121,"Talladega County, Alabama",39731,31759,25602,-,-,N,50616,35400,35365,51494,31460,53430,24983
01125,"Tuscaloosa County, Alabama",52313,72243,39063,-,N,60075,61074,16804,59874,60257,46995,65420,29873
01127,"Walker County, Alabama",41973,25231,30980,34091,-,32179,44802,33701,50549,42968,35500,60331,19062
02020,"Anchorage Municipality, Alaska",79166,107373,56857,63248,68208,62543,88495,44189,74315,98053,66000,91590,53445
02090,"Fairbanks North Star Borough, Alaska",76747,35046,86204,49085,65082,70508,82489,33290,72519,97545,86314,87717,49629
02170,"Matanuska-Susitna Borough, Alaska",69121,29443,N,52146,N,N,70067,35567,84120,80160,50919,86057,37358
04001,"Apache County, Arizona",31671,20550,-,22807,-,22117,62171,15547,36643,32730,25301,40667,14282
04003,"Cochise County, Arizona",51816,48939,51217,N,60014,40208,58122,32468,53982,61828,48529,62433,32038
04005,"Coconino County, Arizona",54893,47977,N,31522,56603,40589,63806,17062,62732,57710,55560,70773,29781
04013,"Maricopa County, Arizona",62223,1536579,45405,46487,81304,50270,69922,35876,65998,75687,48955,74473,41312
04015,"Mohave County, Arizona",42311,87565,26576,65476,41416,49624,42079,37436,48617,50562,37246,52417,24691
04017,"Navajo County, Arizona",41295,36094,N,27670,N,32243,51501,32534,41412,42515,41766,50109,22205
04019,"Pima County, Arizona",51425,403574,37060,32943,60214,42657,57580,25512,52357,61001,47509,64449,32823
04021,"Pinal County, Arizona",52788,139097,32174,25955,58648,47292,56565,31572,56248,61773,45578,62741,28875
04025,"Yavapai County, Arizona",50041,98369,N,50088,N,47610,50525,36440,54791,55660,43870,60859,32721
04027,"Yuma County, Arizona",46798,74620,60328,53317,81575,43558,51400,40647,51870,56225,34956,53205,25652
05007,"Benton County, Arkansas",63746,97134,62971,61567,91689,50090,68459,43559,69207,75710,44614,74706,34869
05031,"Craighead County, Arkansas",50422,42115,47749,-,"2,500-",37292,52832,22419,54901,56611,41514,61414,27048
05045,"Faulkner County, Arkansas",47964,44870,34905,-,61381,16747,55653,16531,51497,63450,44089,66053,27359
05051,"Garland County, Arkansas",46101,38594,22314,15957,-,N,48033,38014,43367,49981,43839,60179,24630
05069,"Jefferson County, Arkansas",37678,26537,31620,-,-,N,46646,22799,35105,51182,32490,47466,27864
05085,"Lonoke County, Arkansas",51835,27121,21543,N,-,57822,53564,53953,55974,65867,32773,60131,23284
05119,"Pulaski County, Arkansas",52450,156546,34994,N,74595,50405,62773,26821,55173,62250,43526,70261,33323
