GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",69914,98854,26081,63830,105745,58147,72941,24507,77251,80634,58038,83900,34628
01015,"Calhoun County, Alabama",52819,45701,40775,-,62745,41331,56064,43540,47260,55348,54742,69301,30125
01043,"Cullman County, Alabama",63229,35966,N,N,-,N,64618,34237,77630,81798,41094,75394,32737
01049,"DeKalb County, Alabama",49663,26459,N,N,-,48654,50372,32981,48569,64803,38893,54784,22573
01051,"Elmore County, Alabama",71651,34061,43462,116318,-,41062,81785,61964,64695,95506,58070,79378,46943
01055,"Etowah County, Alabama",57098,39956,39458,69389,-,55078,58812,23009,67048,66226,39930,68590,26410
01069,"Houston County, Alabama",56705,42417,32983,53657,120650,64015,67180,44479,54279,69628,46844,75042,33763
01073,"Jefferson County, Alabama",61968,271877,41908,41262,85617,70672,82501,29609,66385,77337,48852,81880,37713
01077,"Lauderdale County, Alabama",59461,39021,35424,152830,N,67196,62777,20847,75068,73238,43304,74956,30800
01081,"Lee County, Alabama",58549,71830,41856,N,66389,62966,66183,9047,65510,80184,49546,90210,26122
01083,"Limestone County, Alabama",84220,40036,52282,66250,158835,N,86336,48929,101985,99241,54544,102314,47815
01089,"Madison County, Alabama",80123,166454,54011,70403,98750,59204,89941,36168,81502,104325,61877,107374,46949
01095,"Marshall County, Alabama",52678,36611,19230,N,N,49206,53543,36691,58815,56853,39271,64201,27963
01097,"Mobile County, Alabama",54300,162605,35919,N,80549,56079,69100,27757,58951,66600,45052,73574,32017
