GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",48378,77978,29033,93643,21622,57538,50660,22537,50131,59041,40863,57055,27224
01015,"Calhoun County, Alabama",39169,45986,27414,"2,500-","2,500-",N,43580,21324,36390,48036,33616,46979,25156
01043,"Cullman County, Alabama",37287,31450,N,25139,43435,N,38204,35571,35372,45625,30149,47047,20127
01049,"DeKalb County, Alabama",38445,23776,N,18221,N,23056,39187,26691,43905,40915,25270,44498,17367
01051,"Elmore County, Alabama",53328,28246,43713,N,N,N,56749,60534,50419,62782,38500,62108,35541
01055,"Etowah County, Alabama",34264,39031,30505,23104,N,N,34963,27176,35860,45311,24687,46352,21160
01069,"Houston County, Alabama",40409,38571,23059,N,N,42539,48077,18630,46543,44382,32147,53031,23961
01073,"Jefferson County, Alabama",43959,258192,31660,N,36552,36260,60494,18268,50428,51680,33189,58415,28077
01077,"Lauderdale County, Alabama",41908,36791,21345,23319,-,61082,43806,11696,49259,51125,34232,56903,19084
01081,"Lee County, Alabama",45043,55520,28571,N,40375,42202,53972,12329,54732,62220,43175,64216,21746
01083,"Limestone County, Alabama",47999,32106,37267,-,76031,32583,49505,48708,45270,62477,31974,61881,19843
01089,"Madison County, Alabama",56839,135450,34085,33238,64238,38706,66614,22688,58704,70518,44665,73191,31736
01095,"Marshall County, Alabama",36197,33802,16544,N,N,20444,39378,27989,34261,45660,27328,45128,20913
01097,"Mobile County, Alabama",39691,156755,26205,N,N,38499,50549,20713,42335,47994,32874,50681,24081
01101,"Montgomery County, Alabama",41807,90244,32851,-,78723,38036,59385,11928,43166,49190,37115,53374,26937
01103,"Morgan County, Alabama",45051,46221,20411,125353,N,29361,50277,12415,41384,51380,38813,53412,22344
01115,"St. Clair County, Alabama",51859,32143,41547,"2,500-",N,N,52893,20100,61189,51841,37033,57614,22175
01117,"Shelby County, Alabama",65728,75058,54167,N,87391,37219,67073,25750,70493,77527,46073,77645,38416
01121,"Talladega County, Alabama",31547,31923,20254,N,"250,000+",21801,43318,14025,31956,43325,25679,41996,15849
01125,"Tuscaloosa County, Alabama",41139,67721,31574,50810,82328,23092,49856,14128,46270,51691,35695,52744,21624
01127,"Walker County, Alabama",35330,26108,25330,145219,-,56506,35879,32909,41366,41294,30643,45623,20170
02020,"Anchorage Municipality, Alaska",72575,105569,41653,61629,52397,48854,83359,38085,70975,89153,50998,86790,47205
02090,"Fairbanks North Star Borough, Alaska",66539,35944,55081,N,82699,68728,71293,48202,61361,74086,47594,81336,40749
02170,"Matanuska-Susitna Borough, Alaska",67486,31483,N,49676,43750,63977,69409,57412,70897,75196,35466,79765,33413
04001,"Apache County, Arizona",33867,19634,-,25296,58654,44868,44884,33182,35163,34137,32555,36226,16932
04003,"Cochise County, Arizona",43252,49983,63710,N,46219,30399,47603,21845,48878,51843,32193,51182,27681
04005,"Coconino County, Arizona",45640,46366,N,32474,N,45940,51601,20269,45873,57077,44647,56464,27356
04013,"Maricopa County, Arizona",51432,1424393,36867,39970,68471,38162,58638,25510,53430,62186,40615,61551,35184
04015,"Mohave County, Arizona",34445,79239,N,33783,N,26201,35502,24655,42041,33036,34215,42493,23546
04017,"Navajo County, Arizona",34298,35488,15525,23877,-,40051,43648,30111,34456,37904,29598,39828,18566
04019,"Pima County, Arizona",44762,386104,36593,31038,41800,33643,51546,17198,46408,54228,39726,56046,28020
04021,"Pinal County, Arizona",50515,126874,56750,33622,83072,43267,52642,36250,56929,52067,42408,55969,32762
04025,"Yavapai County, Arizona",44035,93697,N,27239,N,36482,45678,22933,49587,47205,40241,53192,27287
04027,"Yuma County, Arizona",39485,70895,29427,26056,54306,33735,48289,21255,44424,47276,33163,41190,25086
05007,"Benton County, Arkansas",52294,84026,65140,62770,86875,43358,52421,36547,57343,57470,40776,60850,30892
05031,"Craighead County, Arkansas",44111,38421,23153,N,43647,23226,47246,14627,45924,51808,45334,54846,23523
05045,"Faulkner County, Arkansas",49752,43709,37274,N,45934,31799,52379,17609,51135,65077,37060,61639,22901
05051,"Garland County, Arkansas",40893,40656,21024,N,N,28129,43702,29925,39965,46332,39858,48192,22008
05069,"Jefferson County, Arkansas",36275,28013,26546,-,150743,21378,48537,8056,37033,38700,36575,48969,21219
05085,"Lonoke County, Arkansas",51098,25384,21667,-,N,46973,51575,20864,58234,57215,40720,61121,27166
05119,"Pulaski County, Arkansas",44437,155125,30652,N,50095,30127,57737,17853,45219,50363,38898,56506,30060
05125,"Saline County, Arkansas",58009,42534,58263,-,N,63021,58254,31867,69817,64117,40782,66719,32690
05131,"Sebastian County, Arkansas",37330,51394,20915,42282,39648,28935,39768,17145,37898,51099,28464,48734,23631
05143,"Washington County, Arkansas",41225,81423,31802,20125,52955,39001,43157,16349,41404,55924,36616,52498,21730
05145,"White County, Arkansas",38853,29089,17904,18990,-,17171,41512,40823,40296,51349,32237,50048,22275
06001,"Alameda County, California",70500,548274,39450,46153,95527,49468,85216,28519,75080,86408,46154,87926,42844
06007,"Butte County, California",40960,85388,38632,41310,56023,29418,42445,28407,40342,51302,40237,51246,27271
06013,"Contra Costa County, California",74177,380397,46208,50325,93385,54316,86928,40260,74332,93960,50145,89141,49123
06017,"El Dorado County, California",69973,65558,93611,31134,109299,40720,70848,29927,74686,74575,57197,81401,39292
06019,"Fresno County, California",41627,292280,22296,40705,44868,34157,54974,22258,40951,51181,34990,45214,29103
06023,"Humboldt County, California",40682,52241,45979,17826,32366,31543,42392,16014,42281,51113,34981,53438,23714
06025,"Imperial County, California",40200,46747,64625,28860,42096,34036,51864,20287,43373,41883,22495,42244,16472
06029,"Kern County, California",45910,255967,35033,29992,66650,37135,57186,32408,48071,54255,32051,49430,29988
06031,"Kings County, California",45935,40376,48921,42167,60895,37940,58038,25391,47358,62702,32880,47470,31550
06033,"Lake County, California",33219,26228,41947,16056,55808,26210,36269,35316,29390,31303,40432,45590,14418
06037,"Los Angeles County, California",53001,3231660,38247,44464,63073,42751,70698,24858,55295,62625,38149,59828,37941
06039,"Madera County, California",42039,41035,47289,N,45946,36586,47713,35407,38337,49908,34519,43480,20974
06041,"Marin County, California",90535,102427,40288,N,112767,48451,99014,37755,97490,104546,63612,115513,54983
06045,"Mendocino County, California",41369,35203,16887,24881,50972,34762,44796,12050,37700,49355,33688,55967,22251
06047,"Merced County, California",43597,76451,33899,N,48422,39258,49528,24794,40522,54442,33850,49870,25604
06053,"Monterey County, California",58109,124171,55124,30577,61757,47365,70988,32652,55827,67165,49116,61788,41865
06055,"Napa County, California",68553,48224,99792,N,100168,64400,66941,50884,74331,79143,48504,79967,43494
06057,"Nevada County, California",53768,41632,-,N,N,32191,56077,45893,58857,66769,41991,64106,38172
06059,"Orange County, California",71983,995368,61924,54250,76902,54816,81292,30708,73631,86424,50822,81653,47348
06061,"Placer County, California",69086,133093,N,58779,91101,43297,70622,35318,76405,87930,46921,81939,40184
06065,"Riverside County, California",52621,685260,48139,40160,63973,45117,60065,26114,56310,62054,39083,59437,32035
06067,"Sacramento County, California",52667,516645,35003,35601,58404,41350,61058,25827,55720,61633,41971,62388,36870
06071,"San Bernardino County, California",50770,600688,40123,34067,75069,46597,54633,24656,51072,60220,37951,55750,30673
06073,"San Diego County, California",60330,1079653,47298,69771,80326,44746,66416,34647,62002,72254,44975,69364,41534
06075,"San Francisco County, California",73012,346842,23818,N,61673,51719,97531,24868,100786,74103,33475,86678,59924
06077,"San Joaquin County, California",50722,215761,40019,25702,52958,43185,58281,20363,52132,61461,40556,56652,28620
06079,"San Luis Obispo County, California",60264,101897,69020,29438,47099,47680,65412,21517,58845,77278,47102,73217,39333
06081,"San Mateo County, California",81609,258888,52271,66554,92907,52035,95711,36678,88829,92380,61562,97779,57280
06083,"Santa Barbara County, California",61890,141639,56400,75455,65886,48376,70411,21659,64543,77587,49246,71648,36522
06085,"Santa Clara County, California",91425,613810,65347,40717,105088,55220,100480,37031,101088,101212,54198,101682,57182
06087,"Santa Cruz County, California",67769,93253,120711,40179,77026,51891,73141,32118,67500,88050,50290,82643,42695
06089,"Shasta County, California",45442,68165,-,39722,45526,41039,46395,19328,52412,54022,34796,53497,26494
06095,"Solano County, California",62066,141139,56634,60343,76785,44058,70203,32267,61160,78247,47636,70813,40466
