GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",44874,70259,16861,N,N,42286,50355,17411,46479,54168,42273,59569,26810
01015,"Calhoun County, Alabama",36205,43851,26695,N,N,25915,40626,16471,32602,43866,33993,45486,23678
01043,"Cullman County, Alabama",39936,32225,67955,-,N,16313,40658,30403,50130,46183,27295,47541,17398
01049,"DeKalb County, Alabama",40876,22754,N,97605,-,37399,41492,31826,46337,47216,26077,48241,18536
01051,"Elmore County, Alabama",50699,28292,31511,-,-,73106,56312,22044,47045,58620,38187,61597,30345
01055,"Etowah County, Alabama",39459,40135,23458,N,N,49791,43005,12969,46871,51840,27068,49858,19685
01069,"Houston County, Alabama",39006,40448,24275,34828,80798,29065,45983,22155,41046,46812,31797,50032,22328
01073,"Jefferson County, Alabama",45013,257398,31668,35564,71759,32565,59278,15580,50329,52823,34690,59172,27153
01077,"Lauderdale County, Alabama",43891,39433,32228,-,N,51775,44610,14221,45062,58994,33449,55391,22937
01081,"Lee County, Alabama",46068,56840,31375,-,74068,N,50788,15978,50199,66590,42071,59203,27846
01083,"Limestone County, Alabama",48639,32879,21896,N,N,32921,51100,12290,42154,63908,34450,57378,27326
01089,"Madison County, Alabama",58076,137072,36132,43005,71033,50353,68353,17289,54933,79291,44306,73377,37098
01095,"Marshall County, Alabama",38116,33738,30048,N,90771,33489,39227,39589,39682,44774,26446,49385,19984
01097,"Mobile County, Alabama",42944,148025,25567,34550,50868,40410,51598,17961,43854,50798,33152,51495,23756
01101,"Montgomery County, Alabama",44675,87996,35366,-,76173,26687,61328,20943,41016,65778,42515,59316,31090
01103,"Morgan County, Alabama",43169,46779,25230,35104,N,32862,48323,12344,45839,57730,34339,54437,25536
01115,"St. Clair County, Alabama",53803,31769,34360,-,-,49024,56174,33133,61708,56575,38683,63092,31507
01117,"Shelby County, Alabama",67800,73694,66452,-,53120,32066,70998,43636,71340,80060,45106,81526,36680
01121,"Talladega County, Alabama",37719,31598,33858,-,-,N,38453,17886,41119,44281,33074,45253,21708
01125,"Tuscaloosa County, Alabama",46538,69291,33965,60149,60015,55828,52475,14468,53418,54369,37395,59058,24915
01127,"Walker County, Alabama",34810,24963,22089,-,-,19322,37906,16981,40862,46225,26219,45089,16747
02020,"Anchorage Municipality, Alaska",79045,103445,51035,43869,80623,56600,88544,41848,81358,94322,65014,90480,50414
02090,"Fairbanks North Star Borough, Alaska",69113,34056,N,22500,N,49563,71970,41063,67884,80933,48142,91372,44654
02170,"Matanuska-Susitna Borough, Alaska",72122,30272,77222,44839,46042,52000,74149,52768,74945,76448,53315,83506,36526
04001,"Apache County, Arizona",29180,17948,N,22387,N,N,42434,38819,31151,33374,22468,33399,18489
04003,"Cochise County, Arizona",46647,48368,38457,15924,74422,34703,51911,12600,55189,59897,32114,56857,30524
04005,"Coconino County, Arizona",50637,49002,58247,36516,N,43067,57403,14904,59631,57754,41104,59716,30737
04013,"Maricopa County, Arizona",52045,1425393,36386,41449,71559,38428,59691,27465,55265,63663,40789,62060,35318
04015,"Mohave County, Arizona",39058,81257,9255,55262,56382,39228,38923,12118,50395,39357,36397,48773,25828
04017,"Navajo County, Arizona",38400,34147,-,26108,41310,36906,46587,19818,37598,41162,37720,41071,26866
04019,"Pima County, Arizona",43824,391975,26301,30184,42041,34304,50586,21256,46778,54597,39952,55220,28637
04021,"Pinal County, Arizona",49756,128036,53093,31225,50453,41327,52112,33757,53691,51492,41437,53186,30721
04025,"Yavapai County, Arizona",39895,91064,51788,N,N,36554,40243,21460,41507,44230,36648,50811,23655
04027,"Yuma County, Arizona",41666,69744,52791,44326,48672,36523,48155,26501,46840,51720,31233,44602,25118
05007,"Benton County, Arkansas",56570,82644,48259,57778,74274,40252,59436,34652,63219,63891,42146,64165,32422
05031,"Craighead County, Arkansas",41134,37827,21680,-,N,51984,45172,11453,41696,52355,38866,49301,22447
05045,"Faulkner County, Arkansas",49149,42636,30280,-,N,42939,58568,23127,55490,62545,38467,63513,31420
05051,"Garland County, Arkansas",39589,41865,15080,-,-,11091,42100,26974,36145,51128,33277,49836,26979
05069,"Jefferson County, Arkansas",34689,27960,29019,-,-,21950,42557,14290,33183,41307,25704,46983,22613
05085,"Lonoke County, Arkansas",56635,24779,34637,-,-,43312,59379,26973,60210,61995,34829,61280,33187
05119,"Pulaski County, Arkansas",46368,148694,32032,N,60448,29569,57023,30557,46206,52903,41151,60124,31163
05125,"Saline County, Arkansas",53107,41004,28850,-,N,46021,54983,68258,60415,57037,40842,62486,34734
05131,"Sebastian County, Arkansas",41056,50095,20095,46849,46733,26256,47244,22519,50984,41083,30831,50084,22938
05143,"Washington County, Arkansas",42073,81198,31823,N,60669,30794,44996,23336,42134,61901,39803,57188,26341
05145,"White County, Arkansas",43643,29038,N,-,N,60547,43270,14849,58660,49592,35287,54409,17021
06001,"Alameda County, California",72399,555909,39272,59821,93193,56726,84833,27033,77957,84555,48340,88720,46047
06007,"Butte County, California",42752,85158,60010,57539,N,41387,44012,22374,49929,54753,38343,55619,27047
06013,"Contra Costa County, California",79100,382356,45942,60935,101963,52044,92316,36825,82110,98259,51352,94574,45429
06017,"El Dorado County, California",61365,66751,N,N,96518,38686,62900,24808,65472,85540,36993,85139,28220
06019,"Fresno County, California",43925,293517,24332,38305,46572,33643,57805,21205,43554,52542,37056,48229,27242
06023,"Humboldt County, California",42092,53191,N,27545,41961,36552,44922,21529,45646,49312,40716,50170,30508
06025,"Imperial County, California",43310,47430,142722,29042,84556,40519,54107,17145,56929,48162,27434,47116,22090
06029,"Kern County, California",46879,257183,32367,22037,63166,37847,58517,29633,49304,59051,35558,51929,31442
06031,"Kings County, California",45774,41813,61353,50399,61560,34719,57388,37853,48108,49413,36306,46260,31169
06033,"Lake County, California",37079,26194,-,N,40871,31637,39219,18964,46131,33974,42121,49397,19503
06037,"Los Angeles County, California",54529,3247705,40042,45144,64932,43352,73081,27478,56457,63158,39791,60792,39402
06039,"Madera County, California",39758,44549,30410,25615,75778,38052,48107,24298,39160,51771,29429,45737,24252
06041,"Marin County, California",96580,102847,54132,-,94788,51063,106538,42633,98588,112434,73273,120519,55466
06045,"Mendocino County, California",42042,33609,50552,19984,N,36947,43359,4349,44360,51061,32176,52209,19871
06047,"Merced County, California",40687,77651,31601,N,43226,37439,45292,30542,40153,50725,34771,43430,29810
06053,"Monterey County, California",57052,125553,70391,70217,59467,43535,73158,32331,50806,70939,53140,61872,37977
06055,"Napa County, California",70914,47482,85940,N,85990,51865,75491,24067,67340,90367,49058,80375,42891
06057,"Nevada County, California",54851,39115,-,68750,150660,62543,53955,13750,50091,69113,44771,69895,40391
06059,"Orange County, California",74163,1003790,65506,46719,76158,52765,85769,35227,75004,91879,51907,82861,50690
06061,"Placer County, California",73328,134284,137478,75131,88455,60285,73627,33266,82491,86762,50060,84156,41860
06065,"Riverside County, California",54095,693585,47195,39755,70379,47389,61081,28261,56228,66396,40834,60830,33084
06067,"Sacramento County, California",52936,520580,33041,55130,58163,44049,59720,22553,56303,62327,42184,60887,37552
06071,"San Bernardino County, California",52323,604090,41495,43483,74892,47029,58936,30444,53510,62498,38296,58204,31231
06073,"San Diego County, California",61426,1093386,46650,53750,76321,46875,70302,34551,62325,76283,47259,71608,42136
06075,"San Francisco County, California",77485,354651,30368,48251,64859,53670,101272,31793,105021,77785,38562,95421,63619
06077,"San Joaquin County, California",51432,216309,32864,29896,58904,40694,62356,24176,51936,61936,41769,57111,30612
06079,"San Luis Obispo County, California",58158,104669,N,63669,63899,44233,62881,15194,57632,76392,47881,74389,32176
06081,"San Mateo County, California",91322,258791,41774,91011,99756,64756,104624,49702,96653,111843,54387,108410,54957
06083,"Santa Barbara County, California",62421,140665,41958,28969,62126,45835,73917,32494,66327,80538,50743,75073,39951
06085,"Santa Clara County, California",92014,619337,52870,51561,113644,59407,100633,39949,104170,106598,52933,104307,60346
06087,"Santa Cruz County, California",68438,93982,89215,N,68613,50003,73218,15451,63616,87866,47359,82904,41001
06089,"Shasta County, California",40332,69729,39011,34177,30743,31452,42064,20109,42855,48946,33300,49550,25056
06095,"Solano County, California",63520,142577,50078,77936,81158,53539,71873,34989,72640,76530,48316,75598,42830
06097,"Sonoma County, California",61029,189087,55290,50796,72944,48120,63961,23844,61213,75585,50213,73969,42015
06099,"Stanislaus County, California",47962,167411,27428,39807,70493,39131,56097,24202,46601,59919,37659,55336,29536
06101,"Sutter County, California",49139,31753,53413,-,42327,37470,58697,16686,51133,60179,40776,59297,25897
06107,"Tulare County, California",39422,133409,34754,33114,40482,32619,50858,22669,43129,41708,33814,40747,27879
06111,"Ventura County, California",77363,265788,81133,N,104845,56165,86786,40338,80289,92739,52719,86048,48713
06113,"Yolo County, California",54898,71024,23489,68997,44063,44689,66806,19125,58327,74593,44143,72160,27743
06115,"Yuba County, California",43801,25053,N,69258,27173,41213,50186,12146,47248,51648,32694,49561,26614
08001,"Adams County, Colorado",54878,157392,50809,70877,57073,47160,61133,29758,60430,66693,36438,63754,39019
08005,"Arapahoe County, Colorado",60956,230276,45269,70994,71532,39195,67991,26188,59952,72445,51941,72867,39793
08013,"Boulder County, Colorado",71604,123498,44985,29353,94188,50349,73497,17777,78742,86397,59057,92363,40665
08031,"Denver County, Colorado",51089,273050,30552,29603,58687,35110,62468,30555,58493,52899,37567,65155,41048
08035,"Douglas County, Colorado",102961,106874,N,N,107035,91168,104441,55882,107481,115170,60597,114000,57427
08041,"El Paso County, Colorado",57098,240131,51856,39098,49054,41037,61878,28259,59124,69939,48442,69131,35372
08059,"Jefferson County, Colorado",68201,221172,72009,58052,85308,52219,70324,27896,72464,82051,48292,85184,41067
08069,"Larimer County, Colorado",59052,123877,41090,33686,117652,47156,59923,22977,64958,75198,48781,76161,35495
08077,"Mesa County, Colorado",46723,58466,36219,-,62321,32788,50144,30288,50479,55246,36453,55485,29941
08101,"Pueblo County, Colorado",41218,62604,46409,33070,N,33386,47183,22360,44123,51445,31449,49272,23072
08123,"Weld County, Colorado",58611,92426,26971,81078,85234,40153,65088,27861,61950,70767,41923,66807,32430
09001,"Fairfield County, Connecticut",82084,328062,42089,115691,105138,46696,98697,39260,87054,101599,48876,101721,42621
09003,"Hartford County, Connecticut",63603,345615,43471,N,88982,28136,74606,26351,67230,80847,40341,81071,36761
09005,"Litchfield County, Connecticut",70981,75029,44247,-,122105,43089,72988,40825,75912,84392,45865,87052,39307
09007,"Middlesex County, Connecticut",75303,65304,56258,-,N,56909,77338,25887,82921,99074,44872,100407,45386
09009,"New Haven County, Connecticut",58571,321048,36435,N,64815,33212,70365,25093,61035,73931,41888,78879,34258
09011,"New London County, Connecticut",62883,106886,43544,67069,75571,50684,67105,33036,61610,79419,47054,76099,40536
09013,"Tolland County, Connecticut",72954,53396,60945,-,83090,40067,75482,45897,71171,94250,47411,87898,43051
09015,"Windham County, Connecticut",57503,44520,N,-,N,26094,60525,17044,55971,71306,40048,70064,31438
10001,"Kent County, Delaware",54794,62053,55052,31346,N,38590,56898,34118,59951,60976,43280,61285,39887
