GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
01003,"Baldwin County, Alabama",63866,94105,26850,60660,156460,76152,69508,46279,77768,74914,52310,82899,41895
01015,"Calhoun County, Alabama",46524,44631,36585,N,N,35262,48741,18208,56595,46446,43542,66042,23653
01043,"Cullman County, Alabama",55517,35131,58118,68721,-,63553,55065,48112,70406,66362,32158,68782,24587
01049,"DeKalb County, Alabama",41800,24979,N,39318,-,20777,47040,22635,52136,51302,28504,54050,21596
01051,"Elmore County, Alabama",59032,32108,36873,-,-,72030,64774,39154,60894,70324,47512,70884,35790
01055,"Etowah County, Alabama",45298,38006,32495,-,111466,47108,47847,46604,50763,49646,36512,56531,24144
01069,"Houston County, Alabama",46931,44058,31702,N,89464,43942,54632,26990,46697,59204,38491,60587,28829
01073,"Jefferson County, Alabama",55006,270147,38166,48370,112661,50050,72935,31294,55939,68503,45276,74592,36575
01077,"Lauderdale County, Alabama",50218,38250,42101,45777,-,53794,51924,22500,54032,63046,42271,64865,32327
01081,"Lee County, Alabama",52424,67358,35732,-,94392,34596,61463,15208,59182,62936,53378,74826,24860
01083,"Limestone County, Alabama",66796,40685,30215,36178,N,N,75870,128448,88275,92098,44068,95705,37344
01089,"Madison County, Alabama",78525,164493,51022,95054,70670,77602,89284,34630,87317,100818,53173,97005,43530
01095,"Marshall County, Alabama",50191,36003,39195,N,126023,37294,52612,48684,44858,63776,39863,62807,26505
01097,"Mobile County, Alabama",49721,162963,34709,N,53646,40654,63377,32669,52181,57579,40805,65139,28824
01101,"Montgomery County, Alabama",50385,92407,36272,107939,94136,40461,70414,38572,42225,62218,46019,61467,35168
01103,"Morgan County, Alabama",55286,47558,54015,N,N,21694,61590,24994,71583,65380,42440,77747,25661
01115,"St. Clair County, Alabama",60433,33093,51703,-,-,-,61551,34428,72813,77507,42421,77367,41523
01117,"Shelby County, Alabama",84260,86970,62871,N,96443,51916,89291,52038,87621,105570,62389,103488,41195
01121,"Talladega County, Alabama",45063,33775,37798,-,-,N,47987,54261,48425,47458,35359,62127,25245
01125,"Tuscaloosa County, Alabama",56559,86694,39146,-,N,74504,71917,11689,60828,76396,42941,75018,31760
