GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
01003,"Baldwin County, Alabama",8.6,31.8,29.4,31.2,29.3
01015,"Calhoun County, Alabama",3.3,20.4,16.7,22.1,13.6
01043,"Cullman County, Alabama",4.4,14.1,19.9,13.6,12.3
01049,"DeKalb County, Alabama",2.0,12.7,11.3,14.5,8.3
01051,"Elmore County, Alabama",6.4,15.9,26.8,24.8,20.8
01055,"Etowah County, Alabama",6.4,19.4,16.7,16.7,15.1
01069,"Houston County, Alabama",5.2,16.7,24.9,20.5,15.4
01073,"Jefferson County, Alabama",8.1,33.3,37.0,29.6,23.5
01077,"Lauderdale County, Alabama",4.6,21.9,30.2,23.5,19.6
01081,"Lee County, Alabama",11.3,33.8,29.4,34.4,25.9
01083,"Limestone County, Alabama",6.0,25.9,28.6,21.7,17.0
01089,"Madison County, Alabama",12.6,37.2,36.3,44.6,29.1
01095,"Marshall County, Alabama",7.2,21.2,20.6,16.2,13.5
01097,"Mobile County, Alabama",5.9,22.6,24.8,20.0,18.1
01101,"Montgomery County, Alabama",5.5,30.9,34.0,31.0,25.6
01103,"Morgan County, Alabama",4.0,13.1,23.1,19.7,21.5
01115,"St. Clair County, Alabama",0.0,18.8,24.7,11.4,13.6
01117,"Shelby County, Alabama",15.1,40.5,47.6,40.9,31.9
01121,"Talladega County, Alabama",4.4,13.9,14.9,15.2,4.5
01125,"Tuscaloosa County, Alabama",8.8,32.9,31.9,25.6,21.6
01127,"Walker County, Alabama",3.1,9.4,13.0,12.5,12.3
02020,"Anchorage Municipality, Alaska",8.3,27.1,35.3,34.6,32.7
02090,"Fairbanks North Star Borough, Alaska",8.9,32.2,35.9,33.4,39.3
02170,"Matanuska-Susitna Borough, Alaska",1.8,12.7,25.9,20.8,26.8
04001,"Apache County, Arizona",1.0,4.6,10.5,12.6,9.7
04003,"Cochise County, Arizona",8.0,22.2,27.6,25.2,24.6
04005,"Coconino County, Arizona",5.9,34.3,33.6,30.9,46.3
04013,"Maricopa County, Arizona",8.4,29.4,31.9,30.5,29.0
