GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
01003,"Baldwin County, Alabama",7.7,31.1,30.0,28.6,30.0
01015,"Calhoun County, Alabama",9.4,19.4,25.3,12.0,14.9
01043,"Cullman County, Alabama",3.3,19.4,13.0,16.4,18.7
01049,"DeKalb County, Alabama",0.4,10.4,10.5,10.4,12.2
01051,"Elmore County, Alabama",4.6,22.6,25.8,29.5,23.4
01055,"Etowah County, Alabama",0.8,13.8,15.9,17.5,13.6
01069,"Houston County, Alabama",5.4,20.8,20.3,21.3,18.4
01073,"Jefferson County, Alabama",11.3,37.9,37.5,31.3,27.0
01077,"Lauderdale County, Alabama",3.5,22.9,30.9,20.2,17.8
01081,"Lee County, Alabama",16.8,37.9,42.5,32.9,31.5
01083,"Limestone County, Alabama",3.4,25.1,21.7,23.9,17.1
01089,"Madison County, Alabama",9.2,40.0,48.3,40.9,33.7
01095,"Marshall County, Alabama",2.4,15.7,16.0,16.0,17.6
01097,"Mobile County, Alabama",4.7,26.1,30.5,21.2,20.3
01101,"Montgomery County, Alabama",7.3,25.7,35.9,34.1,30.5
01103,"Morgan County, Alabama",4.2,13.2,26.8,21.3,16.2
01115,"St. Clair County, Alabama",10.8,18.7,19.3,15.1,18.7
01117,"Shelby County, Alabama",6.7,37.7,42.0,44.3,41.4
01121,"Talladega County, Alabama",0.1,14.8,23.7,13.9,10.4
01125,"Tuscaloosa County, Alabama",12.1,37.4,26.6,29.2,26.1
01127,"Walker County, Alabama",0.0,3.2,13.5,12.9,11.9
02020,"Anchorage Municipality, Alaska",8.2,30.5,40.2,38.7,37.0
02090,"Fairbanks North Star Borough, Alaska",8.1,36.2,29.1,29.2,31.1
02170,"Matanuska-Susitna Borough, Alaska",3.8,11.3,19.6,22.3,22.9
04001,"Apache County, Arizona",0.0,7.9,10.1,13.3,13.4
04003,"Cochise County, Arizona",5.0,14.5,27.7,25.7,26.8
04005,"Coconino County, Arizona",6.5,31.3,38.0,33.8,40.4
04013,"Maricopa County, Arizona",9.2,30.8,33.2,32.3,31.3
04015,"Mohave County, Arizona",2.4,14.8,10.3,10.0,11.6
04017,"Navajo County, Arizona",0.0,9.1,21.1,13.6,15.4
04019,"Pima County, Arizona",7.7,27.6,31.0,31.6,35.3
04021,"Pinal County, Arizona",4.1,13.6,17.1,22.6,23.8
04025,"Yavapai County, Arizona",2.9,16.5,19.0,21.0,30.7
04027,"Yuma County, Arizona",3.3,13.5,23.6,14.9,12.6
05007,"Benton County, Arkansas",7.5,39.4,38.9,29.5,21.4
05031,"Craighead County, Arkansas",4.1,28.5,20.2,21.3,25.1
05045,"Faulkner County, Arkansas",9.9,31.5,28.8,28.9,25.7
05051,"Garland County, Arkansas",7.5,15.9,25.1,15.3,19.7
05069,"Jefferson County, Arkansas",0.9,9.4,16.1,21.5,22.1
05085,"Lonoke County, Arkansas",15.5,17.6,29.4,18.7,21.7
05119,"Pulaski County, Arkansas",13.7,37.9,36.9,33.4,29.0
05125,"Saline County, Arkansas",1.4,33.8,32.0,26.5,24.7
05131,"Sebastian County, Arkansas",6.7,13.9,15.9,17.6,21.0
05143,"Washington County, Arkansas",14.0,33.0,30.2,36.4,28.2
05145,"White County, Arkansas",7.4,35.6,21.0,19.2,13.4
06001,"Alameda County, California",16.8,52.3,52.1,41.8,36.1
06007,"Butte County, California",9.9,22.0,29.9,23.5,28.9
06013,"Contra Costa County, California",12.7,37.3,46.5,41.6,40.5
06017,"El Dorado County, California",7.6,23.1,40.4,36.2,31.7
06019,"Fresno County, California",4.3,20.4,19.5,19.6,21.6
06023,"Humboldt County, California",4.3,27.0,29.9,31.2,28.5
06025,"Imperial County, California",3.2,15.0,18.7,13.2,9.2
06029,"Kern County, California",4.3,13.8,17.0,16.8,18.2
06031,"Kings County, California",8.1,11.1,10.6,11.6,13.6
06033,"Lake County, California",2.4,6.1,17.2,17.1,18.1
06037,"Los Angeles County, California",10.5,36.8,33.5,29.0,27.8
06039,"Madera County, California",4.2,7.5,9.4,14.6,13.8
06041,"Marin County, California",16.6,47.0,64.1,60.8,58.1
06045,"Mendocino County, California",8.6,13.2,21.6,17.5,34.3
06047,"Merced County, California",4.1,14.2,13.0,13.7,12.7
06053,"Monterey County, California",5.5,23.2,21.7,23.4,32.3
06055,"Napa County, California",4.9,34.5,36.0,33.1,37.9
06057,"Nevada County, California",4.3,23.7,35.4,38.6,40.0
06059,"Orange County, California",11.4,41.7,41.0,39.5,38.0
06061,"Placer County, California",9.6,40.3,49.1,37.8,33.5
06065,"Riverside County, California",5.7,20.7,22.0,21.4,23.5
06067,"Sacramento County, California",9.2,30.3,32.3,29.2,27.7
06071,"San Bernardino County, California",5.7,19.5,21.2,19.5,20.3
06073,"San Diego County, California",10.2,39.1,42.0,34.9,35.2
06075,"San Francisco County, California",36.9,75.9,66.8,46.3,36.4
06077,"San Joaquin County, California",4.1,16.2,16.9,16.8,17.1
06079,"San Luis Obispo County, California",7.3,38.5,34.1,33.8,39.0
06081,"San Mateo County, California",21.1,56.2,58.9,48.8,39.4
06083,"Santa Barbara County, California",9.6,31.3,26.0,31.6,39.5
06085,"Santa Clara County, California",20.9,58.5,56.6,48.8,39.8
06087,"Santa Cruz County, California",9.9,37.8,36.8,42.3,42.3
06089,"Shasta County, California",5.6,21.5,25.1,21.0,21.4
06095,"Solano County, California",5.4,24.6,23.1,26.0,26.9
06097,"Sonoma County, California",6.2,26.9,32.7,33.6,40.0
06099,"Stanislaus County, California",4.1,19.1,17.2,15.1,14.3
06101,"Sutter County, California",1.0,16.3,12.7,16.9,17.7
06107,"Tulare County, California",2.7,13.7,14.2,13.9,12.8
06111,"Ventura County, California",7.7,26.2,33.4,36.9,34.2
06113,"Yolo County, California",10.5,41.1,41.3,40.3,41.1
06115,"Yuba County, California",3.9,14.9,25.6,16.1,21.9
08001,"Adams County, Colorado",6.4,21.7,25.7,22.3,22.4
08005,"Arapahoe County, Colorado",12.1,38.1,39.8,44.4,41.6
08013,"Boulder County, Colorado",15.7,58.9,68.2,60.4,55.7
08014,"Broomfield County, Colorado",23.5,58.7,64.3,51.3,32.0
08031,"Denver County, Colorado",17.7,56.0,48.2,41.7,40.1
08035,"Douglas County, Colorado",13.9,61.3,62.7,59.3,53.4
08041,"El Paso County, Colorado",11.1,32.9,39.4,42.3,38.2
08059,"Jefferson County, Colorado",12.6,45.8,51.9,40.9,39.3
08069,"Larimer County, Colorado",15.2,49.2,50.7,44.8,44.7
08077,"Mesa County, Colorado",7.8,20.9,21.3,23.5,32.4
08101,"Pueblo County, Colorado",4.1,19.8,19.6,23.5,19.9
08123,"Weld County, Colorado",5.3,24.7,31.7,26.8,26.1
09001,"Fairfield County, Connecticut",18.8,45.8,52.8,48.1,38.9
09003,"Hartford County, Connecticut",15.5,44.7,40.6,37.0,28.8
09005,"Litchfield County, Connecticut",17.2,46.3,42.6,35.4,31.2
09007,"Middlesex County, Connecticut",16.7,50.0,53.0,40.6,32.9
09009,"New Haven County, Connecticut",16.5,43.2,40.8,33.3,27.5
09011,"New London County, Connecticut",13.2,34.6,34.3,32.4,30.0
09013,"Tolland County, Connecticut",8.1,37.0,51.1,39.6,36.2
09015,"Windham County, Connecticut",5.2,33.3,23.0,22.2,20.5
10001,"Kent County, Delaware",5.3,21.3,28.5,25.4,15.6
10003,"New Castle County, Delaware",11.1,38.2,39.7,34.1,31.6
10005,"Sussex County, Delaware",8.4,24.3,17.9,27.7,29.1
11001,"District of Columbia, District of Columbia",24.0,70.2,61.7,47.6,41.9
12001,"Alachua County, Florida",14.9,45.2,47.8,32.0,39.5
12005,"Bay County, Florida",1.6,18.9,26.8,24.4,22.5
12009,"Brevard County, Florida",10.9,28.7,30.0,30.0,28.4
12011,"Broward County, Florida",9.9,31.4,34.5,31.3,26.5
12015,"Charlotte County, Florida",5.5,20.9,17.9,20.2,27.8
12017,"Citrus County, Florida",7.5,11.6,19.3,20.2,23.0
12019,"Clay County, Florida",12.0,25.8,28.7,22.9,18.3
12021,"Collier County, Florida",11.2,19.0,30.4,29.4,43.3
12023,"Columbia County, Florida",0.7,7.7,21.3,15.6,9.8
12031,"Duval County, Florida",10.8,30.7,33.9,28.3,25.7
12033,"Escambia County, Florida",7.7,28.6,28.3,27.2,23.8
12035,"Flagler County, Florida",4.0,13.1,16.6,19.1,31.3
12053,"Hernando County, Florida",4.5,20.7,19.6,20.1,16.5
12055,"Highlands County, Florida",6.5,8.1,14.5,10.9,15.5
12057,"Hillsborough County, Florida",11.0,34.7,37.1,31.8,25.7
12061,"Indian River County, Florida",6.9,19.3,21.8,24.4,36.3
12069,"Lake County, Florida",7.1,24.4,28.9,19.6,23.3
12071,"Lee County, Florida",8.3,24.2,24.2,26.7,33.0
12073,"Leon County, Florida",11.4,50.3,45.3,46.9,47.6
12081,"Manatee County, Florida",6.9,21.9,26.4,28.2,29.9
12083,"Marion County, Florida",4.7,13.9,18.9,15.9,21.2
12085,"Martin County, Florida",7.4,20.6,27.2,30.0,34.3
12086,"Miami-Dade County, Florida",8.6,31.2,31.5,28.0,21.5
12087,"Monroe County, Florida",3.0,31.4,29.3,35.4,33.9
12089,"Nassau County, Florida",4.9,20.4,33.3,29.3,34.8
12091,"Okaloosa County, Florida",5.8,30.4,31.1,28.5,33.4
12095,"Orange County, Florida",11.2,39.0,34.7,32.3,27.6
12097,"Osceola County, Florida",7.2,19.1,23.4,21.3,15.1
12099,"Palm Beach County, Florida",9.4,32.0,34.5,34.5,37.3
12101,"Pasco County, Florida",6.5,24.2,32.0,22.8,17.8
12103,"Pinellas County, Florida",10.6,29.5,33.8,29.0,27.6
12105,"Polk County, Florida",7.2,21.0,20.2,20.2,19.4
12107,"Putnam County, Florida",3.7,7.0,7.8,19.6,17.8
12109,"St. Johns County, Florida",8.0,35.1,55.6,41.6,40.3
12111,"St. Lucie County, Florida",5.2,17.0,21.3,21.3,21.1
12113,"Santa Rosa County, Florida",12.1,28.2,29.3,26.1,28.0
12115,"Sarasota County, Florida",6.3,22.2,30.3,31.1,38.8
12117,"Seminole County, Florida",5.9,34.2,42.0,38.5,32.5
12119,"Sumter County, Florida",0.0,9.3,8.3,23.2,35.1
12127,"Volusia County, Florida",11.8,20.4,30.4,22.9,24.5
12131,"Walton County, Florida",9.2,19.7,24.9,26.8,36.9
13013,"Barrow County, Georgia",2.2,23.4,22.3,14.5,15.0
13015,"Bartow County, Georgia",5.2,24.0,25.4,16.7,13.9
13021,"Bibb County, Georgia",5.9,30.2,34.1,23.2,19.9
13031,"Bulloch County, Georgia",3.6,31.6,31.9,28.3,15.0
13045,"Carroll County, Georgia",8.2,29.1,20.3,21.5,14.0
13047,"Catoosa County, Georgia",3.0,28.8,35.4,17.5,18.3
13051,"Chatham County, Georgia",13.7,35.9,26.4,30.1,35.0
13057,"Cherokee County, Georgia",8.6,32.8,45.8,37.5,33.7
13059,"Clarke County, Georgia",15.0,44.8,49.7,32.9,40.9
13063,"Clayton County, Georgia",5.5,22.6,17.8,21.6,18.1
13067,"Cobb County, Georgia",13.3,48.1,47.3,49.7,36.8
13073,"Columbia County, Georgia",8.8,40.7,43.2,35.1,23.3
13077,"Coweta County, Georgia",4.9,33.9,35.3,25.6,24.5
13089,"DeKalb County, Georgia",15.9,45.2,45.1,43.2,38.9
13095,"Dougherty County, Georgia",2.0,15.4,23.0,23.8,21.1
13097,"Douglas County, Georgia",13.1,20.8,37.6,29.7,14.9
13113,"Fayette County, Georgia",14.6,58.1,48.0,55.6,32.4
13115,"Floyd County, Georgia",11.0,26.0,27.7,20.9,25.1
13117,"Forsyth County, Georgia",8.4,48.2,63.8,49.8,34.5
13121,"Fulton County, Georgia",17.9,56.0,56.5,49.4,41.4
13127,"Glynn County, Georgia",6.8,25.7,29.4,27.3,28.4
13135,"Gwinnett County, Georgia",12.3,29.7,35.3,37.7,32.4
13139,"Hall County, Georgia",8.4,20.0,20.6,19.7,26.8
13151,"Henry County, Georgia",4.4,29.7,38.5,28.0,18.4
13153,"Houston County, Georgia",6.4,24.3,38.6,33.5,20.2
13179,"Liberty County, Georgia",3.9,24.6,7.8,19.9,12.9
13185,"Lowndes County, Georgia",8.1,26.4,21.4,26.3,20.4
13215,"Muscogee County, Georgia",6.2,27.1,33.5,28.8,19.4
13217,"Newton County, Georgia",9.3,10.4,18.4,21.2,12.7
13223,"Paulding County, Georgia",3.3,15.6,35.9,22.9,17.3
13245,"Richmond County, Georgia",7.9,24.9,19.5,23.6,18.2
13247,"Rockdale County, Georgia",10.8,11.3,36.1,27.2,17.6
13285,"Troup County, Georgia",5.3,13.5,16.1,30.0,15.6
13295,"Walker County, Georgia",3.5,12.4,26.0,16.7,12.6
13297,"Walton County, Georgia",2.4,19.1,35.7,21.6,16.7
13313,"Whitfield County, Georgia",8.9,9.9,15.4,12.6,12.2
15001,"Hawaii County, Hawaii",10.1,24.0,26.9,29.1,27.9
15003,"Honolulu County, Hawaii",9.9,33.6,40.2,35.0,29.7
15007,"Kauai County, Hawaii",15.8,29.7,26.4,26.9,29.5
15009,"Maui County, Hawaii",5.1,16.9,22.5,25.6,31.0
16001,"Ada County, Idaho",8.1,38.0,43.5,36.7,35.5
16005,"Bannock County, Idaho",9.2,23.8,33.2,25.2,30.4
16019,"Bonneville County, Idaho",5.9,30.4,38.1,32.1,29.3
16027,"Canyon County, Idaho",1.8,18.1,20.6,19.1,18.9
16055,"Kootenai County, Idaho",6.5,16.8,33.6,27.7,24.5
16083,"Twin Falls County, Idaho",2.2,21.7,24.3,24.4,16.7
17001,"Adams County, Illinois",6.7,37.8,31.5,21.9,18.8
17019,"Champaign County, Illinois",16.9,53.8,53.6,41.7,35.8
17031,"Cook County, Illinois",17.3,49.7,40.7,34.1,27.1
17037,"DeKalb County, Illinois",10.5,29.2,33.0,30.7,35.7
17043,"DuPage County, Illinois",20.1,52.5,55.9,48.8,38.3
17089,"Kane County, Illinois",9.5,28.4,35.3,36.8,30.2
17091,"Kankakee County, Illinois",5.1,25.3,26.9,16.3,13.6
17093,"Kendall County, Illinois",8.5,46.6,39.1,32.0,21.2
17097,"Lake County, Illinois",13.9,38.6,50.5,46.8,38.7
17099,"LaSalle County, Illinois",4.5,23.6,20.4,19.9,13.8
17111,"McHenry County, Illinois",13.0,38.0,39.3,34.0,24.1
17113,"McLean County, Illinois",13.4,46.9,52.4,43.4,33.2
17115,"Macon County, Illinois",5.7,18.0,32.4,18.9,21.5
17119,"Madison County, Illinois",11.4,33.8,32.9,24.9,17.9
17143,"Peoria County, Illinois",8.6,36.7,40.1,28.1,21.9
17161,"Rock Island County, Illinois",6.4,24.8,23.9,22.9,21.1
17163,"St. Clair County, Illinois",11.3,30.7,34.7,27.7,20.5
17167,"Sangamon County, Illinois",12.4,40.8,42.0,33.8,30.2
17179,"Tazewell County, Illinois",6.8,28.6,33.8,22.1,15.7
17183,"Vermilion County, Illinois",3.3,16.5,13.6,13.0,14.1
17197,"Will County, Illinois",14.4,36.2,41.6,35.7,23.2
17199,"Williamson County, Illinois",3.7,27.7,29.1,25.0,18.5
17201,"Winnebago County, Illinois",8.3,25.1,25.7,19.8,22.2
18003,"Allen County, Indiana",5.4,35.9,27.2,28.5,24.0
18005,"Bartholomew County, Indiana",22.6,41.7,43.5,29.1,24.2
18019,"Clark County, Indiana",12.9,23.5,21.6,18.9,19.1
18035,"Delaware County, Indiana",11.5,25.4,22.8,23.3,19.8
18039,"Elkhart County, Indiana",7.6,20.3,18.0,18.0,18.8
18043,"Floyd County, Indiana",6.8,36.5,29.4,25.0,25.7
18053,"Grant County, Indiana",8.6,11.4,16.8,17.7,17.7
18057,"Hamilton County, Indiana",24.8,62.6,68.7,55.5,43.0
18059,"Hancock County, Indiana",1.7,35.5,40.1,33.0,14.0
18063,"Hendricks County, Indiana",12.4,45.7,53.1,31.5,25.2
18067,"Howard County, Indiana",3.7,22.5,22.2,20.3,21.4
18081,"Johnson County, Indiana",9.9,33.4,44.8,31.7,20.6
18085,"Kosciusko County, Indiana",2.3,28.4,21.7,16.4,21.9
18089,"Lake County, Indiana",7.0,26.7,25.5,20.7,18.2
18091,"LaPorte County, Indiana",4.0,17.5,15.1,20.9,16.7
18095,"Madison County, Indiana",4.1,12.4,22.6,16.6,17.1
18097,"Marion County, Indiana",12.4,35.1,33.6,29.0,21.6
18105,"Monroe County, Indiana",13.6,51.0,52.4,42.4,28.5
18109,"Morgan County, Indiana",6.2,16.9,17.8,16.9,12.5
18127,"Porter County, Indiana",10.2,31.4,36.5,22.2,19.0
18141,"St. Joseph County, Indiana",12.0,37.6,26.6,28.8,20.5
18157,"Tippecanoe County, Indiana",13.3,42.6,38.2,34.9,32.5
18163,"Vanderburgh County, Indiana",12.4,26.1,25.7,27.7,21.8
18167,"Vigo County, Indiana",7.9,32.8,30.9,22.6,20.3
18177,"Wayne County, Indiana",3.1,19.2,19.7,17.9,14.2
19013,"Black Hawk County, Iowa",12.1,34.3,36.2,25.3,21.7
19049,"Dallas County, Iowa",28.3,55.2,62.2,47.5,29.9
19061,"Dubuque County, Iowa",9.4,31.5,36.8,28.3,23.7
19103,"Johnson County, Iowa",16.0,61.5,62.1,45.4,49.4
19113,"Linn County, Iowa",11.7,43.6,42.8,33.0,25.7
19153,"Polk County, Iowa",14.5,39.9,40.3,34.6,28.0
19155,"Pottawattamie County, Iowa",6.9,22.1,34.6,19.1,16.1
19163,"Scott County, Iowa",9.6,32.5,35.8,31.2,26.8
19169,"Story County, Iowa",7.2,65.8,66.5,46.7,45.9
19193,"Woodbury County, Iowa",8.3,18.5,24.8,25.6,20.0
20015,"Butler County, Kansas",5.4,36.4,36.1,27.4,19.6
20045,"Douglas County, Kansas",12.1,57.8,58.8,48.2,44.6
20091,"Johnson County, Kansas",22.6,58.1,55.9,58.4,46.0
20103,"Leavenworth County, Kansas",9.2,34.4,40.2,33.4,25.6
20161,"Riley County, Kansas",9.5,47.9,49.8,49.6,49.4
20173,"Sedgwick County, Kansas",9.7,32.5,35.4,30.4,28.8
20177,"Shawnee County, Kansas",9.9,28.1,35.8,33.2,22.2
20209,"Wyandotte County, Kansas",5.9,20.8,14.8,18.0,17.6
21015,"Boone County, Kentucky",8.4,32.0,38.5,32.1,17.4
21029,"Bullitt County, Kentucky",8.9,12.1,19.3,15.8,13.6
21037,"Campbell County, Kentucky",17.8,44.4,50.9,30.5,24.9
21047,"Christian County, Kentucky",9.9,16.6,14.3,12.6,18.4
21059,"Daviess County, Kentucky",3.4,30.0,35.9,19.2,15.8
21067,"Fayette County, Kentucky",13.1,47.2,48.0,42.9,36.4
21093,"Hardin County, Kentucky",7.7,18.9,34.5,23.6,17.4
21111,"Jefferson County, Kentucky",15.2,35.6,38.0,30.4,26.3
21117,"Kenton County, Kentucky",11.8,47.0,32.7,25.6,20.9
21145,"McCracken County, Kentucky",10.1,19.7,27.6,20.0,17.1
21151,"Madison County, Kentucky",5.4,32.9,40.2,27.0,16.2
21185,"Oldham County, Kentucky",8.0,38.8,46.1,44.5,28.3
21227,"Warren County, Kentucky",6.5,34.1,37.0,28.3,30.6
22005,"Ascension Parish, Louisiana",0.0,29.0,33.8,21.9,13.5
22015,"Bossier Parish, Louisiana",10.0,31.3,33.2,23.7,18.5
22017,"Caddo Parish, Louisiana",9.4,24.2,21.4,20.3,24.1
22019,"Calcasieu Parish, Louisiana",4.0,16.6,19.9,21.3,23.0
22033,"East Baton Rouge Parish, Louisiana",9.9,38.6,36.5,32.3,30.6
22045,"Iberia Parish, Louisiana",0.4,12.8,20.8,11.2,18.5
22051,"Jefferson Parish, Louisiana",11.6,30.0,26.0,24.6,22.6
