GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
25013,"Hampden County, Massachusetts",11.4,31.0,34.4,29.8,26.0
25015,"Hampshire County, Massachusetts",11.9,61.2,55.9,48.6,52.5
25017,"Middlesex County, Massachusetts",29.3,71.1,64.9,56.8,46.9
25021,"Norfolk County, Massachusetts",27.3,69.0,66.6,57.1,41.0
25023,"Plymouth County, Massachusetts",22.8,46.1,51.8,41.8,36.8
25025,"Suffolk County, Massachusetts",24.5,71.2,53.3,38.3,30.3
25027,"Worcester County, Massachusetts",17.8,46.7,44.0,35.1,30.1
26005,"Allegan County, Michigan",9.5,24.3,31.2,25.8,23.9
26017,"Bay County, Michigan",17.8,26.0,21.7,23.6,19.0
26021,"Berrien County, Michigan",5.8,30.9,42.5,28.4,25.5
26025,"Calhoun County, Michigan",1.6,23.4,24.7,25.2,21.8
26037,"Clinton County, Michigan",10.1,40.8,46.8,29.1,20.5
26045,"Eaton County, Michigan",2.3,32.4,39.8,24.8,26.6
26049,"Genesee County, Michigan",5.3,24.5,25.0,22.8,24.2
26055,"Grand Traverse County, Michigan",7.3,44.9,44.1,38.4,42.1
26065,"Ingham County, Michigan",11.8,45.7,43.5,33.8,39.7
26067,"Ionia County, Michigan",8.4,26.9,18.8,16.5,22.5
26075,"Jackson County, Michigan",5.7,18.7,23.6,23.5,18.5
26077,"Kalamazoo County, Michigan",10.2,40.6,45.3,39.4,38.8
26081,"Kent County, Michigan",15.6,46.1,46.8,35.9,30.9
26087,"Lapeer County, Michigan",5.6,28.2,21.6,20.7,15.1
26091,"Lenawee County, Michigan",14.9,22.7,28.3,21.6,25.4
26093,"Livingston County, Michigan",12.4,47.5,46.5,41.9,31.9
26099,"Macomb County, Michigan",12.5,32.5,36.3,26.3,20.1
26103,"Marquette County, Michigan",14.2,43.4,38.7,34.8,34.2
26111,"Midland County, Michigan",13.2,51.3,38.6,37.7,31.1
26115,"Monroe County, Michigan",7.4,26.0,23.6,23.5,18.0
26117,"Montcalm County, Michigan",1.8,16.0,18.6,15.9,14.9
26121,"Muskegon County, Michigan",3.8,22.6,22.5,21.1,24.2
26125,"Oakland County, Michigan",21.4,57.2,55.7,52.4,39.5
26139,"Ottawa County, Michigan",10.4,41.5,42.8,38.0,29.7
26145,"Saginaw County, Michigan",4.6,21.9,30.4,29.3,17.3
26147,"St. Clair County, Michigan",6.6,20.8,25.9,16.9,18.4
26155,"Shiawassee County, Michigan",11.1,26.1,23.6,23.2,13.8
26159,"Van Buren County, Michigan",2.7,18.6,29.4,25.1,23.6
26161,"Washtenaw County, Michigan",23.0,66.7,57.4,56.3,52.8
26163,"Wayne County, Michigan",10.7,29.8,30.8,27.3,22.8
27003,"Anoka County, Minnesota",11.2,33.6,37.6,29.0,24.1
27013,"Blue Earth County, Minnesota",18.5,31.8,35.5,39.2,34.2
27019,"Carver County, Minnesota",19.6,59.3,62.9,46.6,32.8
27027,"Clay County, Minnesota",13.4,44.9,39.9,35.3,36.6
27035,"Crow Wing County, Minnesota",4.5,36.5,36.9,30.4,31.2
27037,"Dakota County, Minnesota",17.6,45.5,51.3,47.5,37.5
27053,"Hennepin County, Minnesota",23.1,60.1,57.9,53.3,43.1
27109,"Olmsted County, Minnesota",26.2,57.8,49.8,51.3,35.7
27123,"Ramsey County, Minnesota",19.4,51.4,47.9,46.8,41.5
27131,"Rice County, Minnesota",5.3,35.2,31.1,28.8,34.0
27137,"St. Louis County, Minnesota",9.3,35.9,37.3,30.9,29.2
27139,"Scott County, Minnesota",14.7,47.5,50.2,41.7,32.1
27141,"Sherburne County, Minnesota",5.3,28.2,42.5,32.2,18.9
27145,"Stearns County, Minnesota",11.7,32.0,37.3,27.5,28.3
27163,"Washington County, Minnesota",15.4,51.7,55.2,46.5,41.4
27171,"Wright County, Minnesota",7.1,39.1,44.3,29.4,21.2
28033,"DeSoto County, Mississippi",1.7,29.1,35.5,28.8,20.4
28035,"Forrest County, Mississippi",12.7,28.3,32.0,34.8,24.8
28047,"Harrison County, Mississippi",5.4,25.1,29.2,25.1,26.0
28049,"Hinds County, Mississippi",13.5,37.6,27.4,31.3,30.1
28059,"Jackson County, Mississippi",5.4,33.1,31.0,23.0,23.1
28067,"Jones County, Mississippi",2.3,15.0,29.7,21.5,19.1
28073,"Lamar County, Mississippi",12.9,33.4,34.4,33.2,29.0
28075,"Lauderdale County, Mississippi",8.6,36.9,34.8,18.6,23.6
28081,"Lee County, Mississippi",9.2,24.5,28.7,22.0,22.5
28089,"Madison County, Mississippi",15.9,42.4,56.2,51.0,40.1
28121,"Rankin County, Mississippi",6.6,40.0,38.0,35.3,29.3
29019,"Boone County, Missouri",12.5,54.8,53.2,49.8,49.2
29021,"Buchanan County, Missouri",6.4,24.6,26.4,21.8,23.8
29031,"Cape Girardeau County, Missouri",17.3,41.5,42.0,35.9,22.9
29037,"Cass County, Missouri",10.5,28.7,26.7,32.1,27.9
29043,"Christian County, Missouri",12.9,28.7,39.2,34.4,21.8
29047,"Clay County, Missouri",16.6,48.8,38.0,31.2,26.5
29051,"Cole County, Missouri",15.5,30.8,40.8,34.1,40.7
29071,"Franklin County, Missouri",12.3,17.0,18.6,20.4,23.0
29077,"Greene County, Missouri",16.1,31.6,35.1,33.1,31.7
29095,"Jackson County, Missouri",16.6,40.4,39.3,31.3,28.5
29097,"Jasper County, Missouri",9.6,29.6,33.2,21.4,27.4
29099,"Jefferson County, Missouri",12.9,32.4,35.1,24.3,16.1
29165,"Platte County, Missouri",17.8,51.1,49.9,41.7,34.4
29183,"St. Charles County, Missouri",17.0,46.1,46.3,44.0,27.9
29187,"St. Francois County, Missouri",3.1,17.1,23.8,15.0,17.5
29189,"St. Louis County, Missouri",20.9,48.6,54.0,49.9,41.8
29510,"St. Louis city, Missouri",15.1,56.0,43.4,36.9,30.1
30013,"Cascade County, Montana",4.4,27.7,26.2,30.9,26.2
30029,"Flathead County, Montana",7.9,32.1,46.4,32.0,32.9
30031,"Gallatin County, Montana",14.4,54.5,60.3,52.0,48.8
30049,"Lewis and Clark County, Montana",23.0,41.9,59.2,40.7,37.7
30063,"Missoula County, Montana",15.3,50.4,55.5,45.6,39.6
30111,"Yellowstone County, Montana",12.5,40.0,43.5,30.8,32.2
31055,"Douglas County, Nebraska",18.2,44.9,48.0,41.0,37.1
31109,"Lancaster County, Nebraska",10.9,42.9,42.1,40.6,39.7
31153,"Sarpy County, Nebraska",12.5,46.0,48.1,41.6,36.6
32003,"Clark County, Nevada",6.3,25.5,29.6,25.9,28.2
32031,"Washoe County, Nevada",13.5,28.9,32.1,30.9,34.1
33005,"Cheshire County, New Hampshire",5.1,52.0,36.2,31.3,45.8
33009,"Grafton County, New Hampshire",10.8,44.9,50.5,45.2,42.0
33011,"Hillsborough County, New Hampshire",14.8,43.6,42.5,41.3,36.0
33013,"Merrimack County, New Hampshire",16.2,47.4,40.8,38.6,40.2
33015,"Rockingham County, New Hampshire",19.1,49.9,58.5,45.1,37.9
33017,"Strafford County, New Hampshire",9.9,49.0,46.2,39.2,40.8
34001,"Atlantic County, New Jersey",11.5,39.4,35.3,32.5,27.0
34003,"Bergen County, New Jersey",25.3,58.7,62.0,50.4,42.1
34005,"Burlington County, New Jersey",22.3,46.6,47.3,42.8,33.4
34007,"Camden County, New Jersey",17.8,43.8,46.6,32.7,28.1
34009,"Cape May County, New Jersey",2.1,43.4,32.2,41.5,34.4
34011,"Cumberland County, New Jersey",8.6,19.0,20.8,19.9,16.1
34013,"Essex County, New Jersey",15.1,40.0,44.5,37.7,32.2
34015,"Gloucester County, New Jersey",15.9,48.4,49.4,34.5,23.5
34017,"Hudson County, New Jersey",23.7,68.9,54.1,36.5,26.2
34019,"Hunterdon County, New Jersey",26.3,67.3,64.1,60.9,48.3
34021,"Mercer County, New Jersey",13.1,48.7,48.4,48.5,39.5
34023,"Middlesex County, New Jersey",14.2,52.6,53.8,41.8,36.6
34025,"Monmouth County, New Jersey",26.0,59.5,62.9,48.9,46.5
34027,"Morris County, New Jersey",25.3,66.0,67.9,58.4,49.2
34029,"Ocean County, New Jersey",12.6,40.5,38.7,33.6,30.1
34031,"Passaic County, New Jersey",13.5,39.5,35.1,26.3,26.8
34033,"Salem County, New Jersey",10.6,24.5,28.5,24.1,24.2
34035,"Somerset County, New Jersey",31.0,67.1,66.3,61.9,44.9
34037,"Sussex County, New Jersey",17.8,42.9,45.9,40.0,35.0
34039,"Union County, New Jersey",19.2,42.9,40.6,39.6,33.1
34041,"Warren County, New Jersey",29.7,42.5,42.4,40.6,32.6
35001,"Bernalillo County, New Mexico",11.9,39.1,42.3,38.5,35.4
35013,"Doña Ana County, New Mexico",11.2,22.1,30.6,29.6,31.2
35025,"Lea County, New Mexico",2.9,14.6,13.0,10.5,11.0
35031,"McKinley County, New Mexico",0.4,8.0,20.0,16.1,10.6
35035,"Otero County, New Mexico",4.1,17.7,26.8,18.6,26.5
35043,"Sandoval County, New Mexico",2.2,29.1,32.5,36.1,37.7
35045,"San Juan County, New Mexico",3.2,10.2,16.9,22.8,18.6
35049,"Santa Fe County, New Mexico",6.1,33.8,40.1,44.8,53.2
35061,"Valencia County, New Mexico",1.4,17.0,25.1,18.9,23.4
36001,"Albany County, New York",26.2,59.0,51.8,38.3,35.2
36005,"Bronx County, New York",10.6,28.6,23.0,19.1,18.4
36007,"Broome County, New York",11.2,38.5,36.7,30.5,25.9
36009,"Cattaraugus County, New York",5.6,22.8,29.0,19.6,20.2
36011,"Cayuga County, New York",14.4,31.6,26.1,26.3,24.8
36013,"Chautauqua County, New York",12.0,25.1,30.7,29.3,21.7
36015,"Chemung County, New York",22.0,40.5,20.8,26.1,24.2
36019,"Clinton County, New York",14.9,32.4,31.8,30.6,24.4
36027,"Dutchess County, New York",14.6,49.9,47.7,39.0,38.0
36029,"Erie County, New York",21.5,47.0,46.0,35.7,28.1
36045,"Jefferson County, New York",11.1,31.4,30.9,22.2,24.2
36047,"Kings County, New York",23.2,58.4,49.9,34.3,29.7
36053,"Madison County, New York",6.3,36.7,40.2,32.3,25.3
36055,"Monroe County, New York",15.0,47.8,48.9,39.1,31.8
36059,"Nassau County, New York",26.7,56.2,58.2,48.4,40.4
36061,"New York County, New York",36.4,79.9,69.5,58.2,51.6
36063,"Niagara County, New York",14.5,30.7,32.8,29.9,24.0
36065,"Oneida County, New York",8.9,36.5,34.9,27.4,26.9
36067,"Onondaga County, New York",20.3,48.7,46.5,37.1,30.7
36069,"Ontario County, New York",11.7,32.5,53.0,34.9,29.3
36071,"Orange County, New York",13.2,30.5,31.1,32.0,29.3
36075,"Oswego County, New York",8.7,25.5,27.3,18.1,16.4
36079,"Putnam County, New York",35.0,57.9,52.6,43.6,36.0
36081,"Queens County, New York",23.8,50.5,42.2,30.2,25.7
36083,"Rensselaer County, New York",12.0,48.7,45.1,31.5,29.5
36085,"Richmond County, New York",25.1,47.0,39.4,31.4,24.4
36087,"Rockland County, New York",23.0,43.0,46.1,46.9,43.9
36089,"St. Lawrence County, New York",5.8,23.2,25.0,25.5,22.1
36091,"Saratoga County, New York",25.4,49.2,51.5,45.8,36.1
36093,"Schenectady County, New York",12.6,44.6,42.7,34.2,35.7
36101,"Steuben County, New York",16.4,28.8,29.5,23.9,20.3
36103,"Suffolk County, New York",18.9,46.1,46.0,39.2,34.3
36105,"Sullivan County, New York",9.6,24.7,31.9,29.7,28.7
36109,"Tompkins County, New York",19.5,71.0,65.8,60.7,48.6
36111,"Ulster County, New York",13.4,35.9,44.0,38.3,39.2
36113,"Warren County, New York",25.6,33.6,41.6,29.5,33.9
36117,"Wayne County, New York",9.2,20.9,32.4,29.8,26.1
36119,"Westchester County, New York",24.1,53.9,57.3,54.5,45.2
37001,"Alamance County, North Carolina",4.1,25.9,28.3,27.8,22.8
37019,"Brunswick County, North Carolina",23.2,23.6,32.7,32.4,40.5
37021,"Buncombe County, North Carolina",9.8,42.3,48.6,46.0,46.4
37023,"Burke County, North Carolina",9.3,17.2,26.5,21.8,21.5
37025,"Cabarrus County, North Carolina",9.1,39.0,50.9,41.5,27.2
37027,"Caldwell County, North Carolina",10.8,22.2,23.4,22.0,18.3
37031,"Carteret County, North Carolina",10.8,36.1,36.4,36.2,34.9
37035,"Catawba County, North Carolina",13.1,22.1,24.2,28.9,25.3
37037,"Chatham County, North Carolina",10.1,51.1,41.3,47.1,52.1
37045,"Cleveland County, North Carolina",3.8,23.3,27.9,20.2,15.4
37049,"Craven County, North Carolina",9.7,25.5,30.7,25.5,33.9
37051,"Cumberland County, North Carolina",8.4,29.4,30.6,28.7,23.9
37057,"Davidson County, North Carolina",6.7,23.7,22.8,23.5,16.4
