GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
01003,"Baldwin County, Alabama",6.9,29.8,37.3,35.6,34.4
01015,"Calhoun County, Alabama",3.3,15.4,20.2,20.2,20.2
01043,"Cullman County, Alabama",4.3,25.4,23.7,19.8,16.8
01049,"DeKalb County, Alabama",5.4,11.2,14.4,12.9,15.6
01051,"Elmore County, Alabama",4.4,19.1,18.1,18.5,25.2
01055,"Etowah County, Alabama",3.1,19.9,21.1,15.3,19.5
01069,"Houston County, Alabama",4.3,17.6,22.5,24.0,18.0
01073,"Jefferson County, Alabama",12.9,42.3,40.3,35.2,27.4
01077,"Lauderdale County, Alabama",6.4,20.8,29.9,29.7,24.0
01081,"Lee County, Alabama",16.1,45.1,40.5,39.3,38.0
01083,"Limestone County, Alabama",9.6,30.6,30.5,27.4,24.6
01089,"Madison County, Alabama",14.8,51.2,51.7,46.9,39.2
01095,"Marshall County, Alabama",5.9,21.6,19.1,22.6,15.3
01097,"Mobile County, Alabama",7.4,23.5,30.3,20.4,20.5
01101,"Montgomery County, Alabama",10.2,32.0,34.1,33.9,35.6
01103,"Morgan County, Alabama",7.7,18.0,33.2,24.2,23.8
01115,"St. Clair County, Alabama",5.9,19.4,28.1,15.7,16.4
01117,"Shelby County, Alabama",16.5,52.6,46.6,48.0,42.7
01121,"Talladega County, Alabama",4.7,7.1,23.1,18.4,18.2
01125,"Tuscaloosa County, Alabama",13.7,31.6,32.7,28.6,24.6
02020,"Anchorage Municipality, Alaska",2.7,31.5,42.0,38.7,41.8
02090,"Fairbanks North Star Borough, Alaska",4.5,42.0,41.6,36.0,32.8
02170,"Matanuska-Susitna Borough, Alaska",6.0,16.6,24.7,24.0,28.8
04001,"Apache County, Arizona",5.1,7.3,18.0,16.8,21.0
04003,"Cochise County, Arizona",1.2,21.4,27.0,24.8,29.8
04005,"Coconino County, Arizona",7.4,41.9,43.0,37.4,37.8
04013,"Maricopa County, Arizona",12.0,37.8,38.5,34.7,34.6
04015,"Mohave County, Arizona",4.1,15.1,21.3,13.4,15.0
04017,"Navajo County, Arizona",0.6,16.2,13.4,18.7,21.6
04019,"Pima County, Arizona",11.2,30.1,35.5,33.4,39.1
04021,"Pinal County, Arizona",8.2,16.5,18.1,19.0,24.9
04025,"Yavapai County, Arizona",3.8,14.7,23.1,28.6,34.5
04027,"Yuma County, Arizona",4.4,16.3,23.6,15.5,16.1
05007,"Benton County, Arkansas",6.6,36.7,43.3,33.3,26.2
05031,"Craighead County, Arkansas",16.1,28.3,33.4,36.2,29.9
05045,"Faulkner County, Arkansas",12.8,31.8,38.3,38.9,26.4
05051,"Garland County, Arkansas",6.1,18.1,17.0,23.3,30.3
05069,"Jefferson County, Arkansas",0.6,23.8,24.7,27.3,30.2
05085,"Lonoke County, Arkansas",7.8,22.3,23.3,17.9,18.2
05119,"Pulaski County, Arkansas",16.2,39.4,44.1,34.8,37.2
05125,"Saline County, Arkansas",10.1,22.4,41.9,23.0,26.6
05131,"Sebastian County, Arkansas",6.6,31.1,21.3,23.5,23.1
05143,"Washington County, Arkansas",15.3,39.7,33.6,28.1,29.1
05145,"White County, Arkansas",7.8,26.3,26.5,17.6,24.5
06001,"Alameda County, California",17.8,59.6,57.8,46.3,38.2
06007,"Butte County, California",9.2,32.7,34.2,28.9,34.8
06013,"Contra Costa County, California",13.7,41.5,50.4,45.3,42.8
06017,"El Dorado County, California",11.9,44.8,39.4,40.9,35.1
06019,"Fresno County, California",6.4,25.5,23.6,23.7,23.4
06023,"Humboldt County, California",17.0,30.9,29.9,32.2,26.4
06025,"Imperial County, California",1.2,11.6,18.0,15.3,8.8
06029,"Kern County, California",4.5,17.7,21.4,17.7,18.2
06031,"Kings County, California",5.5,10.9,10.6,10.0,14.7
06033,"Lake County, California",14.5,26.1,21.9,19.6,26.2
06037,"Los Angeles County, California",13.1,41.9,40.1,30.9,30.3
06039,"Madera County, California",4.2,18.9,14.5,16.9,20.5
06041,"Marin County, California",15.7,54.4,61.7,61.1,58.2
06045,"Mendocino County, California",2.7,20.6,24.5,21.8,30.5
06047,"Merced County, California",8.6,17.5,16.7,10.2,15.6
06053,"Monterey County, California",6.6,27.0,26.9,24.0,32.8
06055,"Napa County, California",9.0,38.4,38.4,36.6,38.5
06057,"Nevada County, California",5.3,42.0,41.8,44.1,40.8
06059,"Orange County, California",15.3,47.3,47.9,40.5,39.9
06061,"Placer County, California",14.2,38.0,50.9,45.9,39.7
06065,"Riverside County, California",7.9,24.2,24.6,22.4,25.8
06067,"Sacramento County, California",11.1,37.1,35.2,30.9,30.6
06069,"San Benito County, California",9.0,22.9,15.1,19.5,30.4
06071,"San Bernardino County, California",8.8,25.9,23.0,22.4,22.0
06073,"San Diego County, California",13.5,43.1,47.1,40.6,38.4
06075,"San Francisco County, California",34.0,81.1,69.2,53.3,41.1
06077,"San Joaquin County, California",6.5,16.7,21.3,19.2,24.1
06079,"San Luis Obispo County, California",6.8,38.2,35.0,40.5,41.4
06081,"San Mateo County, California",23.4,57.9,59.7,50.7,41.9
06083,"Santa Barbara County, California",13.2,36.3,34.0,35.3,39.3
06085,"Santa Clara County, California",21.2,63.9,61.9,52.6,42.9
06087,"Santa Cruz County, California",15.6,43.3,40.8,43.9,42.3
06089,"Shasta County, California",5.5,22.9,30.1,21.5,22.5
06095,"Solano County, California",5.3,28.7,30.9,28.1,30.5
06097,"Sonoma County, California",9.5,36.2,36.0,36.6,43.2
06099,"Stanislaus County, California",8.5,20.4,19.3,18.3,19.9
06101,"Sutter County, California",6.0,16.1,23.9,15.4,15.6
06103,"Tehama County, California",0.0,7.3,22.5,14.9,13.5
06107,"Tulare County, California",4.9,15.4,15.5,16.2,17.9
06111,"Ventura County, California",10.7,32.5,36.7,34.1,35.9
06113,"Yolo County, California",10.5,50.7,46.7,41.7,36.0
06115,"Yuba County, California",5.0,19.0,18.9,17.8,21.3
08001,"Adams County, Colorado",9.3,36.4,30.1,24.2,24.1
08005,"Arapahoe County, Colorado",15.9,46.5,48.5,44.6,45.6
08013,"Boulder County, Colorado",20.0,63.4,64.6,65.4,55.4
08014,"Broomfield County, Colorado",22.9,72.1,64.5,57.6,42.3
08031,"Denver County, Colorado",23.3,66.8,56.6,47.4,43.7
08035,"Douglas County, Colorado",14.1,57.6,62.1,60.1,51.4
08041,"El Paso County, Colorado",9.4,36.4,43.9,45.6,38.9
08059,"Jefferson County, Colorado",18.8,54.6,55.0,48.1,41.6
08069,"Larimer County, Colorado",16.7,53.7,59.4,51.6,44.1
08077,"Mesa County, Colorado",5.2,25.9,31.5,31.3,33.8
08101,"Pueblo County, Colorado",4.5,30.7,27.1,25.6,24.7
08123,"Weld County, Colorado",11.6,34.5,34.0,31.1,26.8
09001,"Fairfield County, Connecticut",24.7,54.2,55.1,51.6,42.6
09003,"Hartford County, Connecticut",19.6,45.2,46.5,40.2,32.3
09005,"Litchfield County, Connecticut",18.4,34.7,49.3,33.7,39.5
09007,"Middlesex County, Connecticut",20.4,53.0,55.5,41.7,39.8
09009,"New Haven County, Connecticut",14.9,45.4,45.8,37.7,33.3
09011,"New London County, Connecticut",13.3,38.4,34.0,35.8,30.4
09013,"Tolland County, Connecticut",12.2,52.6,48.4,42.7,36.6
09015,"Windham County, Connecticut",7.4,29.3,31.5,23.5,25.9
10001,"Kent County, Delaware",6.9,21.2,38.2,25.7,25.7
10003,"New Castle County, Delaware",10.6,44.0,43.2,38.3,35.6
10005,"Sussex County, Delaware",8.1,23.8,28.1,34.4,35.2
11001,"District of Columbia, District of Columbia",23.4,75.5,72.2,50.5,50.1
12001,"Alachua County, Florida",16.6,52.4,47.9,44.4,42.4
12005,"Bay County, Florida",9.6,24.8,34.4,30.3,30.0
12009,"Brevard County, Florida",12.4,30.4,39.9,31.7,32.7
12011,"Broward County, Florida",13.9,38.4,42.0,35.5,30.0
12015,"Charlotte County, Florida",2.2,18.3,26.9,22.6,29.3
12017,"Citrus County, Florida",1.8,17.7,23.4,17.5,23.2
12019,"Clay County, Florida",9.1,35.0,20.5,29.3,27.0
12021,"Collier County, Florida",14.8,28.6,30.6,38.3,48.0
12023,"Columbia County, Florida",2.1,21.9,16.8,15.6,20.9
12031,"Duval County, Florida",9.9,32.4,38.8,32.2,32.5
12033,"Escambia County, Florida",11.5,28.7,25.3,28.6,28.1
12035,"Flagler County, Florida",14.2,30.7,33.5,32.2,29.0
12053,"Hernando County, Florida",5.0,19.9,28.7,18.2,23.0
12055,"Highlands County, Florida",4.0,13.3,26.4,16.9,18.2
12057,"Hillsborough County, Florida",12.9,42.1,40.6,36.4,29.7
12061,"Indian River County, Florida",4.7,36.4,30.1,28.6,38.5
12069,"Lake County, Florida",8.5,28.0,30.8,25.0,27.8
12071,"Lee County, Florida",8.5,29.8,26.6,29.9,33.8
12073,"Leon County, Florida",16.4,47.4,52.9,47.4,46.4
12081,"Manatee County, Florida",19.6,31.5,38.5,36.9,35.0
12083,"Marion County, Florida",4.9,19.1,24.4,22.7,24.5
12085,"Martin County, Florida",13.2,23.6,40.0,35.8,37.8
12086,"Miami-Dade County, Florida",11.9,36.1,40.5,31.8,23.6
12087,"Monroe County, Florida",14.8,28.5,34.9,37.7,41.4
12089,"Nassau County, Florida",9.3,18.9,20.3,37.9,45.8
12091,"Okaloosa County, Florida",8.0,35.2,39.5,33.4,34.6
12095,"Orange County, Florida",11.3,35.6,42.6,34.5,35.6
12097,"Osceola County, Florida",6.2,29.5,30.9,28.4,21.9
12099,"Palm Beach County, Florida",14.3,37.5,38.8,39.1,41.9
12101,"Pasco County, Florida",10.2,28.2,38.2,27.8,23.7
12103,"Pinellas County, Florida",15.6,42.3,42.8,36.1,32.5
12105,"Polk County, Florida",8.1,21.9,20.0,21.7,20.5
12107,"Putnam County, Florida",2.3,3.4,16.7,10.3,12.0
12109,"St. Johns County, Florida",16.5,39.0,59.1,46.1,48.3
12111,"St. Lucie County, Florida",4.4,29.0,25.6,28.0,26.5
12113,"Santa Rosa County, Florida",9.6,28.5,39.3,37.1,30.1
12115,"Sarasota County, Florida",8.4,35.5,41.7,36.1,41.2
12117,"Seminole County, Florida",13.8,42.2,51.2,44.7,35.5
12119,"Sumter County, Florida",20.8,11.6,14.9,26.5,42.3
12127,"Volusia County, Florida",8.6,25.8,28.1,25.9,25.8
12131,"Walton County, Florida",N,N,N,N,N
13013,"Barrow County, Georgia",3.5,26.3,23.5,20.3,15.3
13015,"Bartow County, Georgia",7.1,24.1,30.9,27.6,17.9
13021,"Bibb County, Georgia",13.4,25.2,25.0,24.5,26.8
