GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","218,022","105,437","112,585","10,426","23,498","25,990","30,117","16,569","15,074",44.0,"10,132","180,926","20,328","1,209","2,338",45,"116,632"
01015,"Calhoun County, Alabama","114,277","55,054","59,223","7,451","16,273","12,608","13,616","8,305","7,855",40.1,"4,469","82,308","24,737",107,426,0,"53,888"
01043,"Cullman County, Alabama","83,442","40,794","42,648","4,500","10,274","10,131","10,843","5,407","6,123",40.6,"3,699",N,N,N,N,N,"38,029"
01049,"DeKalb County, Alabama","71,385","35,048","36,337","4,176","8,645","8,261","9,548","4,533","4,921",39.5,"10,595","57,199","1,335",814,173,0,"31,656"
01051,"Elmore County, Alabama","81,887","39,988","41,899","4,847","12,140","10,087","11,642","5,364","5,261",38.4,"2,467","59,771","16,836",345,522,0,"34,416"
01055,"Etowah County, Alabama","102,501","48,830","53,671","7,116","12,260","12,232","13,422","5,946","7,877",41.3,"4,116","79,629","16,401",60,862,0,"47,847"
01069,"Houston County, Alabama","104,722","50,400","54,322","6,223","13,763","12,633","13,289","6,694","7,020",40.2,"3,600","69,413","29,136",53,700,0,"47,805"
01073,"Jefferson County, Alabama","659,300","312,159","347,141","41,548","95,714","84,162","80,533","41,326","45,488",38.2,"26,246","326,993","281,806","1,456","9,564",724,"309,579"
01077,"Lauderdale County, Alabama","92,387","45,646","46,741","7,145","11,317","10,100","11,718","7,136","5,713",41.1,"2,644","78,080","9,614",89,667,133,"45,468"
01081,"Lee County, Alabama","163,941","80,832","83,109","22,390","21,562","18,918","19,737","8,274","9,275",32.1,"6,164","110,621","37,482",453,"6,950",0,"70,372"
01083,"Limestone County, Alabama","96,174","49,198","46,976","3,940","12,815","13,419","13,074","7,025","5,538",38.8,"5,910","73,199","13,444",702,"1,377",0,"36,535"
01089,"Madison County, Alabama","366,519","178,964","187,555","23,676","51,828","45,578","48,567","30,309","20,725",38.5,"18,577","236,695","87,525","1,201","9,263",27,"164,263"
01095,"Marshall County, Alabama","96,109","47,238","48,871","5,520","10,753","12,141","12,608","6,038","6,284",39.0,"13,768","77,082","3,727",67,385,0,"40,812"
01097,"Mobile County, Alabama","413,757","197,009","216,748","27,026","58,520","49,083","50,814","29,178","26,058",38.1,"12,648","233,288","148,775","3,011","8,037",138,"184,687"
01101,"Montgomery County, Alabama","225,763","106,613","119,150","15,521","32,789","28,254","27,604","14,872","13,541",37.2,"7,937","75,153","132,253",305,"7,081",0,"105,170"
01103,"Morgan County, Alabama","119,089","59,216","59,873","7,421","13,754","14,793","15,950","7,894","8,521",40.7,"10,067","89,588","16,962",279,613,0,"52,284"
01115,"St. Clair County, Alabama","88,690","44,933","43,757","4,265","11,436","11,349","12,208","6,638","5,588",40.4,"2,223","75,920","8,976",155,715,0,"37,190"
01117,"Shelby County, Alabama","215,707","105,022","110,685","12,128","26,890","31,044","30,165","14,192","13,803",40.4,"12,466","167,118","27,030",372,"4,767",27,"88,393"
01121,"Talladega County, Alabama","79,828","38,489","41,339","4,242","9,867","10,014","10,796","5,119","6,057",41.5,"1,242","49,842","27,169",433,110,0,"37,906"
01125,"Tuscaloosa County, Alabama","208,911","99,576","109,335","19,909","31,177","24,947","23,240","11,866","11,960",33.0,"8,115","127,896","66,708",529,"3,452",0,"93,002"
01127,"Walker County, Alabama","63,711","31,070","32,641","3,504","8,068","7,174","8,229","6,049","3,203",41.5,"1,633","56,289","3,863",98,88,0,"31,249"
02020,"Anchorage Municipality, Alaska","291,538","148,668","142,870","20,844","48,609","38,979","36,646","18,903","15,883",34.3,"27,107","166,481","16,163","20,306","27,668","6,080","118,233"
02090,"Fairbanks North Star Borough, Alaska","98,971","53,397","45,574","8,641","18,258","13,878","10,322","5,037","5,415",31.7,"8,282","68,510","4,785","7,380","2,829",734,"44,307"
02170,"Matanuska-Susitna Borough, Alaska","107,610","55,481","52,129","6,189","14,622","14,741","12,610","7,502","6,987",35.5,"5,447","84,723",883,"8,229","1,933",38,"41,986"
04001,"Apache County, Arizona","71,818","35,613","36,205","4,708","8,817","8,327","7,714","4,973","4,338",35.4,"4,590","12,998",411,"53,128",416,59,"32,942"
04003,"Cochise County, Arizona","126,770","64,995","61,775","7,479","14,753","14,643","13,844","6,656","10,270",41.0,"45,172","69,219","4,259","1,213","2,511",210,"61,318"
04005,"Coconino County, Arizona","142,854","70,521","72,333","16,884","20,021","15,121","15,058","8,485","7,885",30.8,"20,389","76,747","1,800","36,977","2,451",0,"66,838"
04013,"Maricopa County, Arizona","4,410,824","2,181,974","2,228,850","291,402","643,582","574,263","552,562","261,058","248,994",36.6,"1,379,637","2,415,129","241,331","71,043","180,597","9,673","1,762,981"
04015,"Mohave County, Arizona","209,550","105,596","103,954","10,046","21,588","18,649","22,854","15,108","18,774",52.5,"35,269","161,051","2,165","3,669","2,518","1,302","115,269"
04017,"Navajo County, Arizona","110,445","55,015","55,430","5,837","13,390","11,646","12,240","7,195","7,438",38.5,"12,649","45,949",527,"48,379",636,9,"58,164"
