GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","200,111","98,284","101,827","9,808","23,464","24,656","26,959","13,702","14,025",42.7,"9,130","165,712","19,554","1,378",639,0,"107,384"
01015,"Calhoun County, Alabama","115,916","55,449","60,467","7,784","14,708","14,750","15,290","7,064","8,647",38.8,"4,089","84,450","24,244",247,462,36,"53,287"
01043,"Cullman County, Alabama","81,289","40,112","41,177","5,397","9,668","9,687","11,289","6,653","4,278",40.6,"3,572",N,N,N,N,N,"37,144"
01049,"DeKalb County, Alabama","71,065","36,028","35,037","4,689","8,190","9,194","8,877","5,829","3,972",39.2,"10,095","57,253",896,"1,126",416,0,"31,044"
01051,"Elmore County, Alabama","80,977","39,865","41,112","6,488","9,978","11,054","11,107","5,688","4,575",37.9,"2,216","59,455","18,106",168,64,0,"33,320"
01055,"Etowah County, Alabama","103,531","50,191","53,340","6,993","11,581","13,713","14,019","7,387","6,702",40.4,"3,804","80,781","15,992",291,686,55,"47,502"
01069,"Houston County, Alabama","104,193","49,815","54,378","6,635","13,487","13,178","13,703","7,057","6,447",39.1,"3,478","70,052","28,456",119,573,0,"46,455"
01073,"Jefferson County, Alabama","660,793","312,139","348,654","43,689","95,130","85,216","85,379","47,155","39,880",37.5,"24,828","335,894","276,148","1,976","10,715",226,"305,055"
01077,"Lauderdale County, Alabama","93,096","44,124","48,972","8,826","10,636","10,974","12,070","6,352","6,063",40.4,"2,254","78,854","8,534",188,635,0,"44,348"
01081,"Lee County, Alabama","154,255","75,977","78,278","22,658","22,702","19,570","17,440","6,800","8,197",30.5,"6,089","104,013","35,766",134,"5,159",0,"65,570"
01083,"Limestone County, Alabama","90,787","45,616","45,171","5,113","11,739","12,681","13,944","6,380","4,909",39.4,"5,261",N,N,N,N,N,"35,451"
01089,"Madison County, Alabama","350,299","170,383","179,916","24,577","48,207","42,582","54,324","23,665","20,392",37.9,"16,472","228,744","81,600","1,275","8,597",341,"154,464"
01095,"Marshall County, Alabama","94,636","46,429","48,207","5,586","11,140","12,549","12,514","5,268","6,246",38.7,"12,254","77,679","2,294",250,449,0,"40,333"
