GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
05031,"Craighead County, Arkansas","112,218","54,747","57,471","7,606","18,401","14,431","11,988","7,182","4,621",33.6,"6,189","80,994","17,379",833,861,0,"47,885"
05045,"Faulkner County, Arkansas","125,106","61,513","63,593","13,132","17,272","16,304","13,684","8,661","5,671",33.3,"5,658","97,770","14,400",396,876,0,"52,696"
05051,"Garland County, Arkansas","100,330","48,241","52,089","5,544","11,147","11,557","12,040","7,978","6,767",45.5,"6,383","80,499","7,682",175,321,397,"52,479"
05069,"Jefferson County, Arkansas","65,861","33,090","32,771","4,465","8,368","8,653","7,078","4,403","4,626",39.3,"1,658",N,N,N,N,N,"30,640"
05085,"Lonoke County, Arkansas","74,722","37,134","37,588","4,241","10,522","10,477","9,748","3,758","5,050",36.8,"3,725","62,564","4,135",0,823,0,"30,608"
05119,"Pulaski County, Arkansas","397,821","190,008","207,813","25,459","57,162","52,173","46,878","25,364","25,133",37.7,"25,918","197,565","148,705",513,"9,378",92,"191,961"
05125,"Saline County, Arkansas","125,233","62,405","62,828","7,567","15,863","16,967","14,691","8,251","8,034",40.6,"7,096","101,862","11,493",84,409,0,"52,445"
05131,"Sebastian County, Arkansas","128,400","62,730","65,670","11,461","16,439","15,324","15,414","8,736","8,942",37.4,"19,750","86,767","7,145","1,244","5,821",0,"57,136"
05143,"Washington County, Arkansas","250,057","125,073","124,984","25,100","37,675","32,873","28,322","12,920","12,164",32.8,"43,881","154,051","7,544","1,204","6,335","5,478","103,107"
05145,"White County, Arkansas","77,207","37,396","39,811","5,797","9,703","9,182","8,974","5,705","4,486",38.0,"3,718","64,018","2,011",55,507,0,"33,485"
06001,"Alameda County, California","1,648,556","816,792","831,764","89,838","259,399","260,957","219,425","102,653","99,204",38.8,"369,668","465,932","157,963","4,380","535,054","12,880","629,159"
06007,"Butte County, California","208,309","103,229","105,080","20,154","26,705","25,438","20,822","14,755","10,300",36.8,"38,425","141,516","3,994","1,288","11,159",645,"90,309"
06013,"Contra Costa County, California","1,161,413","570,719","590,694","65,345","143,538","162,613","157,941","78,870","75,095",40.4,"310,805","462,252","97,612","2,005","208,682","5,372","426,327"
06017,"El Dorado County, California","193,221","96,068","97,153","9,554","19,353","24,527","23,474","16,070","15,106",45.7,"26,579","142,270","1,509",610,"9,655",36,"94,178"
06019,"Fresno County, California","1,013,581","508,152","505,429","69,163","152,132","135,434","110,607","54,788","50,048",33.1,"554,633","266,959","41,518","3,643","107,250","1,719","341,732"
06023,"Humboldt County, California","136,310","67,427","68,883","10,775","17,134","17,662","16,595","8,173","7,894",39.9,"17,613","93,453","1,094","5,732","4,352",486,"62,442"
06025,"Imperial County, California","179,851","93,348","86,503","12,470","26,182","22,977","19,775","7,180","10,716",32.8,"154,270","15,992","4,444","1,340","2,301",28,"57,101"
06029,"Kern County, California","917,673","471,707","445,966","64,671","139,386","123,046","100,916","45,970","48,728",32.5,"515,237","277,241","45,139","3,728","42,780","1,364","303,865"
06031,"Kings County, California","153,443","85,187","68,256","12,015","26,507","22,940","15,923","7,301","7,301",32.2,"86,774","45,093","10,162",978,"6,237",373,"46,761"
06033,"Lake County, California","68,766","34,421","34,345","4,632","7,207","8,830","6,452","4,807","5,355",43.9,"16,461","44,021","1,468",850,"1,013",681,"34,274"
06037,"Los Angeles County, California","9,829,544","4,870,908","4,958,636","631,577","1,559,323","1,378,506","1,294,950","627,057","587,341",37.8,"4,824,989","2,420,466","722,464","13,578","1,434,374","20,740","3,620,201"
06039,"Madera County, California","159,410","78,590","80,820","10,552","20,602","21,215","17,681","8,365","9,090",35.1,"96,013","48,906","3,526",866,"3,454",295,"49,992"
06041,"Marin County, California","260,206","128,146","132,060","11,504","23,299","31,241","37,893","21,129","17,604",46.9,"43,691","175,777","5,550",380,"17,325",704,"111,753"
06045,"Mendocino County, California","91,305","44,751","46,554","3,740","10,374","11,871","9,523","6,424","5,742",42.4,"24,842","57,179",620,"2,088","2,073",277,"41,550"
06047,"Merced County, California","286,461","145,221","141,240","21,468","41,017","37,388","30,965","14,369","13,637",31.8,"178,936","69,617","7,968",854,"21,488",630,"89,328"
06053,"Monterey County, California","437,325","222,499","214,826","28,444","60,940","58,479","50,776","23,240","25,151",35.4,"264,250","120,780","9,616",753,"24,659","2,056","144,365"
06055,"Napa County, California","136,207","68,202","68,005","8,365","15,910","18,031","17,708","9,729","8,500",42.7,"48,438","67,665","2,643",233,"11,961",140,"55,319"
06057,"Nevada County, California","103,487","50,917","52,570","4,007","9,876","12,248","12,610","7,067","9,668",50.2,"10,478","83,180",343,357,"1,962",0,"53,932"
06059,"Orange County, California","3,167,809","1,571,063","1,596,746","197,094","450,255","417,528","429,400","221,474","195,394",39.2,"1,080,593","1,191,185","52,572","3,615","693,396","7,709","1,139,043"
06061,"Placer County, California","412,300","203,013","209,287","20,336","44,586","56,116","53,829","29,414","24,761",42.3,"62,673","277,286","5,493",779,"33,570",210,"174,937"
06065,"Riverside County, California","2,458,395","1,234,094","1,224,301","161,555","341,660","330,186","299,679","144,771","141,795",36.6,"1,267,615","765,380","150,605","5,133","161,376","6,907","858,681"
06067,"Sacramento County, California","1,588,921","782,930","805,991","94,129","244,338","225,688","193,666","96,909","94,089",37.2,"387,454","652,537","150,783","3,038","269,476","17,608","593,234"
06069,"San Benito County, California","66,677","33,422","33,255","4,014","9,904","8,971","8,336","4,140","3,743",35.4,"41,359","20,350",355,42,"2,061",722,"20,960"
06071,"San Bernardino County, California","2,194,710","1,098,410","1,096,300","156,199","335,844","296,776","262,857","124,285","122,459",34.3,"1,224,685","543,244","167,011","4,582","170,066","7,311","735,905"
06073,"San Diego County, California","3,286,069","1,664,717","1,621,352","232,801","527,297","464,536","397,132","197,412","190,403",36.9,"1,145,183","1,401,236","145,139","6,380","388,365","12,225","1,237,685"
06075,"San Francisco County, California","815,201","417,313","397,888","40,478","164,456","132,607","108,595","53,354","46,386",40.4,"128,030","302,182","40,955","1,200","286,518","2,153","412,269"
06077,"San Joaquin County, California","789,410","396,171","393,239","52,197","110,341","108,380","94,029","41,979","45,749",35.0,"339,331","218,293","50,367","2,037","141,077","5,375","255,199"
06079,"San Luis Obispo County, California","283,159","142,645","140,514","28,725","31,546","34,090","28,616","15,770","20,584",40.2,"67,302","185,476","3,467",308,"8,819",93,"124,737"
06081,"San Mateo County, California","737,888","367,402","370,486","36,930","105,270","107,832","100,101","50,914","46,428",40.8,"176,847","263,315","16,629",676,"228,166","9,516","285,583"
