GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","223,234","109,192","114,042","11,292","24,401","28,477","27,285","16,425","15,441",43.0,"10,534","185,180","18,338","1,744","2,160",0,"119,425"
01015,"Calhoun County, Alabama","113,605","54,285","59,320","6,973","14,981","14,394","13,354","7,389","8,410",39.6,"4,614",N,N,N,N,N,"53,809"
01043,"Cullman County, Alabama","83,768","40,579","43,189","4,603","10,588","10,281","11,351","5,052","6,100",41.9,"3,752",N,N,N,N,N,"38,256"
01049,"DeKalb County, Alabama","71,513","35,688","35,825","4,989","8,436","9,017","8,771","5,006","3,839",37.7,"10,775",N,N,N,N,N,"31,606"
01051,"Elmore County, Alabama","81,209","40,060","41,149","4,038","13,121","10,084","10,573","4,689","6,325",39.0,"2,563","59,236","17,768",204,884,0,"34,481"
01055,"Etowah County, Alabama","102,268","49,278","52,990","6,416","12,286","11,934","13,583","6,472","7,475",41.5,"4,230","79,046","16,040",290,796,12,"47,855"
01069,"Houston County, Alabama","105,882","50,666","55,216","5,776","13,868","13,214","13,080","7,868","6,403",40.4,"3,632","68,466","29,624",93,946,31,"48,138"
01073,"Jefferson County, Alabama","658,573","310,898","347,675","40,872","95,477","84,192","78,226","41,062","44,565",38.3,"26,873","325,182","284,113","1,069","11,464",0,"309,673"
01077,"Lauderdale County, Alabama","92,729","44,783","47,946","7,566","10,833","10,597","11,009","5,949","6,655",40.4,"2,652",N,N,N,N,N,"45,616"
01081,"Lee County, Alabama","164,542","82,405","82,137","20,499","22,519","22,401","17,816","9,312","8,533",33.3,"6,092","111,364","37,277",586,"6,738",0,"71,228"
01083,"Limestone County, Alabama","98,915","48,960","49,955","5,116","12,286","13,100","14,160","6,084","6,531",40.3,"6,149","74,954","13,555",268,"1,695",80,"36,520"
01089,"Madison County, Alabama","372,909","181,052","191,857","24,686","52,680","46,056","48,204","26,324","25,982",38.1,"19,351","239,616","90,937","2,315","10,309",103,"166,523"
01095,"Marshall County, Alabama","96,774","46,375","50,399","5,684","12,099","11,407","12,008","6,023","6,482",39.4,"14,272","77,049","3,820",71,593,0,"40,798"
01097,"Mobile County, Alabama","413,210","196,310","216,900","26,087","58,515","49,290","49,060","27,375","28,204",38.4,"12,443","233,076","148,889","2,835","7,425",61,"185,062"
01101,"Montgomery County, Alabama","226,486","106,829","119,657","15,521","32,904","28,653","26,324","13,399","14,424",36.9,"8,344","73,889","131,830",585,"7,273",0,"105,314"
01103,"Morgan County, Alabama","119,679","58,883","60,796","7,426","11,759","15,336","17,292","7,839","8,560",42.3,"10,465",N,N,N,N,N,"52,403"
01115,"St. Clair County, Alabama","89,512","43,256","46,256","4,623","12,436","11,304","11,702","7,380","5,620",40.0,619,N,N,N,N,N,"37,258"
01117,"Shelby County, Alabama","217,702","105,158","112,544","13,076","27,287","29,919","29,154","15,524","12,099",39.5,"12,635","167,912","27,252",891,"4,070",0,"89,139"
01121,"Talladega County, Alabama","79,978","39,620","40,358","4,913","9,499","9,636","10,478","5,232","6,065",41.7,"1,913","49,680","25,979",385,413,0,"38,095"
01125,"Tuscaloosa County, Alabama","209,355","100,902","108,453","19,364","30,237","25,141","23,737","11,714","11,907",33.7,"8,308","127,034","68,608",87,"3,491",125,"92,799"
