GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","195,540","94,905","100,635","12,329","23,066","24,115","25,400","12,901","14,431",40.9,"8,949","162,517","20,100",570,"1,341",0,"105,786"
01015,"Calhoun County, Alabama","116,736","56,601","60,135","8,383","14,869","15,115","15,139","7,577","7,734",37.6,"4,066","85,305","24,416",88,"1,207",0,"53,060"
01043,"Cullman County, Alabama","80,811","40,215","40,596","5,903","9,646","10,403","11,046","5,766","5,103",40.3,"3,532",N,N,N,N,N,"36,882"
01049,"DeKalb County, Alabama","71,013","34,982","36,031","5,890","7,391","9,980","9,641","3,310","5,601",38.8,"10,074","57,282","1,441","1,043",117,0,"30,853"
01051,"Elmore County, Alabama","80,902","39,928","40,974","5,642","10,729","11,684","11,569","5,210","4,724",38.5,"2,226","59,761","17,372",189,746,0,"32,937"
01055,"Etowah County, Alabama","103,931","50,344","53,587","6,602","11,415","14,129","14,630","7,022","7,197",40.5,"3,776","81,505","16,426",518,699,71,"47,302"
01069,"Houston County, Alabama","103,668","49,901","53,767","6,485","13,222","13,171","14,335","6,526","6,536",39.3,"3,447","69,985","26,849",456,981,0,"45,975"
01073,"Jefferson County, Alabama","659,479","311,972","347,507","44,739","94,310","84,583","87,517","45,485","41,626",37.6,"25,154","335,546","277,599","1,838","8,943",12,"303,187"
01077,"Lauderdale County, Alabama","92,797","44,888","47,909","9,108","10,548","10,173","12,400","8,255","4,428",41.6,"2,243","78,720","9,323",341,862,46,"44,068"
01081,"Lee County, Alabama","150,933","74,475","76,458","22,964","20,762","18,628","18,020","7,347","7,429",30.5,"5,826","102,533","35,562",0,"4,698",0,"64,625"
01083,"Limestone County, Alabama","88,845","45,042","43,803","6,012","11,173","11,988","13,802","5,725","5,068",38.1,"5,183","69,001","11,174",346,854,86,"35,199"
01089,"Madison County, Alabama","346,892","169,325","177,567","25,453","46,639","42,437","54,841","23,847","18,497",37.7,"16,242","227,716","85,037","1,941","9,299",41,"152,222"
01095,"Marshall County, Alabama","94,760","45,644","49,116","5,822","11,925","12,460","12,565","5,935","5,607",39.3,"12,188","78,241","1,430",675,264,0,"40,158"
01097,"Mobile County, Alabama","414,079","198,492","215,587","29,721","55,374","50,073","56,332","28,430","24,224",37.0,"10,789","240,820","144,449","1,625","7,932",46,"180,503"
01101,"Montgomery County, Alabama","226,659","107,820","118,839","17,557","33,119","27,516","30,005","15,186","11,475",35.1,"7,770","83,573","127,608",123,"4,982",0,"102,895"
01103,"Morgan County, Alabama","119,787","58,728","61,059","7,658","14,045","16,114","16,487","8,724","7,034",39.1,"9,328","92,077","14,022",569,245,0,"51,223"
01115,"St. Clair County, Alabama","86,308","43,141","43,167","5,668","10,875","11,730","12,114","5,643","6,431",39.4,"1,972","74,378","8,272",163,739,0,"35,486"
01117,"Shelby County, Alabama","204,180","99,787","104,393","11,724","25,297","31,641","29,275","13,662","11,022",38.0,"12,292","160,936","24,119",208,"3,911",0,"82,476"
01121,"Talladega County, Alabama","81,096","40,020","41,076","5,245","9,589","10,887","11,287","5,755","5,470",40.4,"1,806",N,N,N,N,N,"36,932"
01125,"Tuscaloosa County, Alabama","200,821","97,451","103,370","27,943","28,229","22,579","23,074","12,835","9,891",31.5,"6,468","126,631","61,288",371,"2,915",0,"86,553"
01127,"Walker County, Alabama","65,998","31,752","34,246","3,494","7,060","7,942","9,394","4,408","4,547",41.6,"1,538",N,N,N,N,N,"30,493"
02020,"Anchorage Municipality, Alaska","300,950","153,776","147,174","27,779","50,495","38,137","40,432","21,661","13,447",32.4,"26,021","181,876","17,457","21,407","24,537","6,800","113,766"
02090,"Fairbanks North Star Borough, Alaska","100,436","54,584","45,852","9,139","18,024","11,866","12,261","5,663","5,133",30.4,"7,714","71,955","3,846","6,211","3,346",75,"41,606"
02170,"Matanuska-Susitna Borough, Alaska","95,192","49,620","45,572","6,704","12,387","12,096","13,632","6,530","5,953",34.3,"4,251","77,053","1,021","4,409","1,249",85,"41,240"
04001,"Apache County, Arizona","71,934","35,352","36,582","5,626","8,748","7,881","8,489","4,776","3,767",33.3,"4,500","13,814",348,"51,267",326,150,"32,605"
04003,"Cochise County, Arizona","129,473","65,945","63,528","7,170","16,782","13,807","16,326","8,439","8,552",40.3,"43,895","73,480","5,047","1,019","2,215",0,"60,286"
04005,"Coconino County, Arizona","136,539","68,011","68,528","16,847","19,118","15,120","15,780","8,331","7,712",31.2,"18,922","74,754","2,260","34,340","1,680",277,"64,664"
04013,"Maricopa County, Arizona","4,009,412","1,983,791","2,025,621","285,584","567,894","537,767","519,876","225,669","213,274",35.6,"1,203,221","2,303,560","196,496","60,332","145,413","7,648","1,668,234"
04015,"Mohave County, Arizona","203,030","103,169","99,861","10,380","18,611","19,777","27,105","16,390","15,290",49.2,"31,467","159,135","2,422","4,183","2,253",162,"111,717"
04017,"Navajo County, Arizona","107,322","53,534","53,788","7,382","12,323","11,519","13,154","6,660","6,724",35.5,"11,792","45,662",413,"44,871",570,430,"57,323"
04019,"Pima County, Arizona","996,554","491,516","505,038","88,958","122,233","114,966","121,659","66,124","59,633",38.0,"355,741","534,933","31,797","23,704","24,390","1,606","446,987"
04021,"Pinal County, Arizona","389,350","202,854","186,496","21,849","51,588","52,880","43,856","22,700","22,747",37.5,"112,963","226,420","17,604","17,385","5,661","1,592","164,254"
04025,"Yavapai County, Arizona","215,133","105,433","109,700","10,395","19,429","19,634","26,244","20,428","18,580",51.1,"30,045","174,406","1,316","4,063","1,314",0,"111,703"
04027,"Yuma County, Arizona","201,201","103,447","97,754","17,395","26,198","21,574","22,681","10,330","9,076",33.5,"123,022","67,086","4,319","1,878","2,275",0,"89,610"
05007,"Benton County, Arkansas","237,297","117,822","119,475","13,978","33,684","33,917","30,311","13,115","11,627",35.1,"37,934","178,136","3,263","3,404","8,648",57,"95,722"
05031,"Craighead County, Arkansas","101,488","51,236","50,252","8,996","14,088","12,851","12,806","5,181","6,182",33.9,"4,667","79,831","13,251",535,"1,083",0,"42,612"
05045,"Faulkner County, Arkansas","119,580","58,110","61,470","13,663","18,513","15,371","13,644","6,425","5,185",31.5,"4,830","97,378","13,658",442,"1,105",0,"48,305"
05051,"Garland County, Arkansas","97,173","48,217","48,956","4,902","10,943","10,694","12,904","7,117","6,983",44.9,"5,095","80,587","8,355",723,125,0,"50,309"
05069,"Jefferson County, Arkansas","73,191","36,068","37,123","4,960","9,595","8,534","9,865","5,689","4,231",39.4,"1,340","29,611","41,550",79,208,0,"33,026"
05085,"Lonoke County, Arkansas","70,753","35,279","35,474","4,365","9,565","9,774","9,621","5,050","2,789",36.0,"2,745","61,692","4,014",88,354,0,"28,217"
05119,"Pulaski County, Arkansas","391,284","188,455","202,829","26,521","62,039","49,018","51,779","26,824","22,617",36.1,"23,088","212,473","136,829",586,"7,553",182,"179,857"
05125,"Saline County, Arkansas","114,404","57,611","56,793","6,060","15,170","14,957","15,245","7,014","6,064",38.9,"4,785","99,644","5,625",65,780,0,"46,087"
05131,"Sebastian County, Arkansas","127,342","61,924","65,418","9,576","17,391","14,103","18,064","8,020","8,107",37.0,"16,745","90,961","7,657","1,261","5,706",49,"55,604"
05143,"Washington County, Arkansas","216,410","108,545","107,865","23,861","32,169","28,879","24,661","11,648","9,632",31.5,"34,832","156,173","11,213","1,694","5,510",292,"88,909"
05145,"White County, Arkansas","78,483","38,371","40,112","7,071","9,916","9,134","10,242","4,702","4,010",36.5,"3,238","69,568","3,277",377,547,0,"32,820"
06001,"Alameda County, California","1,578,891","774,312","804,579","108,719","246,262","235,027","223,435","101,115","88,574",37.1,"358,007","522,860","179,125","5,052","429,067","12,307","587,829"
06007,"Butte County, California","222,090","109,574","112,516","27,105","26,667","23,227","25,653","15,375","14,119",36.4,"33,642","164,406","3,219","1,174","9,695",321,"96,586"
06013,"Contra Costa County, California","1,094,205","534,456","559,749","67,378","136,166","148,633","163,952","76,377","63,293",38.8,"272,904","505,090","94,693","3,369","163,224","5,145","404,167"
06017,"El Dorado County, California","181,737","90,907","90,830","9,266","17,760","20,571","28,010","16,773","13,173",44.5,"22,661","143,380","1,904","1,011","7,600",254,"88,483"
06019,"Fresno County, California","955,272","477,373","477,899","79,310","140,250","115,536","113,727","51,953","43,814",31.4,"492,592","298,548","46,709","4,035","94,134","1,574","320,796"
06023,"Humboldt County, California","134,493","67,456","67,037","13,096","18,775","16,438","15,549","11,311","9,009",37.5,"14,089","101,966","1,377","6,527","3,009",197,"61,976"
06025,"Imperial County, California","176,584","90,256","86,328","14,234","24,927","21,242","21,951","8,783","9,115",31.9,"144,486","22,388","4,496","1,370","2,243",81,"56,492"
06029,"Kern County, California","864,124","443,835","420,289","71,118","127,992","108,776","105,606","44,067","40,937",31.0,"439,674","318,114","45,835","5,239","37,697",765,"288,383"
06031,"Kings County, California","150,960","84,044","66,916","12,567","23,953","21,032","20,502","7,464","5,984",31.6,"79,551","51,302","9,745","1,139","5,350",388,"44,522"
06033,"Lake County, California","63,860","31,707","32,153","3,335","6,831","6,307","8,833","5,388","5,620",45.9,"11,770","46,343",440,"3,026","1,002",0,"35,426"
06037,"Los Angeles County, California","10,017,068","4,941,791","5,075,277","784,999","1,542,256","1,409,696","1,373,801","609,792","501,258",35.5,"4,834,936","2,703,681","801,603","18,335","1,392,815","24,168","3,462,431"
06039,"Madera County, California","152,389","74,952","77,437","10,987","20,811","19,317","18,529","8,535","8,245",33.5,"84,923","55,531","4,863","2,130","3,066",167,"49,566"
06041,"Marin County, California","258,365","128,095","130,270","10,412","23,495","34,659","41,351","20,602","19,921",45.5,"40,650","185,939","5,645",165,"15,283",548,"111,566"
06045,"Mendocino County, California","87,192","43,911","43,281","4,327","9,558","10,585","10,983","6,813","7,734",42.0,"20,524","58,261",628,"2,598","1,074",241,"40,477"
06047,"Merced County, California","263,228","133,668","129,560","21,386","36,238","33,123","30,695","14,997","9,930",30.4,"149,418","79,123","8,180",685,"20,861",79,"83,842"
06053,"Monterey County, California","428,826","220,192","208,634","33,288","64,451","55,513","52,626","23,272","22,790",33.4,"243,635","135,474","10,358","1,110","26,084","2,122","139,386"
06055,"Napa County, California","140,326","69,814","70,512","9,179","17,520","17,315","19,254","10,228","8,686",40.3,"46,807","76,432","2,952",759,"10,328",68,"54,939"
06057,"Nevada County, California","98,200","48,428","49,772","4,280","8,979","10,115","13,617","9,187","8,962",49.4,"8,862","84,223",355,743,"1,326",0,"52,784"
06059,"Orange County, California","3,114,363","1,541,578","1,572,785","230,313","434,920","429,079","453,262","197,718","159,259",36.9,"1,065,977","1,321,838","49,067","6,548","582,557","9,747","1,060,030"
06061,"Placer County, California","367,309","179,952","187,357","20,996","40,382","46,536","53,797","25,257","22,592",40.8,"49,090","273,877","4,308","1,426","22,860",279,"155,879"
06065,"Riverside County, California","2,292,507","1,142,160","1,150,347","172,502","305,653","294,989","298,927","126,284","114,145",34.3,"1,075,767","868,206","134,392","9,604","136,703","6,418","811,100"
06067,"Sacramento County, California","1,462,131","715,812","746,319","107,212","218,106","189,932","197,303","94,522","76,060",35.4,"325,428","689,293","140,813","6,517","213,282","14,576","558,823"
06071,"San Bernardino County, California","2,088,371","1,040,242","1,048,129","174,910","299,357","270,304","272,486","121,901","97,297",32.4,"1,066,337","652,947","174,095","5,246","135,692","6,639","703,253"
06073,"San Diego County, California","3,211,252","1,614,671","1,596,581","272,401","509,489","425,444","424,924","194,336","167,954",35.1,"1,057,428","1,510,757","154,477","11,962","356,394","14,008","1,176,799"
06075,"San Francisco County, California","837,442","425,845","411,597","52,623","186,825","135,803","114,197","52,144","50,286",38.7,"128,395","346,442","46,119","1,501","279,091","3,186","381,001"
