GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","212,628","104,698","107,930","10,280","25,425","26,549","27,320","14,819","15,422",42.6,"9,675","176,582","19,925","2,172","2,485",0,"114,158"
01015,"Calhoun County, Alabama","114,728","55,339","59,389","6,906","15,103","14,286","14,449","7,419","8,350",39.4,"4,301","82,876","24,183",254,"1,176",0,"53,786"
01043,"Cullman County, Alabama","82,755","40,972","41,783","5,074","10,397","10,128","11,188","6,083","5,244",41.5,"3,585","76,228","1,076",0,414,0,"37,809"
01049,"DeKalb County, Alabama","71,617","34,602","37,015","4,399","7,890","9,452","9,104","5,349","3,845",38.7,"10,625","57,439","1,109",693,0,0,"31,527"
01051,"Elmore County, Alabama","81,677","39,635","42,042","5,265","10,357","11,367","11,405","6,070","4,460",38.8,"2,446","59,263","18,029",304,400,0,"34,252"
01055,"Etowah County, Alabama","102,755","49,230","53,525","5,983","12,259","12,597","13,546","6,065","8,172",41.2,"3,954","80,052","15,972",650,727,0,"47,751"
01069,"Houston County, Alabama","104,346","50,125","54,221","5,908","13,907","12,592","13,903","7,978","5,787",39.9,"3,507","69,622","27,889",112,807,0,"47,427"
01073,"Jefferson County, Alabama","659,197","311,204","347,993","43,549","93,773","82,879","82,277","42,428","45,671",37.6,"25,590","328,498","283,149","1,093","11,793",321,"308,822"
01077,"Lauderdale County, Alabama","92,538","43,447","49,091","7,254","11,256","10,280","11,766","6,392","5,917",40.9,"2,477",N,N,N,N,N,"44,834"
01081,"Lee County, Alabama","161,604","78,585","83,019","20,248","24,102","18,031","19,075","9,089","7,722",31.8,"6,093","108,740","35,563",212,"6,321",0,"68,921"
01083,"Limestone County, Alabama","94,402","47,911","46,491","6,293","12,776","12,020","13,594","6,392","5,724",39.2,"5,737","72,190","12,971",901,"1,677",0,"36,249"
01089,"Madison County, Alabama","361,046","176,730","184,316","24,537","50,080","44,610","50,223","26,984","22,446",38.7,"17,728","232,703","87,291","2,357","10,146",0,"161,780"
01095,"Marshall County, Alabama","95,548","46,197","49,351","6,302","11,924","11,176","11,962","6,800","4,948",38.1,"13,299","77,127","2,140",653,687,149,"40,700"
01097,"Mobile County, Alabama","413,955","196,427","217,528","27,658","56,688","49,489","51,330","27,581","27,719",38.2,"11,943","235,701","146,827","3,302","7,504",79,"183,912"
01101,"Montgomery County, Alabama","226,646","106,660","119,986","15,839","32,474","28,793","27,741","15,506","12,963",36.6,"7,858","76,680","131,215",311,"6,747",51,"104,865"
01103,"Morgan County, Alabama","118,818","59,890","58,928","6,513","14,949","14,964","15,687","7,656","8,066",39.9,"9,851","89,992","15,143",678,760,283,"52,089"
01115,"St. Clair County, Alabama","88,199","43,920","44,279","5,114","11,413","11,543","12,626","6,366","5,358",40.7,"2,107",N,N,N,N,N,"36,983"
01117,"Shelby County, Alabama","213,605","104,267","109,338","12,754","25,294","29,940","30,181","12,337","14,853",39.3,"12,305","165,908","25,790",571,"3,167",69,"87,250"
01121,"Talladega County, Alabama","80,065","39,033","41,032","4,752","9,992","10,263","10,687","4,976","6,340",40.3,"1,851",N,N,N,N,N,"37,781"
01125,"Tuscaloosa County, Alabama","207,811","100,874","106,937","20,896","30,197","24,274","23,101","10,486","14,211",32.6,"7,793","127,725","66,689",88,"3,522",115,"91,820"
01127,"Walker County, Alabama","64,058","30,846","33,212","3,624","7,676","6,914","8,616","4,715","4,858",43.2,"1,650","56,974","3,778",97,353,0,"31,132"
02020,"Anchorage Municipality, Alaska","294,356","149,386","144,970","21,943","50,018","41,496","34,426","18,713","16,852",34.0,"26,948","169,583","14,256","19,988","31,262","7,725","117,298"
02090,"Fairbanks North Star Borough, Alaska","99,703","52,701","47,002","11,080","19,456","12,194","9,933","5,825","4,977",30.7,"8,073","69,554","4,379","7,068","2,883",126,"44,302"
02170,"Matanuska-Susitna Borough, Alaska","106,532","55,528","51,004","7,109","14,308","14,151","13,533","7,578","6,242",35.2,"5,223","84,362","1,415","6,388","1,522",141,"41,889"
04001,"Apache County, Arizona","71,606","35,700","35,906","4,502","8,975","7,860","8,059","4,515","4,410",34.8,"4,480",N,N,N,N,N,"32,864"
04003,"Cochise County, Arizona","124,756","63,763","60,993","8,352","15,800","13,156","13,711","7,345","9,983",41.6,"44,397","68,628","4,671","1,692","2,258",473,"61,064"
04005,"Coconino County, Arizona","140,776","70,219","70,557","15,424","19,077","15,580","14,907","9,171","8,025",31.6,"19,903","76,159","1,657","35,425","3,259",633,"66,057"
04013,"Maricopa County, Arizona","4,307,033","2,130,646","2,176,387","285,415","623,248","560,348","548,032","261,413","232,799",36.4,"1,339,574","2,377,103","223,530","69,639","175,696","9,337","1,738,201"
04015,"Mohave County, Arizona","207,200","103,960","103,240","7,225","20,950","18,501","24,598","17,066","16,115",51.4,"34,063","160,138","2,392","4,028","2,468",72,"114,497"
04017,"Navajo County, Arizona","108,956","55,149","53,807","6,311","11,803","11,791","13,035","7,321","7,687",38.1,"12,283","45,204","1,241","45,534",638,"1,811","57,836"
04019,"Pima County, Arizona","1,022,769","502,603","520,166","88,636","128,248","116,606","114,177","65,540","63,339",38.5,"381,290","529,053","33,277","27,124","28,150","1,428","459,912"
04021,"Pinal County, Arizona","430,237","224,093","206,144","23,029","56,470","56,805","48,034","23,527","26,669",39.6,"129,482","244,073","16,779","16,400","6,669","1,020","173,676"
04025,"Yavapai County, Arizona","228,168","111,901","116,267","9,852","21,016","20,243","24,557","17,131","22,704",53.6,"33,172","183,748","1,314","2,322","2,666",0,"116,534"
04027,"Yuma County, Arizona","207,534","106,351","101,183","17,152","28,471","22,505","22,119","9,788","10,639",34.7,"132,705","63,868","3,660","2,353","2,593",76,"92,441"
05007,"Benton County, Arkansas","266,300","132,118","134,182","15,208","39,291","38,065","33,193","15,438","13,324",35.5,"44,438","195,171","5,199","4,455","10,452","1,486","105,272"
05031,"Craighead County, Arkansas","107,115","52,837","54,278","7,787","16,245","14,267","12,382","6,450","4,967",34.6,"5,545","81,640","13,398",103,"1,533",37,"45,492"
05045,"Faulkner County, Arkansas","123,654","60,358","63,296","12,105","17,082","14,358","16,208","7,322","5,731",33.0,"5,016","97,803","15,116",210,"1,830",0,"50,101"
05051,"Garland County, Arkansas","98,658","47,436","51,222","4,511","11,426","10,393","12,185","7,115","6,717",45.2,"5,624","80,841","8,358",537,271,0,"50,977"
05069,"Jefferson County, Arkansas","69,115","34,875","34,240","4,908","8,657","7,849","8,740","4,999","4,503",38.8,"1,457",N,N,N,N,N,"33,337"
05085,"Lonoke County, Arkansas","72,898","34,973","37,925","4,487","10,447","9,723","9,427","4,562","4,287",35.9,"3,438","62,542","4,949",504,69,0,"29,377"
05119,"Pulaski County, Arkansas","393,956","188,053","205,903","25,236","58,707","50,140","48,532","27,763","23,467",37.4,"24,325","205,775","143,961",781,"8,778",0,"184,205"
05125,"Saline County, Arkansas","119,323","59,762","59,561","6,363","15,708","16,134","15,075","7,553","7,559",38.9,"5,731","100,477","8,837",76,"1,505",194,"48,885"
05131,"Sebastian County, Arkansas","128,107","61,989","66,118","8,263","15,518","14,980","18,335","7,462","9,397",37.9,"18,442","88,748","7,586","1,073","5,082",0,"56,858"
05143,"Washington County, Arkansas","231,996","116,584","115,412","24,917","33,837","32,084","24,906","11,361","11,470",32.3,"39,076","164,994","7,881","1,525","5,993","4,358","93,743"
05145,"White County, Arkansas","79,016","38,518","40,498","6,961","9,288","9,401","10,347","4,827","4,936",37.4,"3,439","69,622","3,371",339,500,0,"33,821"
06001,"Alameda County, California","1,663,190","818,161","845,029","101,870","277,096","248,521","225,121","105,179","97,965",37.6,"373,672","520,664","169,718","5,495","499,513","12,454","606,053"
06007,"Butte County, California","229,294","113,399","115,895","24,295","29,298","25,783","24,752","14,109","15,736",37.3,"37,569","165,106","4,123","2,047","11,287",157,"99,405"
06013,"Contra Costa County, California","1,147,439","560,717","586,722","68,882","146,524","153,578","164,563","80,631","70,151",39.7,"294,584","500,221","89,378","2,545","191,489","5,282","414,055"
06017,"El Dorado County, California","188,987","94,491","94,496","9,553","18,976","21,815","25,663","16,037","16,334",45.7,"24,278","146,964","1,624","1,035","8,245",0,"90,311"
06019,"Fresno County, California","989,255","493,189","496,066","72,114","151,781","123,214","112,141","50,401","52,476",32.3,"525,935","289,646","44,638","3,703","100,253","1,526","330,958"
06023,"Humboldt County, California","136,754","67,579","69,175","12,947","16,864","18,262","15,075","9,819","9,162",39.9,"16,015","101,537","1,821","5,032","4,363","1,432","63,012"
06025,"Imperial County, California","182,830","93,017","89,813","14,143","26,875","22,081","19,747","9,385","9,562",32.5,"154,058","19,006","4,013","1,142","1,990",763,"57,742"
06029,"Kern County, California","893,119","456,997","436,122","65,714","139,012","113,052","101,516","49,160","44,722",31.6,"477,237","302,870","44,601","4,629","42,735","1,395","297,873"
06031,"Kings County, California","150,101","82,876","67,225","11,553","26,108","20,181","17,563","7,098","7,263",32.2,"82,293","47,647","8,653","1,016","5,753",23,"46,399"
06033,"Lake County, California","64,246","32,225","32,021","2,189","6,788","7,792","8,419","4,760","6,031",47.3,"13,209","45,240",995,"2,528","1,062",49,"35,943"
06037,"Los Angeles County, California","10,163,507","5,009,571","5,153,936","721,661","1,639,556","1,388,427","1,375,896","634,012","573,267",36.6,"4,939,605","2,644,767","794,235","23,470","1,482,797","24,573","3,542,835"
06039,"Madera County, California","156,890","76,090","80,800","11,015","22,530","20,099","18,130","8,402","9,043",34.1,"90,920","52,859","5,545","2,299","3,246",25,"50,582"
06041,"Marin County, California","260,955","127,518","133,437","11,150","22,840","31,176","41,081","20,958","18,780",46.7,"42,076","183,502","4,379",468,"15,533",93,"113,128"
06045,"Mendocino County, California","88,018","43,723","44,295","4,706","10,706","10,288","10,081","7,090","5,661",42.7,"22,335","57,034",775,"2,462","1,796",289,"41,111"
06047,"Merced County, California","272,673","138,191","134,482","20,679","39,802","33,294","30,999","15,390","12,674",31.4,"162,490","75,083","7,432","1,157","20,825",233,"85,267"
06053,"Monterey County, California","437,907","222,781","215,126","31,483","63,128","57,309","51,252","24,635","24,372",34.3,"257,466","130,362","10,551",582,"23,741","1,678","141,653"
06055,"Napa County, California","140,973","69,965","71,008","9,113","17,295","17,973","18,326","9,524","9,436",41.4,"48,325","73,702","3,045",380,"11,209",365,"55,858"
06057,"Nevada County, California","99,814","49,725","50,089","3,805","9,666","11,253","11,628","8,437","9,512",51.3,"9,438","84,694",394,512,504,150,"53,869"
06059,"Orange County, California","3,190,400","1,575,092","1,615,308","215,720","461,007","414,137","455,398","216,984","182,781",37.9,"1,091,887","1,287,395","52,246","5,735","649,015","7,426","1,102,088"
06061,"Placer County, California","386,166","188,031","198,135","20,425","42,555","49,674","52,804","27,317","25,009",42.1,"54,239","280,586","5,951","1,762","29,242",211,"163,927"
06065,"Riverside County, California","2,423,266","1,206,077","1,217,189","169,777","336,737","308,515","306,752","146,229","129,007",35.6,"1,188,993","851,484","147,495","11,358","155,732","4,664","840,273"
06067,"Sacramento County, California","1,530,615","748,070","782,545","97,826","240,672","201,246","195,465","95,612","92,125",36.3,"355,942","683,662","142,022","4,611","233,337","18,072","569,768"
06071,"San Bernardino County, California","2,157,404","1,073,651","1,083,753","167,212","327,565","276,420","267,486","132,592","111,178",33.4,"1,152,510","613,549","167,255","8,031","152,274","6,271","719,259"
06073,"San Diego County, California","3,337,685","1,679,410","1,658,275","256,682","549,650","444,445","419,286","209,581","185,250",35.8,"1,129,970","1,512,229","153,740","12,699","394,340","12,808","1,214,271"
06075,"San Francisco County, California","884,363","450,429","433,934","49,281","207,492","138,769","118,360","51,475","50,204",38.3,"134,705","355,706","44,460","1,617","303,501","3,158","397,566"
06077,"San Joaquin County, California","745,424","370,466","374,958","51,533","104,130","96,899","92,897","42,239","40,967",34.3,"310,067","235,440","50,693","1,337","111,968","3,987","242,821"
06079,"San Luis Obispo County, California","283,405","143,319","140,086","28,938","32,239","30,008","31,876","19,495","20,287",39.6,"64,128","194,713","4,419","1,809","10,108",254,"121,918"
06081,"San Mateo County, California","771,410","380,541","390,869","41,187","114,948","110,336","108,492","51,664","47,913",39.9,"188,954","300,727","17,251","1,365","217,702","10,821","278,093"
06083,"Santa Barbara County, California","448,150","224,368","223,782","50,132","59,383","50,396","49,690","25,084","26,174",33.8,"204,559","197,611","7,136","1,264","23,819",262,"157,049"
06085,"Santa Clara County, California","1,938,153","979,156","958,997","119,882","311,887","280,115","270,160","121,747","105,247",37.1,"496,020","607,855","47,234","3,797","702,503","5,388","671,151"
06087,"Santa Cruz County, California","275,897","137,241","138,656","28,063","33,348","32,770","34,642","19,608","18,041",37.8,"93,586","157,205","2,324",423,"12,970",85,"106,329"
06089,"Shasta County, California","179,921","88,734","91,187","10,050","22,294","19,255","21,990","12,750","13,572",42.2,"18,190","143,115","2,809","5,413","5,435",141,"78,846"
06095,"Solano County, California","445,458","221,435","224,023","29,530","65,557","55,779","57,436","28,611","31,971",37.8,"118,198","168,646","59,298","1,080","69,578","4,091","157,915"
06097,"Sonoma County, California","504,217","245,852","258,365","28,899","66,635","62,955","64,552","34,894","38,753",41.8,"136,100","313,301","8,133","3,324","20,079","1,755","209,308"
06099,"Stanislaus County, California","547,899","272,365","275,534","37,741","80,217","68,288","66,482","33,916","27,425",34.1,"253,776","229,491","16,199","1,774","28,738","3,406","181,595"
06101,"Sutter County, California","96,648","49,288","47,360","5,704","14,657","11,319","11,517","6,235","5,589",35.8,"29,999","44,416","1,955","1,032","15,996",407,"34,404"
06107,"Tulare County, California","464,493","232,455","232,038","33,580","66,334","57,893","51,551","26,327","20,971",30.9,"300,646","131,717","6,308","3,058","13,483",334,"148,986"
06111,"Ventura County, California","854,223","423,228","430,995","58,719","113,653","105,819","115,495","62,069","49,627",38.2,"366,266","385,085","14,356","2,094","61,477",837,"288,778"
06113,"Yolo County, California","219,116","106,261","112,855","30,023","29,511","25,976","23,386","12,691","10,125",31.0,"69,602","101,875","5,378",705,"28,846","1,078","77,948"
06115,"Yuba County, California","77,031","39,729","37,302","4,380","12,374","10,362","8,495","5,412","4,435",34.0,"21,808","41,978","3,296","1,057","4,593",297,"28,604"
08001,"Adams County, Colorado","503,167","253,680","249,487","31,866","81,747","74,053","63,255","31,370","22,057",33.8,"201,501","252,143","16,476","2,263","22,085",0,"173,142"
08005,"Arapahoe County, Colorado","643,052","318,773","324,279","39,849","99,666","91,408","85,077","40,077","39,190",36.7,"123,957","387,830","68,219","2,266","37,630","1,305","251,714"
08013,"Boulder County, Colorado","322,514","162,166","160,348","32,552","43,996","40,514","42,626","20,071","20,888",36.5,"44,954","250,422","2,687",929,"14,820",61,"135,931"
08014,"Broomfield County, Colorado","68,341","34,183","34,158","4,323","9,990","10,010","10,331","4,322","3,680",38.4,"8,476","52,502",918,230,"4,591",0,"28,534"
08031,"Denver County, Colorado","704,621","352,865","351,756","42,752","161,633","111,783","81,841","37,770","32,762",34.5,"210,821","382,735","63,110","3,470","26,595",746,"320,551"
08035,"Douglas County, Colorado","335,299","166,955","168,344","16,392","36,930","50,763","54,722","24,314","16,829",38.9,"29,218","275,203","4,676",616,"16,709",116,"124,470"
08041,"El Paso County, Colorado","699,232","353,407","345,825","57,404","109,108","89,883","83,840","42,735","39,682",34.4,"119,283","483,233","40,534","3,067","17,986","2,419","271,817"
08059,"Jefferson County, Colorado","574,613","287,093","287,520","32,113","83,051","77,210","78,357","44,636","39,908",40.4,"88,333","449,392","5,649","2,918","16,166",294,"241,114"
08069,"Larimer County, Colorado","343,976","171,948","172,028","36,060","50,343","41,501","38,826","21,134","22,627",36.0,"39,371","284,126","3,778","1,841","7,315",488,"148,552"
08077,"Mesa County, Colorado","151,616","75,252","76,364","10,124","18,495","18,690","16,581","10,289","10,381",39.0,"22,078","123,181","1,110",826,"1,802",626,"66,404"
08101,"Pueblo County, Colorado","166,475","81,861","84,614","10,702","21,897","18,881","19,966","11,945","10,875",38.6,"71,585","86,685","2,400","1,122","1,327",160,"71,116"
08123,"Weld County, Colorado","304,633","153,229","151,404","19,328","46,408","40,703","37,351","17,965","17,363",34.1,"89,303","200,567","3,396",821,"4,658",377,"109,893"
09001,"Fairfield County, Connecticut","949,921","462,717","487,204","61,553","108,583","117,937","142,541","69,243","61,908",40.4,"189,042","582,723","98,596","1,705","51,698",58,"373,039"
09003,"Hartford County, Connecticut","895,388","435,142","460,246","58,181","118,202","109,091","123,714","63,240","60,748",40.3,"161,377","546,617","116,255","1,618","48,114",0,"379,764"
09005,"Litchfield County, Connecticut","182,177","90,322","91,855","9,425","19,845","18,937","28,326","16,653","15,982",47.3,"11,498","160,609","3,600",380,"3,511",0,"88,289"
09007,"Middlesex County, Connecticut","163,410","79,502","83,908","10,647","18,019","18,059","24,798","14,707","11,625",45.5,"10,343","136,875","8,597",412,"5,172",0,"76,332"
09009,"New Haven County, Connecticut","860,435","415,460","444,975","60,794","114,823","100,513","118,431","63,388","56,128",40.1,"156,118","540,143","107,279",825,"33,920",0,"367,217"
09011,"New London County, Connecticut","269,033","134,849","134,184","20,307","34,032","27,889","39,670","21,383","18,446",41.6,"28,444","202,897","12,782","2,320","11,250",79,"123,404"
09013,"Tolland County, Connecticut","151,461","75,711","75,750","19,604","16,907","14,803","21,374","10,329","10,533",37.5,"8,415","127,504","4,984",52,"7,171",0,"59,714"
09015,"Windham County, Connecticut","116,359","56,944","59,415","8,215","13,730","14,151","16,471","9,080","8,521",41.6,"13,596","96,326","2,227",174,"1,728",0,"49,736"
10001,"Kent County, Delaware","176,824","85,487","91,337","12,597","24,147","20,485","22,052","12,598","10,033",37.8,"12,703","108,754","44,815",576,"3,077",0,"71,619"
10003,"New Castle County, Delaware","559,793","270,850","288,943","36,378","82,145","68,271","76,205","38,342","36,370",38.1,"55,724","320,334","136,658","1,269","32,524",85,"223,225"
10005,"Sussex County, Delaware","225,322","109,173","116,149","9,924","24,657","22,312","26,275","16,189","20,388",49.4,"21,113","168,829","25,217",499,"2,803",159,"138,009"
11001,"District of Columbia, District of Columbia","693,972","329,078","364,894","54,294","162,354","102,128","76,277","35,580","34,283",34.0,"76,526","253,416","314,705","1,574","28,056",217,"314,843"
12001,"Alachua County, Florida","266,944","128,776","138,168","40,657","40,752","29,672","25,887","14,646","14,609",31.3,"26,282","163,372","52,886",932,"15,687",225,"116,975"
12005,"Bay County, Florida","183,563","91,154","92,409","11,328","25,237","22,296","24,518","14,287","11,423",39.9,"12,090","140,140","19,613",793,"4,113",0,"102,822"
12009,"Brevard County, Florida","589,162","287,371","301,791","31,471","64,880","60,326","77,606","52,430","44,564",47.2,"61,221","437,650","55,718","2,016","14,418","1,146","278,139"
12011,"Broward County, Florida","1,935,878","944,164","991,714","112,391","262,479","257,255","279,181","137,114","119,693",40.2,"574,026","701,606","535,384","3,230","67,252",725,"823,622"
12015,"Charlotte County, Florida","182,033","88,766","93,267","6,438","13,565","14,285","19,990","14,149","17,181",59.2,"13,043","152,937","10,101",462,"2,572",0,"103,986"
12017,"Citrus County, Florida","145,647","70,487","75,160","5,466","11,016","12,395","16,949","11,083","12,047",56.3,"8,299","128,253","3,706",448,"2,569",22,"79,496"
12019,"Clay County, Florida","212,230","104,268","107,962","11,239","24,044","28,037","31,266","15,622","12,553",40.5,"21,010","153,940","20,246",465,"6,529",0,"80,776"
12021,"Collier County, Florida","372,880","182,479","190,401","18,532","36,119","36,191","43,973","25,737","24,283",50.8,"103,525","234,398","25,702",610,"5,561",0,"214,429"
12023,"Columbia County, Florida","69,612","36,251","33,361","3,369","8,275","9,011","8,265","3,432","5,847",40.5,"4,337",N,N,N,N,N,"28,958"
12031,"Duval County, Florida","937,934","454,024","483,910","63,342","155,646","117,723","120,409","67,216","52,237",36.2,"90,568","496,140","275,930",658,"47,596",35,"407,446"
12033,"Escambia County, Florida","313,512","155,016","158,496","25,213","45,826","34,832","36,264","22,231","20,753",36.7,"17,706","201,228","66,760","1,558","8,921",424,"141,696"
12035,"Flagler County, Florida","110,510","53,251","57,259","4,804","9,362","11,323","12,628","7,047","10,644",50.6,"11,546","82,520","11,579",149,"3,064",0,"51,544"
12053,"Hernando County, Florida","186,553","88,715","97,838","8,284","18,554","18,267","23,845","13,280","13,337",48.8,"24,827","145,655","9,053","1,212","2,176",0,"86,721"
12055,"Highlands County, Florida","102,883","48,496","54,387","2,628","10,349","9,289","10,058","6,368","7,594",53.4,"20,375","69,071","9,886",247,"1,644",0,"55,647"
12057,"Hillsborough County, Florida","1,408,566","687,362","721,204","90,756","213,630","190,942","190,655","85,342","83,185",37.1,"402,798","687,894","221,857","3,347","59,098",230,"580,367"
12061,"Indian River County, Florida","154,383","73,394","80,989","7,810","12,300","13,536","17,938","13,887","10,428",53.3,"19,285","116,161","13,064",179,"1,729",0,"80,017"
12069,"Lake County, Florida","346,017","168,643","177,374","17,355","33,826","38,873","41,963","22,469","24,828",47.1,"53,353","239,984","36,595","1,239","7,868",357,"157,233"
12071,"Lee County, Florida","739,224","361,950","377,274","37,701","79,182","75,574","89,152","52,228","51,827",48.7,"156,821","496,526","57,618",901,"12,951",178,"393,259"
12073,"Leon County, Florida","290,292","137,421","152,871","45,977","42,227","32,300","29,791","18,355","13,983",31.4,"18,690","164,245","88,398",122,"9,874",0,"129,667"
12081,"Manatee County, Florida","385,571","185,975","199,596","19,306","39,197","41,082","46,837","28,812","27,196",48.5,"62,754","275,095","32,929","1,296","7,836",0,"190,954"
12083,"Marion County, Florida","354,353","169,962","184,391","15,949","37,238","35,668","41,795","23,466","25,120",48.3,"46,672","248,339","43,989","1,531","5,945",301,"168,373"
12085,"Martin County, Florida","159,923","78,809","81,114","8,000","13,469","14,649","20,030","12,060","13,397",53.0,"22,006","125,270","9,283",126,"2,118",51,"80,142"
12086,"Miami-Dade County, Florida","2,751,796","1,335,329","1,416,467","170,199","395,237","379,990","408,304","183,701","155,168",40.1,"1,887,266","360,449","434,406","1,659","44,246",88,"1,024,289"
12087,"Monroe County, Florida","77,013","39,760","37,253","3,788","9,203","10,478","11,089","6,388","6,861",47.1,"18,879","50,942","5,018",60,"1,190",0,"53,620"
12089,"Nassau County, Florida","82,721","40,041","42,680","3,827","8,783","9,255","11,827","6,109","6,840",46.4,"3,473","71,961","5,474",182,947,0,"38,922"
12091,"Okaloosa County, Florida","202,970","104,011","98,959","14,616","31,189","23,955","25,255","15,376","11,627",37.7,"18,696","149,396","19,286",408,"6,311",0,"96,918"
12095,"Orange County, Florida","1,348,975","662,509","686,466","105,130","227,501","189,625","179,293","84,185","65,838",35.1,"423,707","537,389","263,283","1,334","69,060","1,545","536,798"
12097,"Osceola County, Florida","352,180","173,575","178,605","23,383","47,858","51,986","46,894","19,493","18,457",36.3,"189,157","112,950","33,016",989,"7,941",551,"148,903"
12099,"Palm Beach County, Florida","1,471,150","713,677","757,473","79,508","176,115","168,222","192,723","99,683","93,824",44.8,"328,182","801,265","274,608","1,598","39,388",0,"687,082"
12101,"Pasco County, Florida","525,643","255,616","270,027","25,828","58,175","62,736","70,938","38,102","32,845",44.6,"79,465","392,062","28,531","1,174","13,047",351,"243,223"
12103,"Pinellas County, Florida","970,637","465,729","504,908","48,082","117,195","105,627","133,357","79,664","75,143",47.9,"93,952","715,611","97,341","1,940","32,935",782,"509,349"
12105,"Polk County, Florida","686,483","336,724","349,759","40,658","88,113","81,100","84,389","42,604","41,900",40.4,"153,113","406,331","100,090","2,260","12,137",568,"295,132"
12107,"Putnam County, Florida","73,464","36,700","36,764","3,722","8,383","6,615","9,568","5,900","5,418",45.5,"7,458",N,N,N,N,N,"37,299"
12109,"St. Johns County, Florida","243,812","118,564","125,248","11,720","24,345","30,129","35,593","19,986","15,453",43.7,"16,870","201,401","11,870","1,129","7,048",72,"106,548"
12111,"St. Lucie County, Florida","313,506","152,989","160,517","16,699","33,150","34,441","39,223","22,044","21,649",45.1,"59,625","179,855","60,304","1,047","5,957","1,744","141,040"
12113,"Santa Rosa County, Florida","174,272","89,176","85,096","10,172","22,651","21,686","25,459","12,928","10,979",39.8,"9,668","143,423","10,893",437,"3,746",292,"71,608"
12115,"Sarasota County, Florida","419,119","199,834","219,285","16,818","35,463","35,875","47,166","30,920","33,707",56.0,"38,272","348,980","18,560",305,"7,761",84,"240,089"
12117,"Seminole County, Florida","462,659","222,721","239,938","29,291","67,303","62,952","65,206","31,541","28,537",39.2,"98,817","279,346","51,890",745,"21,249",130,"190,325"
12119,"Sumter County, Florida","125,165","62,316","62,849","2,286","6,717","7,633","8,320","5,857","12,755",67.6,"7,105","106,267","9,136",435,957,0,"70,572"
12127,"Volusia County, Florida","538,692","263,063","275,629","31,838","61,974","56,526","67,515","41,430","41,105",46.3,"74,582","385,529","57,219","1,242","9,853",83,"260,511"
12131,"Walton County, Florida","68,376","34,343","34,033","3,051","8,640","8,250","9,309","5,263","5,571",44.5,"4,290","57,544","3,335",259,873,0,"52,171"
13013,"Barrow County, Georgia","79,061","37,948","41,113","4,498","12,012","10,887","10,816","5,242","3,771",35.2,"8,674","56,443","9,429",0,"3,000",0,"28,270"
13015,"Bartow County, Georgia","105,054","51,901","53,153","5,922","14,608","13,102","15,428","7,740","5,371",37.7,"9,058","80,763","8,073",13,"1,244",21,"41,049"
13021,"Bibb County, Georgia","152,862","71,456","81,406","11,423","19,952","17,293","18,981","9,486","10,698",36.0,"5,019","58,543","84,046",396,"3,191",63,"70,123"
