GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
01003,"Baldwin County, Alabama","190,790","93,581","97,209","11,010","22,639","22,547","28,378","13,354","12,680",41.5,"8,737","158,634","16,398",915,"1,494",0,"105,267"
01015,"Calhoun County, Alabama","117,296","56,142","61,154","9,575","14,117","14,856","15,601","9,003","6,871",38.8,"4,068","85,815","24,440",406,911,0,"53,311"
01043,"Cullman County, Alabama","80,440","40,185","40,255","4,955","9,332","9,854","11,873","4,689","6,092",40.8,"3,532","74,337",844,88,425,46,"37,084"
01049,"DeKalb County, Alabama","71,080","34,955","36,125","5,594","6,581","10,318","9,550","3,501","5,324",40.4,"5,583","63,035",546,346,210,0,"31,075"
01051,"Elmore County, Alabama","80,629","38,982","41,647","5,506","11,240","11,987","11,298","5,724","4,037",38.1,"2,170","59,497","16,678",301,347,0,"32,901"
01055,"Etowah County, Alabama","104,392","50,016","54,376","6,610","12,379","13,878","13,622","7,796","6,458",40.8,"3,769","82,046","15,667",430,757,0,"47,484"
01069,"Houston County, Alabama","103,402","49,292","54,110","6,148","13,324","13,190","14,417","7,358","5,732",38.8,"3,318","69,944","27,231",229,869,0,"45,719"
01073,"Jefferson County, Alabama","660,009","311,696","348,313","45,760","94,164","83,698","89,887","45,756","39,796",37.1,"25,914","336,989","279,073","1,197","10,345",96,"302,009"
01077,"Lauderdale County, Alabama","92,542","44,191","48,351","7,435","10,237","10,938","12,775","6,641","6,304",40.7,"2,221","78,837","9,214",530,236,0,"43,972"
01081,"Lee County, Alabama","147,257","72,191","75,066","23,207","20,050","18,342","16,734","5,864","9,149",29.8,"5,338","101,408","33,401",479,"4,008",310,"64,408"
01083,"Limestone County, Alabama","87,654","43,754","43,900","4,845","12,157","13,093","13,199","5,205","5,049",39.0,"5,040","68,240","10,907",591,"1,087",0,"35,255"
01089,"Madison County, Alabama","343,080","168,763","174,317","25,422","45,340","43,641","54,776","23,126","17,733",37.9,"16,081","225,686","82,415","2,583","7,601",179,"150,499"
01095,"Marshall County, Alabama","94,776","46,062","48,714","5,876","11,314","11,935","12,326","5,594","5,879",37.8,"12,136","78,541","1,981",388,571,0,"40,356"
01097,"Mobile County, Alabama","413,936","198,264","215,672","29,866","53,453","51,484","57,543","27,152","24,380",37.1,"10,544","241,894","144,925","3,490","8,242",44,"180,484"
01101,"Montgomery County, Alabama","230,149","109,089","121,060","18,415","32,996","29,470","30,000","15,111","11,722",34.8,"8,044","85,999","127,067",101,"5,170",96,"102,611"
01103,"Morgan County, Alabama","120,395","58,962","61,433","8,200","14,129","15,961","17,707","7,521","8,342",39.2,"9,434","92,536","14,004",708,596,0,"51,337"
01115,"St. Clair County, Alabama","85,237","42,991","42,246","5,021","11,555","12,218","11,936","6,129","4,646",39.5,"1,886","73,801","7,620",704,543,0,"35,744"
